,hpso01 (Ingest) [Bmax=16250],hpso01 (RCAL) [Bmax=16250],hpso01 (FastImg) [Bmax=16250],hpso01 (ICAL) [Bmax=16250],hpso01 (DPrepA) [Bmax=16250],hpso01 (DPrepB) [Bmax=16250],hpso01 (DPrepC) [Bmax=16250],hpso01 (DPrepD) [Bmax=16250],hpso02a (Ingest) [Bmax=16250],hpso02a (RCAL) [Bmax=16250],hpso02a (FastImg) [Bmax=16250],hpso02a (ICAL) [Bmax=16250],hpso02a (DPrepA) [Bmax=16250],hpso02a (DPrepB) [Bmax=16250],hpso02a (DPrepC) [Bmax=16250],hpso02a (DPrepD) [Bmax=16250],hpso02b (Ingest) [Bmax=16250],hpso02b (RCAL) [Bmax=16250],hpso02b (FastImg) [Bmax=16250],hpso02b (ICAL) [Bmax=16250],hpso02b (DPrepA) [Bmax=16250],hpso02b (DPrepB) [Bmax=16250],hpso02b (DPrepC) [Bmax=16250],hpso02b (DPrepD) [Bmax=16250],hpso04a (Ingest) [Bmax=16250],hpso04a (RCAL) [Bmax=16250],hpso04a (FastImg) [Bmax=16250],hpso04a (PSS) [Bmax=16250],hpso04b (Ingest) [Bmax=16250],hpso04b (RCAL) [Bmax=16250],hpso04b (FastImg) [Bmax=16250],hpso04b (PSS) [Bmax=16250],hpso04c (Ingest) [Bmax=16250],hpso04c (RCAL) [Bmax=16250],hpso04c (FastImg) [Bmax=16250],hpso04c (PSS) [Bmax=16250],hpso05a (Ingest) [Bmax=16250],hpso05a (RCAL) [Bmax=16250],hpso05a (FastImg) [Bmax=16250],hpso05a (PST) [Bmax=16250],hpso05b (Ingest) [Bmax=16250],hpso05b (RCAL) [Bmax=16250],hpso05b (FastImg) [Bmax=16250],hpso05b (PST) [Bmax=16250],hpso13 (Ingest) [Bmax=16250],hpso13 (RCAL) [Bmax=16250],hpso13 (FastImg) [Bmax=16250],hpso13 (ICAL) [Bmax=16250],hpso13 (DPrepA) [Bmax=16250],hpso13 (DPrepB) [Bmax=16250],hpso13 (DPrepC) [Bmax=16250],hpso14 (Ingest) [Bmax=16250],hpso14 (RCAL) [Bmax=16250],hpso14 (FastImg) [Bmax=16250],hpso14 (ICAL) [Bmax=16250],hpso14 (DPrepA) [Bmax=16250],hpso14 (DPrepB) [Bmax=16250],hpso14 (DPrepC) [Bmax=16250],hpso15 (Ingest) [Bmax=16250],hpso15 (RCAL) [Bmax=16250],hpso15 (FastImg) [Bmax=16250],hpso15 (ICAL) [Bmax=16250],hpso15 (DPrepA) [Bmax=16250],hpso15 (DPrepB) [Bmax=16250],hpso15 (DPrepC) [Bmax=16250],hpso18 (Ingest) [Bmax=16250],hpso18 (RCAL) [Bmax=16250],hpso18 (FastImg) [Bmax=16250],hpso18 (SinglePulse) [Bmax=16250],hpso22 (Ingest) [Bmax=16250],hpso22 (RCAL) [Bmax=16250],hpso22 (FastImg) [Bmax=16250],hpso22 (ICAL) [Bmax=16250],hpso22 (DPrepA) [Bmax=16250],hpso22 (DPrepB) [Bmax=16250],hpso27and33 (Ingest) [Bmax=16250],hpso27and33 (RCAL) [Bmax=16250],hpso27and33 (FastImg) [Bmax=16250],hpso27and33 (ICAL) [Bmax=16250],hpso27and33 (DPrepA) [Bmax=16250],hpso27and33 (DPrepB) [Bmax=16250],hpso32 (Ingest) [Bmax=16250],hpso32 (RCAL) [Bmax=16250],hpso32 (FastImg) [Bmax=16250],hpso32 (ICAL) [Bmax=16250],hpso32 (DPrepB) [Bmax=16250],hpso37a (Ingest) [Bmax=16250],hpso37a (RCAL) [Bmax=16250],hpso37a (FastImg) [Bmax=16250],hpso37a (ICAL) [Bmax=16250],hpso37a (DPrepA) [Bmax=16250],hpso37a (DPrepB) [Bmax=16250],hpso37b (Ingest) [Bmax=16250],hpso37b (RCAL) [Bmax=16250],hpso37b (FastImg) [Bmax=16250],hpso37b (ICAL) [Bmax=16250],hpso37b (DPrepA) [Bmax=16250],hpso37b (DPrepB) [Bmax=16250],hpso37c (Ingest) [Bmax=16250],hpso37c (RCAL) [Bmax=16250],hpso37c (FastImg) [Bmax=16250],hpso37c (ICAL) [Bmax=16250],hpso37c (DPrepA) [Bmax=16250],hpso37c (DPrepB) [Bmax=16250],hpso38a (Ingest) [Bmax=16250],hpso38a (RCAL) [Bmax=16250],hpso38a (FastImg) [Bmax=16250],hpso38a (ICAL) [Bmax=16250],hpso38a (DPrepA) [Bmax=16250],hpso38a (DPrepB) [Bmax=16250],hpso38b (Ingest) [Bmax=16250],hpso38b (RCAL) [Bmax=16250],hpso38b (FastImg) [Bmax=16250],hpso38b (ICAL) [Bmax=16250],hpso38b (DPrepA) [Bmax=16250],hpso38b (DPrepB) [Bmax=16250],max_low (Ingest) [Bmax=16250],max_low (RCAL) [Bmax=16250],max_low (FastImg) [Bmax=16250],max_low (ICAL) [Bmax=16250],max_low (DPrepA) [Bmax=16250],max_low (DPrepA_Image) [Bmax=16250],max_low (DPrepB) [Bmax=16250],max_low (DPrepC) [Bmax=16250],max_low (DPrepD) [Bmax=16250],max_mid_band1 (Ingest) [Bmax=16250],max_mid_band1 (RCAL) [Bmax=16250],max_mid_band1 (FastImg) [Bmax=16250],max_mid_band1 (ICAL) [Bmax=16250],max_mid_band1 (DPrepA) [Bmax=16250],max_mid_band1 (DPrepA_Image) [Bmax=16250],max_mid_band1 (DPrepB) [Bmax=16250],max_mid_band1 (DPrepC) [Bmax=16250],max_mid_band1 (DPrepD) [Bmax=16250],max_mid_band2 (Ingest) [Bmax=16250],max_mid_band2 (RCAL) [Bmax=16250],max_mid_band2 (FastImg) [Bmax=16250],max_mid_band2 (ICAL) [Bmax=16250],max_mid_band2 (DPrepA) [Bmax=16250],max_mid_band2 (DPrepA_Image) [Bmax=16250],max_mid_band2 (DPrepB) [Bmax=16250],max_mid_band2 (DPrepC) [Bmax=16250],max_mid_band2 (DPrepD) [Bmax=16250],max_mid_band5a_1 (Ingest) [Bmax=16250],max_mid_band5a_1 (RCAL) [Bmax=16250],max_mid_band5a_1 (FastImg) [Bmax=16250],max_mid_band5a_1 (ICAL) [Bmax=16250],max_mid_band5a_1 (DPrepA) [Bmax=16250],max_mid_band5a_1 (DPrepA_Image) [Bmax=16250],max_mid_band5a_1 (DPrepB) [Bmax=16250],max_mid_band5a_1 (DPrepC) [Bmax=16250],max_mid_band5a_1 (DPrepD) [Bmax=16250],max_mid_band5a_2 (Ingest) [Bmax=16250],max_mid_band5a_2 (RCAL) [Bmax=16250],max_mid_band5a_2 (FastImg) [Bmax=16250],max_mid_band5a_2 (ICAL) [Bmax=16250],max_mid_band5a_2 (DPrepA) [Bmax=16250],max_mid_band5a_2 (DPrepA_Image) [Bmax=16250],max_mid_band5a_2 (DPrepB) [Bmax=16250],max_mid_band5a_2 (DPrepC) [Bmax=16250],max_mid_band5a_2 (DPrepD) [Bmax=16250],max_mid_band5b_1 (Ingest) [Bmax=16250],max_mid_band5b_1 (RCAL) [Bmax=16250],max_mid_band5b_1 (FastImg) [Bmax=16250],max_mid_band5b_1 (ICAL) [Bmax=16250],max_mid_band5b_1 (DPrepA) [Bmax=16250],max_mid_band5b_1 (DPrepA_Image) [Bmax=16250],max_mid_band5b_1 (DPrepB) [Bmax=16250],max_mid_band5b_1 (DPrepC) [Bmax=16250],max_mid_band5b_1 (DPrepD) [Bmax=16250],max_mid_band5b_2 (Ingest) [Bmax=16250],max_mid_band5b_2 (RCAL) [Bmax=16250],max_mid_band5b_2 (FastImg) [Bmax=16250],max_mid_band5b_2 (ICAL) [Bmax=16250],max_mid_band5b_2 (DPrepA) [Bmax=16250],max_mid_band5b_2 (DPrepA_Image) [Bmax=16250],max_mid_band5b_2 (DPrepB) [Bmax=16250],max_mid_band5b_2 (DPrepC) [Bmax=16250],max_mid_band5b_2 (DPrepD) [Bmax=16250]
-> Receive [Tera/s],0.10850616908069122,,,,,,,,0.10850616908069122,,,,,,,,0.10850616908069122,,,,,,,,0.10878722423357048,,,,0.06619698589576074,,,,0.06704192808735429,,,,0.10878722423357048,,,,0.06672170930336903,,,,0.04029618864475695,,,,,,,0.06731171560831789,,,,,,,0.06595174278068519,,,,,,,0.06619698589576074,,,,0.06662825942440949,,,,,,0.06874607121638014,,,,,,0.0690678297985629,,,,,0.06874607121638014,,,,,,0.06874607121638014,,,,,,0.06874607121638014,,,,,,0.06740766982993916,,,,,,0.06740766982993916,,,,,,0.10854568835912107,,,,,,,,,0.0690678297985629,,,,,,,,,0.06672170930336903,,,,,,,,,0.0671059119291221,,,,,,,,,0.06568293823605847,,,,,,,,,0.06867655233949496,,,,,,,,,0.06578110409168608,,,,,,,,
-> Solve [Tera/s],,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,1.31072e-07,,,,5.0432e-08,,,,5.0432e-08,,,,1.31072e-07,,,,5.0432e-08,,,,5.0432e-08,,9.750186666666666e-08,,,,,5.0432e-08,,9.750186666666666e-08,,,,,5.0432e-08,,9.750186666666666e-08,,,,,5.0432e-08,,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,2.639274666666667e-07,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,1.5297706666666669e-07,,,,5.0432e-08,,1.5297706666666669e-07,,,,1.31072e-07,,3.779242666666667e-06,,,,,,,5.0432e-08,,2.639274666666667e-07,,,,,,,5.0432e-08,,2.0845226666666666e-07,,,,,,,5.0432e-08,,1.5297706666666669e-07,,,,,,,5.0432e-08,,1.5297706666666669e-07,,,,,,,5.0432e-08,,9.750186666666666e-08,,,,,,,5.0432e-08,,9.750186666666666e-08,,,,,
-> Average [Tera/s],0.10793645844654305,,,,,,,,0.10793645844654305,,,,,,,,0.10793645844654305,,,,,,,,0.10821603792194948,,,,0.0653105427036786,,,,0.06614417028263071,,,,0.10821603792194948,,,,0.06582823954525663,,,,0.03975658277588475,,,,,,,0.06641034508153405,,,,,,,0.06506858363676357,,,,,,,0.0653105427036786,,,,0.06573604105271422,,,,,,0.0678254932476473,,,,,,0.06814294316379627,,,,,0.0678254932476473,,,,,,0.0678254932476473,,,,,,0.0678254932476473,,,,,,0.06650501438111008,,,,,,0.06650501438111008,,,,,,0.10797577022936813,,,,,,,,,0.06814294316379627,,,,,,,,,0.06582823954525663,,,,,,,,,0.06620729731739784,,,,,,,,,0.06480337865117056,,,,,,,,,0.06775690529736406,,,,,,,,,0.0649002299687835,,,,,,,,
-> Gridding Kernel Update [Tera/s],,5.079885376821405,0.03956171485128496,45.718968391615164,2.069575526230761,11.263517164775724,17.628845188759755,,,5.079885376821405,0.03956171485128496,13.854381764074654,2.069575526230761,11.263517164775724,17.628845188759755,,,5.079885376821405,0.03956171485128496,13.854381764074654,2.069575526230761,11.263517164775724,17.628845188759755,,,0.9826360311809983,0.0013771443956679234,,,2.1663007000739882,0.00013678822320951225,,,1.2747756348483426,2.1959870070453267e-05,,,0.9826360311809983,0.0013771443956679234,,,1.9001172555812966,7.980093264349397e-05,,,1.8360180403463477,5.108213574962734e-05,16.524161162063066,0.8973434602178814,1.3284254525177017,3.738204505244874,,1.345247196444513,2.5230092101952486e-05,4.920453536244484,0.6491299906039629,1.4767903480308482,2.593101765604021,,1.5291804004424117,1.6357708228673725e-05,4.848341274862761,0.5557800496934745,1.1635117955440217,1.9587743001536784,,2.1663007000739882,0.00013678822320951225,,,0.2668116120131317,5.127818153548362e-07,2.401304622545236,0.08787274595991439,0.2794524224934773,,2.133772912862079,7.507332617747358e-05,1.48801020971956,0.7882342455817873,6.2537543992879625,,5.203026907707722,0.0011500033023082352,3.602844966882884,7.59714508056559,,2.133772912862079,7.507332617747358e-05,5.966262526855204,0.7882342449172645,6.253755442174381,,2.133772912862079,7.507332617747358e-05,19.203956210798417,0.7882342449172645,6.253755016277228,,2.133772912862079,7.507332617747358e-05,19.203956210798417,0.7882342449172645,6.253755016277228,,0.3158016807539377,7.806374253498941e-07,0.9075238497855642,0.11919018087601366,0.43106572318035835,,0.3158016807539377,7.806374253498941e-07,2.8422144485092478,0.11919018087601366,0.43106572318035835,,2.3276029617809986,0.02268978803296835,20.948426655533712,0.9853220755602279,1.0111710311969273,5.351754549106886,33.53993839734668,,,5.203026907707722,0.0011500033023082352,46.82724216487148,1.909393092731146,2.201737911536407,11.979400759181814,153.48601198300472,,,1.9001172555812966,7.980093264349397e-05,17.10106187458473,0.7169156229170925,0.8235091327357055,4.451206140913635,70.05323310708978,,,0.45949740223090135,1.9206693837567855e-06,4.135476619511492,0.17755973567962519,0.27387114164781334,0.8318363735914495,2.0424717036961915,,,0.33030888196851615,8.317510582872103e-07,2.972779251332687,0.1269177015634029,0.14427855693302175,0.42561262864163607,0.8498917969518293,,,0.30483288718823637,4.014364473733787e-07,2.743495740460027,0.08108296700126973,0.09009819642852922,0.22044675795614488,0.40132120477250355,,,0.25315427346217884,8.988618440126317e-08,2.2783883395879867,0.02563668797707716,0.02563668802068854,0.051273375963004235,0.08675384964295005,
-> Reprojection Predict [Tera/s],,0.0032708834242212367,,0.02943795081799113,0.002467744695914513,0.004935489391829026,0.004935489391829026,,,0.0032708834242212367,,0.013083533696884945,0.002467744695914513,0.004935489391829026,0.004935489391829026,,,0.0032708834242212367,,0.013083533696884945,0.002467744695914513,0.004935489391829026,0.004935489391829026,,,0.0016524522950647955,,,,0.015663307381358044,,,,0.016478458872867866,,,,0.0016524522950647955,,,,0.01122630330886788,,,,0.015497664329416105,,0.13947897896474493,0.00811968009943116,0.006495744079544928,0.00811968009943116,,0.01674531216757026,,0.04651475602102851,0.008773359331812645,0.008773359331812645,0.006512012985695736,,0.015432479693632765,,0.06172991877453106,0.008085527960198539,0.008085527960198539,0.005694593658366926,,0.015663307381358044,,,,0.011163541445046846,,0.10047187300542161,0.008422424958540143,0.016844849917080285,,0.012652013637719754,,0.015619769923110803,0.009545414953012157,0.019090829906024315,,0.012890547316814684,,0.01591425594668479,0.00972537863408515,,0.012652013637719754,,0.05060805455087901,0.009545414953012157,0.019090829906024315,,0.012652013637719754,,0.11386812273947779,0.009545414953012157,0.019090829906024315,,0.012652013637719754,,0.11386812273947779,0.009545414953012157,0.019090829906024315,,0.01169513865671574,,0.04678055462686296,0.008823492813708719,0.017646985627417438,,0.01169513865671574,,0.10525624791044166,0.008823492813708719,0.017646985627417438,,0.0016378256058510073,,0.014740430452659065,0.0012356708960467129,3.089177240116782e-05,0.0024713417920934257,0.0024713417920934257,,,0.012890547316814684,,0.11601492585133215,0.00972537863408515,0.00024313446585212876,0.0194507572681703,0.0194507572681703,,,0.01122630330886788,,0.10103672977981092,0.008469776158953817,0.00021174440397384538,0.016939552317907634,0.016939552317907634,,,0.011487122356497475,,0.10338410120847728,0.00866655321820797,0.0002166638304551992,0.01733310643641594,0.01733310643641594,,,0.010543344698099803,,0.09489010228289824,0.007954512460843471,0.00019886281152108677,0.015909024921686943,0.015909024921686943,,,0.012600914251224317,,0.11340822826101886,0.009506862603804353,0.00023767156509510884,0.019013725207608707,0.019013725207608707,,,0.010606515991055469,,0.09545864391949922,0.008002172558409475,0.00020005431396023684,0.01600434511681895,0.01600434511681895,
-> FFT [Tera/s],,0.0006541766848442473,0.009691506442137,0.005887590163598226,0.002467744695914513,0.012338723479572567,0.037016170438717695,,,0.0006541766848442473,0.009691506442137,0.0026167067393769888,0.002467744695914513,0.012338723479572567,0.037016170438717695,,,0.0006541766848442473,0.009691506442137,0.0026167067393769888,0.002467744695914513,0.012338723479572567,0.037016170438717695,,,0.0003304904590129591,0.004896154948340134,,,0.0031326614762716086,0.03222902753365852,,,0.003295691774573573,0.03390629397709438,,,0.0003304904590129591,0.004896154948340134,,,0.002245260661773576,0.03326312091516407,,,0.0030995328658832205,0.0318881982086751,0.027895795792948985,0.00811968009943116,0.006495744079544928,0.12991488159089856,,0.0033490624335140522,0.034455374830391496,0.009302951204205701,0.008773359331812645,0.013160038997718969,0.1628003246423934,,0.003086495938726553,0.031754073443688816,0.012345983754906212,0.008085527960198539,0.010511186348258102,0.07118242072958657,,0.0031326614762716086,0.03222902753365852,,,0.0022327082890093693,0.033077159837175824,0.020094374601084323,0.008422424958540143,0.08422424958540142,,0.0025304027275439506,0.037487447815465945,0.0031239539846221608,0.009545414953012157,0.0668179046710851,,0.0025781094633629364,0.03819421427204349,0.003182851189336958,0.034038825219298026,,0.0025304027275439506,0.037487447815465945,0.010121610910175802,0.009545414953012157,0.0668179046710851,,0.0025304027275439506,0.037487447815465945,0.022773624547895558,0.009545414953012157,0.0668179046710851,,0.0025304027275439506,0.037487447815465945,0.022773624547895558,0.009545414953012157,0.0668179046710851,,0.0023390277313431484,0.034652262686565155,0.009356110925372594,0.008823492813708719,0.0882349281370872,,0.0023390277313431484,0.034652262686565155,0.021051249582088333,0.008823492813708719,0.0882349281370872,,0.0003275651211702014,0.004852816609928906,0.0029480860905318133,0.0012356708960467129,0.00024713417920934255,0.006178354480233564,0.8098092784331737,,,0.0025781094633629364,0.03819421427204349,0.02320298517026643,0.00972537863408515,0.00194507572681703,0.04862689317042575,6.373624141634044,,,0.002245260661773576,0.03326312091516407,0.020207345955962182,0.008469776158953817,0.001693955231790763,0.04234888079476908,5.550752503531973,,,0.0022974244712994953,0.03403591809332585,0.020676820241695457,0.00866655321820797,0.0017333106436415936,0.04333276609103985,5.679712317084775,,,0.0021086689396199606,0.031239539846221628,0.018978020456579647,0.007954512460843471,0.0015909024921686942,0.039772562304217364,5.213069286338378,,,0.0025201828502448634,0.037336042225849825,0.022681645652203774,0.009506862603804353,0.0019013725207608708,0.047534313019021765,6.230417476029221,,,0.002121303198211094,0.031426714047571754,0.019091728783899847,0.008002172558409475,0.0016004345116818947,0.04001086279204737,5.244303807879233,
-> IFFT [Tera/s],,0.0032714117379400954,0.009698550625055105,0.029442705641460856,0.002468820890527002,0.004937641781054004,0.004937641781054004,,,0.0032714117379400954,0.009698550625055105,0.013086703579198096,0.002468820890527002,0.004937641781054004,0.004937641781054004,,,0.0032714117379400954,0.009698550625055105,0.013086703579198096,0.002468820890527002,0.004937641781054004,0.004937641781054004,,,0.0016527178221467588,0.004899695309432983,,,0.015667394865654466,0.03223811083209499,,,0.016482651368878328,0.03391561063489541,,,0.0016527178221467588,0.004899695309432983,,,0.011226995399137409,0.03327234878542447,,,0.015501730143227805,0.03189723335047886,0.13951557128905023,0.008121060468317846,0.0064968483746542785,0.008121060468317846,,0.01674953847403242,0.03446476662252962,0.046518982327490674,0.008774794188944862,0.008774794188944862,0.006513249170301953,,0.015436536947836437,0.03176308956414142,0.06174452488966427,0.008086905423045467,0.008086905423045467,0.005695749656339169,,0.015667394865654466,0.03223811083209499,,,0.011164231598002105,0.0330863618765793,0.10047808438201895,0.00842383082567123,0.01684766165134246,,0.012652748361646505,0.03749724413448932,0.01562221900286665,0.009546911612862953,0.019093823225725906,,0.012891288934428763,0.038204102506897916,0.015916728005398395,0.009726889336632355,,0.012652748361646505,0.03749724413448932,0.050612462894439526,0.009546911612862953,0.019093823225725906,,0.012652748361646505,0.03749724413448932,0.11387473525481855,0.009546911612862953,0.019093823225725906,,0.012652748361646505,0.03749724413448932,0.11387473525481855,0.009546911612862953,0.019093823225725906,,0.01169584505078613,0.0346616812741704,0.046784792991285316,0.008824931764592855,0.01764986352918571,,0.01169584505078613,0.0346616812741704,0.10526260545707519,0.008824931764592855,0.01764986352918571,,0.0016380899551638164,0.004856341267433036,0.01474280959647435,0.0012362093853876218,0.0012362093853876218,0.0024724187707752436,0.0024724187707752436,,,0.012891288934428763,0.038204102506897916,0.11602160040985887,0.009726889336632355,0.009726889336632355,0.01945377867326471,0.01945377867326471,,,0.011226995399137409,0.03327234878542447,0.10104295859223668,0.008471185972465824,0.008471185972465824,0.016942371944931648,0.016942371944931648,,,0.011487822440221429,0.03404525254297856,0.10339040196199284,0.008667979314682689,0.008667979314682689,0.017335958629365378,0.017335958629365378,,,0.010544015406213506,0.031248482621070984,0.09489613865592156,0.007955878718112125,0.007955878718112125,0.01591175743622425,0.01591175743622425,,,0.012601647489935825,0.03734581874200325,0.11341482740942244,0.009508356238216683,0.009508356238216683,0.019016712476433367,0.019016712476433367,,,0.010607188705469086,0.03143568357308662,0.09546469834922175,0.008003542902585358,0.008003542902585358,0.016007085805170716,0.016007085805170716,
-> Subtract Image Component [Tera/s],,,,3.0664532102074096e-05,5.141134783155236e-06,0.0005141134783155237,0.0015423404349465708,,,,,1.362868093425515e-05,5.141134783155236e-06,0.0005141134783155237,0.0015423404349465708,,,,,1.362868093425515e-05,5.141134783155236e-06,0.0005141134783155237,0.0015423404349465708,,,,,,,,,,,,,,,,,,,,,,,,,1.8161325386034493e-05,2.1145000258935315e-06,0.000338320004142965,0.006766400082859301,,,,6.0566088569047545e-06,2.284728992659543e-06,0.0006854186977978629,0.008479183575124656,,,,1.4614090618970416e-05,3.828374981154611e-06,0.0009953774951001987,0.0067407595387866046,,,,,,,,2.6164550261828547e-05,4.386679665906325e-06,0.002193339832953162,,,,0.00026384746491741224,0.0003224802348990594,0.11286808221467079,,,,3.0140636262660583e-05,0.006446747200624625,,,,2.7745643942367873e-05,1.0466463764267717e-05,0.003663262317493701,,,,2.9653156963405664e-05,4.971570288027167e-06,0.001740049600809508,,,,2.9653156963405664e-05,4.971570288027167e-06,0.001740049600809508,,,,1.218243610074556e-05,4.595569173806625e-06,0.002297784586903312,,,,2.7410481226677512e-05,4.595569173806625e-06,0.002297784586903312,,,,1.791371756399539e-05,3.0033667612246496e-06,3.0033667612246496e-06,0.00021452619723033207,0.02811837772337409,,,,,8.056592073009175e-05,1.3507470325118262e-05,1.3507470325118262e-05,0.0016884337906397828,0.2213063938067376,,,,,5.262329676031817e-05,8.822683498910224e-06,8.822683498910224e-06,0.0014704472498183706,0.1927344619281935,,,,,3.589725736405461e-05,6.018439734866645e-06,6.018439734866645e-06,0.0015046099337166613,0.19721223323211023,,,,,3.2947952181561884e-05,5.523966986696854e-06,5.523966986696854e-06,0.0013809917466742134,0.18100935022008252,,,,,1.9688928517537995e-05,3.3009939596542894e-06,3.3009939596542894e-06,0.0016504969798271445,0.2163339401399035,,,,,1.6572681236024168e-05,2.7785321383366232e-06,2.7785321383366232e-06,0.0013892660691683116,0.18209388221802894,
-> Grid [Tera/s],,0.18867431189347852,2.013442854922575,1.6980688070413066,0.26375847831303845,0.10550339132521536,0.21274822685129174,,,0.18867431189347852,2.013442854922575,0.5032174705567174,0.26375847831303845,0.10550339132521536,0.21274822685129174,,,0.18867431189347852,2.013442854922575,0.5032174705567174,0.26375847831303845,0.10550339132521536,0.21274822685129174,,,0.05840905681752015,0.6233118480952949,,,0.4537433350922563,9.328392092493434,,,0.27403839098850435,5.633887401880806,,,0.05840905681752015,0.6233118480952949,,,2.2184474502458285,15.7673227197675,,,0.2176050282861854,4.473685125348702,1.9584452545756688,0.8795719942513479,0.1759143988502696,0.6496848374654278,,0.29003607431022493,5.962780770842372,2.237340619193596,1.1723478413098491,0.2344695682619698,0.8141561462877439,,0.2139881820010583,4.399327138409051,0.9510179563177011,0.8649522731605047,0.17299045463210097,0.35598435352119806,,0.4537433350922563,9.328392092493434,,,1.4486075027215928,10.295793651669893,13.037467524494337,2.02426145513585,0.8186124001317732,,2.216830754800935,15.755615433663746,1.013805335321889,3.0977385245946603,1.239095409837864,,4.698139884570152,33.3908807186433,2.148559818166829,1.3130087777686177,,2.216830754800935,15.755615433663746,5.911832213752764,3.0977385245946603,1.239095409837864,,2.216830754800935,15.755615433663746,19.951476793208418,3.0977385245946603,1.239095409837864,,2.216830754800935,15.755615433663746,19.951476793208418,3.0977385245946603,1.239095409837864,,1.7114917225776347,12.16414336727193,4.564203857223843,2.391604136567379,0.9566416546269514,,1.7114917225776347,12.16414336727193,15.403425503198715,2.391604136567379,0.9566416546269514,,0.1326602339701002,1.415686538815212,1.1939421057309019,0.18545317697453265,0.037090635394906535,0.07418127078981307,2.430486548422895,,,4.698139884570152,33.3908807186433,42.28325896113137,6.565043888843089,1.3130087777686177,2.6260175555372354,31.873070978276896,,,2.2184474502458285,15.7673227197675,19.966027052212457,3.100022550591166,0.6200045101182333,1.2400090202364666,27.758382194576008,,,1.6070764913365037,11.422053349481562,14.46368842202853,2.2456991315796375,0.4491398263159275,0.898279652631855,28.403234618352233,,,1.1585922179286925,8.23460354731925,10.42732996135823,1.6190051133655,0.3238010226731001,0.6476020453462003,26.06982338350981,,,1.0944114531511098,7.778281566226039,9.849703078359989,1.52930096780643,0.305860193561286,0.611720387122572,31.15698172138843,,,0.5936476263593193,4.219300989358404,5.3428286372338745,0.8295568718946892,0.1659113743789379,0.3409694395743127,26.226009383191702,
-> Correct [Tera/s],,0.021709765117339016,0.0220919546736989,0.19538788605605115,0.0442315012162416,0.0884630024324832,0.33414750690478423,0.576924605493281,,0.021709765117339016,0.0220919546736989,0.1302654396995513,0.0442315012162416,0.0884630024324832,0.33414750690478423,0.576924605493281,,0.021709765117339016,0.0220919546736989,0.1302654396995513,0.0442315012162416,0.0884630024324832,0.33414750690478423,0.576924605493281,,0.00666887526262767,0.006768744203217331,,,0.007270271715693609,0.002257863545212234,,,0.0042269834077966004,0.0013127361289900644,,,0.00666887526262767,0.006768744203217331,,,0.01200098990017992,0.003727039737843421,,,0.0035145640496009245,0.0010914869417704759,0.03163107644640833,0.007159614520032367,0.007159614520032367,0.03187877324986204,,0.00442017822890386,0.0013727347495670168,0.02652140854714582,0.009004458273891834,0.009004458273891834,0.047137409472186066,,0.0034670884659596802,0.0010767429035357687,0.020802802321624007,0.0070629010405987205,0.0070629010405987205,0.02279148307322171,,0.007270271715693609,0.002257863545212234,,,0.007869455039344971,0.0024439461279740404,0.07082509535410475,0.016031075552232182,0.032062151104464365,,0.010963772744366228,0.003404917706821733,0.03654746506923819,0.022334561986756672,0.044669123973513344,,0.02291236459400435,0.007115680692753376,0.07637778510286601,0.04667531311841811,,0.010963772744366228,0.003404917706821733,0.06578346019744809,0.022334561986756672,0.044669123973513344,,0.010963772744366228,0.003404917706821733,0.09867395469929605,0.022334561986756672,0.044669123973513344,,0.010963772744366228,0.003404917706821733,0.09867395469929605,0.022334561986756672,0.044669123973513344,,0.008978770590937036,0.00278845541365704,0.0538733115333108,0.01829088239125513,0.03658176478251026,,0.008978770590937036,0.00278845541365704,0.08080893531843332,0.01829088239125513,0.03658176478251026,,0.015247854252676437,0.015510635705309951,0.13723068827408794,0.031065994330202736,0.031065994330202736,0.06213198866040547,2.3085389140598207,0.5771347285149552,,0.02291236459400435,0.007115680692753376,0.2062112813460391,0.04667531311841811,0.04667531311841811,0.09335062623683622,1.36600864688411,0.3415021617210275,,0.01200098990017992,0.003727039737843421,0.1080089091016193,0.024447533278263676,0.024447533278263676,0.04889506655652735,1.3196075815485722,0.32990189538714304,,0.008545233898747319,0.0026538161826859296,0.07690710508872588,0.01740771714551124,0.01740771714551124,0.03481543429102248,1.3272062582474775,0.3318015645618694,,0.006569636826673361,0.0020402740573965475,0.05912673144006025,0.013383189861269225,0.013383189861269225,0.02676637972253845,1.2990629913360572,0.3247657478340143,,0.005429080185069292,0.0016860593696487337,0.048861721665623636,0.011059708731411093,0.011059708731411093,0.022119417462822186,1.3582700456572219,0.33956751141430547,,0.0033511496519814245,0.001040736891189597,0.03016034686783282,0.006826719687437119,0.006826719687437119,0.013653439374874237,1.3010044944643175,0.3252511236160794
