,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Visibilities bw2 [1/s],3988616.360699523,325080391.118371,151300.85607865886,23326643.91271687,385893.14797792333,23326643.91271687,3067655.618094299,2840513.5293869544,2840513.5293869544,2678579.88287232,2556585.9151756396,2840513.5293869544,2840513.5293869544,2678579.88287232,2556585.9151756396,2840513.5293869544,2840513.5293869544,2678579.88287232,41894.65389098235,22989.168557439327,155150.26571286368,249451.56115026076,54885.06037127498,30493.917348765823,20442.989337888106,1728986.5612418326,82653.09594610172,57399.80902943874,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,130918.64937161913,72737.76128307858,450207.19000064774,97257.15106242638,72737.76128307858,450207.19000064774,130918.64937161913,72737.76128307858,450207.19000064774,109344.88543987187,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],18502694.34056612,814501371.0890816,621939.9163912926,65686758.90609715,1555837.8622782843,65686758.90609715,14230700.600918198,13176787.30799331,13176787.30799331,5122820.754304671,10165196.303974409,13176787.30799331,13176787.30799331,5122820.754304671,10165196.303974409,13176787.30799331,13176787.30799331,5122820.754304671,173235.45164836865,92681.98303786464,595744.5937325673,670514.8704711453,221277.63212960755,119212.58448970686,54949.85994367155,4647440.147544678,370260.20568352944,231417.53623478668,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,527819.5994952194,290454.2017476618,1815139.3346248912,392103.4229052717,290454.2017476618,1815139.3346248912,527819.5994952194,290454.2017476618,1815139.3346248912,440840.9056419007,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],28372268.931704037,624551447.5564055,2472590.3662639125,161307147.9011916,6367602.162721325,161307147.9011916,21821714.121548645,20205453.943647504,20205453.943647504,7854933.810632614,18185128.719827663,20205453.943647504,20205453.943647504,7854933.810632614,18185128.719827663,20205453.943647504,20205453.943647504,7854933.810632614,658342.7889311964,390140.63141154643,2438211.5735048177,1568176.327745885,827980.1275066456,511113.7128539955,154217.73333570082,13043121.240024522,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,2139589.800675709,1132090.3420038933,7428853.120970112,1528299.1589906237,1132090.3420038933,7428853.120970112,2139589.800675709,1132090.3420038933,7428853.120970112,1787007.7019548959,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities bw5 [1/s],,,2601701.0260926704,113156925.2861792,6253540.054241978,113156925.2861792,,,,,,,,,,,,,775851.0904220454,410511.91968252044,2394535.4510295233,1237584.7294805974,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,2148997.04772652,1167380.1733090275,7295782.519740423,1558628.3450128695,1167380.1733090275,7295782.519740423,2148997.04772652,1167380.1733090275,7295782.519740423,1794863.904137666,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities bw6 [1/s],,,9710348.953550885,259168378.32160106,30009250.41978592,259168378.32160106,,,,,,,,,,,,,338467.2542016183,208934.27712040383,1566939.8485684295,515362.8693698677,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,8102621.311450598,4668237.333820918,35010730.818072766,6077003.45437521,4668237.333820918,35010730.818072766,8102621.311450598,4668237.333820918,35010730.818072766,6767387.806456237,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
Visibilities bw7 [1/s],,,18982655.23714316,495393215.1353213,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,14783794.402442914,7822187.717989076,68442638.40578821,10559900.894514984,7822187.717989076,68442638.40578821,14783794.402442914,7822187.717989076,68442638.40578821,12347565.87150959,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,8655176.951414868,156858909.7132084,22290508.6912017,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,7021571.898381179,4160964.4218790983,26005551.376176804,4814810.302112063,4160964.4218790983,26005551.376176804,7021571.898381179,4160964.4218790983,26005551.376176804,5864483.189674089,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,11565290.761680273,137193016.99216768,47656482.60434576,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,10007930.689177455,5559997.492158848,55599141.81844076,6433689.564506442,5559997.492158848,55599141.81844076,1620607.1462675105,960366.989998549,6002189.549808466,8358717.584820589,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities bw10 [1/s],,,979619.0849624582,9832946.63164279,4036673.733039358,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,847706.270065889,470950.50789571204,4709445.368390764,726607.2699162776,470950.50789571204,4709445.368390764,,,,708012.1881397917,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,645900.8802550612,4214119.9733702345,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,628791.79835944,310515.94265843043,2328843.9796672305,359310.4114519165,310515.94265843043,2328843.9796672305,,,,525172.7565450431,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,,,,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.3854631120140128,2.407051599418859,24.960697428892974,66.77596855517278,1271.85323642638,8932.355562505265,1.3809954959856314,1.1112032707620276,0.8863353598472604,22.306060984428363,1.3809955794133488,1.1112032707620276,0.8863353598472604,22.306060984428363,1.3809955794133488,1.1112032707620276,0.8863353598472604,22.306060984428363,159.96620805832953,156.39490571654946,38.487712999606174,1525.373138586524,283.3985863701948,277.7206312700475,78.96228078506151,668.2523800823093,268.7733626668412,198.26278682971352,76.50799080370702,974.4350723454501,5881.716649650895,1976.9645386238828,1921.5440243911723,65.59386361126079,54.656345587040036,43.07634433372051,12.95527359513084,8.46725680704695,147.64436202517584,170.2058850126061,45.27655563173849,183.0590240128356,170.2058850126061,45.27655563173849,121.93424339528198,138.34236164959583,37.04445411802982,3394.614935609913,1178.95339462256,909.8244899772678,2779.5234865414654,1178.95339462256,909.8244899772678
Delta W snapshot1 [lambda],2.7709262240280257,4.814103198837718,37.44104614333946,100.16395283275918,1907.7798546395697,13398.533343757897,2.761990991971263,2.2224065415240553,1.7726707196945208,44.61212196885673,2.7619911588266977,2.2224065415240553,1.7726707196945208,44.61212196885673,2.7619911588266977,2.2224065415240553,1.7726707196945208,44.61212196885673,239.9493120874943,234.59235857482417,57.731569499409254,2288.059707879786,425.0978795552922,416.5809469050712,118.44342117759227,1002.3785701234639,403.16004400026173,297.3941802445703,114.76198620556052,1461.6526085181752,8822.574974476343,2965.4468079358244,2882.316036586759,98.39079541689118,81.98451838056006,64.61451650058076,19.43291039269626,12.700885210570425,221.46654303776376,255.30882751890914,67.91483344760773,274.5885360192534,255.30882751890914,67.91483344760773,182.901365092923,207.51354247439377,55.56668117704473,5091.92240341487,1768.4300919338398,1364.7367349659019,4169.285229812198,1768.4300919338398,1364.7367349659019
Delta W snapshot2 [lambda],5.541852448056051,9.628206397675436,49.92139485778595,133.55193711034556,2543.70647285276,17864.71112501053,5.523981983942526,4.4448130830481105,3.5453414393890417,89.22424393771345,5.523982317653395,4.4448130830481105,3.5453414393890417,89.22424393771345,5.523982317653395,4.4448130830481105,3.5453414393890417,89.22424393771345,319.93241611665906,312.7898114330989,76.97542599921235,3050.746277173048,566.7971727403896,555.441262540095,157.92456157012302,1336.5047601646186,537.5467253336824,396.52557365942704,153.01598160741403,1948.8701446909001,11763.43329930179,3953.9290772477657,3843.0880487823447,131.18772722252157,109.31269117408007,86.15268866744103,25.91054719026168,16.9345136140939,295.2887240503517,340.4117700252122,90.55311126347698,366.1180480256712,340.4117700252122,90.55311126347698,243.86848679056396,276.68472329919166,74.08890823605964,6789.229871219826,2357.90678924512,1819.6489799545357,5559.046973082931,2357.90678924512,1819.6489799545357
Delta W snapshot3 [lambda],11.083704896112103,19.256412795350872,74.88209228667893,200.32790566551836,3815.5597092791395,26797.066687515795,11.047963967885051,8.889626166096221,7.090682878778083,178.4484878754269,11.04796463530679,8.889626166096221,7.090682878778083,178.4484878754269,11.04796463530679,8.889626166096221,7.090682878778083,178.4484878754269,479.8986241749886,469.18471714964835,115.46313899881851,4576.119415759572,850.1957591105844,833.1618938101424,236.88684235518454,2004.7571402469277,806.3200880005235,594.7883604891406,229.52397241112104,2923.3052170363503,17645.149948952687,5930.893615871649,5764.632073173518,196.78159083378236,163.96903676112012,129.22903300116153,38.86582078539252,25.40177042114085,442.9330860755275,510.6176550378183,135.82966689521547,549.1770720385068,510.6176550378183,135.82966689521547,365.802730185846,415.02708494878755,111.13336235408946,10183.84480682974,3536.8601838676796,2729.4734699318037,8338.570459624396,3536.8601838676796,2729.4734699318037
Delta W snapshot4 [lambda],22.167409792224205,38.512825590701745,124.80348714446487,333.87984277586395,6359.2661821319,44661.77781252633,22.095927935770103,17.779252332192442,14.181365757556167,356.8969757508538,22.09592927061358,17.779252332192442,14.181365757556167,356.8969757508538,22.09592927061358,17.779252332192442,14.181365757556167,356.8969757508538,799.8310402916476,781.9745285827472,192.43856499803084,7626.865692932621,1416.992931850974,1388.6031563502374,394.81140392530756,3341.2619004115463,,,,,29408.583248254476,9884.822693119415,9607.720121955863,327.96931805630396,273.2817279352002,215.38172166860255,51.82109438052336,33.8690272281878,738.2218101258792,851.0294250630304,226.38277815869245,915.295120064178,851.0294250630304,226.38277815869245,609.6712169764099,691.7118082479792,185.2222705901491,16973.074678049565,5894.766973112799,4549.122449886339,13897.617432707326,5894.766973112799,4549.122449886339
Delta W snapshot5 [lambda],,,174.7248820022508,467.4317798862095,8902.972654984658,62526.48893753686,,,,,,,,,,,,,1119.7634564083066,1094.764340015846,269.4139909972432,10677.611970105669,,,,,,,,,41172.01654755627,13838.75177036718,13450.808170738208,459.15704527882554,382.59441910928024,301.5344103360436,,,1033.5105341762307,1191.4411950882427,316.93588942216945,1281.4131680898493,1191.4411950882427,316.93588942216945,853.5397037669738,968.3965315471709,259.31117882620873,23762.304549269393,8252.67376235792,6368.771429840875,19456.664405790256,8252.67376235792,6368.771429840875
Delta W snapshot6 [lambda],,,274.56767171782275,734.5356541069007,13990.385600690179,98255.91118755791,,,,,,,,,,,,,1279.7296644666362,1251.1592457323957,307.9017039968494,12202.985108692192,,,,,,,,,64698.88314615985,21746.60992486271,21136.9842683029,655.9386361126079,546.5634558704004,430.7634433372051,,,1624.087982276934,1872.264735138667,498.0421119491234,2013.6492641411917,1872.264735138667,498.0421119491234,1341.2766773481019,1521.7659781455543,407.488995298328,37340.76429170904,12968.487340848158,10008.069389749946,30574.75835195612,12968.487340848158,10008.069389749946
Delta W snapshot7 [lambda],,,374.41046143339463,1001.6395283275917,19077.798546395697,133985.333437579,,,,,,,,,,,,,,,,,,,,,,,,,88225.74974476344,29654.468079358245,28823.160365867585,,,,,,2214.6654303776377,2553.0882751890913,679.1483344760774,2745.8853601925343,2553.0882751890913,679.1483344760774,1829.0136509292297,2075.1354247439376,555.6668117704472,50919.2240341487,17684.3009193384,13647.367349659018,41692.85229812198,17684.3009193384,13647.367349659018
Delta W snapshot8 [lambda],,,449.29255372007356,1201.96743399311,22893.358255674837,160782.40012509478,,,,,,,,,,,,,,,,,,,,,,,,,105870.89969371611,35585.36169522989,34587.792439041106,,,,,,2657.598516453165,3063.7059302269095,814.9780013712929,3295.062432231041,3063.7059302269095,814.9780013712929,2194.8163811150757,2490.162509692725,666.8001741245367,61103.068840978434,21221.16110320608,16376.840819590821,50031.422757746375,21221.16110320608,16376.840819590821
Delta W snapshot9 [lambda],,,549.1353434356455,1469.0713082138013,27980.771201380358,196511.82237511582,,,,,,,,,,,,,,,,,,,,,,,,,129397.7662923197,43493.21984972542,42273.9685366058,,,,,,3248.175964553868,3744.529470277334,996.0842238982468,4027.2985282823834,3744.529470277334,996.0842238982468,2316.7506245103577,2628.504871342321,703.8446282425665,74681.52858341808,25936.974681696316,20016.138779499892,61149.51670391224,25936.974681696316,20016.138779499892
Delta W snapshot10 [lambda],,,648.9781331512173,1736.1751824344924,33068.18414708588,232241.2446251369,,,,,,,,,,,,,,,,,,,,,,,,,152924.63289092327,51401.07800422096,49960.14463417049,,,,,,3838.7534126545715,4425.353010327758,1177.1904464252007,4759.534624333726,4425.353010327758,1177.1904464252007,,,,88259.98832585775,30652.788260186557,23655.436739408964,72267.6106500781,30652.788260186557,23655.436739408964
Delta W snapshot11 [lambda],,,748.8209228667893,2003.2790566551835,38155.597092791395,267970.666875158,,,,,,,,,,,,,,,,,,,,,,,,,176451.49948952688,59308.93615871649,57646.32073173517,,,,,,4429.330860755275,5106.176550378183,1358.2966689521547,5491.770720385069,5106.176550378183,1358.2966689521547,,,,101838.4480682974,35368.6018386768,27294.734699318036,83385.70459624396,35368.6018386768,27294.734699318036
Delta W max0 [lambda],1.3854631120140128,2.407051599418859,24.960697428892974,66.77596855517278,1271.85323642638,8932.355562505265,1.3809954959856314,1.1112032707620276,0.8863353598472604,22.306060984428363,1.3809955794133488,1.1112032707620276,0.8863353598472604,22.306060984428363,1.3809955794133488,1.1112032707620276,0.8863353598472604,22.306060984428363,159.96620805832953,156.39490571654946,38.487712999606174,1525.373138586524,283.3985863701948,277.7206312700475,78.96228078506151,668.2523800823093,268.7733626668412,198.26278682971352,76.50799080370702,974.4350723454501,5881.716649650895,1976.9645386238828,1921.5440243911723,65.59386361126079,54.656345587040036,43.07634433372051,12.95527359513084,8.46725680704695,147.64436202517584,170.2058850126061,45.27655563173849,183.0590240128356,170.2058850126061,45.27655563173849,121.93424339528198,138.34236164959583,37.04445411802982,3394.614935609913,1178.95339462256,909.8244899772678,2779.5234865414654,1178.95339462256,909.8244899772678
Delta W max1 [lambda],2.7709262240280257,4.814103198837718,37.44104614333946,100.16395283275918,1907.7798546395697,13398.533343757897,2.761990991971263,2.2224065415240553,1.7726707196945208,44.61212196885673,2.7619911588266977,2.2224065415240553,1.7726707196945208,44.61212196885673,2.7619911588266977,2.2224065415240553,1.7726707196945208,44.61212196885673,239.9493120874943,234.59235857482417,57.731569499409254,2288.059707879786,425.0978795552922,416.5809469050712,118.44342117759227,1002.3785701234639,403.16004400026173,297.3941802445703,114.76198620556052,1461.6526085181752,8822.574974476343,2965.4468079358244,2882.316036586759,98.39079541689118,81.98451838056006,64.61451650058076,19.43291039269626,12.700885210570425,221.46654303776376,255.30882751890914,67.91483344760773,274.5885360192534,255.30882751890914,67.91483344760773,182.901365092923,207.51354247439377,55.56668117704473,5091.92240341487,1768.4300919338398,1364.7367349659019,4169.285229812198,1768.4300919338398,1364.7367349659019
Delta W max2 [lambda],5.541852448056051,9.628206397675436,49.92139485778595,133.55193711034556,2543.70647285276,17864.71112501053,5.523981983942526,4.4448130830481105,3.5453414393890417,89.22424393771345,5.523982317653395,4.4448130830481105,3.5453414393890417,89.22424393771345,5.523982317653395,4.4448130830481105,3.5453414393890417,89.22424393771345,319.93241611665906,312.7898114330989,76.97542599921235,3050.746277173048,566.7971727403896,555.441262540095,157.92456157012302,1336.5047601646186,537.5467253336824,396.52557365942704,153.01598160741403,1948.8701446909001,11763.43329930179,3953.9290772477657,3843.0880487823447,131.18772722252157,109.31269117408007,86.15268866744103,25.91054719026168,16.9345136140939,295.2887240503517,340.4117700252122,90.55311126347698,366.1180480256712,340.4117700252122,90.55311126347698,243.86848679056396,276.68472329919166,74.08890823605964,6789.229871219826,2357.90678924512,1819.6489799545357,5559.046973082931,2357.90678924512,1819.6489799545357
Delta W max3 [lambda],11.083704896112103,19.256412795350872,74.88209228667893,200.32790566551836,3815.5597092791395,26797.066687515795,11.047963967885051,8.889626166096221,7.090682878778083,178.4484878754269,11.04796463530679,8.889626166096221,7.090682878778083,178.4484878754269,11.04796463530679,8.889626166096221,7.090682878778083,178.4484878754269,479.8986241749886,469.18471714964835,115.46313899881851,4576.119415759572,850.1957591105844,833.1618938101424,236.88684235518454,2004.7571402469277,806.3200880005235,594.7883604891406,229.52397241112104,2923.3052170363503,17645.149948952687,5930.893615871649,5764.632073173518,196.78159083378236,163.96903676112012,129.22903300116153,38.86582078539252,25.40177042114085,442.9330860755275,510.6176550378183,135.82966689521547,549.1770720385068,510.6176550378183,135.82966689521547,365.802730185846,415.02708494878755,111.13336235408946,10183.84480682974,3536.8601838676796,2729.4734699318037,8338.570459624396,3536.8601838676796,2729.4734699318037
Delta W max4 [lambda],24.167420631115196,38.512825590701745,124.80348714446487,333.87984277586395,6359.2661821319,44661.77781252633,22.095927935770103,22.095927434162466,22.095927434162466,356.8969757508538,22.09592927061358,22.095927434162466,22.095927434162466,356.8969757508538,22.09592927061358,22.095927434162466,22.095927434162466,356.8969757508538,799.8310402916476,781.9745285827472,192.43856499803084,7626.865692932621,1416.992931850974,1388.6031563502374,394.81140392530756,3341.2619004115463,,,,,29408.583248254476,9884.822693119415,9607.720121955863,327.96931805630396,273.2817279352002,215.38172166860255,51.82109438052336,33.8690272281878,738.2218101258792,851.0294250630304,226.38277815869245,915.295120064178,851.0294250630304,226.38277815869245,609.6712169764099,691.7118082479792,185.2222705901491,16973.074678049565,5894.766973112799,4549.122449886339,13897.617432707326,5894.766973112799,4549.122449886339
