,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Frequencies predict de-grid1,1117.2953217949262,65536.0,904.5597563976627,65536.0,621.0918337495959,65536.0,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,500.0,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,700.0,838.4258482659727,724.6015700009231,700.0,978.1192792840136,1811.1060218133737,724.6015700009231,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2233.6181120846836,65536.0,1205.8966379974954,65536.0,828.0453578278335,65536.0,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,500.0,994.2703121075014,100.0,5000.0,500.0,795.9664696855765,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,724.6015700009231,1117.8127093029952,966.0470075132783,724.6015700009231,1304.070614995905,2414.7195985996987,966.0470075132783,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,4466.26348098825,65536.0,1808.570373420898,65536.0,1241.9523988093595,65536.0,3435.07044070933,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,644.3264317751682,1491.3496857510963,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,1086.7697249209346,1676.58642438262,1448.937874446404,1086.7697249209346,1955.9732804231985,3621.9467489340564,1448.937874446404,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,8931.554112875032,65536.0,3013.917810920462,65536.0,2069.7664721575957,65536.0,6869.447804173029,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,1073.8030119774014,2485.5084313703824,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,1862.8443284761663,2414.7195985996987,1811.1060218133737,2794.133846147517,2414.7195985996987,1811.1060218133737,3259.7786040836563,6036.401045713372,2414.7195985996987,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,,,4219.26523571507,65536.0,2897.5805422242274,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,2607.875942853118,3380.5013190529257,2535.4423137715403,3911.681264714464,3380.5013190529257,2535.4423137715403,4563.583925007532,8450.855341013887,3380.5013190529257,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,,,6629.960074898007,65536.0,4553.208679676484,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,4097.939167681737,5312.06475692582,3984.1148936492104,6146.776099231232,5312.06475692582,3984.1148936492104,7171.194564597031,13279.763930416846,5312.06475692582,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,,,9040.654909467647,65536.0,6208.8368159291185,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,5588.002390765619,7243.628193459831,5432.787471740869,8381.87093257496,7243.628193459831,5432.787471740869,9778.805203194423,18108.672519208772,7243.628193459831,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,10848.676034195598,65536.0,7450.557917820432,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,6519.291904838624,10058.192057312433,8692.300770509128,6519.291904838624,11734.513181907203,21730.353960832246,8692.300770509128,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,13259.37086640695,65536.0,9106.186053467487,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,7967.9644820068215,12293.286890062791,10623.864206351685,7967.9644820068215,12386.41584142446,22937.581107860868,9175.19162948914,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,15670.065698076485,65536.0,10761.814188959252,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,9416.637058985098,14528.381722726019,12555.427642058461,9416.637058985098,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,18080.76052947859,65536.0,12417.442324443025,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,10865.309635809857,16763.476555282203,14486.991077609053,10865.309635809857,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,294.13708286109556,581.5247790784008,249.94748777738448,562.5124696027892,104.87053917795039,199.86036617122988,209.3897284687937,209.1156457992453,210.93628087621954,409.17538998830065,209.09354833100656,209.1156457992453,210.93628087621954,409.17538998830065,209.09354833100656,209.1156457992453,210.93628087621954,409.17538998830065,42.53469646031592,43.0621722553766,44.85451366428435,83.83827917157834,52.173227075347405,51.589900765626,53.28496141893204,40.49238556793704,43.95153687031498,42.4271807227636,43.74238434397633,40.0,41.35502052855771,41.3229428889578,41.762558751763414,93.39358510070545,92.94456875733982,94.91109303389442,276.11397113523014,262.9648830342478,121.34116757273091,120.20672687326568,120.536450120768,120.53410808269628,120.20672687326568,120.536450120768,120.45693213499784,120.9960716061465,120.65579456280456,102.40809858311289,102.44882917424907,103.52165237309299,102.37572183127217,102.44882917424907,103.52165237309299
Frequencies backward kernels1,296.4663124856528,605.0570623552849,251.6639133390245,641.4655277919951,105.27652195563536,207.7577880097661,210.76298623048035,209.99052160934545,215.0908212689252,416.96866687468446,209.9281726505881,209.99052160934545,215.0908212689252,416.96866687468446,209.9281726505881,209.99052160934545,215.0908212689252,416.96866687468446,43.29289029303586,44.24239996782277,47.40896555267551,90.07656383143517,53.6578768570785,52.60930743258701,55.63336378242451,47.34034230538112,46.18476604898211,43.48041757913195,45.81754219415338,40.0,41.53595547527156,41.477195286452655,42.27949805718127,94.9646128269612,94.15038689676382,97.69503026703933,297.8038507499297,275.0033448863872,122.67822030291306,120.60614030413761,121.20990972844088,121.20562551287013,120.60614030413761,121.20990972844088,121.06441479807381,122.04945947235268,121.42813925614428,102.76240812731292,102.83704771466545,104.79498113977849,102.70306143350521,102.83704771466545,104.79498113977849
Frequencies backward kernels2,302.97343237841915,667.392652339657,253.6839764436337,724.2098623802012,105.75576124810642,216.75801022505803,214.6084897334479,212.45048663557,226.4662138752019,438.3314375991753,212.2757318260155,212.45048663557,226.4662138752019,438.3314375991753,212.2757318260155,212.45048663557,226.4662138752019,438.3314375991753,44.175399267788535,45.603166652873504,50.27341045873908,96.96527781832592,55.367879342960684,53.79356720477874,58.298136998891934,54.37312700178301,48.70305846302718,44.69785155892097,48.16488100907765,40.0,41.749431756665125,41.65930633901745,42.884502641519234,96.79507003202608,95.56077856635403,100.89879984422902,321.66880958244326,288.64183273101406,124.24520378382249,121.07788051487124,122.00352787688831,121.99696768941129,121.07788051487124,122.00352787688831,121.78067538280307,123.28689005256007,122.33753994959476,103.1808204198613,103.29535454936494,106.28535031721432,103.08972413215791,103.29535454936494,106.28535031721432
Frequencies backward kernels3,320.7236904273844,819.2124673894564,258.4523954486903,892.0250521758198,106.89319608930337,236.93036284243934,225.1633419221695,219.2778889262776,256.04524844886436,494.0202170214469,218.7971349552301,219.2778889262776,256.04524844886436,494.0202170214469,218.7971349552301,219.2778889262776,256.04524844886436,494.0202170214469,46.21939660670531,48.707146598835116,56.54976861679418,111.76324022800651,59.26226159785072,56.52774766082447,64.2334927358525,68.3691671302102,54.26312964777098,47.48599202236218,53.370018568404944,40.0,42.25563446808812,42.09164105148731,44.29876678360158,101.04171740762095,98.85432934591073,108.18546024990023,372.7068621682915,318.95058546702444,127.91688605051137,122.19863782023764,123.88123513371765,123.8693444282914,122.19863782023764,123.88123513371765,123.47703190840114,126.19826027271776,124.48601569140627,104.17463320360854,104.38327047366464,109.76972155296623,104.00856463814989,104.38327047366464,109.76972155296623
Frequencies backward kernels4,366.5046668380617,1146.6733756293402,270.158023904868,1219.2933984344997,109.72125367163108,281.73348383287276,254.70432980595342,245.87976264831133,350.05415280954406,679.7295400499112,236.33470453479393,245.87976264831133,350.05415280954406,679.7295400499112,236.33470453479393,245.87976264831133,350.05415280954406,679.7295400499112,51.03744030368378,55.81392817802327,70.00854308081261,142.63143566070636,68.15298521918504,62.93221597444385,77.28323680302682,95.15648553909902,,,,,43.51146703603185,43.1672279886531,47.69656409603481,111.08546654241114,106.74987767093182,124.78116191772048,425.49702080396924,351.5795938623505,136.78316713765736,124.99196539543924,128.5154480132299,128.49071525665727,124.99196539543924,128.5154480132299,127.67339217936129,133.29204975028358,129.77036064856335,106.65007083997004,107.08917810381068,118.14340260542802,106.29991350881343,107.08917810381068,118.14340260542802
Frequencies backward kernels5,,,283.89263301615733,1530.1412548022336,113.1008218916699,328.6569917666257,,,,,,,,,,,,,56.406062042844106,63.48308761858081,83.67739516643141,173.3084078628958,,,,,,,,,45.0073534990167,44.453728090410934,51.57119075877679,122.32119040507628,115.72875841874779,142.59321761713062,,,146.95956757422653,128.34207147958978,133.9941382384471,133.95475274781907,128.34207147958978,133.9941382384471,132.65098805685682,141.53100383712987,135.98744659715314,109.6162319330593,110.32449756002529,127.6956769361268,109.05027584023098,110.32449756002529,127.6956769361268
Frequencies backward kernels6,,,315.08439867908015,2110.6077355201724,120.9944570668204,422.5313664022729,,,,,,,,,,,,,59.20436525574776,67.40491571371146,90.45188616380089,188.36370670287914,,,,,,,,,48.483218802682295,47.46299122101029,60.0380069868813,140.21805063417,130.2731381730113,169.9187635279515,,,169.3818847645707,136.21308966409305,146.57684041303332,146.50564920595633,136.21308966409305,146.57684041303332,144.1413322928542,159.97381382943686,150.16273698397657,116.57476464567985,117.88773088380657,148.57879887100646,115.52113982728658,117.88773088380657,148.57879887100646
Frequencies backward kernels7,,,349.04961156596664,2650.649559176857,129.8822512934196,513.745333774073,,,,,,,,,,,,,,,,,,,,,,,,,52.37159979696138,50.85752901934721,68.8938455224457,,,,,,193.0267167845908,145.1423774149012,160.45631671398235,160.3524391885872,145.1423774149012,160.45631671398235,156.89299311975236,179.74208669969232,165.66793365606216,124.45365788999841,126.4128035761251,170.4311311428018,122.87520820176907,126.4128035761251,170.4311311428018
Frequencies backward kernels8,,,375.4436685987709,3036.1501340478103,136.96254342208456,580.0843951347074,,,,,,,,,,,,,,,,,,,,,,,,,55.4536423208064,53.56567699889692,75.59661914835621,,,,,,211.0137161391148,152.29856805265166,171.34208937553421,171.2139532972284,152.29856805265166,171.34208937553421,166.93921560596695,194.93942405636676,177.7551477698445,130.75821752578412,133.2099842172555,186.97513441206598,128.7775597901936,133.2099842172555,186.97513441206598
Frequencies backward kernels9,,,411.2092719980263,3529.9229034469918,146.7563409981765,665.9465761142774,,,,,,,,,,,,,,,,,,,,,,,,,59.69838863724961,57.316504267782406,84.50187956164137,,,,,,234.99802434949677,162.24994680026214,186.2028830090097,186.043168962703,162.24994680026214,186.2028830090097,170.34892958697853,200.0369968410817,181.83633962994261,139.51318327210606,142.61923180057795,208.9596292609679,136.99607090774163,142.61923180057795,208.9596292609679
Frequencies backward kernels10,,,447.20619540826385,4004.997616159751,156.80524876893617,749.1590872282718,,,,,,,,,,,,,,,,,,,,,,,,,64.03547137728478,61.169835089780406,93.31283017018728,,,,,,258.80080567690806,172.51391559077257,201.26141441606268,201.07114553123935,172.51391559077257,201.26141441606268,,,,148.5307631098441,152.28064516210287,230.71480431312764,145.4837720249448,152.28064516210287,230.71480431312764
Frequencies backward kernels11,,,483.1643509052765,4464.773991658103,167.0004805906711,830.0464532203764,,,,,,,,,,,,,,,,,,,,,,,,,68.4204249066639,65.08336198344705,102.00182585174164,,,,,,282.326590936286,182.97328651771727,216.3841244672171,216.16432651692446,182.97328651771727,216.3841244672171,,,,157.70928682597642,162.08875141935613,252.17137529189708,154.142682749693,162.08875141935613,252.17137529189708
Frequencies backward grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,500.0,483.15612439994436,700.0,559.0389802377872,483.15612439994436,700.0,652.167937578682,1207.4924417886202,700.0,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1117.2953217949262,65536.0,904.5597563976627,65536.0,621.0918337495959,65536.0,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,500.0,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,700.0,838.4258482659727,724.6015700009231,700.0,978.1192792840136,1811.1060218133737,724.6015700009231,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies backward grid2,2233.6181120846836,65536.0,1205.8966379974954,65536.0,828.0453578278335,65536.0,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,500.0,994.2703121075014,100.0,5000.0,500.0,795.9664696855765,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,724.6015700009231,1117.8127093029952,966.0470075132783,724.6015700009231,1304.070614995905,2414.7195985996987,966.0470075132783,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies backward grid3,4466.26348098825,65536.0,1808.570373420898,65536.0,1241.9523988093595,65536.0,3435.07044070933,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,644.3264317751682,1491.3496857510963,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,1086.7697249209346,1676.58642438262,1448.937874446404,1086.7697249209346,1955.9732804231985,3621.9467489340564,1448.937874446404,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,8931.554112875032,65536.0,3013.917810920462,65536.0,2069.7664721575957,65536.0,6869.447804173029,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,5724.655352792174,6360.65115931682,10600.623194271158,20603.253899857915,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,1073.8030119774014,2485.5084313703824,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,1862.8443284761663,2414.7195985996987,1811.1060218133737,2794.133846147517,2414.7195985996987,1811.1060218133737,3259.7786040836563,6036.401045713372,2414.7195985996987,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,4219.26523571507,65536.0,2897.5805422242274,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,2607.875942853118,3380.5013190529257,2535.4423137715403,3911.681264714464,3380.5013190529257,2535.4423137715403,4563.583925007532,8450.855341013887,3380.5013190529257,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,6629.960074898007,65536.0,4553.208679676484,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,4097.939167681737,5312.06475692582,3984.1148936492104,6146.776099231232,5312.06475692582,3984.1148936492104,7171.194564597031,13279.763930416846,5312.06475692582,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,9040.654909467647,65536.0,6208.8368159291185,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,5588.002390765619,7243.628193459831,5432.787471740869,8381.87093257496,7243.628193459831,5432.787471740869,9778.805203194423,18108.672519208772,7243.628193459831,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,10848.676034195598,65536.0,7450.557917820432,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,6519.291904838624,10058.192057312433,8692.300770509128,6519.291904838624,11734.513181907203,21730.353960832246,8692.300770509128,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,13259.37086640695,65536.0,9106.186053467487,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,7967.9644820068215,12293.286890062791,10623.864206351685,7967.9644820068215,12386.41584142446,22937.581107860868,9175.19162948914,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,15670.065698076485,65536.0,10761.814188959252,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,9416.637058985098,14528.381722726019,12555.427642058461,9416.637058985098,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,18080.76052947859,65536.0,12417.442324443025,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,10865.309635809857,16763.476555282203,14486.991077609053,10865.309635809857,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies backward fft,2500,65536,2500,65536,2500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,200,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
Channels out,500,65536,500,65536,500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,40,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.285711,9129632914.285711,9129632914.285711,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9012691084.936573,9012691084.936573,9012691084.936573,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],2172059316.6796484,9563013120.0,9129632914.285711,9129632914.285711,4324547694.891061,9129632914.285711,4176303988.8529987,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,518279302.4006185,191958754.35256025,191958754.35256025,637502759.7898726,159717856.55765587,88733912.78821754,3570050.7658022386,301940665.08576727,41204706.33754478,22892280.35432273,22892280.35432273,80027283.72930248,4490292890.902244,1663079436.8938406,1663079436.8938406,693509625.6202189,693509625.6202189,693509625.6202189,281660869.3220735,281660869.3220735,9081506650.686779,5045297899.291234,5045297899.291234,9129632914.285711,5045297899.291234,5045297899.291234,5677961517.734883,3154439281.6288333,3154439281.6288333,7584957365.175866,4213879194.9767995,4213879194.9767995,9129632914.285711,4213879194.9767995,4213879194.9767995
Visibilities pred0 [1/s],3610566.5099345464,423194095.29833394,716090.3327573389,241609545.09431344,593553.7225369944,241609545.09431344,2776629.70880828,2571284.615632879,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.615632879,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.615632879,4282493.162604078,9686144.1489792,329977.4115688298,800110.3533410244,992559.5537826391,11576477.286249842,593553.7225369944,1015950.3430569423,204338.06615205077,17282099.231556825,593553.7225369944,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528559,985969.6387657714,1741758.0563496472,1741758.0563496472,1741758.0563496472,5476886.68607576,5476886.68607576,593553.7225369944,573558.2324082683,830975.2115517922,663639.3355268477,573558.2324082683,830975.2115517922,774193.4141382019,2437794.672649389,830975.2115517922,1043666.7188045931,1988726.4798986902,1988726.4798986902,839706.3426737391,1988726.4798986902,1988726.4798986902
