,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Frequencies backward grid9,,,,,,,,,,65536.0,19888.781652859445,65536.0,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,65536.0,65536.0,65536.0,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,65536.0,65536.0,65536.0,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,65536.0,65536.0,65536.0,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,65536.0,65536.0
Frequencies backward grid10,,,,,,,,,,65536.0,23504.823899465737,65536.0,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,65536.0,65536.0,65536.0,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,65536.0,65536.0,65536.0,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,65536.0,65536.0,65536.0,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,65536.0,65536.0
Frequencies backward grid11,,,,,,,,,,65536.0,27120.86614583087,65536.0,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,65536.0,65536.0,65536.0,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,65536.0,65536.0,65536.0,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,65536.0,65536.0,65536.0,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,65536.0,65536.0
Frequencies backward fft,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536,65536,40,40,40,200,40,40,65536,65536
Channels out,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536,65536,40,40,40,40,40,40,65536,65536
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712,9129.632914285712
Averaged rate0 [M/s],4435.401382381252,2719.917605192887,1958.007175843239,2719.917605192887,1007.4183497319086,1007.4183497319086,1007.4183497319086,4435.401382381252,4435.401382381252,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,4488.503690190815,5546.25011981764,3466.07579815331,3466.07579815331,3466.07579815331,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,4455.668170317135,5546.25011981764,3440.7198242145323,3440.7198242145323,3440.7198242145323,5546.25011981764,5546.25011981764,5546.25011981764,5546.25011981764,4476.452823051936,5546.25011981764,3456.769977138583,3456.769977138583,3456.769977138583,5546.25011981764,5546.25011981764
Averaged rate1 [M/s],1247.7274920441025,765.1429215797205,550.8090863261681,765.1429215797205,283.3979301046619,283.3979301046619,283.3979301046619,1247.7274920441025,1247.7274920441025,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,377.7997615745842,466.83084553976045,291.74145785008557,291.74145785008557,291.74145785008557,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,375.03597826600316,466.83084553976045,289.6072319321039,289.6072319321039,289.6072319321039,466.83084553976045,466.83084553976045,466.83084553976045,466.83084553976045,376.78543362788224,466.83084553976045,290.9581819070797,290.9581819070797,290.9581819070797,466.83084553976045,466.83084553976045
Averaged rate2 [M/s],1411.3137359232257,865.4587817094585,623.0242054937153,865.4587817094585,320.55348146066365,320.55348146066365,320.55348146066365,1411.3137359232257,1411.3137359232257,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,209.9308606669274,259.4024961307024,162.11110108549306,162.11110108549306,162.11110108549306,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,208.3951174831595,259.4024961307024,160.92518216920726,160.92518216920726,160.92518216920726,259.4024961307024,259.4024961307024,259.4024961307024,259.4024961307024,209.36723209828517,259.4024961307024,161.67586049092623,161.67586049092623,161.67586049092623,259.4024961307024,259.4024961307024
Averaged rate3 [M/s],1773.1554376963704,1087.3506760609343,782.759162380701,1087.3506760609343,402.73904678796265,402.73904678796265,402.73904678796265,1773.1554376963704,1773.1554376963704,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,364.53698189859847,450.4426016071987,281.4997820435944,281.4997820435944,281.4997820435944,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,361.8702220739421,450.4426016071987,279.4404787989648,279.4404787989648,279.4404787989648,450.4426016071987,450.4426016071987,450.4426016071987,450.4426016071987,363.55826225408344,450.4426016071987,280.74400324938046,280.74400324938046,280.74400324938046,450.4426016071987,450.4426016071987
Averaged rate4 [M/s],658.1323697328254,403.585981213404,290.53242119425886,403.585981213404,149.48244108302953,149.48244108302953,149.48244108302953,658.1323697328254,658.1323697328254,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,462.68155369504916,571.71560941938,357.28818470598276,357.28818470598276,357.28818470598276,571.71560941938,571.71560941938,571.71560941938,571.71560941938,459.29682007329893,571.71560941938,354.6744536661524,354.6744536661524,354.6744536661524,571.71560941938,571.71560941938,571.71560941938,571.71560941938,461.43933260845984,571.71560941938,356.32892700615923,356.32892700615923,356.32892700615923,571.71560941938,571.71560941938
Averaged rate5 [M/s],,,,,,,,,,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,341.04291441709336,421.4119972948823,263.3573844165661,263.3573844165661,263.3573844165661,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,338.5480247685468,421.4119972948823,261.43080133970176,261.43080133970176,261.43080133970176,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,340.12727233813547,421.4119972948823,262.6503148586548,262.6503148586548,262.6503148586548,421.4119972948823,421.4119972948823
Averaged rate6 [M/s],,,,,,,,,,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,417.9670387319669,516.4638148149648,322.7591057885686,322.7591057885686,322.7591057885686,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,414.9094128606059,516.4638148149648,320.39797119386685,320.39797119386685,320.39797119386685,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,416.8448684944338,516.4638148149648,321.8925527631148,321.8925527631148,321.8925527631148,516.4638148149648,516.4638148149648
Averaged rate7 [M/s],,,,,,,,,,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,402.0517023893986,496.7979211921493,310.46909425599466,310.46909425599466,310.46909425599466,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,399.11050470409765,496.7979211921493,308.19786687344714,308.19786687344714,308.19786687344714,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,400.9722621164535,496.7979211921493,309.63553781060756,309.63553781060756,309.63553781060756,496.7979211921493,496.7979211921493
Averaged rate8 [M/s],,,,,,,,,,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,135.28035635198177,167.16009263083734,104.4650960501329,104.4650960501329,104.4650960501329,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,134.29071678919794,167.16009263083734,103.70088476128272,103.70088476128272,103.70088476128272,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,134.91715165985673,167.16009263083734,104.18462512487304,104.18462512487304,104.18462512487304,167.16009263083734,167.16009263083734
Averaged rate9 [M/s],,,,,,,,,,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,102.69181106492123,126.8918349488751,79.29983477088868,79.29983477088868,79.29983477088868,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,101.94057206951715,126.8918349488751,78.71971919901593,78.71971919901593,78.71971919901593,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,102.41610106069449,126.8918349488751,79.0869282703244,79.0869282703244,79.0869282703244,126.8918349488751,126.8918349488751
Averaged rate10 [M/s],,,,,,,,,,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,7.9576680250070755,9.832946630659498,6.145005653330078,6.145005653330078,6.145005653330078,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,7.899453933047143,9.832946630659498,6.100052048079294,6.100052048079294,6.100052048079294,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,7.936303043105816,9.832946630659498,6.128507363599991,6.128507363599991,6.128507363599991,9.832946630659498,9.832946630659498
Averaged rate11 [M/s],,,,,,,,,,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,3.410429144170934,4.214119972948823,2.633573844165661,2.633573844165661,2.633573844165661,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,3.385480247685468,4.214119972948823,2.614308013397018,2.614308013397018,2.614308013397018,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,3.4012727233813553,4.214119972948823,2.626503148586548,2.626503148586548,2.626503148586548,4.214119972948823,4.214119972948823
Predict rate0 [M/s],(undefined),15.459688619362629,11.019345271727362,15.459688619362629,5.6722821272535455,5.6722821272535455,5.6722821272535455,399.1861244143127,(undefined),(undefined),1.0717285950048603,8.601578819153007,1.0717285950048603,1.190737264289707,1.190737264289707,1.190737264289707,77.64750167744695,(undefined),(undefined),1.117803348737602,4.534608225205083,1.117803348737602,2.687468401153148,2.687468401153148,2.687468401153148,241.14130955728865,(undefined),(undefined),1.1096263509827846,4.501435949021826,1.1096263509827846,2.6678087054886905,2.6678087054886905,2.6678087054886905,241.14130955728865,(undefined),(undefined),0.7470218999413856,4.522433766921771,0.7470218999413856,0.6456240699422303,0.6456240699422303,2.680253154940879,94.00423931894304,(undefined)
Predict rate1 [M/s],,19.131814487897636,8.608417821859472,19.131814487897636,3.189685185469382,3.189685185469382,3.189685185469382,155.96593650551281,,,0.13528457471395905,1.654762845252495,0.13528457471395905,0.15560052693533985,0.15560052693533985,0.15560052693533985,9.153545990975696,,,0.21487620967692705,0.8587308822365657,0.21487620967692705,0.521041578499259,0.521041578499259,0.521041578499259,31.122056369317363,,,0.21330432204810135,0.8524489256584808,0.21330432204810135,0.5172299651049991,0.5172299651049991,0.5172299651049991,31.122056369317363,,,0.1086411081545704,0.8564253600119877,0.1086411081545704,0.08149841797895556,0.08149841797895556,0.5196426896073655,11.970021680506678,
Predict rate2 [M/s],,108.19020459471695,38.942941222140824,108.19020459471695,11.450583292778465,11.450583292778465,11.450583292778465,352.82843398080644,,,0.12342457456744424,1.6090746457968639,0.12342457456744424,0.15295743466091594,0.15295743466091594,0.15295743466091594,6.826381477123747,,,0.21225363469805741,0.87478327613175,0.21225363469805741,0.5146927826506861,0.5146927826506861,0.5146927826506861,23.582045102791128,,,0.2107009236521851,0.8683838726352667,0.2107009236521851,0.5109275998863918,0.5109275998863918,0.5109275998863918,23.582045102791128,,,0.10847908013141597,0.8724346500371736,0.10847908013141597,0.07986192481774892,0.07986192481774892,0.5133109341065287,8.944913659679393,
Predict rate3 [M/s],,543.6884999477014,195.6963714917989,543.6884999477014,67.12756158986784,67.12756158986784,67.12756158986784,886.5777188481852,,,0.4906351277077332,6.705644343106994,0.4906351277077332,0.6092731160696977,0.6092731160696977,0.6092731160696977,18.017704064287948,,,0.8292351069189345,3.314146357690198,0.8292351069189345,2.010849281239181,2.010849281239181,2.010849281239181,64.34894308674266,,,0.823168923570257,3.289901933154434,0.823168923570257,1.9961390661090836,1.9961390661090836,1.9961390661090836,64.34894308674266,,,0.41924056646524505,3.305248483263098,0.41924056646524505,0.3119942852806883,0.3119942852806883,2.005450528797705,23.7075053477473,
Predict rate4 [M/s],,403.585981213404,290.5324211942588,403.585981213404,149.48244108302953,149.48244108302953,149.48244108302953,658.1323697328254,,,1.7146226829641156,23.641162360761047,1.7146226829641156,2.1908801415281522,2.1908801415281522,2.1908801415281522,38.114373961292,,,2.9684252934473507,12.852639834738813,2.9684252934473507,7.443784687740935,7.443784687740935,7.443784687740935,142.928902354845,,,2.9467099924935347,12.758616971266541,2.9467099924935347,7.389330093914652,7.389330093914652,7.389330093914652,142.928902354845,,,1.5272618605221664,12.818132781815976,1.5272618605221664,1.1313224733445848,1.1313224733445848,7.4237994684689275,51.97414631085273,
Predict rate5 [M/s],,,,,,,,,,,2.543409110469399,36.59407502990215,2.543409110469399,3.229697823021849,3.229697823021849,3.229697823021849,42.141199729488235,,,4.4245914794127605,19.894550903477604,4.4245914794127605,10.241929990535235,10.241929990535235,10.241929990535235,140.47066576496078,,,4.392223639887605,19.749013146077576,4.392223639887605,10.167005630081682,10.167005630081682,10.167005630081682,140.47066576496078,,,2.1821540244244537,19.841137521570214,2.1821540244244537,1.6343884512295386,1.6343884512295386,10.214432222692423,52.67649966186029,
Predict rate6 [M/s],,,,,,,,,,,7.837005411811353,140.9498465748362,7.837005411811353,9.675261882281491,9.675261882281491,9.675261882281491,86.07730246916081,,,12.781570062529823,51.085374457291074,12.781570062529823,39.44884931916454,39.44884931916454,39.44884931916454,258.2319074074824,,,12.688067078739861,50.711661216134836,12.688067078739861,39.16026278976967,39.16026278976967,39.16026278976967,258.2319074074824,,,6.828972739133794,50.94821906574513,6.828972739133794,5.2458867748754825,5.2458867748754825,39.34293603029962,103.29276296299297,
Predict rate7 [M/s],,,,,,,,,,,14.685345034752915,184.88482820720122,14.685345034752915,19.03648126860992,19.03648126860992,19.03648126860992,99.35958423842986,,,25.14839256566042,100.51351129636362,25.14839256566042,77.61785926257684,77.61785926257684,77.61785926257684,496.7979211921493,,,24.964420519997716,99.77820798801197,24.964420519997716,77.05004852991503,77.05004852991503,77.05004852991503,496.7979211921493,,,11.943384397875473,100.2436498021498,11.943384397875473,8.846996745449673,8.846996745449673,77.40946872411449,165.59930706404978,
Predict rate8 [M/s],,,,,,,,,,,6.917705857481851,149.30162475864637,6.917705857481851,9.223576675243006,9.223576675243006,9.223576675243006,41.790023157709335,,,13.538837049128908,81.16852912802788,13.538837049128908,31.33968647346526,31.33968647346526,31.33968647346526,167.16009263083734,,,13.439794200199483,80.57474329773919,13.439794200199483,31.110422040683428,31.110422040683428,31.110422040683428,167.16009263083734,,,5.786825346312797,80.95060554537238,5.786825346312797,4.167484611517706,4.167484611517706,31.25554481185879,55.72003087694578,
Predict rate9 [M/s],,,,,,,,,,,7.701794430019702,126.8918349488751,7.701794430019702,10.696907165112234,10.696907165112234,10.696907165112234,42.2972783162917,,,12.561198506907317,75.30748768682426,12.561198506907317,58.15337173785894,58.15337173785894,58.15337173785894,126.8918349488751,,,12.469307505656115,74.756578030992,12.469307505656115,57.72795259286229,57.72795259286229,57.72795259286229,126.8918349488751,,,6.711189350070722,75.10529996198186,6.711189350070722,5.799813531732173,5.799813531732173,57.997239915038115,63.44591747443755,
Predict rate10 [M/s],,,,,,,,,,,0.881659236780153,9.832946630659498,0.881659236780153,0.9796190848644963,0.9796190848644963,0.9796190848644963,4.916473315329749,,,1.7255277517937027,6.89665180435938,1.7255277517937027,5.3256777489593485,5.3256777489593485,5.3256777489593485,9.832946630659498,,,1.7129047119759226,6.846199550226171,1.7129047119759226,5.28671791670463,5.28671791670463,5.28671791670463,9.832946630659498,,,0.819478218411095,6.878135471685096,0.819478218411095,0.5311448601630882,0.5311448601630882,5.3113792160257995,4.916473315329749,
Predict rate11 [M/s],,,,,,,,,,,0.5813119695476148,4.214119972948823,0.5813119695476148,0.6459008801904713,0.6459008801904713,0.6459008801904713,2.1070599864744115,,,0.8532814231462235,3.4104291441709345,0.8532814231462235,2.633573844165661,2.633573844165661,2.633573844165661,4.214119972948823,,,0.8470392707630088,3.385480247685468,0.8470392707630088,2.614308013397019,2.614308013397019,2.614308013397019,4.214119972948823,,,0.4052354638786956,3.4012727233813553,0.4052354638786956,0.3502043847032071,0.3502043847032071,2.626503148586548,4.214119972948823,
Backward rate0 [M/s],(undefined),15.459688619362629,11.019345271727362,15.459688619362629,5.6722821272535455,5.6722821272535455,5.6722821272535455,399.1861244143127,(undefined),(undefined),1.0717285950048603,8.601578819153007,1.0717285950048603,1.190737264289707,1.190737264289707,1.190737264289707,77.64750167744695,(undefined),(undefined),1.117803348737602,4.534608225205083,1.117803348737602,2.687468401153148,2.687468401153148,2.687468401153148,241.14130955728865,(undefined),(undefined),1.1096263509827846,4.501435949021826,1.1096263509827846,2.6678087054886905,2.6678087054886905,2.6678087054886905,241.14130955728865,(undefined),(undefined),0.7470218999413856,4.522433766921771,0.7470218999413856,0.6456240699422303,0.6456240699422303,2.680253154940879,94.00423931894304,(undefined)
Backward rate1 [M/s],,19.131814487897636,8.608417821859472,19.131814487897636,3.189685185469382,3.189685185469382,3.189685185469382,155.96593650551281,,,0.13528457471395905,1.654762845252495,0.13528457471395905,0.15560052693533985,0.15560052693533985,0.15560052693533985,9.153545990975696,,,0.21487620967692705,0.8587308822365657,0.21487620967692705,0.521041578499259,0.521041578499259,0.521041578499259,31.122056369317363,,,0.21330432204810135,0.8524489256584808,0.21330432204810135,0.5172299651049991,0.5172299651049991,0.5172299651049991,31.122056369317363,,,0.1086411081545704,0.8564253600119877,0.1086411081545704,0.08149841797895556,0.08149841797895556,0.5196426896073655,11.970021680506678,
Backward rate2 [M/s],,108.19020459471695,38.942941222140824,108.19020459471695,11.450583292778465,11.450583292778465,11.450583292778465,352.82843398080644,,,0.12342457456744424,1.6090746457968639,0.12342457456744424,0.15295743466091594,0.15295743466091594,0.15295743466091594,6.826381477123747,,,0.21225363469805741,0.87478327613175,0.21225363469805741,0.5146927826506861,0.5146927826506861,0.5146927826506861,23.582045102791128,,,0.2107009236521851,0.8683838726352667,0.2107009236521851,0.5109275998863918,0.5109275998863918,0.5109275998863918,23.582045102791128,,,0.10847908013141597,0.8724346500371736,0.10847908013141597,0.07986192481774892,0.07986192481774892,0.5133109341065287,8.944913659679393,
Backward rate3 [M/s],,543.6884999477014,195.6963714917989,543.6884999477014,67.12756158986784,67.12756158986784,67.12756158986784,886.5777188481852,,,0.4906351277077332,6.705644343106994,0.4906351277077332,0.6092731160696977,0.6092731160696977,0.6092731160696977,18.017704064287948,,,0.8292351069189345,3.314146357690198,0.8292351069189345,2.010849281239181,2.010849281239181,2.010849281239181,64.34894308674266,,,0.823168923570257,3.289901933154434,0.823168923570257,1.9961390661090836,1.9961390661090836,1.9961390661090836,64.34894308674266,,,0.41924056646524505,3.305248483263098,0.41924056646524505,0.3119942852806883,0.3119942852806883,2.005450528797705,23.7075053477473,
Backward rate4 [M/s],,403.585981213404,290.5324211942588,403.585981213404,149.48244108302953,149.48244108302953,149.48244108302953,658.1323697328254,,,1.7146226829641156,23.641162360761047,1.7146226829641156,2.1908801415281522,2.1908801415281522,2.1908801415281522,38.114373961292,,,2.9684252934473507,12.852639834738813,2.9684252934473507,7.443784687740935,7.443784687740935,7.443784687740935,142.928902354845,,,2.9467099924935347,12.758616971266541,2.9467099924935347,7.389330093914652,7.389330093914652,7.389330093914652,142.928902354845,,,1.5272618605221664,12.818132781815976,1.5272618605221664,1.1313224733445848,1.1313224733445848,7.4237994684689275,51.97414631085273,
Backward rate5 [M/s],,,,,,,,,,,2.543409110469399,36.59407502990215,2.543409110469399,3.229697823021849,3.229697823021849,3.229697823021849,42.141199729488235,,,4.4245914794127605,19.894550903477604,4.4245914794127605,10.241929990535235,10.241929990535235,10.241929990535235,140.47066576496078,,,4.392223639887605,19.749013146077576,4.392223639887605,10.167005630081682,10.167005630081682,10.167005630081682,140.47066576496078,,,2.1821540244244537,19.841137521570214,2.1821540244244537,1.6343884512295386,1.6343884512295386,10.214432222692423,52.67649966186029,
Backward rate6 [M/s],,,,,,,,,,,7.837005411811353,140.9498465748362,7.837005411811353,9.675261882281491,9.675261882281491,9.675261882281491,86.07730246916081,,,12.781570062529823,51.085374457291074,12.781570062529823,39.44884931916454,39.44884931916454,39.44884931916454,258.2319074074824,,,12.688067078739861,50.711661216134836,12.688067078739861,39.16026278976967,39.16026278976967,39.16026278976967,258.2319074074824,,,6.828972739133794,50.94821906574513,6.828972739133794,5.2458867748754825,5.2458867748754825,39.34293603029962,103.29276296299297,
Backward rate7 [M/s],,,,,,,,,,,14.685345034752915,184.88482820720122,14.685345034752915,19.03648126860992,19.03648126860992,19.03648126860992,99.35958423842986,,,25.14839256566042,100.51351129636362,25.14839256566042,77.61785926257684,77.61785926257684,77.61785926257684,496.7979211921493,,,24.964420519997716,99.77820798801197,24.964420519997716,77.05004852991503,77.05004852991503,77.05004852991503,496.7979211921493,,,11.943384397875473,100.2436498021498,11.943384397875473,8.846996745449673,8.846996745449673,77.40946872411449,165.59930706404978,
Backward rate8 [M/s],,,,,,,,,,,6.917705857481851,149.30162475864637,6.917705857481851,9.223576675243006,9.223576675243006,9.223576675243006,41.790023157709335,,,13.538837049128908,81.16852912802788,13.538837049128908,31.33968647346526,31.33968647346526,31.33968647346526,167.16009263083734,,,13.439794200199483,80.57474329773919,13.439794200199483,31.110422040683428,31.110422040683428,31.110422040683428,167.16009263083734,,,5.786825346312797,80.95060554537238,5.786825346312797,4.167484611517706,4.167484611517706,31.25554481185879,55.72003087694578,
Backward rate9 [M/s],,,,,,,,,,,7.701794430019702,126.8918349488751,7.701794430019702,10.696907165112234,10.696907165112234,10.696907165112234,42.2972783162917,,,12.561198506907317,75.30748768682426,12.561198506907317,58.15337173785894,58.15337173785894,58.15337173785894,126.8918349488751,,,12.469307505656115,74.756578030992,12.469307505656115,57.72795259286229,57.72795259286229,57.72795259286229,126.8918349488751,,,6.711189350070722,75.10529996198186,6.711189350070722,5.799813531732173,5.799813531732173,57.997239915038115,63.44591747443755,
Backward rate10 [M/s],,,,,,,,,,,0.881659236780153,9.832946630659498,0.881659236780153,0.9796190848644963,0.9796190848644963,0.9796190848644963,4.916473315329749,,,1.7255277517937027,6.89665180435938,1.7255277517937027,5.3256777489593485,5.3256777489593485,5.3256777489593485,9.832946630659498,,,1.7129047119759226,6.846199550226171,1.7129047119759226,5.28671791670463,5.28671791670463,5.28671791670463,9.832946630659498,,,0.819478218411095,6.878135471685096,0.819478218411095,0.5311448601630882,0.5311448601630882,5.3113792160257995,4.916473315329749,
Backward rate11 [M/s],,,,,,,,,,,0.5813119695476148,4.214119972948823,0.5813119695476148,0.6459008801904713,0.6459008801904713,0.6459008801904713,2.1070599864744115,,,0.8532814231462235,3.4104291441709345,0.8532814231462235,2.633573844165661,2.633573844165661,2.633573844165661,4.214119972948823,,,0.8470392707630088,3.385480247685468,0.8470392707630088,2.614308013397019,2.614308013397019,2.614308013397019,4.214119972948823,,,0.4052354638786956,3.4012727233813553,0.4052354638786956,0.3502043847032071,0.3502043847032071,2.626503148586548,4.214119972948823,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055
