,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Visibilities bw0 [1/s],6239527.133629211,449439133.47775793,966493.8398859241,77798273.52036893,910017.139440559,241609545.09431344,3555759.6775378473,3555759.6775378473,4443512.166704771,10286845.401254835,3555759.6775378473,3555759.6775378473,4443512.166704771,10286845.401254835,3555759.6775378473,3555759.6775378473,4443512.166704771,10286845.401254835,175835.9642785972,200941.20725033223,538410.4182214881,3445826.676617524,576718.9332988886,227578.19328643297,96888.78079421331,4844439.039710666,757829.1067674063,199503.31085180226,454697.4640604438,2368215.958648145,328092.86325519596,328092.86325519596,794938.021254903,715347.762202756,715347.762202756,12415930.725244109,593553.7225369944,663639.3355268477,830975.2115517922,580723.7747906798,663639.3355268477,830975.2115517922,580723.7747906798,663639.3355268477,830975.2115517922,886729.8978634685,886729.8978634685,1695867.7786771269,886729.8978634685,886729.8978634685,1695867.7786771269
Visibilities bw1 [1/s],1363971.2347541675,83737689.6679494,119319.03423504463,6404525.888544086,168538.52967044868,30497742.32640041,777230.7524093664,777230.7524093664,971359.1938680134,1552448.9280175555,777230.7524093664,777230.7524093664,971359.1938680134,1552448.9280175555,777230.7524093664,777230.7524093664,971359.1938680134,1552448.9280175555,31012.46010821484,40504.16421134394,84425.02105895345,283668.0707580837,94953.55543485706,56195.14189960744,12660.474057980942,712151.6657614281,62386.16763279914,24631.269328956638,48272.739004932875,389913.5477049946,64814.75726063558,64814.75726063558,104705.68883422992,147205.36018859048,147205.36018859048,2555195.647868992,76817.93318428272,100329.09254755681,136552.87053263088,76817.93318428272,100329.09254755681,136552.87053263088,76817.93318428272,100329.09254755681,136552.87053263088,164225.59642171356,164225.59642171356,256590.66469188116,164225.59642171356,164225.59642171356,256590.66469188116
Visibilities bw2 [1/s],1493459.4288740677,93913314.25963916,109254.86755718736,3592303.1625583977,180053.23604583094,23326643.91271687,850967.0681152543,850967.0681152543,1063574.7927338118,1160732.796482967,850967.0681152543,850967.0681152543,1063574.7927338118,1160732.796482967,850967.0681152543,850967.0681152543,1063574.7927338118,1160732.796482967,23191.03192560209,30289.258198177817,47354.05483981597,202043.96731654817,57196.17175584191,42023.13223708659,7101.268975947933,399446.37989707117,36099.492222031746,18419.410108257478,36099.492222031746,218702.7884531558,60587.50429937519,60587.50429937519,94664.62968092308,165125.5566295402,165125.5566295402,2866382.0228783796,82063.50319526755,107181.35015042906,145880.78072837563,82063.50319526755,107181.35015042906,145880.78072837563,82063.50319526755,107181.35015042906,145880.78072837563,175445.61241030757,175445.61241030757,274124.29006805224,175445.61241030757,175445.61241030757,274124.29006805224
Visibilities bw3 [1/s],3726323.605832856,217907711.28810063,411094.9789395985,9853013.835914573,677526.3510628038,65686758.90609715,1910844.5255262067,1910844.5255262067,2653720.3179527414,1795504.2128841297,1910844.5255262067,1910844.5255262067,2653720.3179527414,1795504.2128841297,1910844.5255262067,1910844.5255262067,2653720.3179527414,1795504.2128841297,124661.22037091134,162818.9862146525,221609.51506516803,543085.3346839837,153730.15737976535,112947.21292125837,12725.266649317751,1431592.498048247,97028.13823066547,49506.4851127975,97028.13823066547,391909.0108320021,260555.14381437245,260555.14381437245,407107.81898730947,887648.7689074425,887648.7689074425,15409202.984835936,308788.4252659107,403306.37784542225,548932.3834750283,308788.4252659107,403306.37784542225,548932.3834750283,308788.4252659107,403306.37784542225,548932.3834750283,660188.1199401233,660188.1199401233,1031520.1552463342,660188.1199401233,660188.1199401233,1031520.1552463342
Visibilities bw4 [1/s],6611483.857968451,352259039.839726,1602279.6558738004,24196072.185178738,2640836.096905623,161307147.9011916,3013555.879861242,3013555.879861242,4708401.684655199,1612513.9152819482,3013555.879861242,3013555.879861242,4708401.684655199,1612513.9152819482,3013555.879861242,3013555.879861242,4708401.684655199,1612513.9152819482,291531.26885231904,380770.1569657504,518263.17148925515,1524178.3947889772,359518.70192408515,264139.84831147717,17856.84058850985,2008894.5662073581,226915.2636961649,115776.36758423167,226915.2636961649,549949.7122131303,1015580.6388430484,1015580.6388430484,1586822.311269336,2075904.521204045,2075904.521204045,36038092.27290991,1203551.912382536,1571964.8492474987,2139589.8006757093,1203551.912382536,1571964.8492474987,2139589.8006757093,1203551.912382536,1571964.8492474987,2139589.8006757093,2573255.4928009044,2573255.4928009044,4020656.0850913525,2573255.4928009044,2573255.4928009044,4020656.0850913525
Visibilities bw5 [1/s],27528887.98418042,503373794.50238633,1770229.8133468358,16973538.792926878,2917702.2572395233,113156925.2861792,12547606.30165176,12547606.30165176,19604836.347430743,3136763.779053475,12547606.30165176,12547606.30165176,19604836.347430743,3136763.779053475,12547606.30165176,12547606.30165176,19604836.347430743,3136763.779053475,214727.6382724964,280457.7592805802,381730.32108614506,801908.0818147864,264806.1077260242,194553.3512831866,9394.927019410286,1056929.289683657,167136.67672505046,85275.53714335068,167136.67672505046,289342.1927007979,1122053.9122688351,1122053.9122688351,1753191.5307690816,1529028.2741393375,1529028.2741393375,26544621.287787545,1329717.6903164764,1736757.298728626,2363896.7524991715,1329717.6903164764,1736757.298728626,2363896.7524991715,1329717.6903164764,1736757.298728626,2363896.7524991715,2843036.33025094,2843036.33025094,4442200.368993478,2843036.33025094,2843036.33025094,4442200.368993478
Visibilities bw6 [1/s],23158840.51575138,580268544.376171,8494712.317019073,38875256.74824015,14001270.428434782,259168378.32160106,10555612.775649361,10555612.775649361,16492684.7059426,5277348.9325497905,10555612.775649361,10555612.775649361,16492684.7059426,5277348.9325497905,10555612.775649361,10555612.775649361,16492684.7059426,5277348.9325497905,93675.30926197277,122350.34425303122,166530.94288137948,306107.6709789143,635364.404208973,466801.27741207165,14345.081657839091,1613821.6865068977,401021.8595397964,204605.6196601834,401021.8595397964,441795.5959397856,5384433.329880977,5384433.329880977,8413123.003386792,2501392.4857556256,2501392.4857556256,43425797.99636122,6380892.971258871,8334176.166000288,11343669.836030837,6380892.971258871,8334176.166000288,11343669.836030837,6380892.971258871,8334176.166000288,11343669.836030837,13642968.023711385,13642968.023711385,21317003.483198933,13642968.023711385,13642968.023711385,21317003.483198933
Visibilities bw7 [1/s],3510480.815960501,51678117.2427348,11070779.20328356,74308982.27029818,18247376.51405972,495393215.1353213,1600030.4074876886,1600030.4074876886,2500006.5203597196,799915.1628601787,1600030.4074876886,1600030.4074876886,2500006.5203597196,799915.1628601787,1600030.4074876886,1600030.4074876886,2500006.5203597196,799915.1628601787,671444.5187719316,876984.6300072705,1193667.9038523843,1170232.7597671303,828047.2619186465,608364.063182553,13710.114192706911,1542387.8466795273,522637.95499143883,266654.5315509715,522637.95499143883,422240.0551383048,7017346.205381783,7017346.205381783,10964551.764602104,4781287.055020471,4781287.055020471,83006984.12661135,8315959.557401557,10861612.34864398,14783794.402442912,8315959.557401557,10861612.34864398,14783794.402442912,8315959.557401557,10861612.34864398,14783794.402442912,17780412.857907638,17780412.857907638,27781766.969815783,17780412.857907638,17780412.857907638,27781766.969815783
Visibilities bw8 [1/s],,,4206445.974043107,23528836.456981257,6933286.594303345,156858909.7132084,,,,,,,,,,,,,255121.92916560505,333219.1714536517,453546.53710269614,370536.83659678197,314625.199259751,231154.09721776962,4341.104194824603,488374.22191776783,198581.88270719638,101318.08302313204,198581.88270719638,133696.04722613643,2666315.769385217,2666315.769385217,4166102.0255210344,1816701.2440399986,1816701.2440399986,31539486.163960192,3159731.167221197,4126980.258953197,5617257.518704943,3159731.167221197,4126980.258953197,5617257.518704943,3159731.167221197,4126980.258953197,5617257.518704943,6755858.67129279,6755858.67129279,10555988.606277755,6755858.67129279,6755858.67129279,10555988.606277755
Visibilities bw9 [1/s],,,4496611.265768006,20578952.548825152,7411577.081814415,137193016.99216768,,,,,,,,,,,,,272720.8250511913,356205.6483619562,484833.90933513216,327245.08108482166,336329.2746645147,247099.83700618026,3796.846367568446,427145.2163514502,212280.97000595933,108307.31349168914,212280.97000595933,116934.15511058134,2850250.436500511,2850250.436500511,4453501.994461383,1942025.6824084986,1942025.6824084986,33715316.08514758,3377697.435112968,4411672.844232989,6004758.413506472,3377697.435112968,4411672.844232989,6004758.413506472,3377697.435112968,4411672.844232989,6004758.413506472,7221909.285073025,7221909.285073025,11284197.776350716,7221909.285073025,7221909.285073025,11284197.776350716
Visibilities bw10 [1/s],,,380877.7793176899,1474941.9947464184,627786.4308853538,9832946.63164279,,,,,,,,,,,,,23100.36960097025,30171.829355075333,41067.1006202226,27718.744987654005,28488.248620520924,20930.19760979277,272.1289211314502,30614.50362728815,17980.937533533055,9173.997615423203,17980.937533533055,8380.946288864168,241426.13938593873,241426.13938593873,377227.31697600306,164496.34349980837,164496.34349980837,2855810.085559154,286102.3589086487,373683.7388140856,508623.76203953335,286102.3589086487,373683.7388140856,508623.76203953335,286102.3589086487,373683.7388140856,508623.76203953335,611720.9029981366,611720.9029981366,955811.3678839239,611720.9029981366,611720.9029981366,955811.3678839239
Visibilities bw11 [1/s],,,188345.5020061393,632117.9960055351,310443.2894066242,4214119.9733702345,,,,,,,,,,,,,11423.226561860236,14920.097526255668,20307.86271143068,13707.027526891297,14087.565404889341,10350.071952399601,116.62668016333417,13120.501518375095,8891.656262431085,4536.5807008542215,8891.656262431085,3591.8341138952164,119386.33567811208,119386.33567811208,186540.70986155552,81344.19949054305,81344.19949054305,1278001.183171494,141478.79438607697,184788.21160384273,251516.71934377603,141478.79438607697,184788.21160384273,251516.71934377603,141478.79438607697,184788.21160384273,251516.71934377603,302498.81024768576,302498.81024768576,472653.30112687306,302498.81024768576,302498.81024768576,472653.30112687306
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.13733959037942622,0.13733959037942622,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,0.12556762548976114,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.28835021870166083,0.28835021870166083,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,0.2636344856700899,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],0.618685968156549,0.618685968156549,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,0.5656557423145592,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],1.304239900142148,1.304239900142148,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,1.1924479087013926,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],2.7937538249569163,2.7937538249569163,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,2.554289211389181,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,57.94386564902744,57.94386564902744,57.94386564902744,58.017433327854576,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],5.93082802536461,5.93082802536461,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,5.422471337476216,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,106.77519174299415,106.77519174299415,106.77519174299415,107.96158276236076,113.56997667209377,113.56997667209377,113.56997667209377,113.71416932259497,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],12.635699922871826,12.635699922871826,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,11.552639929482813,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,263.6693510388223,263.6693510388223,263.6693510388223,266.59901049480925,280.4483097412928,280.4483097412928,280.4483097412928,280.80437730681615,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],36.608637169026565,36.608637169026565,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,33.47075398311001,317.21192497715253,317.21192497715253,317.21192497715253,317.21192497715253,490.29424779946294,490.29424779946294,490.29424779946294,495.74196166390146,521.4947908412469,521.4947908412469,521.4947908412469,522.1568999506912,4011.4983910865153,4011.4983910865153,4011.4983910865153,441.2648230195167,441.2648230195167,441.2648230195167,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,456.78517196709964,456.78517196709964,456.78517196709964,456.78517196709964,706.0237168312267,706.0237168312267,706.0237168312267,713.8684247960181,750.9524988113956,750.9524988113956,750.9524988113956,751.9059359289954,5776.557683164582,5776.557683164582,5776.557683164582,635.421345148104,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,682.358096395297,682.358096395297,682.358096395297,682.358096395297,1054.6774041552892,1054.6774041552892,1054.6774041552892,1066.396041979237,1121.7932389651712,1121.7932389651712,1121.7932389651712,1123.2175092272646,8629.178761270548,8629.178761270548,8629.178761270548,949.2096637397603,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,953.0456057091338,953.0456057091338,953.0456057091338,953.0456057091338,1473.0618289441643,1473.0618289441643,1473.0618289441643,1489.4291825990995,1566.8021271497018,1566.8021271497018,1566.8021271497018,1568.7913971851879,12052.324054997707,12052.324054997707,12052.324054997707,1325.7556460497478,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,1268.8476999086101,1268.8476999086101,1268.8476999086101,1268.8476999086101,1961.1769911978517,1961.1769911978517,1961.1769911978517,1982.9678466556059,2085.9791633649875,2085.9791633649875,2085.9791633649875,2088.627599802765,16045.993564346061,16045.993564346061,16045.993564346061,1765.0592920780668,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.9507325324561349,3.822776975132372,50.40463126371592,340.22024616774627,3763.6587183567417,8948.19540939488,3.2129504080011406,2.6219683260364777,1.700955602014594,36.47950025207413,3.2129504080011406,2.6219683260364777,1.700955602014594,36.47950025207413,3.2129504080011406,2.6219683260364777,1.700955602014594,36.47950025207413,372.696016636327,257.5484621882955,170.69328011623006,1794.9699792911633,527.2346792377325,515.3930056366487,789.6141660243086,2185.2508728240928,493.89824322808363,614.4036980713537,333.4204897154344,2826.429748072042,8998.174341011258,5850.740141913139,4464.301328491087,161.55918580312326,161.5591847067903,26.860001596560068,323.1586103684692,227.95519777229887,148.68522106751112,323.15975253742727,227.95519777229887,148.68522106751112,323.15975253742727,227.95519777229887,148.68522106751112,4258.356077345194,3531.394491914532,2113.4790547282764,4258.356077345194,3531.394491914532,2113.4790547282764
Delta W snapshot1 [lambda],2.8265716286609304,5.539125821110172,75.60694689557388,510.33036925161946,5645.488077535112,13422.293114092321,4.655499570777163,3.799178594869182,2.4646499539395137,52.858051385658435,4.655499570777163,3.799178594869182,2.4646499539395137,52.858051385658435,4.655499570777163,3.799178594869182,2.4646499539395137,52.858051385658435,559.0440249544904,386.32269328244325,256.03992017434507,2692.454968936745,790.8520188565989,773.0895084549732,1184.421249036463,3277.876309236139,740.8473648421254,921.6055471070306,500.13073457315164,4239.644622108062,13497.261511516886,8776.110212869708,6696.45199273663,242.33877870468487,242.33877706018544,40.2900023948401,484.73791555270384,341.9327966584483,223.02783160126668,484.7396288061409,341.9327966584483,223.02783160126668,484.7396288061409,341.9327966584483,223.02783160126668,6387.534116017791,5297.091737871798,3170.2185820924146,6387.534116017791,5297.091737871798,3170.2185820924146
Delta W snapshot2 [lambda],4.140330272968123,8.113649090076871,100.80926252743184,680.4404923354925,7527.317436713483,17896.39081878976,6.8193233149411965,5.564993998118238,3.6101914818268934,77.42587808603488,6.8193233149411965,5.564993998118238,3.6101914818268934,77.42587808603488,6.8193233149411965,5.564993998118238,3.6101914818268934,77.42587808603488,745.392033272654,515.096924376591,341.3865602324601,3589.9399585823267,1054.469358475465,1030.7860112732974,1579.2283320486172,4370.5017456481855,987.7964864561673,1228.8073961427074,666.8409794308689,5652.859496144084,17996.348682022515,11701.480283826279,8928.602656982173,323.1183716062465,323.1183694135806,53.720003193120135,646.3172207369385,455.91039554459775,297.37044213502224,646.3195050748545,455.91039554459775,297.37044213502224,646.3195050748545,455.91039554459775,297.37044213502224,8516.712154690387,7062.788983829064,4226.958109456553,8516.712154690387,7062.788983829064,4226.958109456553
Delta W snapshot3 [lambda],6.011441069405641,11.780394351938535,151.21389379114777,1020.6607385032389,11290.976155070224,26844.586228184642,9.9011328899627,8.079943208806288,5.241720324575585,112.41641914414681,9.9011328899627,8.079943208806288,5.241720324575585,112.41641914414681,9.9011328899627,8.079943208806288,5.241720324575585,112.41641914414681,1118.0880499089808,772.6453865648865,512.0798403486901,5384.90993787349,1581.7040377131977,1546.1790169099463,2368.842498072926,6555.752618472278,1481.694729684251,1843.2110942140612,1000.2614691463033,8479.289244216125,26994.523023033773,17552.220425739415,13392.90398547326,484.67755740936974,484.67755412037087,80.5800047896802,969.4758311054077,683.8655933168966,446.05566320253337,969.4792576122818,683.8655933168966,446.05566320253337,969.4792576122818,683.8655933168966,446.05566320253337,12775.068232035583,10594.183475743595,6340.437164184829,12775.068232035583,10594.183475743595,6340.437164184829
Delta W snapshot4 [lambda],8.798201830057263,17.24150431641335,252.02315631857962,1701.1012308387315,18818.29359178371,44740.9770469744,14.491062044250043,11.825612246001256,7.671656898882148,164.52999093282415,14.491062044250043,11.825612246001256,7.671656898882148,164.52999093282415,14.491062044250043,11.825612246001256,7.671656898882148,164.52999093282415,1863.4800831816349,1287.7423109414774,853.4664005811503,8974.849896455817,2636.173396188663,2576.9650281832437,3948.070830121543,10926.254364120463,2469.491216140418,3072.018490356769,1667.102448577172,14132.14874036021,44990.87170505629,29253.700709565695,22321.50664245543,807.7959290156163,807.7959235339514,134.30000798280034,1615.7930518423461,1139.7759888614944,743.4261053375556,1615.7987626871363,1139.7759888614944,743.4261053375556,1615.7987626871363,1139.7759888614944,743.4261053375556,21291.780386725968,17656.97245957266,10567.395273641381,21291.780386725968,17656.97245957266,10567.395273641381
Delta W snapshot5 [lambda],12.819099498997458,25.12110583658416,352.8324188460115,2381.541723174224,26345.61102849719,62637.36786576417,21.11367410972178,17.230077571096853,11.177708241810189,239.7224302279157,21.11367410972178,17.230077571096853,11.177708241810189,239.7224302279157,21.11367410972178,17.230077571096853,11.177708241810189,239.7224302279157,2608.872116454289,1802.8392353180684,1194.8529608136105,12564.789855038143,3690.642754664128,3607.751039456541,5527.29916217016,15296.756109768648,3457.2877025965854,4300.825886499476,2333.943428008041,19785.008236504294,62987.22038707881,40955.18099339197,31250.109299437605,1130.9143006218626,1130.914292947532,188.02001117592047,2262.110272579285,1595.6863844060922,1040.796547472578,2262.118267761991,1595.6863844060922,1040.796547472578,2262.118267761991,1595.6863844060922,1040.796547472578,29808.49254141636,24719.761443401723,14794.353383097934,29808.49254141636,24719.761443401723,14794.353383097934
Delta W snapshot6 [lambda],18.711107964375174,36.66745261861663,554.4509439008751,3742.422707845209,41400.24590192416,98430.1495033437,30.818095750215026,25.149492106880498,16.315288427486923,349.9054105811192,30.818095750215026,25.149492106880498,16.315288427486923,349.9054105811192,30.818095750215026,25.149492106880498,16.315288427486923,349.9054105811192,2981.568133090616,2060.387697506364,1365.5462409298405,14359.759834329307,5799.581471615058,5669.323062003136,8685.755826267396,24037.75960106502,5432.88067550892,6758.440678784891,3667.6253868697786,31090.72722879246,98979.91775112384,64358.141561044526,49107.314613401955,1615.5918580312325,1615.5918470679028,268.6000159656007,3554.7447140531617,2507.507175495288,1635.5374317426224,3554.7572779117,2507.507175495288,1635.5374317426224,3554.7572779117,2507.507175495288,1635.5374317426224,46841.91685079713,38845.33941105985,23248.26960201104,46841.91685079713,38845.33941105985,23248.26960201104
