,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
W kernel support bw1 [uv-pixels],1.5656729294123335,3.3795018233228076,1.1601165472493766,9.713574094546795,1.021350746960334,4.36306662103947,1.8790378458348196,1.6319961976256505,1.3679393724136908,4.037526668274701,3.7282651049305495,1.6319961976256505,1.3679393724136908,4.037526668274701,3.7282651049305495,1.6319961976256505,1.3679393724136908,4.037526668274701,3.8576602891850955,3.195067601469124,2.6968911995664127,12.493830799630388,5.045231804481689,2.533441848819094,2.2958929306910343,11.314512711569861,5.2169595218620035,2.364862982381577,1.9981192388199043,12.696829181115662,1.5503695893862288,1.2813654166209005,1.2308996860823158,2.5670625721116163,2.242315200722522,1.8786519967038047,2.55839775303178,1.855400166442313,1.638129282779794,2.2247622813514094,2.060077887597492,1.8635068219598445,2.2247622813514094,2.060077887597492,1.7264393303598808,1.9162585276318322,1.7556256746182959,2.2586672203864087,1.2698822676299604,1.0465793644910657,1.303470917027774,1.2698822676299604,1.0465793644910657
W kernel support bw2 [uv-pixels],2.636008290622881,5.693919363277276,1.4399608749621435,12.068962816362228,1.2676875926229867,5.418057521585394,3.1640395510920407,2.747755166360974,2.3028844478687125,6.804113177391345,6.282288074556852,2.747755166360974,2.3028844478687125,6.804113177391345,6.282288074556852,2.747755166360974,2.3028844478687125,6.804113177391345,4.790145618539912,3.9670472676844843,3.3482725486066065,15.527110375347256,6.265672413586466,3.1452710673122164,2.850253414512804,14.0600826666387,6.479067691568595,2.9359071886148698,2.480465964286743,15.779656456813639,1.9244871307509046,1.5904936540419288,1.5278388005026202,3.1870268209649746,2.783716351355888,2.3321147233549926,3.1762653887152905,2.3032417676845536,2.0334545214022137,2.7619179422668516,2.5574063992263567,2.3133081851364214,2.7619179422668516,2.5574063992263567,2.143107972624694,2.3788130057001804,2.1793488703879356,2.804023488112485,1.5762368639256377,1.2990075334156979,1.6179386602904426,1.5762368639256377,1.2990075334156979
W kernel support bw3 [uv-pixels],4.440038793213563,9.60043097753565,1.9528198902801783,16.395296685137687,1.719111613242821,7.353500155128991,5.330491183521604,4.74724296334971,4.74724296334971,11.475921217912378,11.514474800786333,4.74724296334971,4.74724296334971,11.475921217912378,11.514474800786333,4.74724296334971,4.74724296334971,11.475921217912378,6.500609090868051,5.382824047762211,4.542694583448196,21.101497680573505,8.505038500152352,4.267108615888434,3.8666379338101065,19.10464497316796,8.794988800991986,3.9829043285978036,3.3647274379104037,21.445305510792867,2.6102247683784725,2.157048785239677,2.072042935952637,4.323792940698457,3.7763228581513526,3.163389307065792,4.3091839940940355,3.1242049871022015,2.7580889730162066,3.746734903598009,3.469152991737272,3.1378663658584567,3.746734903598009,3.469152991737272,2.906890280522625,3.226765753125249,2.9560710355525965,3.8038868384969513,2.1377059470171353,1.7615993605158473,2.1942849979382126,2.1377059470171353,1.7615993605158473
W kernel support bw4 [uv-pixels],12.623953197926392,16.203882225528115,2.867039144382194,24.135276366670688,2.5237388400933907,10.809372413124748,15.165715537644223,13.50054431938514,13.50054431938514,19.377895374368947,32.88448107986357,13.50054431938514,13.50054431938514,19.377895374368947,32.88448107986357,13.50054431938514,13.50054431938514,19.377895374368947,9.554089085532297,7.9094605019274065,6.673770028135976,31.0826220667694,12.504724601082398,6.268510856876254,5.679679244480489,28.133993518785072,,,,,3.8329273103896297,3.1670690570728897,3.0421844876259274,6.351863818595734,5.546897142593801,4.645882852232979,5.351111221918663,3.879025996360638,4.050216072459288,5.503397666182679,5.095328505083309,4.608368952194415,5.503397666182679,5.095328505083309,4.268896168385448,4.739035980061949,4.341175863010087,5.587421477024328,3.1386514805283268,2.586147183003689,3.221775467629235,3.1386514805283268,2.586147183003689
W kernel support bw5 [uv-pixels],,,3.692682634079688,31.152810721376003,3.2503308913614535,13.93610155851238,,,,,,,,,,,,,12.31608592470331,10.194142635732359,8.600253710222761,40.14025453116901,,,,,,,,,4.93747317176457,4.079313344815367,3.9183782484854506,8.185098290838601,7.147071389656663,5.985402557808714,,,5.217546395786465,7.09098265015019,6.564839323717939,5.937041361368212,7.09098265015019,6.564839323717939,5.499427807654872,6.10549309064526,5.592600473531671,7.199324418831569,4.042691975747219,3.330742563787419,4.149813571230708,4.042691975747219,3.330742563787419
W kernel support bw6 [uv-pixels],,,5.188878012441604,43.928665900686084,4.566862541335714,19.614463378100947,,,,,,,,,,,,,13.622991237668337,11.274963420415848,9.511463628461707,44.4349591449787,,,,,,,,,6.93974531628824,5.7326189703769765,5.506278062917753,10.711803714555813,9.352134579343515,7.830862803112854,,,7.33377967696466,9.97034828768333,9.229741873284448,8.346188017135297,9.97034828768333,9.229741873284448,7.730391906220628,8.583249005096873,7.8614949017074185,10.122864872964803,5.681113197985304,4.67992662648208,5.831775102228367,5.681113197985304,4.67992662648208
W kernel support bw7 [uv-pixels],,,6.554202223682207,55.64690164805832,5.768067868739462,24.80859293926926,,,,,,,,,,,,,,,,,,,,,,,,,8.76755456137621,7.241490490037671,6.955386708900896,,,,,,9.265771264608139,12.600315141308856,11.663501470632433,10.546018155789081,12.600315141308856,11.663501470632433,9.767282715479963,10.845827168531997,9.933068563909858,12.793251385448638,7.176384058283514,5.910956374879359,7.366831715588312,7.176384058283514,5.910956374879359
W kernel support bw8 [uv-pixels],,,7.519448693571513,63.96299962706277,6.617196557259121,28.487289006800353,,,,,,,,,,,,,,,,,,,,,,,,,10.060122698397103,8.30831605016275,7.979920181572218,,,,,,10.632093765307474,14.460931111249877,13.385137843835617,12.10198448119754,14.460931111249877,13.385137843835617,11.207874079712141,12.446228771099868,11.50305502622043,14.68250055312402,8.233584687380498,6.781185003495618,8.452188339934438,8.233584687380498,6.781185003495618
W kernel support bw9 [uv-pixels],,,8.747573429301472,74.5793796284178,7.697478120645671,33.175251553208874,,,,,,,,,,,,,,,,,,,,,,,,,11.705114842155329,9.665791183654031,9.283538734917093,,,,,,12.37103952783434,16.829736363036577,15.57681477972805,14.082547449471438,16.829736363036577,15.57681477972805,11.674768472478409,12.964950136640804,12.48160032096528,17.087801779223977,9.578802766852656,7.888329686868546,9.83326262462885,9.578802766852656,7.888329686868546
W kernel support bw10 [uv-pixels],,,9.922233613119335,84.76877884237628,8.730630206398434,37.66648595081629,,,,,,,,,,,,,,,,,,,,,,,,,13.278894756384991,10.9642771355389,10.530466355600838,,,,,,14.034795132462783,20.055837320281416,20.055837320281416,15.977725352044974,20.055837320281416,20.055837320281416,,,,19.389912065894777,10.865554468724918,8.94719212935203,11.15434155314523,10.865554468724918,8.94719212935203
W kernel support bw11 [uv-pixels],,,12.15747220194383,94.61402427208603,9.72566229437763,41.998869251992964,,,,,,,,,,,,,,,,,,,,,,,,,14.795095404942176,12.215058878233569,11.731546842462135,,,,,,15.637758262447024,24.91120763520158,24.91120763520158,17.803876986451492,24.91120763520158,24.91120763520158,,,,21.60861946655092,12.105024398742623,9.967002866094699,12.426903275430668,12.105024398742623,9.967002866094699
AW kernel support bw0 [uv-pixels],10.043173782666459,10.19939161252144,10.036534188411231,12.296124918368747,10.028330340483185,10.50439807625237,10.062114465146879,10.046898280806372,10.032978436897872,10.283330001602572,10.242115641265782,10.046898280806372,10.032978436897872,10.283330001602572,10.242115641265782,10.046898280806372,10.032978436897872,10.283330001602572,10.396455422918194,10.273664196079359,10.195761813181903,13.588472199197778,10.66895609903089,10.172956954902327,10.142271171912645,13.016806812814286,10.713692447785638,10.150879196858282,10.107955422691788,13.68999979466145,10.06514394833544,10.044549728425162,10.041117662637479,10.177535598331387,10.135755011048374,10.095495576877505,10.176350009408601,10.093158003548941,10.072697752038758,10.13365274360277,10.114713080111214,10.093969747883849,10.13365274360277,10.114713080111214,10.080712092030181,10.099336652780758,10.083451771544603,10.137727901622366,10.043756779489106,10.029744760405192,10.046096086893025,10.043756779489106,10.029744760405192
AW kernel support bw1 [uv-pixels],10.121824525345941,10.555616162680518,10.06706861023614,13.94107319004712,10.052022550129722,10.910378102505375,10.175007775234354,10.132295474820332,10.093129253437684,10.784322954967058,10.672392454020926,10.132295474820332,10.093129253437684,10.784322954967058,10.672392454020926,10.132295474820332,10.093129253437684,10.784322954967058,10.718280781298633,10.498021574466193,10.357278703515647,16.002993721482017,11.200641229900793,10.315925920698923,10.260171750472653,15.100271451211597,11.279036601268151,10.27582487810291,10.19767034633608,16.16197609373403,10.119468655205846,10.081760626542968,10.075470908954953,10.324234124095419,10.24831583526734,10.174936526815252,10.322083077689216,10.170669091934618,10.13328513104712,10.244489602148265,10.20999122932866,10.172151083988622,10.244489602148265,10.20999122932866,10.147935394030329,10.181947099878379,10.152941520041319,10.25190604777707,10.080307583285393,10.054617266021543,10.084594014214812,10.080307583285393,10.054617266021543
AW kernel support bw2 [uv-pixels],10.341592706553113,11.507420115538665,10.103142447843727,15.67354023386976,10.080031340848612,11.373449226475145,10.488619846332249,10.37063925003003,10.261738487226985,12.095286525368076,11.809620800504952,10.37063925003003,10.261738487226985,12.095286525368076,11.809620800504952,10.37063925003003,10.261738487226985,12.095286525368076,11.088078961065218,10.758134783690105,10.54565925202178,18.46865335123859,11.800790261434972,10.482973341894528,10.39826641930961,17.25357715352715,11.915465502947335,10.42207038069502,10.303043792976178,18.681476330714883,10.183498942722283,10.12569355963075,10.11604129095573,10.495577161716744,10.380225273316862,10.268337698132504,10.492314416731453,10.261818680935981,10.204652727585152,10.37440074027486,10.321837408659562,10.264082752950658,10.37440074027486,10.321837408659562,10.227067604270909,10.279044280286389,10.234723323024475,10.385689564101485,10.123463965026898,10.084018076732644,10.130040745646705,10.123463965026898,10.084018076732644
AW kernel support bw3 [uv-pixels],10.941386771577054,13.862477230077824,10.188891280403078,19.204316009524703,10.146691319774458,12.412653404147,11.331996128555708,11.069612267512957,11.069612267512957,15.221588872378979,15.250676376408473,11.069612267512957,11.069612267512957,15.221588872378979,15.250676376408473,11.069612267512957,11.069612267512957,15.221588872378979,11.927192400237212,11.356707037216694,10.983445455706946,23.351085721294613,13.127668486409679,10.872360182581762,10.72151523392003,21.563567876183935,13.317350637779814,10.76399214468141,10.550895257343194,23.662229997429293,10.335050717894735,10.229998018665691,10.212412150340938,10.894732001937166,10.689275669052437,10.488423709407348,10.88894240479562,10.476672028914251,10.373382032060402,10.67885866737825,10.584659771578853,10.48075404396009,10.67885866737825,10.584659771578853,10.413933507709606,10.507712273637015,10.427768503722788,10.699044587255926,10.225936960294272,10.153976182115548,10.237914174878432,10.225936960294272,10.153976182115548
AW kernel support bw4 [uv-pixels],16.10478793227145,19.041160657344026,10.402880055802806,26.12492230219207,10.313547291450984,14.72557407932276,18.165872612366947,16.800735011292883,16.800735011292883,21.80602735804918,34.371341200074006,16.800735011292883,16.800735011292883,21.80602735804918,34.371341200074006,16.800735011292883,16.800735011292883,21.80602735804918,13.830423646956278,12.74988491836494,12.02244594034201,32.65163693516177,16.01150015922666,11.8022975882993,11.50038070327163,29.85835881817754,,,,,10.709403894089096,10.489534137046725,10.4525062284962,11.846779054662308,11.435386653301903,11.026523816537669,11.341710246225825,10.72598912363991,10.789080138436619,11.414349997794222,11.223295976437337,11.010770381746658,11.414349997794222,11.223295976437337,10.873061873108972,11.066095156843796,10.901642439264892,11.455098374170024,10.480989128714077,10.328995945984195,10.506180902869396,10.480989128714077,10.328995945984195
AW kernel support bw5 [uv-pixels],,,10.66001430749667,32.718459863536964,10.514972701026785,17.152694442832335,,,,,,,,,,,,,15.86461384669274,14.280075072549735,13.189555105468887,41.36713712389382,,,,,,,,,11.15251726391378,10.800036914991946,10.740283427275275,12.922686796122894,12.291486055349404,11.654400189586038,,,11.2793080635376,12.258957335137888,11.962320650535723,11.629637145096012,12.258957335137888,11.962320650535723,11.41243647130654,11.716528747027295,11.457625410901976,12.321942707527272,10.786257850189331,10.540106547195109,10.826862549971278,10.786257850189331,10.540106547195109
AW kernel support bw6 [uv-pixels],,,11.266075404860377,45.05249924048721,10.993463215541102,22.016520470112056,,,,,,,,,,,,,16.899286679075786,15.070660242063566,13.801012294594551,45.54630165244953,,,,,,,,,12.172101916059715,11.52661790203553,11.415739052123138,14.654103139365839,13.691691684746363,12.701276008385005,,,12.400980781787379,14.121184262579037,13.608384733224597,13.025315904705455,14.121184262579037,13.608384733224597,12.639579068298177,13.17847348836338,12.720184829222086,14.229279434894261,11.501088955760789,11.040910887660308,11.576251588617565,11.501088955760789,11.040910887660308
AW kernel support bw7 [uv-pixels],,,11.956486389776922,56.53828493179357,11.544288931691922,26.748201502649867,,,,,,,,,,,,,,,,,,,,,,,,,13.299248587296532,12.346626442769944,12.181026404632544,,,,,,13.632846992761193,16.086265621961402,15.363504370925435,14.533358144015889,16.086265621961402,15.363504370925435,13.978548266687556,14.752354624590163,14.094887409814037,16.237834862175543,12.308553454894112,11.616342163767687,12.420555926599977,12.308553454894112,11.616342163767687
AW kernel support bw8 [uv-pixels],,,12.511678890350979,64.73998240107602,11.99113381951023,30.191482821434395,,,,,,,,,,,,,,,,,,,,,,,,,14.184712499969983,13.001081323851182,12.793714320097333,,,,,,14.595938401976422,17.581766936355248,16.70813918718899,15.698981762622253,17.581766936355248,16.70813918718899,15.020533991396022,15.965857653836018,15.242056125610322,17.76445390358193,12.953451926195838,12.082403322668625,13.093490280812205,12.953451926195838,12.082403322668625
AW kernel support bw9 [uv-pixels],,,13.286084483436836,75.24681963883695,12.61947579805987,34.6496365871085,,,,,,,,,,,,,,,,,,,,,,,,,15.395119793884197,13.907822230888774,13.644929147588348,,,,,,15.907313380933932,19.576517209384196,18.510460790643602,17.27188879846714,19.576517209384196,18.510460790643602,15.372059682618195,16.373452050364406,15.993446988448756,19.798812329178993,13.847507445250358,12.736787085004272,14.024730081000584,13.847507445250358,12.736787085004272
AW kernel support bw10 [uv-pixels],,,14.087253808791662,85.35658068612929,13.274935171249492,38.9713248925802,,,,,,,,,,,,,,,,,,,,,,,,,16.623147895364127,14.839655424062283,14.522077043813024,,,,,,17.232976365393213,22.41063610470691,22.41063610470691,18.84907709744381,22.41063610470691,22.41063610470691,,,,21.816706669961256,14.766864051410103,13.418354854434984,14.980632012175667,14.766864051410103,13.418354854434984
AW kernel support bw11 [uv-pixels],,,15.741795651736716,95.1410194866488,13.949498452069117,43.172966291951724,,,,,,,,,,,,,,,,,,,,,,,,,17.857627167161407,15.786312533290118,15.415225957373552,,,,,,18.561774793233813,26.84340265026261,26.84340265026261,20.420040052573285,26.84340265026261,26.84340265026261,,,,23.810343030922578,15.701325284642511,14.118822406020268,15.950797002561014,15.701325284642511,14.118822406020268
"W kernel support bw, ff0 [pixels]",80.34539026133167,81.59513290017152,80.29227350728985,98.36899934694998,80.22664272386548,84.03518461001896,80.49691572117503,80.37518624645098,80.26382749518298,82.26664001282057,81.93692513012626,80.37518624645098,80.26382749518298,82.26664001282057,81.93692513012626,80.37518624645098,80.26382749518298,82.26664001282057,83.17164338334555,82.18931356863487,81.56609450545523,108.70777759358222,85.35164879224712,81.38365563921862,81.13816937530116,104.13445450251429,85.7095395822851,81.20703357486626,80.8636433815343,109.5199983572916,80.52115158668352,80.3563978274013,80.32894130109983,81.4202847866511,81.086040088387,80.76396461502004,81.41080007526881,80.74526402839153,80.58158201631007,81.06922194882216,80.91770464088971,80.75175798307079,81.06922194882216,80.91770464088971,80.64569673624145,80.79469322224607,80.66761417235682,81.10182321297893,80.35005423591285,80.23795808324154,80.3687686951442,80.35005423591285,80.23795808324154
"W kernel support bw, ff1 [pixels]",80.97459620276753,84.44492930144415,80.53654888188912,111.52858552037696,80.41618040103778,87.283024820043,81.40006220187483,81.05836379856265,80.74503402750148,86.27458363973646,85.37913963216741,81.05836379856265,80.74503402750148,86.27458363973646,85.37913963216741,81.05836379856265,80.74503402750148,86.27458363973646,85.74624625038906,83.98417259572955,82.85822962812517,128.02394977185614,89.60512983920634,82.52740736559139,82.08137400378122,120.80217160969278,90.23229281014521,82.20659902482328,81.58136277068864,129.29580874987224,80.95574924164677,80.65408501234374,80.60376727163963,82.59387299276335,81.98652668213872,81.39949221452201,82.57666462151373,81.36535273547695,81.06628104837696,81.95591681718612,81.67992983462928,81.37720867190897,81.95591681718612,81.67992983462928,81.18348315224263,81.45557679902703,81.22353216033055,82.01524838221656,80.64246066628314,80.43693812817234,80.67675211371849,80.64246066628314,80.43693812817234
"W kernel support bw, ff2 [pixels]",82.7327416524249,92.05936092430932,80.82513958274981,125.38832187095808,80.64025072678889,90.98759381180116,83.90895877065799,82.96511400024023,82.09390789781588,96.76229220294461,94.47696640403962,82.96511400024023,82.09390789781588,96.76229220294461,94.47696640403962,82.96511400024023,82.09390789781588,96.76229220294461,88.70463168852174,86.06507826952084,84.36527401617424,147.74922680990872,94.40632209147978,83.86378673515622,83.18613135447688,138.0286172282172,95.32372402357868,83.37656304556016,82.42435034380942,149.45181064571906,81.46799154177826,81.005548477046,80.92833032764584,83.96461729373395,83.0418021865349,82.14670158506003,83.93851533385163,82.09454944748785,81.63722182068122,82.99520592219888,82.5746992692765,82.11266202360527,82.99520592219888,82.5746992692765,81.81654083416727,82.23235424229111,81.8777865841958,83.08551651281188,80.98771172021519,80.67214461386115,81.04032596517364,80.98771172021519,80.67214461386115
"W kernel support bw, ff3 [pixels]",87.53109417261643,110.89981784062259,81.51113024322463,153.63452807619763,81.17353055819567,99.301227233176,90.65596902844567,88.55689814010366,88.55689814010366,121.77271097903183,122.00541101126778,88.55689814010366,88.55689814010366,121.77271097903183,122.00541101126778,88.55689814010366,88.55689814010366,121.77271097903183,95.4175392018977,90.85365629773355,87.86756364565557,186.8086857703569,105.02134789127743,86.9788814606541,85.77212187136024,172.50854300947148,106.53880510223851,86.11193715745128,84.40716205874556,189.29783997943434,82.68040574315788,81.83998414932553,81.69929720272751,87.15785601549733,85.5142053524195,83.90738967525878,87.11153923836495,83.81337623131401,82.98705625648321,85.430869339026,84.67727817263082,83.84603235168072,85.430869339026,84.67727817263082,83.31146806167685,84.06169818909612,83.4221480297823,85.59235669804741,81.80749568235417,81.23180945692438,81.90331339902745,81.80749568235417,81.23180945692438
"W kernel support bw, ff4 [pixels]",128.8383034581716,152.3292852587522,83.22304044642244,208.99937841753655,82.50837833160787,117.80459263458208,145.32698089893557,134.40588009034306,134.40588009034306,174.44821886439345,274.97072960059205,134.40588009034306,134.40588009034306,174.44821886439345,274.97072960059205,134.40588009034306,134.40588009034306,174.44821886439345,110.64338917565023,101.99907934691952,96.17956752273608,261.21309548129415,128.09200127381328,94.4183807063944,92.00304562617303,238.8668705454203,,,,,85.67523115271277,83.9162730963738,83.6200498279696,94.77423243729847,91.48309322641522,88.21219053230135,90.7336819698066,85.80791298911927,86.31264110749295,91.31479998235378,89.78636781149869,88.08616305397327,91.31479998235378,89.78636781149869,86.98449498487177,88.52876125475036,87.21313951411913,91.6407869933602,83.84791302971261,82.63196756787356,84.04944722295517,83.84791302971261,82.63196756787356
"W kernel support bw, ff5 [pixels]",,,85.28011445997336,261.7476789082957,84.11978160821428,137.22155554265868,,,,,,,,,,,,,126.91691077354191,114.24060058039788,105.5164408437511,330.93709699115055,,,,,,,,,89.22013811131023,86.40029531993557,85.9222674182022,103.38149436898316,98.33188844279523,93.2352015166883,,,90.2344645083008,98.0716586811031,95.69856520428579,93.0370971607681,98.0716586811031,95.69856520428579,91.29949177045232,93.73222997621836,91.6610032872158,98.57554166021818,86.29006280151465,84.32085237756087,86.61490039977022,86.29006280151465,84.32085237756087
"W kernel support bw, ff6 [pixels]",,,90.12860323888302,360.41999392389766,87.94770572432881,176.13216376089645,,,,,,,,,,,,,135.1942934326063,120.56528193650853,110.40809835675641,364.37041321959623,,,,,,,,,97.37681532847772,92.21294321628424,91.3259124169851,117.23282511492671,109.5335334779709,101.61020806708004,,,99.20784625429903,112.9694741006323,108.86707786579677,104.20252723764364,112.9694741006323,108.86707786579677,101.11663254638542,105.42778790690704,101.76147863377669,113.83423547915409,92.00871164608631,88.32728710128247,92.61001270894052,92.00871164608631,88.32728710128247
"W kernel support bw, ff7 [pixels]",,,95.65189111821537,452.30627945434856,92.35431145353537,213.98561202119893,,,,,,,,,,,,,,,,,,,,,,,,,106.39398869837225,98.77301154215955,97.44821123706035,,,,,,109.06277594208954,128.69012497569122,122.90803496740348,116.26686515212711,128.69012497569122,122.90803496740348,111.82838613350044,118.0188369967213,112.7590992785123,129.90267889740434,98.46842763915289,92.9307373101415,99.36444741279982,98.46842763915289,92.9307373101415
"W kernel support bw, ff8 [pixels]",,,100.09343112280783,517.9198592086082,95.92907055608184,241.53186257147516,,,,,,,,,,,,,,,,,,,,,,,,,113.47769999975986,104.00865059080945,102.34971456077866,,,,,,116.76750721581138,140.65413549084198,133.66511349751192,125.59185410097803,140.65413549084198,133.66511349751192,120.16427193116817,127.72686123068814,121.93644900488258,142.11563122865545,103.6276154095667,96.659226581349,104.74792224649764,103.6276154095667,96.659226581349
"W kernel support bw, ff9 [pixels]",,,106.28867586749469,601.9745571106956,100.95580638447896,277.197092696868,,,,,,,,,,,,,,,,,,,,,,,,,123.16095835107357,111.2625778471102,109.15943318070678,,,,,,127.25850704747145,156.61213767507357,148.08368632514882,138.1751103877371,156.61213767507357,148.08368632514882,122.97647746094556,130.98761640291525,127.94757590759005,158.39049863343195,110.78005956200286,101.89429668003417,112.19784064800467,110.78005956200286,101.89429668003417
"W kernel support bw, ff10 [pixels]",,,112.6980304703333,682.8526454890343,106.19948136999594,311.7705991406416,,,,,,,,,,,,,,,,,,,,,,,,,132.98518316291302,118.71724339249826,116.17661635050419,,,,,,137.8638109231457,179.28508883765528,179.28508883765528,150.79261677955049,179.28508883765528,179.28508883765528,,,,174.53365335969005,118.13491241128082,107.34683883547987,119.84505609740533,118.13491241128082,107.34683883547987
"W kernel support bw, ff11 [pixels]",,,125.93436521389373,761.1281558931904,111.59598761655293,345.3837303356138,,,,,,,,,,,,,,,,,,,,,,,,,142.86101733729126,126.29050026632095,123.32180765898842,,,,,,148.4941983458705,214.7472212021009,214.7472212021009,163.36032042058628,214.7472212021009,214.7472212021009,,,,190.48274424738062,125.61060227714009,112.95057924816214,127.60637602048811,125.61060227714009,112.95057924816214
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Cleaning memory [PetaBytes],0.001445985292088658,13.537727443188897,0.04230743734749433,481.36462048704647,0.013470336585275229,441.3959892262987,0.01082662947439013,0.0010313433046020167,0.10313433046020168,0.30940299138060506,0.0033415523069105332,0.0010313433046020167,0.10313433046020168,0.30940299138060506,0.0033415523069105332,0.0010313433046020167,0.10313433046020168,0.30940299138060506,0.004577771617304449,0.00043607792422119794,0.218038962110599,1.3954493575078335,0.0005963430259106221,0.00018405648947858704,0.007362259579143483,8.953243699941728,0.00019785230376452256,6.106552585324769e-05,0.018319657755974307,2.8185801482119834,0.06410414641970531,0.006106552585324772,3.053276292662386,0.0014135538391955478,0.0014135538391955478,0.353388459798887,0.0005223140413270903,0.0914049572322408,0.06726978327993767,0.014418249159794594,5.0463872059281085,0.15135701237985974,0.014418249159794594,5.0463872059281085,0.02698265751561944,0.005783319940762054,2.024161979266719,0.04318205042479658,0.013327793340986605,6.663896670493303,0.13990984337634096,0.013327793340986605,6.663896670493303
