,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Visibilities kernel pred9 [1],,,329.02882286926564,1326.1317242567343,1108.0302708463657,7029.30689193838,,,,,,,,,,,,,,,,,,,,,,,,,2262.6001090812574,10910.245173558882,7400.274637642082,,,,,,415.181462250251,1169.2568787290627,876.8626595530393,1716.4348231562542,1169.2568787290627,876.8626595530393,1298.4290403503235,4095.2389245287677,2797.308359583048,4088.577646220332,11109.77269238494,7582.647768204385,2498.223613793692,11109.77269238494,7582.647768204385
Visibilities kernel pred10 [1],,,417.1418085951901,1168.825351343675,1225.5664839850722,6248.529767505168,,,,,,,,,,,,,,,,,,,,,,,,,3739.302969626891,12081.66715126637,7919.956864747349,,,,,,534.645963073665,1299.628912403106,946.2788690888906,1864.9503702179206,1299.628912403106,946.2788690888906,,,,4538.588504501769,12296.699057857171,8116.294469894486,4170.2850753103,12296.699057857171,8116.294469894486
Visibilities kernel pred11 [1],,,534.5936191455273,1048.4613004211633,1770.3745187936959,5639.615516675209,,,,,,,,,,,,,,,,,,,,,,,,,4038.05860569483,13102.120641308587,8359.949015383445,,,,,,706.8649795453168,1885.1296722956497,1340.2139270877944,2987.2235860578016,1885.1296722956497,1340.2139270877944,,,,9864.093123457453,13329.927376198002,8568.106954228058,4541.554388814916,13329.927376198002,8568.106954228058
Visibilities kernel bw0 [1],1.9009290153282974,112.69683142924407,2.4133983197906455,361.8194432907125,4.767783250593256,1018.3507326119224,2.0535388502156686,3.1631285686924917,3.144023082178767,3.665909623848318,1.7142582487181852,3.1631285686924917,3.144023082178767,3.665909623848318,1.7142582487181852,3.1631285686924917,3.144023082178767,3.665909623848318,6.535079026192501,15.6517869454469,18.640621919800655,116.31722739799808,9.583459383242486,16.58890652868908,3.2303873107249497,359.5283250169954,11.376166508763218,15.426585611535588,14.962754138272611,171.57656346097306,6.649859238057555,16.000250201121755,19.88778487203888,15.71016527426135,15.786061214351697,15.458979576862136,16.709187977722262,17.54470117603243,4.120613063899758,4.019376762119782,5.784512195164545,5.4018937147631885,4.019376762119782,5.784512195164545,5.414117112394893,16.97210946458094,16.668487826619188,8.5849447280572,16.3522692039624,16.18280617321568,6.9094014690893,16.3522692039624,16.18280617321568
Visibilities kernel bw1 [1],3.7687092082246507,150.43576529282367,3.5943165009085014,486.50500022969743,5.935234825504321,1502.115484891092,4.077031319450173,6.267141937080423,6.163369890709935,8.580491455738757,3.411586895271359,6.267141937080423,6.163369890709935,8.580491455738757,3.411586895271359,6.267141937080423,6.163369890709935,8.580491455738757,14.444716386995081,34.2744570871336,31.985179373253303,162.39245470662595,10.4257937846086,39.64897909403583,5.027791943741849,444.1973131024952,14.241663767296869,36.12421081881993,34.28153767386264,274.52250153755693,14.784916743251102,35.45171094252842,34.77897340115195,34.76047498604411,35.06108827944759,33.78897580895211,33.195176303028745,35.94738637885795,4.556953788857018,6.130611227289995,6.0565987266871435,11.05247688008332,6.130611227289995,6.0565987266871435,11.097979871442112,37.85488631623605,36.655771277737045,19.41203882698618,37.52361522236073,36.822544079635776,15.494818205472589,37.52361522236073,36.822544079635776
Visibilities kernel bw2 [1],7.372323357002487,272.76962639861495,4.7535388513804495,587.6175643250666,10.552277077063192,1963.2881899800968,8.004723979779783,19.412610722275364,18.5785843254671,32.64483894261877,6.744452516543306,19.412610722275364,18.5785843254671,32.64483894261877,6.744452516543306,19.412610722275364,18.5785843254671,32.64483894261877,25.95141228117129,62.06753143567669,56.301651820030784,211.19782817580622,13.471732899179132,68.93273016517443,6.397299424870447,580.1152366081936,19.293241577168686,58.564925463009295,54.349275999325386,343.1531269219461,26.742638283828516,64.98833471869608,63.131639139801045,62.95724962985455,63.7704235727622,60.39666778001344,57.365037125362534,63.92886110745956,6.301047166656131,10.959785915639621,10.759350074475346,19.490276307736423,10.959785915639621,10.759350074475346,19.61237045422062,66.61967009184106,63.50540506491654,34.66484540090659,66.41019215513798,64.54195552504166,27.441442862225028,66.41019215513798,64.54195552504166
Visibilities kernel bw3 [1],25.788111526811388,444.4376805346119,8.61784783103377,749.6815032740986,23.711488003006103,2822.4947020499226,28.251674995568866,85.03200242375699,76.67421270513952,115.85191092395316,20.767764236311727,85.03200242375699,76.67421270513952,115.85191092395316,20.767764236311727,85.03200242375699,76.67421270513952,115.85191092395316,54.114071110527874,124.52124181144455,107.25197912836036,261.76324823291196,24.32934056819827,147.59118402284136,8.709256423466405,692.0373819081176,31.261232058589794,165.37254099240187,147.14028008113556,686.3062538438923,59.44661463323382,144.71632454253142,137.5060308193598,130.669419087194,133.5607897179136,122.04100394841045,123.76932416158952,144.6295450413719,13.870771462518142,24.198437319844302,23.41598079801717,43.037170005679336,24.198437319844302,23.41598079801717,43.51864379265397,146.43086207853366,134.99385635338678,78.60304910237691,147.86007593960682,140.60451383872052,61.19426250005857,147.86007593960682,140.60451383872052
Visibilities kernel bw4 [1],90.25759571426835,635.0350441578125,23.437246154885234,959.8064680508934,64.16279256424208,4153.875138888142,99.88993628062082,336.47566016065014,336.47566016065014,336.7884281076634,89.7135580417565,336.47566016065014,336.47566016065014,336.7884281076634,89.7135580417565,336.47566016065014,336.47566016065014,336.7884281076634,149.73224238297576,316.9327291398315,252.67289855177472,411.8747952756512,58.76126021955169,441.89066090679876,14.477291193214171,994.4465557829525,,,,,162.8229573190641,411.55961798060395,372.4773097798857,356.55420906436126,371.03545532222626,317.41961933823643,216.82330726621151,262.4090732958627,36.02899192610453,65.71087977818958,61.54010951397741,118.91171071308246,65.71087977818958,61.54010951397741,121.58175632816398,404.3484771027634,349.0442245513466,221.02014918807114,420.3490402023072,381.01859625431575,168.87095103371317,420.3490402023072,381.01859625431575
Visibilities kernel bw5 [1],,,44.2326976844872,1019.7626614815389,121.99736861348984,4747.749147198898,,,,,,,,,,,,,284.5043827531896,520.1309917949171,394.6050575014466,632.7388403064494,,,,,,,,,318.3141863553229,746.0016968115217,643.0442297340794,755.5309768512266,798.5693955382338,648.1194867807359,,,66.71253278819638,125.42750227478064,113.52471290577128,215.98026676091828,125.42750227478064,113.52471290577128,223.3957114439157,710.8366110548715,579.611161342916,413.9435854491965,761.6315000804661,658.0223785221423,332.8751594502878,761.6315000804661,658.0223785221423
Visibilities kernel bw6 [1],,,100.1993071832516,1108.9561247246218,298.6630796660636,5539.40278682903,,,,,,,,,,,,,309.77774892273635,839.7705389832768,625.7986251413421,997.9967595427082,,,,,,,,,696.5077527762563,2195.899055179336,1735.9659830776811,1412.339329557805,1520.1557260653378,1165.4713617089185,,,144.0088788002817,309.50949589722063,262.7700278100963,480.34952995645557,309.50949589722063,262.7700278100963,507.66462038881883,1976.4787757028957,1480.9337280622549,978.6312645862167,2240.10219603215,1777.3771837327479,740.6700638131396,2240.10219603215,1777.3771837327479
Visibilities kernel bw7 [1],,,168.1868405376661,1766.036076721551,487.7916568757954,9111.79635005981,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872517538769,4191.791207381168,3094.3858912030637,,,,,,229.75693034978048,509.25564423417666,409.7098520534095,827.5386301574415,509.25564423417666,409.7098520534095,890.3980631045363,3598.146076854532,2550.9151512011185,2083.339346051162,4272.999581531205,3169.3849520304793,1424.321998426517,4272.999581531205,3169.3849520304793
Visibilities kernel bw8 [1],,,229.33028479969062,1541.802131194371,777.1215450744953,8069.7617388169865,,,,,,,,,,,,,,,,,,,,,,,,,1992.9284678892052,4775.825393366629,3384.018016919071,,,,,,324.2631801495573,815.3440306199491,634.367931525813,1153.8292410487409,815.3440306199491,634.367931525813,1255.2166217370657,3981.154898230017,2741.338256315921,2379.4601475321283,4865.946180567903,3466.7316771262454,2174.4557334478236,4865.946180567903,3466.7316771262454
Visibilities kernel bw9 [1],,,329.02882286926564,1326.1317242567343,1108.0302708463657,7029.30689193838,,,,,,,,,,,,,,,,,,,,,,,,,2262.6001090812574,10910.245173558882,7400.274637642082,,,,,,415.181462250251,1169.2568787290627,876.8626595530393,1716.4348231562542,1169.2568787290627,876.8626595530393,1298.4290403503235,4095.2389245287677,2797.308359583048,4088.577646220332,11109.77269238494,7582.647768204385,2498.223613793692,11109.77269238494,7582.647768204385
Visibilities kernel bw10 [1],,,417.1418085951901,1168.825351343675,1225.5664839850722,6248.529767505168,,,,,,,,,,,,,,,,,,,,,,,,,3739.302969626891,12081.66715126637,7919.956864747349,,,,,,534.645963073665,1299.628912403106,946.2788690888906,1864.9503702179206,1299.628912403106,946.2788690888906,,,,4538.588504501769,12296.699057857171,8116.294469894486,4170.2850753103,12296.699057857171,8116.294469894486
Visibilities kernel bw11 [1],,,534.5936191455273,1048.4613004211633,1770.3745187936959,5639.615516675209,,,,,,,,,,,,,,,,,,,,,,,,,4038.05860569483,13102.120641308587,8359.949015383445,,,,,,706.8649795453168,1885.1296722956497,1340.2139270877944,2987.2235860578016,1885.1296722956497,1340.2139270877944,,,,9864.093123457453,13329.927376198002,8568.106954228058,4541.554388814916,13329.927376198002,8568.106954228058
Oversampling used pred0 [1],1.8875423776828129,53.15078038154156,2.386806665596204,63.78544274809844,4.629448895415393,63.99999306179715,2.0366413702799733,3.109997083167954,3.0916737413454527,3.5902189351256766,1.704678135078467,3.109997083167954,3.0916737413454527,3.5902189351256766,1.704678135078467,3.109997083167954,3.0916737413454527,3.5902189351256766,6.259067387224306,13.981489078034784,16.281273246678452,53.75204816387432,8.965550483329118,14.71424659823252,3.1744585227685818,63.77755987599019,10.497565782967563,13.80378093907867,13.43577603484458,59.707651089820196,6.363345607505423,14.255225067184448,17.20936163915509,14.027453102312137,14.087146426292925,13.829382096258236,14.807517041021903,15.450549990566458,4.021258092440796,3.925557391416824,5.572508704959311,5.219384461736077,3.925557391416824,5.572508704959311,5.230698548891631,15.010781415688442,14.77597649510114,8.093295562998499,14.53023322789511,14.398033754195566,6.598446777303849,14.53023322789511,14.398033754195566
Oversampling used pred1 [1],3.6879386910092933,58.01194320836683,3.5220700633917588,63.969886187548234,5.711029708211001,63.99999999659141,3.980078100466052,6.014910786769384,5.920071805563495,8.089374592046148,3.3477826127487162,6.014910786769384,5.920071805563495,8.089374592046148,3.3477826127487162,6.014910786769384,5.920071805563495,8.089374592046148,13.021573501670794,26.69539795497669,25.32594116630834,59.03968752518385,9.69078264943294,29.722923498781263,4.872057023872742,63.94136917915436,12.858296566296588,27.766427136963486,26.69955746998088,63.151593391234094,13.293965015264803,27.3806465182292,26.990619954689542,26.979836824660403,27.15468220223172,26.40909132006857,26.055916191325856,27.665387091945135,4.431998137006232,5.890100923476837,5.822329973213748,10.224136532397928,5.890100923476837,5.822329973213748,10.262658369736755,28.74064723742547,28.06847972606338,16.85747940749267,28.55621940059521,28.16272636652986,13.857690379408808,28.55621940059521,28.16272636652986
Oversampling used pred2 [1],7.015397289980356,63.12784695768578,4.616129050141865,63.99387347810266,9.798853729543964,63.99999999999761,7.580105667744043,16.857903990504376,16.234629737775222,25.725629045215435,6.449142360110216,16.857903990504376,16.234629737775222,25.725629045215435,6.449142360110216,16.857903990504376,16.234629737775222,25.725629045215435,21.470796593776882,39.91904107343639,37.6300640200392,61.700103103431616,12.23442129171297,42.386765358741286,6.1336449545283145,63.99310513774463,16.769199727068155,38.5534103677386,36.80668192916343,63.712120950519974,21.997444175503013,41.00162435177977,40.319226025814594,40.254100986468345,40.55625576532578,39.276979850139725,38.067992897064556,40.61467805894529,6.045863756889602,10.145580948897369,9.97531900324664,16.915528493399776,10.145580948897369,9.97531900324664,17.005974695190105,41.584947099499956,40.45820634470677,26.924042128424496,41.5108792292143,40.8393821842903,22.45714913673963,41.5108792292143,40.8393821842903
Oversampling used pred3 [1],21.3612826923805,63.94159070026519,8.122257225294625,63.99952270167468,19.94379936488884,64.0,22.983861115478966,47.22702843420197,44.86746648506981,53.67667565445413,17.85332462836159,47.22702843420197,44.86746648506981,53.67667565445413,17.85332462836159,47.22702843420197,44.86746648506981,53.67667565445413,36.705768636081785,54.99411621881903,52.17943713558725,62.96278212436178,20.37039458109728,57.7375941521805,8.202637330888834,63.9988168425893,24.882495914447276,59.26710401051264,57.69296656922614,63.9987050883261,38.90429852318215,57.44755183576158,56.6596316540116,55.82521491815505,56.189100813526586,54.63538908393659,54.88683943441821,57.43859091187662,12.558706627043968,20.280358893065227,19.738294878517443,31.503955728273674,20.280358893065227,19.738294878517443,31.749422626245995,57.62210824900581,56.36340636087312,45.43989829178966,57.76405690367036,57.009213917370275,39.58557873623481,57.76405690367036,57.009213917370275
Oversampling used pred4 [1],48.552081845771646,63.99709660773575,19.753115395276993,63.99998255559857,40.70067192937276,64.0,50.72635209396711,63.680198799263316,63.680198799263316,63.68177013302729,48.419160121982436,63.680198799263316,63.680198799263316,63.68177013302729,48.419160121982436,63.680198799263316,63.680198799263316,63.68177013302729,57.94523066889897,63.56494667535732,62.803141651521265,63.902457609277036,38.63196843487198,63.9392002003647,13.047718711157842,63.99998989031076,,,,,59.073203257570654,63.90197225168024,63.818594886676436,63.76689350726758,63.814428627753934,63.56826978609404,61.8950909879541,62.973277874279006,27.71205264659632,41.26183723591682,39.7181909588852,54.16232881012857,41.26183723591682,39.7181909588852,54.567415003037866,63.89018312504251,63.737627482502035,62.02971367112586,63.914643924845564,63.8414259784825,59.52080624454216,63.914643924845564,63.8414259784825
Oversampling used pred5 [1],,,32.110054546566815,63.999993214369425,54.6289516537703,64.0,,,,,,,,,,,,,63.27500715651957,63.9822669552622,63.871970967401545,63.996989695496524,,,,,,,,,63.574309341985604,63.999494224638504,63.997440662883264,63.999564705803024,63.99977898341663,63.99763726150274,,,41.61770369691678,55.121736341657865,53.29131194439296,61.86695882236688,55.121736341657865,53.29131194439296,62.102062681930036,63.999120032526896,63.993050186040534,63.90558433388256,63.999604579838376,63.99797844492904,63.6615414863396,63.999604579838376,63.99797844492904
Oversampling used pred6 [1],,,50.79086512966408,63.99999833444779,63.41990866193932,64.0,,,,,,,,,,,,,63.513056650175834,63.99988448649817,63.99664202463155,63.999990440031624,,,,,,,,,63.99889727362005,63.999999999999936,63.99999999991426,63.99999998598504,63.999999997434394,63.999999316046534,,,57.37414212913319,63.51099518506288,62.979097658373696,63.96682082251048,63.51099518506288,62.979097658373696,63.978420264557656,63.99999999999806,63.99999999524177,63.99998703103564,63.99999999999997,63.999999999955335,63.999449923653295,63.99999999999997,63.999999999955335
Oversampling used pred7 [1],,,59.47228824181946,63.9999999999466,63.97049023505132,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.28298223515286,63.97895424896042,63.89907462737389,63.99985994714478,63.97895424896042,63.89907462737389,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used pred8 [1],,,62.271406806534536,63.99999999817551,63.99969017545857,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.6123797784945,63.99983029446378,63.99706594411319,63.999999178416026,63.99983029446378,63.99706594411319,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used pred9 [1],,,63.64040621944667,63.99999994552439,63.999998309985,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.90740709783107,63.999999355629285,63.99993559138054,63.999999999883386,63.999999355629285,63.99993559138054,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10 [1],,,63.91022197326229,63.999999351235324,63.99999973453303,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.98589057682732,63.999999917307505,63.99997841375687,63.99999999998875,63.999999917307505,63.99997841375687,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11 [1],,,63.98587894119917,63.999995681747464,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323578237,63.999999999991815,63.99999995635967,64.0,63.999999999991815,63.99999995635967,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0 [1],1.8875423776828129,53.15078038154156,2.386806665596204,63.78544274809844,4.629448895415393,63.99999306179715,2.0366413702799733,3.109997083167954,3.0916737413454527,3.5902189351256766,1.704678135078467,3.109997083167954,3.0916737413454527,3.5902189351256766,1.704678135078467,3.109997083167954,3.0916737413454527,3.5902189351256766,6.259067387224306,13.981489078034784,16.281273246678452,53.75204816387432,8.965550483329118,14.71424659823252,3.1744585227685818,63.77755987599019,10.497565782967563,13.80378093907867,13.43577603484458,59.707651089820196,6.363345607505423,14.255225067184448,17.20936163915509,14.027453102312137,14.087146426292925,13.829382096258236,14.807517041021903,15.450549990566458,4.021258092440796,3.925557391416824,5.572508704959311,5.219384461736077,3.925557391416824,5.572508704959311,5.230698548891631,15.010781415688442,14.77597649510114,8.093295562998499,14.53023322789511,14.398033754195566,6.598446777303849,14.53023322789511,14.398033754195566
Oversampling used bw1 [1],3.6879386910092933,58.01194320836683,3.5220700633917588,63.969886187548234,5.711029708211001,63.99999999659141,3.980078100466052,6.014910786769384,5.920071805563495,8.089374592046148,3.3477826127487162,6.014910786769384,5.920071805563495,8.089374592046148,3.3477826127487162,6.014910786769384,5.920071805563495,8.089374592046148,13.021573501670794,26.69539795497669,25.32594116630834,59.03968752518385,9.69078264943294,29.722923498781263,4.872057023872742,63.94136917915436,12.858296566296588,27.766427136963486,26.69955746998088,63.151593391234094,13.293965015264803,27.3806465182292,26.990619954689542,26.979836824660403,27.15468220223172,26.40909132006857,26.055916191325856,27.665387091945135,4.431998137006232,5.890100923476837,5.822329973213748,10.224136532397928,5.890100923476837,5.822329973213748,10.262658369736755,28.74064723742547,28.06847972606338,16.85747940749267,28.55621940059521,28.16272636652986,13.857690379408808,28.55621940059521,28.16272636652986
Oversampling used bw2 [1],7.015397289980356,63.12784695768578,4.616129050141865,63.99387347810266,9.798853729543964,63.99999999999761,7.580105667744043,16.857903990504376,16.234629737775222,25.725629045215435,6.449142360110216,16.857903990504376,16.234629737775222,25.725629045215435,6.449142360110216,16.857903990504376,16.234629737775222,25.725629045215435,21.470796593776882,39.91904107343639,37.6300640200392,61.700103103431616,12.23442129171297,42.386765358741286,6.1336449545283145,63.99310513774463,16.769199727068155,38.5534103677386,36.80668192916343,63.712120950519974,21.997444175503013,41.00162435177977,40.319226025814594,40.254100986468345,40.55625576532578,39.276979850139725,38.067992897064556,40.61467805894529,6.045863756889602,10.145580948897369,9.97531900324664,16.915528493399776,10.145580948897369,9.97531900324664,17.005974695190105,41.584947099499956,40.45820634470677,26.924042128424496,41.5108792292143,40.8393821842903,22.45714913673963,41.5108792292143,40.8393821842903
Oversampling used bw3 [1],21.3612826923805,63.94159070026519,8.122257225294625,63.99952270167468,19.94379936488884,64.0,22.983861115478966,47.22702843420197,44.86746648506981,53.67667565445413,17.85332462836159,47.22702843420197,44.86746648506981,53.67667565445413,17.85332462836159,47.22702843420197,44.86746648506981,53.67667565445413,36.705768636081785,54.99411621881903,52.17943713558725,62.96278212436178,20.37039458109728,57.7375941521805,8.202637330888834,63.9988168425893,24.882495914447276,59.26710401051264,57.69296656922614,63.9987050883261,38.90429852318215,57.44755183576158,56.6596316540116,55.82521491815505,56.189100813526586,54.63538908393659,54.88683943441821,57.43859091187662,12.558706627043968,20.280358893065227,19.738294878517443,31.503955728273674,20.280358893065227,19.738294878517443,31.749422626245995,57.62210824900581,56.36340636087312,45.43989829178966,57.76405690367036,57.009213917370275,39.58557873623481,57.76405690367036,57.009213917370275
Oversampling used bw4 [1],48.552081845771646,63.99709660773575,19.753115395276993,63.99998255559857,40.70067192937276,64.0,50.72635209396711,63.680198799263316,63.680198799263316,63.68177013302729,48.419160121982436,63.680198799263316,63.680198799263316,63.68177013302729,48.419160121982436,63.680198799263316,63.680198799263316,63.68177013302729,57.94523066889897,63.56494667535732,62.803141651521265,63.902457609277036,38.63196843487198,63.9392002003647,13.047718711157842,63.99998989031076,,,,,59.073203257570654,63.90197225168024,63.818594886676436,63.76689350726758,63.814428627753934,63.56826978609404,61.8950909879541,62.973277874279006,27.71205264659632,41.26183723591682,39.7181909588852,54.16232881012857,41.26183723591682,39.7181909588852,54.567415003037866,63.89018312504251,63.737627482502035,62.02971367112586,63.914643924845564,63.8414259784825,59.52080624454216,63.914643924845564,63.8414259784825
Oversampling used bw5 [1],,,32.110054546566815,63.999993214369425,54.6289516537703,64.0,,,,,,,,,,,,,63.27500715651957,63.9822669552622,63.871970967401545,63.996989695496524,,,,,,,,,63.574309341985604,63.999494224638504,63.997440662883264,63.999564705803024,63.99977898341663,63.99763726150274,,,41.61770369691678,55.121736341657865,53.29131194439296,61.86695882236688,55.121736341657865,53.29131194439296,62.102062681930036,63.999120032526896,63.993050186040534,63.90558433388256,63.999604579838376,63.99797844492904,63.6615414863396,63.999604579838376,63.99797844492904
Oversampling used bw6 [1],,,50.79086512966408,63.99999833444779,63.41990866193932,64.0,,,,,,,,,,,,,63.513056650175834,63.99988448649817,63.99664202463155,63.999990440031624,,,,,,,,,63.99889727362005,63.999999999999936,63.99999999991426,63.99999998598504,63.999999997434394,63.999999316046534,,,57.37414212913319,63.51099518506288,62.979097658373696,63.96682082251048,63.51099518506288,62.979097658373696,63.978420264557656,63.99999999999806,63.99999999524177,63.99998703103564,63.99999999999997,63.999999999955335,63.999449923653295,63.99999999999997,63.999999999955335
Oversampling used bw7 [1],,,59.47228824181946,63.9999999999466,63.97049023505132,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.28298223515286,63.97895424896042,63.89907462737389,63.99985994714478,63.97895424896042,63.89907462737389,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used bw8 [1],,,62.271406806534536,63.99999999817551,63.99969017545857,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.6123797784945,63.99983029446378,63.99706594411319,63.999999178416026,63.99983029446378,63.99706594411319,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used bw9 [1],,,63.64040621944667,63.99999994552439,63.999998309985,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.90740709783107,63.999999355629285,63.99993559138054,63.999999999883386,63.999999355629285,63.99993559138054,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw10 [1],,,63.91022197326229,63.999999351235324,63.99999973453303,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.98589057682732,63.999999917307505,63.99997841375687,63.99999999998875,63.999999917307505,63.99997841375687,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw11 [1],,,63.98587894119917,63.999995681747464,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323578237,63.999999999991815,63.99999995635967,64.0,63.999999999991815,63.99999995635967,,,,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,663.1885345814411,663.1885345814411,1288.353070402745,358.44033998018244,663.1885345814411,663.1885345814411,1288.353070402745,358.44033998018244,663.1885345814411,663.1885345814411,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,372.78105657217833,483.15612439994436,483.15612439994436,652.167937578682,483.15612439994436,483.15612439994436,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels predict, no-smear1",1117.2953217949262,3617.208237988821,904.5597563976627,6864.942273636082,621.0918337495959,2828.8470245059593,859.2872958419088,1325.6842841487744,1325.6842841487744,2576.0131800688873,716.1882027630096,1325.6842841487744,1325.6842841487744,2576.0131800688873,716.1882027630096,1325.6842841487744,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,322.2189921177397,745.7306245903046,745.7306245903046,418.90275499589205,322.42065370364355,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,724.6015700009231,978.1192792840136,724.6015700009231,724.6015700009231,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels predict, no-smear2",2233.6181120846836,7233.443651746777,1205.8966379974954,9153.073271346264,828.0453578278335,3771.7189324319356,1717.881724030251,2650.675602311196,2650.675602311196,5151.333306208186,1431.683593715042,2650.675602311196,2650.675602311196,5151.333306208186,1431.683593715042,2650.675602311196,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,429.5881397427964,994.2703121075014,994.2703121075014,558.5246559695574,429.86382302328974,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,966.0470075132783,1304.070614995905,966.0470075132783,966.0470075132783,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
