Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies backward grid8,,,,,,,,,,65536.0,20921.93658050782,20921.93658050782,18080.76052947859,18080.76052947859,18080.76052947859,65536.0,65536.0,52681.09867435777,65536.0,13313.296303445573,13313.296303445573,9861.781326708258,24653.988368231738,24653.988368231738,65536.0,65536.0,28733.8088344391,65536.0,11243.34796445438,11243.34796445438,17350.727738383684,17350.727738383684,17350.727738383684,65536.0,65536.0,20221.98157672374,65536.0,5133.118759595582,5133.118759595582,7921.425283300245,7921.425283300245,7921.425283300245,65536.0,65536.0,9232.287896301332,65536.0,19328.54537663272,19328.54537663272,29827.802305074,29827.802305074,29827.802305074,65536.0,65536.0,34763.803155122936
Frequencies backward grid9,,,,,,,,,,65536.0,25571.133754518924,25571.133754518924,22098.585247986757,22098.585247986757,22098.585247986757,65536.0,65536.0,64387.887423621025,65536.0,16271.737711798904,16271.737711798904,12053.219407200913,30132.583568244918,30132.583568244918,65536.0,65536.0,35119.03080474535,65536.0,13741.821508373107,13741.821508373107,21206.396787594203,21206.396787594203,21206.396787594203,65536.0,65536.0,24715.707034426418,65536.0,6273.789610246891,6273.789610246891,9681.719805811686,9681.719805811686,9681.719805811686,65536.0,65536.0,11283.885221562772,65536.0,23623.695938386394,23623.695938386394,36456.12107261481,36456.12107261481,36456.12107261481,65536.0,65536.0,42489.01100007879
Frequencies backward grid10,,,,,,,,,,65536.0,30220.330928199935,30220.330928199935,26116.409966266117,26116.409966266117,26116.409966266117,65536.0,65536.0,65536.0,65536.0,19230.1791200106,19230.1791200106,14244.657487563067,35611.17876840851,35611.17876840851,65536.0,65536.0,41504.25277471908,65536.0,16240.295052214517,16240.295052214517,25062.065836560167,25062.065836560167,25062.065836560167,65536.0,65536.0,29209.432492013344,65536.0,7414.460460822171,7414.460460822171,11442.014328212696,11442.014328212696,11442.014328212696,65536.0,65536.0,13335.48254691276,65536.0,27918.846499861975,27918.846499861975,43084.43984028982,43084.43984028982,43084.43984028982,65536.0,65536.0,50214.21884546187
Frequencies backward grid11,,,,,,,,,,65536.0,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,30134.234684264968,65536.0,65536.0,65536.0,65536.0,22188.620528023996,22188.620528023996,16436.095567779656,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,18738.76859601465,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,65536.0,65536.0,33703.157949091255,65536.0,8555.131311379297,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,32213.99706127872,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,65536.0,65536.0,57939.42669078791
Frequencies backward fft,65536,40,40,200,40,40,65536,65536,40,65536,40,40,200,40,40,65536,65536,40,65536,40,40,200,40,40,65536,65536,40,65536,40,40,200,40,40,65536,65536,40,65536,40,40,200,40,40,65536,65536,40,65536,40,40,200,40,40,65536,65536,40
Channels out,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40,65536,40,40,40,40,40,65536,65536,40
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],9563013120.0,5864318807.109659,5864318807.109659,2172059316.6796484,2172059316.6796484,2172059316.6796484,9563013120.0,9563013120.0,3799445641.3585134,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,5724099012.113521,5724099012.113521,5724099012.113521,9129632914.285711,9129632914.285711,6671345899.688616,9129632914.285711,9129632914.285711,9129632914.285711,4028447024.791589,4028447024.791589,4028447024.791589,9129632914.285711,9129632914.285711,4695090639.150906,9129632914.285711,4965751331.441119,4965751331.441119,1839175925.113782,1839175925.113782,1839175925.113782,9129632914.285711,9129632914.285711,2143530133.8978565,9129632914.285711,9129632914.285711,9129632914.285711,6925342365.15854,6925342365.15854,6925342365.15854,9129632914.285711,9129632914.285711,8071375991.074544
Visibilities pred0 [1/s],423194095.29833394,3898909.7686805115,3898909.7686805115,3610566.5099345464,6013426.209746044,6013426.209746044,423194095.29833394,423194095.29833394,10514494.658907427,135537061.88217583,1380426.1272001718,1380426.1272001718,1193049.3754058974,1193049.3754058974,1193049.3754058974,241609545.09431344,241609545.09431344,6894754.097365012,129233012.49230719,878364.8719142412,878364.8719142412,650736.0136811625,2701475.46150297,2701475.46150297,241609545.09431344,241609545.09431344,3658984.7084382386,129233012.49230719,802756.203018727,802756.203018727,1901214.2263311916,1901214.2263311916,1901214.2263311916,241609545.09431344,241609545.09431344,2575079.8170330343,129233012.49230719,361027.006431184,361027.006431184,867995.5239481956,867995.5239481956,867995.5239481956,241609545.09431344,241609545.09431344,1175647.178000239,132309988.98021924,1401250.4768138845,1401250.4768138845,3346204.572217696,3346204.572217696,3346204.572217696,241609545.09431344,241609545.09431344,4549800.775197804
Visibilities pred1 [1/s],114272824.42294133,2103908.1099164425,2103908.1099164425,1948188.6617438558,3245850.622990184,3245850.622990184,158712256.14297408,158712256.14297408,7884234.488190668,16943190.18133356,202896.14626911088,202896.14626911088,152479.1524060275,152479.1524060275,152479.1524060275,30497742.32640041,30497742.32640041,1277000.7793841718,16338076.246285932,146156.69143076224,146156.69143076224,80339.89992703368,512255.91811629164,512255.91811629164,30497742.32640041,30497742.32640041,696516.25979076,16338076.246285932,148673.28625751112,148673.28625751112,360509.88903182204,360509.88903182204,360509.88903182204,30497742.32640041,30497742.32640041,490186.6790763639,15774694.306758832,67876.49304247288,67876.49304247288,158914.4412948062,158914.4412948062,158914.4412948062,30497742.32640041,30497742.32640041,223793.55493236345,16338076.246285932,261528.72127537525,261528.72127537525,619754.8102962134,619754.8102962134,619754.8102962134,30497742.32640041,30497742.32640041,842683.2444894244
Visibilities pred2 [1/s],185760223.496212,4307566.714396377,4307566.714396377,3988616.360699523,10550057.015961478,10550057.015961478,325080391.118371,325080391.118371,32292743.654898044,12829654.151994275,202303.34988610938,202303.34988610938,151300.8560786589,151300.8560786589,151300.8560786589,23326643.91271687,23326643.91271687,1273330.2243926344,12218718.239994548,144820.14907678563,144820.14907678563,79468.18467283611,510780.22530093713,510780.22530093713,23326643.91271687,23326643.91271687,694513.4728711677,12218718.239994548,148242.0012256814,148242.0012256814,359471.41212638334,359471.41212638334,359471.41212638334,23326643.91271687,23326643.91271687,488777.2611569837,12218718.239994548,67679.55698447204,67679.55698447204,164115.7898017099,164115.7898017099,164115.7898017099,23326643.91271687,23326643.91271687,223150.02669417375,12218718.239994548,262807.5340101105,262807.5340101105,617969.8828480857,617969.8828480857,617969.8828480857,23326643.91271687,23326643.91271687,840260.6834318141
Visibilities pred3 [1/s],543000914.0593877,19982587.47471348,19982587.47471348,18502694.34056612,61670274.12311562,61670274.12311562,814501371.0890816,814501371.0890816,161809320.91224793,35369793.25712924,815609.5907955309,815609.5907955309,621939.9163912927,621939.9163912927,621939.9163912927,65686758.90609715,65686758.90609715,5133823.233071993,32843379.453048576,598835.4400217881,598835.4400217881,320380.29900063045,2059354.6444422188,2059354.6444422188,65686758.90609715,65686758.90609715,2800142.0823265593,32843379.453048576,597667.4076396402,597667.4076396402,1449310.740372245,1449310.740372245,1449310.740372245,65686758.90609715,65686758.90609715,1970654.3650647236,32843379.453048576,272863.5938030973,272863.5938030973,661679.0430236668,661679.0430236668,661679.0430236668,65686758.90609715,65686758.90609715,899697.0342032573,32843379.453048576,1076380.6748161563,1076380.6748161563,2491521.7980919504,2491521.7980919504,2491521.7980919504,65686758.90609715,65686758.90609715,3387768.3391659586
Visibilities pred4 [1/s],624551447.5564055,30641803.205820575,30641803.205820575,28372268.93170404,141855163.57533255,141855163.57533255,624551447.5564055,624551447.5564055,248138243.19236478,80653573.9505958,3178997.545889553,3178997.545889553,2472590.3662639125,2472590.3662639125,2472590.3662639125,161307147.9011916,161307147.9011916,20582576.085731383,80653573.9505958,2275742.268373248,2275742.268373248,1284407.208043327,8428350.123614008,8428350.123614008,161307147.9011916,161307147.9011916,11226348.27226682,80653573.9505958,2365403.6665397524,2365403.6665397524,5931615.662706856,5931615.662706856,5931615.662706856,161307147.9011916,161307147.9011916,7900761.653677601,80653573.9505958,1079918.8303227935,1079918.8303227935,2708062.9787081396,2708062.9787081396,2708062.9787081396,161307147.9011916,161307147.9011916,3607071.020177002,80653573.9505958,4066384.862238983,4066384.862238983,10197092.675637534,10197092.675637534,10197092.675637534,161307147.9011916,161307147.9011916,13582270.090794325
Visibilities pred5 [1/s],,,,,,,,,,67894155.17170751,3512259.1263951426,3512259.1263951426,2601701.0260926704,2601701.0260926704,2601701.0260926704,113156925.2861792,113156925.2861792,21224620.439766232,56578462.6430896,2438129.666244116,2438129.666244116,1324443.8651345603,8277372.767488989,8277372.767488989,113156925.2861792,113156925.2861792,11576534.036921307,56578462.6430896,2516600.6928592836,2516600.6928592836,5825362.795526035,5825362.795526035,5825362.795526035,113156925.2861792,113156925.2861792,8147212.186223567,56578462.6430896,1148947.2390670448,1148947.2390670448,2659553.2268436924,2659553.2268436924,2659553.2268436924,113156925.2861792,113156925.2861792,3719586.9798877533,56578462.6430896,4326310.114526732,4326310.114526732,10014434.241460206,10014434.241460206,10014434.241460206,113156925.2861792,113156925.2861792,14005947.573302893
Visibilities pred6 [1/s],,,,,,,,,,172778918.8810674,12640708.211379956,12640708.211379956,9710348.953550883,9710348.953550883,9710348.953550883,259168378.32160106,259168378.32160106,84876743.20832211,172778918.8810674,9192766.9158729,9192766.9158729,5296314.934202967,39721136.228879474,39721136.228879474,259168378.32160106,259168378.32160106,46294263.69027543,172778918.8810674,9057367.551571686,9057367.551571686,27954527.330547974,27954527.330547974,27954527.330547974,259168378.32160106,259168378.32160106,32580494.970778376,172778918.8810674,4135116.0132259117,4135116.0132259117,12762560.63136681,12762560.63136681,12762560.63136681,259168378.32160106,259168378.32160106,14874532.741629936,172778918.8810674,18684723.81828728,18684723.81828728,48056890.42812124,48056890.42812124,48056890.42812124,259168378.32160106,259168378.32160106,56009437.11645919
Visibilities pred7 [1/s],,,,,,,,,,247696607.56766066,21965535.170067646,21965535.170067646,18982655.23714316,18982655.23714316,18982655.23714316,495393215.1353213,495393215.1353213,165926064.00443834,247696607.56766066,16772835.720614236,16772835.720614236,8874603.033736834,77651019.25391872,77651019.25391872,495393215.1353213,495393215.1353213,90500924.76332247,247696607.56766066,17706234.60982339,17706234.60982339,54648426.698240355,54648426.698240355,54648426.698240355,495393215.1353213,495393215.1353213,63691800.25453468,247696607.56766066,8083731.673789978,8083731.673789978,24949583.94794715,24949583.94794715,24949583.94794715,495393215.1353213,495393215.1353213,29078309.91831865,247696607.56766066,30438953.03066835,30438953.03066835,93946630.6707288,93946630.6707288,93946630.6707288,495393215.1353213,495393215.1353213,109493183.52648537
Visibilities pred8 [1/s],,,,,,,,,,78429454.8566042,10015234.866660608,10015234.866660608,8655176.951414868,8655176.951414868,8655176.951414868,156858909.7132084,156858909.7132084,63045499.42439047,78429454.8566042,7966267.176999513,7966267.176999513,3933991.156864256,29504377.2546612,29504377.2546612,156858909.7132084,156858909.7132084,34386855.51206873,78429454.8566042,8970231.64484932,8970231.64484932,20764284.025372215,20764284.025372215,20764284.025372215,156858909.7132084,156858909.7132084,24200424.059795175,78429454.8566042,4095333.9236377953,4095333.9236377953,9479874.674324946,9479874.674324946,9479874.674324946,156858909.7132084,156858909.7132084,11048634.441927165,78429454.8566042,15420809.703170184,15420809.703170184,35696079.62581659,35696079.62581659,35696079.62581659,156858909.7132084,156858909.7132084,41603181.91831343
Visibilities pred9 [1/s],,,,,,,,,,137193016.99216768,13382648.421068981,13382648.421068981,11565290.761680271,11565290.761680271,11565290.761680271,137193016.99216768,137193016.99216768,134789558.92026702,137193016.99216768,11354414.817234918,11354414.817234918,6308050.2889344795,63079529.563844875,63079529.563844875,137193016.99216768,137193016.99216768,73518154.7537825,137193016.99216768,9589039.874784175,9589039.874784175,44393456.341904625,44393456.341904625,44393456.341904625,137193016.99216768,137193016.99216768,51739843.98113254,137193016.99216768,4377848.941059809,4377848.941059809,20267705.533327166,20267705.533327166,20267705.533327166,137193016.99216768,137193016.99216768,23621677.504570484,137193016.99216768,24726914.35465124,24726914.35465124,76317218.59411265,76317218.59411265,76317218.59411265,137193016.99216768,137193016.99216768,88946466.18826613
Visibilities pred10 [1/s],,,,,,,,,,9832946.63164279,1511407.9854714663,1511407.9854714663,979619.0849624581,979619.0849624581,979619.0849624581,9832946.63164279,9832946.63164279,9832946.63164279,9832946.63164279,961758.0414021596,961758.0414021596,534313.0373429814,5343060.612787654,5343060.612787654,9832946.63164279,9832946.63164279,6227250.709839248,9832946.63164279,1218337.6657909988,1218337.6657909988,3760283.7501467,3760283.7501467,3760283.7501467,9832946.63164279,9832946.63164279,4382549.908974306,9832946.63164279,556228.5920233919,556228.5920233919,1716746.7689179622,1716746.7689179622,1716746.7689179622,9832946.63164279,9832946.63164279,2000840.5790862588,9832946.63164279,2094455.9299481958,2094455.9299481958,6464340.173397739,6464340.173397739,6464340.173397739,9832946.63164279,9832946.63164279,7534084.076798375
Visibilities pred11 [1/s],,,,,,,,,,4214119.9733702345,747397.7398473688,747397.7398473688,645900.8802550613,645900.8802550613,645900.8802550613,4214119.9733702345,4214119.9733702345,4214119.9733702345,4214119.9733702345,713390.4186147973,713390.4186147973,352293.2872334912,2642169.7567654816,2642169.7567654816,4214119.9733702345,4214119.9733702345,3079406.616792653,4214119.9733702345,602473.5947939166,602473.5947939166,1859478.8233242268,1859478.8233242268,1859478.8233242268,4214119.9733702345,4214119.9733702345,2167192.8570391424,4214119.9733702345,275057.5998999678,275057.5998999678,848939.7189711713,848939.7189711713,848939.7189711713,4214119.9733702345,4214119.9733702345,989425.6686536958,4214119.9733702345,1035718.1429903007,1035718.1429903007,3196648.086230857,3196648.086230857,3196648.086230857,4214119.9733702345,4214119.9733702345,3725642.322742764
Visibilities bw0 [1/s],423194095.29833394,3898909.7686805115,3898909.7686805115,3610566.5099345464,6013426.209746044,6013426.209746044,423194095.29833394,423194095.29833394,10514494.658907427,135537061.88217583,1380426.1272001718,1380426.1272001718,1193049.3754058974,1193049.3754058974,1193049.3754058974,241609545.09431344,241609545.09431344,6894754.097365012,129233012.49230719,878364.8719142412,878364.8719142412,650736.0136811625,2701475.46150297,2701475.46150297,241609545.09431344,241609545.09431344,3658984.7084382386,129233012.49230719,802756.203018727,802756.203018727,1901214.2263311916,1901214.2263311916,1901214.2263311916,241609545.09431344,241609545.09431344,2575079.8170330343,129233012.49230719,361027.006431184,361027.006431184,867995.5239481956,867995.5239481956,867995.5239481956,241609545.09431344,241609545.09431344,1175647.178000239,132309988.98021924,1401250.4768138845,1401250.4768138845,3346204.572217696,3346204.572217696,3346204.572217696,241609545.09431344,241609545.09431344,4549800.775197804
Visibilities bw1 [1/s],114272824.42294133,2103908.1099164425,2103908.1099164425,1948188.6617438558,3245850.622990184,3245850.622990184,158712256.14297408,158712256.14297408,7884234.488190668,16943190.18133356,202896.14626911088,202896.14626911088,152479.1524060275,152479.1524060275,152479.1524060275,30497742.32640041,30497742.32640041,1277000.7793841718,16338076.246285932,146156.69143076224,146156.69143076224,80339.89992703368,512255.91811629164,512255.91811629164,30497742.32640041,30497742.32640041,696516.25979076,16338076.246285932,148673.28625751112,148673.28625751112,360509.88903182204,360509.88903182204,360509.88903182204,30497742.32640041,30497742.32640041,490186.6790763639,15774694.306758832,67876.49304247288,67876.49304247288,158914.4412948062,158914.4412948062,158914.4412948062,30497742.32640041,30497742.32640041,223793.55493236345,16338076.246285932,261528.72127537525,261528.72127537525,619754.8102962134,619754.8102962134,619754.8102962134,30497742.32640041,30497742.32640041,842683.2444894244
Visibilities bw2 [1/s],185760223.496212,4307566.714396377,4307566.714396377,3988616.360699523,10550057.015961478,10550057.015961478,325080391.118371,325080391.118371,32292743.654898044,12829654.151994275,202303.34988610938,202303.34988610938,151300.8560786589,151300.8560786589,151300.8560786589,23326643.91271687,23326643.91271687,1273330.2243926344,12218718.239994548,144820.14907678563,144820.14907678563,79468.18467283611,510780.22530093713,510780.22530093713,23326643.91271687,23326643.91271687,694513.4728711677,12218718.239994548,148242.0012256814,148242.0012256814,359471.41212638334,359471.41212638334,359471.41212638334,23326643.91271687,23326643.91271687,488777.2611569837,12218718.239994548,67679.55698447204,67679.55698447204,164115.7898017099,164115.7898017099,164115.7898017099,23326643.91271687,23326643.91271687,223150.02669417375,12218718.239994548,262807.5340101105,262807.5340101105,617969.8828480857,617969.8828480857,617969.8828480857,23326643.91271687,23326643.91271687,840260.6834318141
Visibilities bw3 [1/s],543000914.0593877,19982587.47471348,19982587.47471348,18502694.34056612,61670274.12311562,61670274.12311562,814501371.0890816,814501371.0890816,161809320.91224793,35369793.25712924,815609.5907955309,815609.5907955309,621939.9163912927,621939.9163912927,621939.9163912927,65686758.90609715,65686758.90609715,5133823.233071993,32843379.453048576,598835.4400217881,598835.4400217881,320380.29900063045,2059354.6444422188,2059354.6444422188,65686758.90609715,65686758.90609715,2800142.0823265593,32843379.453048576,597667.4076396402,597667.4076396402,1449310.740372245,1449310.740372245,1449310.740372245,65686758.90609715,65686758.90609715,1970654.3650647236,32843379.453048576,272863.5938030973,272863.5938030973,661679.0430236668,661679.0430236668,661679.0430236668,65686758.90609715,65686758.90609715,899697.0342032573,32843379.453048576,1076380.6748161563,1076380.6748161563,2491521.7980919504,2491521.7980919504,2491521.7980919504,65686758.90609715,65686758.90609715,3387768.3391659586
Visibilities bw4 [1/s],624551447.5564055,30641803.205820575,30641803.205820575,28372268.93170404,141855163.57533255,141855163.57533255,624551447.5564055,624551447.5564055,248138243.19236478,80653573.9505958,3178997.545889553,3178997.545889553,2472590.3662639125,2472590.3662639125,2472590.3662639125,161307147.9011916,161307147.9011916,20582576.085731383,80653573.9505958,2275742.268373248,2275742.268373248,1284407.208043327,8428350.123614008,8428350.123614008,161307147.9011916,161307147.9011916,11226348.27226682,80653573.9505958,2365403.6665397524,2365403.6665397524,5931615.662706856,5931615.662706856,5931615.662706856,161307147.9011916,161307147.9011916,7900761.653677601,80653573.9505958,1079918.8303227935,1079918.8303227935,2708062.9787081396,2708062.9787081396,2708062.9787081396,161307147.9011916,161307147.9011916,3607071.020177002,80653573.9505958,4066384.862238983,4066384.862238983,10197092.675637534,10197092.675637534,10197092.675637534,161307147.9011916,161307147.9011916,13582270.090794325
Visibilities bw5 [1/s],,,,,,,,,,67894155.17170751,3512259.1263951426,3512259.1263951426,2601701.0260926704,2601701.0260926704,2601701.0260926704,113156925.2861792,113156925.2861792,21224620.439766232,56578462.6430896,2438129.666244116,2438129.666244116,1324443.8651345603,8277372.767488989,8277372.767488989,113156925.2861792,113156925.2861792,11576534.036921307,56578462.6430896,2516600.6928592836,2516600.6928592836,5825362.795526035,5825362.795526035,5825362.795526035,113156925.2861792,113156925.2861792,8147212.186223567,56578462.6430896,1148947.2390670448,1148947.2390670448,2659553.2268436924,2659553.2268436924,2659553.2268436924,113156925.2861792,113156925.2861792,3719586.9798877533,56578462.6430896,4326310.114526732,4326310.114526732,10014434.241460206,10014434.241460206,10014434.241460206,113156925.2861792,113156925.2861792,14005947.573302893
Visibilities bw6 [1/s],,,,,,,,,,172778918.8810674,12640708.211379956,12640708.211379956,9710348.953550883,9710348.953550883,9710348.953550883,259168378.32160106,259168378.32160106,84876743.20832211,172778918.8810674,9192766.9158729,9192766.9158729,5296314.934202967,39721136.228879474,39721136.228879474,259168378.32160106,259168378.32160106,46294263.69027543,172778918.8810674,9057367.551571686,9057367.551571686,27954527.330547974,27954527.330547974,27954527.330547974,259168378.32160106,259168378.32160106,32580494.970778376,172778918.8810674,4135116.0132259117,4135116.0132259117,12762560.63136681,12762560.63136681,12762560.63136681,259168378.32160106,259168378.32160106,14874532.741629936,172778918.8810674,18684723.81828728,18684723.81828728,48056890.42812124,48056890.42812124,48056890.42812124,259168378.32160106,259168378.32160106,56009437.11645919
Visibilities bw7 [1/s],,,,,,,,,,247696607.56766066,21965535.170067646,21965535.170067646,18982655.23714316,18982655.23714316,18982655.23714316,495393215.1353213,495393215.1353213,165926064.00443834,247696607.56766066,16772835.720614236,16772835.720614236,8874603.033736834,77651019.25391872,77651019.25391872,495393215.1353213,495393215.1353213,90500924.76332247,247696607.56766066,17706234.60982339,17706234.60982339,54648426.698240355,54648426.698240355,54648426.698240355,495393215.1353213,495393215.1353213,63691800.25453468,247696607.56766066,8083731.673789978,8083731.673789978,24949583.94794715,24949583.94794715,24949583.94794715,495393215.1353213,495393215.1353213,29078309.91831865,247696607.56766066,30438953.03066835,30438953.03066835,93946630.6707288,93946630.6707288,93946630.6707288,495393215.1353213,495393215.1353213,109493183.52648537
Visibilities bw8 [1/s],,,,,,,,,,78429454.8566042,10015234.866660608,10015234.866660608,8655176.951414868,8655176.951414868,8655176.951414868,156858909.7132084,156858909.7132084,63045499.42439047,78429454.8566042,7966267.176999513,7966267.176999513,3933991.156864256,29504377.2546612,29504377.2546612,156858909.7132084,156858909.7132084,34386855.51206873,78429454.8566042,8970231.64484932,8970231.64484932,20764284.025372215,20764284.025372215,20764284.025372215,156858909.7132084,156858909.7132084,24200424.059795175,78429454.8566042,4095333.9236377953,4095333.9236377953,9479874.674324946,9479874.674324946,9479874.674324946,156858909.7132084,156858909.7132084,11048634.441927165,78429454.8566042,15420809.703170184,15420809.703170184,35696079.62581659,35696079.62581659,35696079.62581659,156858909.7132084,156858909.7132084,41603181.91831343
Visibilities bw9 [1/s],,,,,,,,,,137193016.99216768,13382648.421068981,13382648.421068981,11565290.761680271,11565290.761680271,11565290.761680271,137193016.99216768,137193016.99216768,134789558.92026702,137193016.99216768,11354414.817234918,11354414.817234918,6308050.2889344795,63079529.563844875,63079529.563844875,137193016.99216768,137193016.99216768,73518154.7537825,137193016.99216768,9589039.874784175,9589039.874784175,44393456.341904625,44393456.341904625,44393456.341904625,137193016.99216768,137193016.99216768,51739843.98113254,137193016.99216768,4377848.941059809,4377848.941059809,20267705.533327166,20267705.533327166,20267705.533327166,137193016.99216768,137193016.99216768,23621677.504570484,137193016.99216768,24726914.35465124,24726914.35465124,76317218.59411265,76317218.59411265,76317218.59411265,137193016.99216768,137193016.99216768,88946466.18826613
Visibilities bw10 [1/s],,,,,,,,,,9832946.63164279,1511407.9854714663,1511407.9854714663,979619.0849624581,979619.0849624581,979619.0849624581,9832946.63164279,9832946.63164279,9832946.63164279,9832946.63164279,961758.0414021596,961758.0414021596,534313.0373429814,5343060.612787654,5343060.612787654,9832946.63164279,9832946.63164279,6227250.709839248,9832946.63164279,1218337.6657909988,1218337.6657909988,3760283.7501467,3760283.7501467,3760283.7501467,9832946.63164279,9832946.63164279,4382549.908974306,9832946.63164279,556228.5920233919,556228.5920233919,1716746.7689179622,1716746.7689179622,1716746.7689179622,9832946.63164279,9832946.63164279,2000840.5790862588,9832946.63164279,2094455.9299481958,2094455.9299481958,6464340.173397739,6464340.173397739,6464340.173397739,9832946.63164279,9832946.63164279,7534084.076798375
Visibilities bw11 [1/s],,,,,,,,,,4214119.9733702345,747397.7398473688,747397.7398473688,645900.8802550613,645900.8802550613,645900.8802550613,4214119.9733702345,4214119.9733702345,4214119.9733702345,4214119.9733702345,713390.4186147973,713390.4186147973,352293.2872334912,2642169.7567654816,2642169.7567654816,4214119.9733702345,4214119.9733702345,3079406.616792653,4214119.9733702345,602473.5947939166,602473.5947939166,1859478.8233242268,1859478.8233242268,1859478.8233242268,4214119.9733702345,4214119.9733702345,2167192.8570391424,4214119.9733702345,275057.5998999678,275057.5998999678,848939.7189711713,848939.7189711713,848939.7189711713,4214119.9733702345,4214119.9733702345,989425.6686536958,4214119.9733702345,1035718.1429903007,1035718.1429903007,3196648.086230857,3196648.086230857,3196648.086230857,4214119.9733702345,4214119.9733702345,3725642.322742764
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,2.0176693266283197,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,20.307167331168195,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471,10.164973700856471
