,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
W kernel support bw5 [uv-pixels],,,3.967249819400506,6.743364894923451,3.2667087275923534,14.192329380945232,,,,,,,,,,,,,11.175086100590324,6.9868226295398,9.666048141719145,18.03151569483399,,,,,,,,,4.849878947971107,4.101902960024291,4.015073259365065,4.415629052030057,7.76088837591337,6.486218537246236,,,6.320468458513355,4.476915812581519,3.7149769383359232,5.891541745434363,4.476915812581519,3.7149769383359232,5.472288243617757,3.8303547029779015,5.643915973785403,3.631087201791082,4.141499348369419,3.407917970452587,4.110214317266842,4.141499348369419,3.407917970452587
W kernel support bw6 [uv-pixels],,,5.575010290596282,9.481024800345608,4.589890587856222,19.97575335910919,,,,,,,,,,,,,12.360383709035244,7.726540569755856,10.69065191235731,19.94882655938598,,,,,,,,,6.816516214304803,5.764390230745356,5.642269536506255,5.775787842726274,10.156113751629329,8.486663142569506,,,8.885799054386693,6.291863142597574,5.220229826506483,8.282158697287516,6.291863142597574,5.220229826506483,7.692204587336112,5.382485964282663,7.933702347439345,5.1022594513299016,5.820081314550948,4.788443371326641,5.776079834514654,5.820081314550948,4.788443371326641
W kernel support bw7 [uv-pixels],,,7.042265593771967,11.981343706990394,5.797170053666906,25.266242144890064,,,,,,,,,,,,,,,,,,,,,,,,,8.611751078948453,7.281651623351084,7.127283739228191,,,,,,11.228476951756383,7.948450809769177,6.593828873460758,10.46504288268555,7.948450809769177,6.593828873460758,9.718993783270134,6.798914049797584,10.024379856175617,6.444723314492177,7.352049713741234,6.048101217357849,7.296428176606434,7.352049713741234,6.048101217357849
W kernel support bw8 [uv-pixels],,,8.079640551042639,13.750123599007171,6.650595969415108,29.013318936255118,,,,,,,,,,,,,,,,,,,,,,,,,9.881260105258093,8.354414603714606,8.17722601073596,,,,,,12.88560494097126,9.119820588123543,7.5649305032467415,12.00900926811987,9.119820588123543,7.5649305032467415,11.152432883225014,7.80032171243361,11.50305502622043,7.393794376749124,8.435220798901238,6.938584056295132,8.37137576938257,8.435220798901238,6.938584056295132
W kernel support bw9 [uv-pixels],,,9.39961170809455,16.001881252240455,7.7363484310723205,33.788573998681514,,,,,,,,,,,,,,,,,,,,,,,,,11.496879513421172,9.719450932244852,9.51320089151583,,,,,,14.99507379514193,10.61043885866138,8.800510723418698,13.974282149427353,10.61043885866138,8.800510723418698,11.61700789763117,8.124815915595862,12.48160032096528,8.601322955847369,9.81351179021229,8.071515843021917,9.739194175419698,9.81351179021229,8.071515843021917
W kernel support bw10 [uv-pixels],,,10.662193811248367,18.156868368170358,8.774736583765371,38.36358762620413,,,,,,,,,,,,,,,,,,,,,,,,,13.042531920782379,11.025175641398828,10.791103743903582,,,,,,17.013738388751815,12.03639817753431,9.982307514272998,15.854813664044283,12.03639817753431,9.982307514272998,,,,9.756268188358627,11.131926066167544,9.15505950948532,11.047582337689972,11.131926066167544,9.15505950948532
W kernel support bw11 [uv-pixels],,,12.15747220194383,20.233635906121588,9.774814936696526,42.77691850012496,,,,,,,,,,,,,,,,,,,,,,,,,14.5316109648296,12.282935607006799,12.022043470849502,,,,,,18.959000671553014,13.410072314649764,11.12060669347008,17.66683873455955,13.410072314649764,11.12060669347008,,,,10.868685631141844,12.40191899762646,10.19865768098164,12.307909906694212,12.40191899762646,10.19865768098164
AW kernel support bw0 [uv-pixels],10.023177980655154,10.243932432865423,10.042145483940306,10.120981054760383,10.028615648436805,10.522566662065955,10.037969735624289,10.021759874935245,10.015501057244125,10.072406207425386,10.021977679148993,10.021759874935245,10.015501057244125,10.072406207425386,10.021977679148993,10.021759874935245,10.015501057244125,10.072406207425386,10.327761028951901,10.129791177648448,10.246470659430608,10.829150835211555,10.222776836040424,10.088274604020576,10.084581578729514,10.630160470216698,10.378797330079301,10.140219651815878,10.155527884295369,14.509992566321722,10.062865362293406,10.045042367914334,10.043163425276278,10.05216114391261,10.159804167279598,10.112004473878509,10.158659141207176,10.129759101645215,10.106397975783645,10.053612064544561,10.036974998924764,10.092545219263577,10.053612064544561,10.036974998924764,10.079922532339696,10.039298145440242,10.084979870044661,10.035329926853695,10.045912363857852,10.03113441083487,10.04522429867354,10.045912363857852,10.03113441083487
AW kernel support bw1 [uv-pixels],10.06550115121306,10.67734125553398,10.077354695057481,10.22141370393994,10.0525459611585,10.942576140202641,10.10718340275031,10.061499879746554,10.043829770949534,10.20383676731965,10.062114485130312,10.061499879746554,10.043829770949534,10.20383676731965,10.062114485130312,10.061499879746554,10.043829770949534,10.20383676731965,10.595292835736297,10.23745978540437,10.448982673391816,11.480395886121778,10.406176087558979,10.161751615096835,10.155005678875469,11.132481490286601,10.68672222290169,10.256439708871275,10.284274026523066,17.433167180559323,10.115299413232142,10.082663323428797,10.079220232808105,10.095703867624271,10.292043730724627,10.2050535214674,10.28996354197159,10.237401383877309,10.194829846557377,10.098360894166005,10.067876814325595,10.169550278889723,10.098360894166005,10.067876814325595,10.146492466083485,10.072135757638543,10.155733315652153,10.064860524397423,10.08425739603114,10.05716628655796,10.082996679246918,10.08425739603114,10.05716628655796
AW kernel support bw2 [uv-pixels],10.184499848832345,11.822331471390395,10.11893247802236,10.339250769433455,10.080835592603236,11.421075485664742,10.30089542675272,10.173284674381948,10.123669212659076,10.567801997487908,10.17500783125869,10.173284674381948,10.123669212659076,10.567801997487908,10.17500783125869,10.173284674381948,10.123669212659076,10.567801997487908,10.904220824553503,10.363696763544823,10.684252895976853,12.20865976317746,10.619629633403548,10.248191838136947,10.237879439593943,11.700837836034712,11.040989551076146,10.392588458615618,10.434911882183625,20.372510881776858,10.177112815235244,10.127078606602701,10.121795398025776,10.147080510451342,10.446716253794547,10.314307022403018,10.443556279744016,10.363607823322798,10.298709474839038,10.151154369011891,10.104383395174692,10.260109338398369,10.151154369011891,10.104383395174692,10.224860633327756,10.110921938913581,10.238991927379399,10.099751822132296,10.129524313227952,10.08793412050332,10.127590073558402,10.129524313227952,10.08793412050332
AW kernel support bw3 [uv-pixels],10.514730498854687,14.597745097210982,10.217681061930257,10.615904626500402,10.148161084766524,12.493019000760427,10.831817568641874,10.483875771754967,10.34671345726749,11.53916360006505,10.488620000558535,10.483875771754967,10.34671345726749,11.53916360006505,10.488620000558535,10.483875771754967,10.34671345726749,11.53916360006505,11.610594643742909,10.65970398938872,11.227471223130733,13.798524930646487,11.113951524646408,10.452089381075684,10.433469820485268,12.96161497303085,11.846405011662826,10.711373011861594,10.786878632523834,26.117547735785905,10.32346707885224,10.232520447385852,10.222897331535544,10.268918458033783,10.807899233288348,10.571136105678795,10.802273754889129,10.659544772096432,10.543101860934902,10.27632509453731,10.191155124155438,10.47358972367482,10.27632509453731,10.191155124155438,10.40994375632774,10.20307981133702,10.435479144595952,10.18270472841107,10.236973894852031,10.161129742765674,10.233451857760329,10.236973894852031,10.161129742765674
AW kernel support bw4 [uv-pixels],11.581756682539593,20.550841779837576,10.463606982804286,11.286833230771897,10.3166650765248,14.871906522274697,12.215386089924163,11.791015130343055,11.791015130343055,13.937416763869907,11.331996285476604,11.791015130343055,11.791015130343055,13.937416763869907,11.331996285476604,11.791015130343055,11.791015130343055,13.937416763869907,13.235014122995908,11.375621274059167,12.500047266840419,17.189668519050752,12.278857343885365,10.951797856426031,10.913409830978631,15.71590120304364,,,,,10.685269082436491,10.494839930971555,10.474591089171636,10.571254480956517,11.673709956950853,11.195743024484328,11.213117848946462,11.000388834932357,11.138524637490999,10.586770751464996,10.407661590745404,10.996045211889145,10.586770751464996,10.407661590745404,10.864813056176425,10.432830135643956,10.917555578796607,10.389807679623814,10.504204284551172,10.344154989109413,10.496798767703737,10.504204284551172,10.344154989109413
AW kernel support bw5 [uv-pixels],,,10.758209476001726,12.061217604623753,10.520046858780052,17.36151529265926,,,,,,,,,,,,,14.996084467473734,12.199003666556111,13.908000815287298,20.61881563652589,,,,,,,,,11.114014837581122,10.80858954227868,10.775936770326208,10.931504010205177,12.658253765167897,11.919355306094232,,,11.829975550907204,10.956403387651553,10.667757667493566,11.606475095316226,10.956403387651553,10.667757667493566,11.399383256178252,10.708483419729655,11.48276044856593,10.638834253197622,10.823678526847715,10.56474821722381,10.81174647010673,10.823678526847715,10.56474821722381
AW kernel support bw6 [uv-pixels],,,11.449049730883976,13.780051932586048,11.003049377717577,22.338995551813923,,,,,,,,,,,,,15.899027814133285,12.637223950539262,14.638648787070105,22.314920593550486,,,,,,,,,12.102268105602366,11.542451850985236,11.481951294208947,11.548148128777385,14.252952204228933,13.115771090387623,,,13.37749695701477,11.814717169918957,11.280549607246444,12.984381105276265,11.814717169918957,11.280549607246444,12.616259802866884,11.356546797143041,12.764937639399754,11.22644429499765,11.570365011873442,11.087343681892524,11.548294170772012,11.570365011873442,11.087343681892524
AW kernel support bw7 [uv-pixels],,,12.230842354197213,15.606171760718205,11.558857237250246,27.173203567563004,,,,,,,,,,,,,,,,,,,,,,,,,13.197054847418414,12.370224345736478,12.279990777662116,,,,,,15.035913495897892,12.774109373076476,11.978254430946304,14.474706302251784,12.774109373076476,11.978254430946304,13.944849951119714,12.092362558926812,14.159385279767603,11.89682556820764,12.411794189130054,11.686724448510176,12.378928230520456,12.411794189130054,11.686724448510176
AW kernel support bw8 [uv-pixels],,,12.856149946000652,17.00193809505181,12.009597276695022,30.68831496998263,,,,,,,,,,,,,,,,,,,,,,,,,14.05842456563911,13.030588757640995,12.917702010445074,,,,,,16.31069632771032,13.534072837086478,12.539065894992058,15.627421527615773,13.534072837086478,12.539065894992058,14.979210900939963,12.682468955903783,15.242056125610322,12.436566860900438,13.08254371008238,12.171439878102877,13.041469712889175,13.08254371008238,12.171439878102877
AW kernel support bw9 [uv-pixels],,,13.724164829342007,18.869557589164735,12.643222969122833,35.23730598193308,,,,,,,,,,,,,,,,,,,,,,,,,15.237396055301689,13.94516856923269,13.802209649267668,,,,,,18.023657734260052,14.580171904795616,13.320998047931976,17.183729560017056,14.580171904795616,13.320998047931976,15.328237749122534,12.884588998579654,15.993446988448756,13.190252332339474,14.010889110139857,12.851045405108248,13.95893632002557,14.010889110139857,12.851045405108248
AW kernel support bw10 [uv-pixels],,,14.617878671976415,20.728527900916294,13.303984445062703,39.64548972523158,,,,,,,,,,,,,,,,,,,,,,,,,16.43495174634314,14.884706847086177,14.712169113074044,,,,,,19.7349257399385,15.648478555059313,14.12963068553142,18.745002435891156,15.648478555059313,14.12963068553142,,,,13.970854267480517,14.96394927626462,13.557843288009252,14.901311200966155,14.96394927626462,13.557843288009252
AW kernel support bw11 [uv-pixels],,,15.741795651736716,22.56989193552979,13.983812321633378,43.930225999490744,,,,,,,,,,,,,,,,,,,,,,,,,17.639946633512128,15.838892231651664,15.637439982778355,,,,,,21.434638006365947,16.728121218001025,14.955530523216206,20.30066971488709,16.728121218001025,14.955530523216206,,,,14.769168133262928,15.931340019712342,14.28329858589555,15.858267442293359,15.931340019712342,14.28329858589555
"W kernel support bw, ff0 [pixels]",80.18542384524123,81.95145946292338,80.33716387152245,80.96784843808307,80.22892518749444,84.18053329652764,80.30375788499431,80.17407899948196,80.124008457953,80.57924965940309,80.17582143319194,80.17407899948196,80.124008457953,80.57924965940309,80.17582143319194,80.17407899948196,80.124008457953,80.57924965940309,82.62208823161521,81.03832942118758,81.97176527544487,86.63320668169244,81.78221468832339,80.70619683216461,80.67665262983611,85.04128376173358,83.03037864063441,81.12175721452702,81.24422307436295,116.07994053057378,80.50292289834725,80.36033894331467,80.34530740221022,80.41728915130088,81.27843333823678,80.89603579102807,81.2692731296574,81.03807281316172,80.85118380626916,80.42889651635649,80.29579999139811,80.74036175410862,80.42889651635649,80.29579999139811,80.63938025871757,80.31438516352193,80.67983896035729,80.28263941482956,80.36729891086281,80.24907528667896,80.36179438938832,80.36729891086281,80.24907528667896
"W kernel support bw, ff1 [pixels]",80.52400920970447,85.41873004427184,80.61883756045985,81.77130963151951,80.420367689268,87.54060912162113,80.85746722200248,80.49199903797243,80.35063816759627,81.6306941385572,80.4969158810425,80.49199903797243,80.35063816759627,81.6306941385572,80.4969158810425,80.49199903797243,80.35063816759627,81.6306941385572,84.76234268589037,81.89967828323496,83.59186138713453,91.84316708897423,83.24940870047183,81.29401292077468,81.24004543100375,89.05985192229281,85.49377778321352,82.0515176709702,82.27419221218453,139.46533744447459,80.92239530585714,80.66130658743037,80.63376186246484,80.76563094099417,82.33634984579702,81.6404281717392,82.31970833577272,81.89921107101847,81.55863877245902,80.78688715332804,80.54301451460476,81.35640223111778,80.78688715332804,80.54301451460476,81.17193972866788,80.57708606110835,81.24586652521722,80.51888419517938,80.67405916824912,80.45733029246368,80.66397343397534,80.67405916824912,80.45733029246368
"W kernel support bw, ff2 [pixels]",81.47599879065876,94.57865177112316,80.95145982417888,82.71400615546764,80.64668474082589,91.36860388531794,82.40716341402177,81.38627739505559,80.9893537012726,84.54241597990327,81.40006265006951,81.38627739505559,80.9893537012726,84.54241597990327,81.40006265006951,81.38627739505559,80.9893537012726,84.54241597990327,87.23376659642803,82.90957410835858,85.47402316781482,97.66927810541968,84.95703706722838,81.98553470509557,81.90303551675154,93.6067026882777,88.32791640860917,83.14070766892495,83.479295057469,162.98008705421486,81.41690252188195,81.01662885282161,80.97436318420621,81.17664408361074,83.57373003035637,82.51445617922414,83.54845023795212,82.90886258658239,82.3896757987123,81.20923495209513,80.83506716139753,82.08087470718695,81.20923495209513,80.83506716139753,81.79888506662205,80.88737551130865,81.91193541903519,80.79801457705837,81.03619450582362,80.70347296402656,81.02072058846721,81.03619450582362,80.70347296402656
"W kernel support bw, ff3 [pixels]",84.1178439908375,116.78196077768786,81.74144849544206,84.92723701200322,81.1852886781322,99.94415200608341,86.65454054913499,83.87100617403974,82.77370765813993,92.3133088005204,83.90896000446828,83.87100617403974,82.77370765813993,92.3133088005204,83.90896000446828,83.87100617403974,82.77370765813993,92.3133088005204,92.88475714994327,85.27763191510977,89.81976978504586,110.38819944517189,88.91161219717127,83.61671504860547,83.46775856388214,103.6929197842468,94.77124009330261,85.69098409489276,86.29502906019067,208.94038188628724,82.58773663081791,81.86016357908682,81.78317865228435,82.15134766427026,86.46319386630678,84.56908884543036,86.41819003911303,85.27635817677145,84.34481488747922,82.21060075629848,81.5292409932435,83.78871778939856,82.21060075629848,81.5292409932435,83.27955005062192,81.62463849069616,83.48383315676762,81.46163782728856,81.89579115881625,81.28903794212539,81.86761486208263,81.89579115881625,81.28903794212539
"W kernel support bw, ff4 [pixels]",92.65405346031675,164.4067342387006,83.70885586243429,90.29466584617518,82.5333206121984,118.97525217819758,97.7230887193933,94.32812104274444,94.32812104274444,111.49933411095925,90.65597028381283,94.32812104274444,94.32812104274444,111.49933411095925,90.65597028381283,94.32812104274444,94.32812104274444,111.49933411095925,105.88011298396727,91.00497019247334,100.00037813472335,137.51734815240602,98.23085875108292,87.61438285140825,87.30727864782905,125.72720962434911,,,,,85.48215265949193,83.95871944777244,83.79672871337308,84.57003584765214,93.38967965560683,89.56594419587462,89.7049427915717,88.00311067945886,89.10819709992799,84.69416601171997,83.26129272596323,87.96836169511316,84.69416601171997,83.26129272596323,86.9185044494114,83.46264108515165,87.34044463037286,83.11846143699051,84.03363427640937,82.7532399128753,83.9743901416299,84.03363427640937,82.7532399128753
"W kernel support bw, ff5 [pixels]",,,86.06567580801381,96.48974083699002,84.16037487024042,138.89212234127407,,,,,,,,,,,,,119.96867573978987,97.59202933244889,111.26400652229839,164.95052509220713,,,,,,,,,88.91211870064897,86.46871633822944,86.20749416260966,87.45203208164142,101.26603012134318,95.35484244875386,,,94.63980440725763,87.65122710121243,85.34206133994853,92.8518007625298,87.65122710121243,85.34206133994853,91.19506604942602,85.66786735783724,91.86208358852744,85.11067402558098,86.58942821478172,84.51798573779048,86.49397176085384,86.58942821478172,84.51798573779048
"W kernel support bw, ff6 [pixels]",,,91.59239784707181,110.24041546068838,88.02439502174062,178.71196441451139,,,,,,,,,,,,,127.19222251306628,101.0977916043141,117.10919029656084,178.5193647484039,,,,,,,,,96.81814484481893,92.33961480788189,91.85561035367158,92.38518503021908,114.02361763383146,104.92616872310099,,,107.01997565611816,94.51773735935166,90.24439685797155,103.87504884221012,94.51773735935166,90.24439685797155,100.93007842293507,90.85237437714433,102.11950111519803,89.8115543599812,92.56292009498753,88.69874945514019,92.3863533661761,92.56292009498753,88.69874945514019
"W kernel support bw, ff7 [pixels]",,,97.8467388335777,124.84937408574564,92.47085789800197,217.38562854050403,,,,,,,,,,,,,,,,,,,,,,,,,105.57643877934731,98.96179476589182,98.23992622129693,,,,,,120.28730796718314,102.1928749846118,95.82603544757043,115.79765041801427,102.1928749846118,95.82603544757043,111.55879960895771,96.7389004714145,113.27508223814083,95.17460454566113,99.29435351304043,93.49379558808141,99.03142584416365,99.29435351304043,93.49379558808141
"W kernel support bw, ff8 [pixels]",,,102.84919956800522,136.01550476041447,96.07677821356017,245.50651975986105,,,,,,,,,,,,,,,,,,,,,,,,,112.46739652511287,104.24471006112796,103.3416160835606,,,,,,130.48557062168257,108.27258269669183,100.31252715993647,125.01937222092619,108.27258269669183,100.31252715993647,119.8336872075197,101.45975164723026,121.93644900488258,99.4925348872035,104.66034968065904,97.37151902482302,104.3317577031134,104.66034968065904,97.37151902482302
"W kernel support bw, ff9 [pixels]",,,109.79331863473605,150.95646071331788,101.14578375298267,281.89844785546467,,,,,,,,,,,,,,,,,,,,,,,,,121.89916844241351,111.56134855386152,110.41767719414135,,,,,,144.18926187408042,116.64137523836493,106.56798438345581,137.46983648013645,116.64137523836493,106.56798438345581,122.62590199298027,103.07671198863723,127.94757590759005,105.5220186587158,112.08711288111886,102.80836324086599,111.67149056020456,112.08711288111886,102.80836324086599
"W kernel support bw, ff10 [pixels]",,,116.94302937581132,165.82822320733035,106.43187556050162,317.1639178018526,,,,,,,,,,,,,,,,,,,,,,,,,131.4796139707451,119.07765477668941,117.69735290459235,,,,,,157.879405919508,125.1878284404745,113.03704548425137,149.96001948712924,125.1878284404745,113.03704548425137,,,,111.76683413984414,119.71159421011696,108.46274630407402,119.21048960772924,119.71159421011696,108.46274630407402
"W kernel support bw, ff11 [pixels]",,,125.93436521389373,180.5591354842383,111.87049857306702,351.44180799592596,,,,,,,,,,,,,,,,,,,,,,,,,141.11957306809703,126.71113785321332,125.09951986222684,,,,,,171.47710405092758,133.8249697440082,119.64424418572965,162.4053577190967,133.8249697440082,119.64424418572965,,,,118.15334506610343,127.45072015769874,114.2663886871644,126.86613953834687,127.45072015769874,114.2663886871644
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Working (cache) memory [TeraBytes],0.007296703287474795,1.553478745863506,0.22179409013038015,2.2236256294313024,0.11875526839092501,21.01204719043022,0.01942972735789776,0.012704471318068261,0.012704471318068261,0.03089208277754783,0.007102987637986949,0.012704471318068261,0.012704471318068261,0.03089208277754783,0.007102987637986949,0.012704471318068261,0.012704471318068261,0.03089208277754783,0.013465624918151446,0.002436465155394849,0.016133882136238373,0.10405476906455101,0.001988843600105897,0.0003626715150667043,3.4197609015314624e-05,0.03649720824700941,0.0009020595720051959,0.00016594423512486292,0.0003235004956789623,0.14382215357794698,0.09723388796177848,0.09061624920832104,0.08496389991751893,0.002822545496730824,0.03836322963188391,0.022384293147895456,0.0032228717225054166,0.003961949632199603,0.5459038697841905,0.14309731997297498,0.08160628056555058,0.3786174041907742,0.14309731997297498,0.08160628056555058,0.07954052588262368,0.02015652591637406,0.18269151632481928,0.08590061031099888,0.2363389573228852,0.13143096254271083,0.14969191279610497,0.2363389573228852,0.13143096254271083
Visibility I/O Rate [TeraBytes/s],1.2511061664074776,11.01659111424,5.258668558628569,10.517337117257139,2.490939472257251,10.517337117257139,8.018503658597757,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,0.49754813030459377,0.11056824250707471,0.11056824250707471,0.36720158963896665,0.1533291422953496,0.05111073376601331,0.0020563492411020895,0.17391782308940196,0.03955651808404299,0.013185953484089893,0.013185953484089893,0.046095715428078235,4.310681175266154,0.957933755650852,1.915867511301704,0.6657692405954102,0.39946154435724607,0.7989230887144921,0.27039443454919054,0.16223666072951434,8.71824638465931,2.906091589991751,5.812183179983502,8.764447597714284,2.906091589991751,5.812183179983502,5.450843057025488,1.816957026218208,3.633914052436416,7.281559070568832,2.427194416306637,4.854388832613274,8.764447597714284,2.427194416306637,4.854388832613274
Inter-Facet I/O Rate [TeraBytes/s],0.020974731709417892,1.9091666907061264,0.7458041840103166,97.75404600660022,0.4749157129423958,62.24815232678571,0.0016656353037523273,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0007402823572232566,0.00027925603324608446,0.0034907004155760556,0.010472101246728167,0.0035213627825418834,0.0005903824204840833,0.005124847400035446,0.04723059363872666,0.008257057281839382,0.0002491841703710101,0.0002491841703710101,0.30303286369033533,0.003735672868281195,0.00011273635542138033,0.0005871685178196893,0.09033910731448663,0.04931088186131177,0.005741203285348075,0.07176504106685094,0.03818982229721555,0.03241420102387122,0.40517751279839026,0.004930936753787215,0.005859292130271844,0.32341241961508493,0.009760045585091725,0.1708007977391052,0.05821423553071528,0.009760045585091725,0.1708007977391052,0.010377945198315168,0.003914862729131236,0.047576456777636555,0.02391621254296426,0.006265201997899685,0.15663004994749213,0.0538114782216696,0.006265201997899685,0.15663004994749213
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOPS],3.527745350358867,19.91654624326516,14.268664283187688,62.44337309226983,6.47885936716517,40.313281971430946,12.028320924360903,4.768865646777337,5.138758532011812,11.706791395051281,7.839066041705881,4.768865646777337,5.138758532011812,11.706791395051281,7.839066041705881,4.768865646777337,5.138758532011812,11.706791395051281,0.8162014504264957,0.32573214669595535,0.32577127613161394,1.224690793477341,0.25702911099957454,0.16153900608027083,0.009941210815026323,0.6507913870697977,0.07582363867366981,0.046961482499180404,0.04689566299848982,0.19285685007269446,6.001724362425809,2.519873684550201,2.483425351126547,1.6837964551857392,1.1326644852754264,1.2870433635391278,0.47759637251346565,0.5369414429263054,12.002784397074635,7.407059972225197,7.614379135393709,13.30632190773431,7.407059972225197,7.614379135393709,7.529379760979979,4.68875383598355,4.788599079361587,9.67459673109295,6.132424707051936,6.260844176784056,12.208338505483374,6.132424707051936,6.260844176784056
-> Degrid [PetaFLOPS],0.09609952450967513,0.7677481970774406,0.2812819117408032,4.49211058843951,0.08880070825330862,1.3379771451759719,0.32740673077299637,0.027878905708675183,0.05603516219316811,0.38138678712298185,0.1502986631231921,0.027878905708675183,0.05603516219316811,0.38138678712298185,0.1502986631231921,0.027878905708675183,0.05603516219316811,0.38138678712298185,0.018085452025087035,0.0011409025800536564,0.000980763942463253,0.03344757340499768,0.004198558764511001,0.0006629230288348149,0.00014065315797578284,0.01955185436475507,0.0015446981584004,0.00019046447161497597,0.00014202743122326212,0.0029519240605615942,0.11510407668201274,0.039664228953511155,0.015641134138210125,0.005901130937686006,0.003914757560626884,0.006839706588185743,0.003272325236010975,0.0014475132702095846,0.20758048450699404,0.02816289317235199,0.04948128065931135,0.4087798390056294,0.02816289317235199,0.04948128065931135,0.12562634261095515,0.018592802910454828,0.04138175838237878,0.10586471723252644,0.0202495434405222,0.03546141650357084,0.25504527980017966,0.0202495434405222,0.03546141650357084
