,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04a (PSS) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05a (PST) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
AW kernel support pred5 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,9.76376460124223,,,13.8821427543656,9.33737856392229,,,,,,,12.4406215187974,9.39394405979691,,,11.3604880167029,9.64505137264611,11.3604878453618,12.0463290893101,13.2979947143479,17.8219307479726,,,,,,,,,,,,,,,,14.2304350510447,9.76376460124223,,,9.86540987387654,9.01836539655211,9.86540987387654,11.3196369204302,11.8879201665873,,10.3167047234696,9.26482352656973,10.7765816438559,10.4586176107494,13.0607742394497,,,,,,,12.501078865234,9.4175022470101,12.5010787096312,10.6857834332864,13.0556308636002,,12.501078865234,9.4175022470101,12.5010787109821,10.6857834822797,13.0556308636002,,12.501078865234,9.4175022470101,12.5010787109821,10.6857834822797,13.0556308636002,,10.0552767264039,9.02260318442322,9.62374453765626,11.404482196253,12.4629647279016,,10.0552767264039,9.02260318442322,10.0552767264039,11.404482196253,12.4629647279016,,,,,,,,,,,11.9408851163879,10.4924264265179,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,11.0887734916696,,,12.4406215187974,9.39394405979691,12.4406215799309,11.0974848392166,11.9243490158643,10.7891213916662,10.7891213916662,,,10.8963066972184,9.04228875026343,10.8963066972184,11.9785478448453,10.5319573462386,10.5319573462386,14.8538959300017,,,10.2943366426436,9.02804700090931,10.2943366426436,12.1477383141692,13.1660737202424,13.1660737202424,13.1660737202424,,,9.97498338519668,9.02080178974588,9.97498338519668,12.221716933325,9.78135805899112,12.221716933325,12.221716933325,,,9.91737892998189,9.00999286120527,9.91737892998189,10.6645369032068,10.6645369032068,10.6645369032068,10.6645369032068,
AW kernel support pred6 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,11.7009054928191,,,14.9696949313069,10.2520812548567,,,,,,,12.4406215187974,10.4517781691899,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,11.7009054928191,,,10.6414921936361,9.0711681568745,10.6414921936361,11.3196369204302,14.1521906550074,,,,,,,,,,,,,12.501078865234,10.5341964792836,12.5010787096312,10.6857834332864,13.8099189495094,,12.501078865234,10.5341964792836,12.5010787109821,10.6857834822797,13.8099188559284,,12.501078865234,10.5341964792836,12.5010787109821,10.6857834822797,13.8099188559284,,10.9871584258459,9.0875410741719,10.194814172736,11.404482196253,15.1001285129424,,10.9871584258459,9.0875410741719,10.9871584258459,11.404482196253,15.1001285129424,,,,,,,,,,,11.9408851163879,13.9518741438664,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,12.8038959774396,,,12.4406215187974,10.4517781691899,12.4406215799309,11.0974848392166,11.9243490158643,12.2869368006222,12.2869368006222,,,12.4726633262635,9.16333966017453,12.4726633262635,11.9785478448453,11.837352424031,11.837352424031,18.906556399253,,,11.4164819675029,9.10854487855778,11.4164819675029,12.1477383141692,14.308873683148,16.2392030854896,16.2392030854896,,,10.8415116717793,9.08058366541033,10.8415116717793,12.2913084257241,10.4870287560628,14.7044191309494,14.7044191309494,,,10.7365439478372,9.03876410625351,10.7365439478372,12.0698583037875,12.0698583037875,12.0698583037875,12.0698583037875,
AW kernel support pred7 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,14.9510401119665,,,14.9696949313069,11.931973711121,,,,,,,12.4406215187974,12.3658405611912,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,14.9510401119665,,,11.5085486416751,9.17966073177977,11.5085486416751,11.3196369204302,16.4787228970842,,,,,,,,,,,,,12.501078865234,12.542927615523,12.5010787096312,10.6857834332864,13.8099189495094,,12.501078865234,12.542927615523,12.5010787109821,10.6857834822797,13.8099188559284,,12.501078865234,12.542927615523,12.5010787109821,10.6857834822797,13.8099188559284,,12.0160584639514,9.22071951085034,10.8437808618166,11.404482196253,17.7734645043519,,12.0160584639514,9.22071951085034,12.0160584639514,11.404482196253,17.7734645043519,,,,,,,,,,,11.9408851163879,19.2650117355507,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,14.6097077926693,,,12.4406215187974,12.3658405611912,12.4406215799309,11.0974848392166,11.9243490158643,13.8821402567981,13.8821402567981,,,13.0018070890327,9.40947445395594,13.001807165856,11.9785478448453,13.2432469481256,13.2432469481256,22.8704478275747,,,12.639166431733,9.27324077260829,12.639166431733,12.1477383141692,14.308873683148,19.3133466318289,19.3133466318289,,,11.8028964737834,9.20328484714546,11.8028964737834,12.2913084257241,11.279884615403,17.2346269051745,17.2346269051745,,,11.648665796787,9.09809524053618,11.648665796787,12.577503163782,13.5744242236734,13.5744242236734,13.5744242236734,
AW kernel support pred8 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,18.1185929139916,,,14.9696949313069,13.6884359995116,,,,,,,12.4406215187974,14.3410370195719,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,18.1185929139916,,,12.1951248926261,9.30862403381128,12.1951248926261,11.3196369204302,18.2210772896598,,,,,,,,,,,,,12.501078865234,14.6054878362982,12.5010787096312,10.6857834332864,13.8099189495094,,12.501078865234,14.6054878362982,12.5010787109821,10.6857834822797,13.8099188559284,,12.501078865234,14.6054878362982,12.5010787109821,10.6857834822797,13.8099188559284,,12.8236034973862,9.37859616770405,11.3646185399942,11.404482196253,19.7603612287892,,12.8236034973862,9.37859616770405,12.8236034973862,11.404482196253,19.7603612287892,,,,,,,,,,,11.9408851163879,24.1844421147491,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,15.9820571381306,,,12.4406215187974,14.3410370195719,12.4406215799309,11.0974848392166,11.9243490158643,15.1033328516347,15.1033328516347,,,13.0018070890327,9.69772740661183,13.001807165856,11.9785478448453,14.3275127280692,14.3275127280692,25.7623379674708,,,13.5897231489695,9.46780828940186,13.5897231489695,12.1477383141692,14.308873683148,21.5818249623335,21.5818249623335,,,12.560163863112,9.34890903438771,12.560163863112,12.2913084257241,11.9104546861455,19.1207287550281,19.1207287550281,,,12.3690825002488,9.16900684648109,12.3690825002488,12.577503163782,14.7301987833921,14.7301987833921,14.7301987833921,
AW kernel support pred9 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,23.1276021777022,,,14.9696949313069,16.6132523677547,,,,,,,12.4406215187974,17.5949223436018,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,23.1276021777022,,,13.1399210089479,9.55680388809559,13.1399210089479,11.3196369204302,20.5189156386726,,,,,,,,,,,,,12.501078865234,17.9899182511193,12.5010787096312,10.6857834332864,13.8099189495094,,12.501078865234,17.9899182511193,12.5010787109821,10.6857834822797,13.8099188559284,,12.501078865234,17.9899182511193,12.5010787109821,10.6857834822797,13.8099188559284,,13.9266680158598,9.68116475986012,12.0898191470936,11.404482196253,22.3673447876459,,13.9266680158598,9.68116475986012,13.9266680158598,11.404482196253,22.3673447876459,,,,,,,,,,,11.9408851163879,31.7354125413675,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,17.8106402876238,,,12.4406215187974,17.5949223436018,12.4406215799309,11.0974848392166,11.9243490158643,16.7392497929249,16.7392497929249,,,13.0018070890327,10.2404838851761,13.001807165856,11.9785478448453,15.7881343347052,15.7881343347052,29.5121710628882,,,14.8782295227275,9.83878560004599,14.8782295227275,12.1477383141692,14.308873683148,24.5443999798079,24.5443999798079,,,13.5976247458222,9.6284824199026,13.5976247458222,12.2913084257241,12.7814413992467,21.6003456751707,21.6003456751707,,,13.3583034723785,9.30663714328848,13.3583034723785,12.577503163782,16.2824719445948,16.2824719445948,16.2824719445948,
AW kernel support pred10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,28.8818479869893,,,14.9696949313069,20.1039936980222,,,,,,,12.4406215187974,21.4453748202754,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,28.8818479869893,,,14.1044946152131,9.90361018137938,14.1044946152131,11.3196369204302,22.7785839925309,,,,,,,,,,,,,12.501078865234,19.9170654249992,12.5010787096312,10.6857834332864,13.8099189495094,,12.501078865234,19.9170654249992,12.5010787109821,10.6857834822797,13.8099188559284,,12.501078865234,19.9170654249992,12.5010787109821,10.6857834822797,13.8099188559284,,15.0450033432579,10.1014328912641,12.8387536668325,11.404482196253,24.9205181303124,,15.0450033432579,10.1014328912641,15.0450033432579,11.404482196253,24.9205181303124,,,,,,,,,,,11.9408851163879,40.2474755676528,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,19.6242250553888,,,12.4406215187974,21.4453748202754,12.4406215799309,11.0974848392166,11.9243490158643,18.3691807715645,18.3691807715645,,,13.0018070890327,10.9761815399247,13.001807165856,11.9785478448453,17.2505045975362,17.2505045975362,33.1511142258896,,,16.1754583774344,10.3503192099543,16.1754583774344,12.1477383141692,14.308873683148,27.4351748472238,27.4351748472238,,,14.6523639633183,10.0177919719555,14.6523639633183,12.2913084257241,13.6738736117452,24.0326070561747,24.0326070561747,,,14.3661562916227,9.50144838567454,14.3661562916227,12.577503163782,17.832516161232,17.832516161232,17.832516161232,
AW kernel support pred11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,35.271486212649,,,14.9696949313069,24.0715711453714,,,,,,,12.4406215187974,25.7977401196745,,,,,,,,,,,,,,,,,,,,,,,,14.2304350510447,35.271486212649,,,15.0790667112735,10.357639830008,15.0790667112735,11.3196369204302,24.9971612528605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1685718441833,10.6476738148938,13.6027776243215,11.404482196253,27.420020212217,,16.1685718441833,10.6476738148938,16.1685718441833,11.404482196253,27.420020212217,,,,,,,,,,,11.9408851163879,49.6039785637525,11.9408850978377,11.5513682397506,12.3690591793187,12.9996138103368,21.4158278373378,,,12.4406215187974,25.7977401196745,12.4406215799309,11.0974848392166,11.9243490158643,19.9848241729486,19.9848242876997,,,13.0018070890327,11.9065574310367,13.001807165856,11.9785478448453,18.7053898496413,18.7053897388856,36.691331915035,,,17.471577754635,11.0095478832052,17.471577754635,12.1477383141692,14.308873683148,30.257981307063,30.2579812088744,,,15.7143985505465,10.5253170011866,15.7143985505465,12.2913084257241,14.578247836233,26.4163675603398,26.4163675116671,,,15.3827450092993,9.76063125454579,15.3827450092993,12.577503163782,19.371549157342,19.3715491165006,19.3715490679487,
W kernel support bw0 [uv-pixels],(undefined),9.57143956160497,0.184552059234358,9.571439561607,4.0042653679769,5.80248237867397,5.48383297118969,(undefined),(undefined),9.57143956160497,0.184552059234358,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,(undefined),(undefined),9.57143956160497,0.184552059234358,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,(undefined),(undefined),8.42697211496115,0.089815587272944,(undefined),(undefined),3.71642724089799,0.203577306136012,(undefined),(undefined),2.44185175121119,0.13388898532414,(undefined),(undefined),8.42697211496115,0.089815587272944,(undefined),(undefined),2.64268634221359,0.144877327058177,(undefined),(undefined),5.64964580399185,0.186538231963914,5.64964580399185,8.00712461049268,9.78962018787378,10.8668037669713,(undefined),4.1910298664208,0.138515193216766,4.91134305180645,5.80346310872222,8.05647430724013,7.14073755488436,(undefined),3.87989352648758,0.128260976921851,7.0479290983931,4.50565003700396,5.63037564713201,6.52844624936274,(undefined),3.71642724089799,0.203577306136012,(undefined),(undefined),0.93602207236209,0.031024556331045,0.93602207236209,1.79624238361015,1.79624238361015,(undefined),5.04325255675943,0.149232207601842,5.92745408473928,5.32753998838841,8.6829977296879,(undefined),4.11921803038862,0.289737512562582,4.77668612839688,6.97806636303124,(undefined),3.43265434989734,0.149232207601842,3.43265434989734,2.18590266066255,2.18590266066255,(undefined),3.43265434989734,0.149232207601842,3.43265434989734,2.18590266066255,2.18590266066255,(undefined),3.43265434989734,0.149232207601842,3.43265434989734,2.18590266066255,2.18590266066255,(undefined),1.03857510605456,0.034419547320174,0.789806602242496,1.99318784778264,1.99318784778264,(undefined),1.03857510605456,0.034419547320174,1.03857510605456,1.99318784778264,1.99318784778264,(undefined),8.50193613969556,0.172645613803233,8.50193613966403,3.52845995789628,3.76293889670481,5.13422756345775,9.48976639099324,(undefined),(undefined),3.6272179352285,0.289737512562582,3.6272179352285,4.2504127798264,4.2504127798264,2.75720796240937,1.49891753870056,(undefined),(undefined),2.64268634221359,0.144877327058177,2.64268634221359,2.12200056457862,2.12200056457862,1.3771697592003,1.3771697592003,(undefined),(undefined),1.42153788069074,0.047091689791231,1.42153788069074,2.72883921392303,1.26631956429386,1.26631956429386,2.72883921392303,(undefined),(undefined),1.15712382285981,0.038343240662603,1.15712382285981,2.22088076245655,2.22088076245655,2.22088076245655,2.22088076245655,(undefined),(undefined),0.996265678228778,0.033018987131036,0.996265678228778,1.91193287832862,0.887517112172286,1.91193287832862,1.91193287832862,(undefined),(undefined),0.964983185345311,0.022884533742185,0.964983185345311,1.32430130226189,1.32430130226189,1.32430130226189,1.32430130226189,(undefined)
W kernel support bw1 [uv-pixels],,9.57143956160497,0.52232419743353,9.571439561607,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,0.52232419743353,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,0.52232419743353,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,8.42697211496115,0.254136932091098,,,5.04253033226784,0.374122427754678,,,3.31232029165039,0.246032988118057,,,8.42697211496115,0.254136932091098,,,3.58490041420016,0.266228736459046,,,6.93258162430488,0.34280244008143,6.93258134352658,8.00712461049268,9.78962018787378,14.7600108069607,,5.08797979371163,0.25453555463277,5.50199467646941,5.80346310872222,8.75489689103378,9.69412837635372,,4.27973776916639,0.235689312523438,7.0479290983931,4.50565003700396,5.63037564713201,8.86208399841246,,5.04253033226784,0.374122427754678,,,1.2692209980431,0.05700128075989,1.2692209980431,2.43620995724467,2.43620995724467,,5.04325255675943,0.274232808234556,5.92745408473928,5.32753998838841,9.46487314938091,,4.11921803038862,0.532510440486711,4.77668612839688,6.97806636303124,,4.65725287908897,0.274232808234556,4.65725287908896,2.96496493503702,2.96496493503702,,4.65725287908897,0.274232808234556,4.65725287908897,2.96496493503702,2.96496493503702,,4.65725287908897,0.274232808234556,4.65725287908897,2.96496493503702,2.96496493503702,,1.40832245652143,0.063239322386565,1.07090871228489,2.70344806072199,2.70344806072199,,1.40832245652143,0.063239322386565,1.40832245652143,2.70344806072199,2.70344806072199,,8.50193613969556,0.488612769586662,8.50193613966403,3.52845995789628,3.76293889670481,5.13422756345775,9.48976639099324,,,4.92140753159708,0.532510440486711,4.92140753159708,5.767610431797,5.767610431797,3.74034186623657,2.0328052807714,,,3.58490041420016,0.266228736459046,3.58490041420016,2.87824675086934,2.87824675086934,1.86763458226196,1.86763458226196,,,1.92782617326474,0.086524045464332,1.92782617326474,3.70183608594335,1.71725579811596,1.71725579811596,3.70183608594335,,,1.56912870008654,0.070448903329765,1.56912870008654,3.01243274910155,3.01243274910155,3.01243274910155,3.01243274910155,,,1.35093371921841,0.060665889210055,1.35093371921841,2.59318956791697,1.20343201017355,2.59318956791697,2.59318956791697,,,1.30850273104683,0.042044904243553,1.30850273104683,1.79591260234358,1.79591260234358,1.79591260234358,1.79591260234358,
W kernel support bw2 [uv-pixels],,9.57143956160497,1.47923304611943,9.571439561607,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,1.47923304611943,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,1.47923304611943,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,8.42697211496115,0.719373645795209,,,6.26231551820893,0.57619467561472,,,4.11269453272736,0.378889867440776,,,8.42697211496115,0.719373645795209,,,4.45129858556229,0.409996915864168,,,6.93258162430488,0.52794791640941,6.93258134352658,8.00712461049268,9.78962018787378,15.3824970529992,,5.08797979371163,0.391986088511534,5.50199467646941,5.80346310872222,8.75489689103378,12.0447806209489,,4.27973776916639,0.362958020704464,7.0479290983931,4.50565003700396,5.63037564713201,9.27679136431946,,6.26231551820893,0.57619467561472,,,1.57541587273374,0.087767728065073,1.57541587273374,3.02451439363923,3.02451439363923,,5.04325255675943,0.422325600764416,5.92745408473928,5.32753998838841,9.46487314938091,,4.11921803038862,0.820205322192654,4.77668612839688,6.97806636303124,,5.78358085733035,0.422325600764416,5.78358085733035,3.68123270439677,3.68123270439677,,5.78358085733035,0.422325600764416,5.78358085733035,3.68123270439677,3.68123270439677,,5.78358085733035,0.422325600764416,5.78358085733035,3.68123270439677,3.68123270439677,,1.74811921304325,0.097373429969364,1.32921132559501,3.356416229676,3.356416229676,,1.74811921304325,0.097373429969364,1.74811921304325,3.356416229676,3.356416229676,,8.50193613969556,1.38368547975766,8.50193613966403,3.52845995789628,3.76293889670481,5.13422756345775,9.48976639099324,,,6.11180802421344,0.820205322192654,6.11180802421344,7.16337269346862,7.16337269346862,4.64439966271234,2.52353904170952,,,4.45129858556229,0.409996915864168,4.45129858556229,3.57352239259396,3.57352239259396,2.31843382868733,2.31843382868733,,,2.3931773382757,0.133229550071763,2.3931773382757,4.59656429220413,2.13170477348552,2.13170477348552,4.59656429220413,,,1.94777927370444,0.108475300979959,1.94777927370444,3.7401920958887,3.7401920958887,3.7401920958887,3.7401920958887,,,1.67686655673841,0.093410693363654,1.67686655673841,3.21947586172153,1.49373719423372,3.21947586172153,3.21947586172153,,,1.62418591707398,0.064737493129803,1.62418591707398,2.22937391986335,2.22937391986335,2.22937391986335,2.22937391986335,
W kernel support bw3 [uv-pixels],,9.57143956160497,4.19450129441105,9.571439561607,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,4.19450129441105,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,9.57143956160497,4.19450129441105,6.81228942360934,4.0042653679769,5.80248237867397,5.48383297118969,,,8.42697211496115,2.03789311349004,,,8.50047745124746,1.05925522179903,,,5.58059669782713,0.696422506867957,,,8.42697211496115,2.03789311349004,,,6.04041561411289,0.753619965362703,,,6.93258162430488,0.970523025436793,6.93258134352658,8.00712461049268,9.78962018787378,15.3824970529992,,5.08797979371163,0.720502599168564,5.50199467646941,5.80346310872222,8.75489689103378,13.0461766613623,,4.27973776916639,0.667129046216755,7.0479290983931,4.50565003700396,5.63037564713201,9.27679136431946,,8.50047745124746,1.05925522179903,,,2.13659207423949,0.16127089485079,2.13659207423949,4.10318318845225,4.10318318845225,,5.04325255675943,0.776289807319084,5.92745408473928,5.32753998838841,9.46487314938091,,4.11921803038862,1.50810539890721,4.77668612839688,6.97806636303124,,7.85005562756539,0.776289807319084,7.85005562756539,4.99474500222574,4.99474500222574,,7.85005562756539,0.776289807319084,7.85005562756539,4.99474500222574,4.99474500222574,,7.85005562756539,0.776289807319084,7.85005562756539,4.99474500222574,4.99474500222574,,2.37091407063791,0.178923604964231,1.80257352888957,4.5537504625361,4.5537504625361,,2.37091407063791,0.178923604964231,2.37091407063791,4.5537504625361,4.5537504625361,,8.50193613969556,3.92313905236729,8.50193613966403,3.52845995789628,3.76293889670481,5.13422756345775,9.48976639099324,,,7.84759436787954,1.50810539890721,7.84759433965357,7.24113998002511,8.48490571435468,6.30266382911804,3.42318698881258,,,6.04041561411289,0.753619965362703,6.04041561411289,4.84850469335593,4.84850469335593,3.1448225198645,3.1448225198645,,,3.24626048098044,0.244821010441433,3.24626048098044,6.23769785890712,2.89141569164733,2.89141569164733,6.23769785890712,,,2.64183071743802,0.199326372832092,2.64183071743802,5.07479731955794,5.07479731955794,5.07479731955794,5.07479731955794,,,2.2742372619949,0.171641105894752,2.2742372619949,4.36784373179276,2.02577712559574,4.36784373179276,4.36784373179276,,,2.20276106774505,0.118949209660308,2.20276106774505,3.02395866992537,3.02395866992537,3.02395866992537,3.02395866992537,
