,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Visibilities kernel pred0 [1],42.4999626477837,2.055931481807782,2.055931481814626,1.904674501634265,3.1662109287651536,3.16621093029506,112.69683142934099,21.872748608855915,2.864787876151377,69.04211074207839,4.656606878830759,4.656606876063058,4.038530030932387,4.036582299686085,6.249705947463112,361.81943714412523,67.54532540035117,18.096662698722266,227.91564238027888,5.252418227292184,5.252418225257341,3.9069188194056186,16.077824012099516,16.09487987475991,691.2620966191686,233.8848201105275,17.02292272432288,766.3246676590757,6.870808454369782,6.870808453125386,16.284747280320445,16.257078170852186,16.28776218350457,1064.9039510466441,786.7066342294141,17.112588926354476,2099.3957749664332,6.711796113277764,6.711796116581392,16.14841284085025,16.122077682717006,16.151283822370566,2371.263595505108,2155.621683005477,16.966572156219502,477.2874239877835,7.086982335177533,7.086982334174838,16.92954657460887,16.908576668767004,16.931641185945608,630.1324990375231,478.59719933224505,17.837799005877134
Visibilities kernel pred1 [1],25.312817902426026,4.0876741785323665,4.087674178570528,3.789532384557365,6.280096798445584,6.280096806913132,150.43576529313427,18.091268712575832,7.947640587453013,77.24877794373874,8.263489364150942,8.263489355225579,6.249552838657336,6.2440487156544355,13.977495663039232,486.50498850424503,76.30837578858558,40.685429239437056,262.39081717939183,10.554690148572998,10.554690141138813,5.844415809334625,36.67632646001698,36.74662790523523,962.7285238536236,268.8257455690208,39.35581375926316,979.6677898756134,15.394067793963368,15.394067788877882,37.3793975355844,37.263642120043706,37.3920390629975,1550.4644657404722,1004.0488995978449,39.569555954119416,2835.5730452546213,15.26810230228979,15.26810231600239,35.79324175207425,35.68681478211071,35.804869259529475,3512.618776885037,3010.5896971735324,39.23242999928811,601.3167289288588,16.02278780314215,16.022787798995974,37.99338390355604,37.907402160553175,38.001986294896525,919.2751186349088,616.2960486133001,40.13181784757058
Visibilities kernel pred2 [1],23.651179213391636,8.057110951625882,8.057110951832898,7.484530379545974,19.509399769864462,19.509399841349317,272.76962639994053,21.297041823562193,31.54118170659635,83.77115818288225,14.585004068739156,14.585004044803043,11.013744634287018,10.998920812628947,25.039411586816218,587.6175471571477,83.5854110898474,72.22543589010965,283.40437364887987,18.518071438338794,18.518071418508498,10.275840328606876,64.46999248638548,64.65652396082974,1194.4889466184304,296.94123313090984,69.93888651316537,1117.8943269529098,27.233695683857672,27.23369567012674,66.1771284546826,65.8646530430302,66.21134425566068,2000.6741633132674,1171.6576045405102,70.34098633571573,3571.284790598178,27.015932725285666,27.015932762332632,65.6427495100538,65.34502632945983,65.67535980412853,4610.958451436342,3743.90523639384,69.74351362838017,689.9389927959164,28.61179782068931,28.611797809356766,67.34217702446534,67.10913827158976,67.36553727436275,1188.4763723356398,723.136840178298,71.34082628861574
Visibilities kernel pred3 [1],32.22331489769707,28.71892675974726,28.71892676168798,26.818773825482936,86.05682673020648,86.05682673020648,444.43768053871514,24.869697599068115,119.03127573249401,94.40020858150181,32.27109224004813,32.27109214576691,25.03771641920248,24.9769192435893,54.63055918599093,749.6814765923818,96.20698654693159,161.56836708481723,314.108409147076,42.052354690672935,42.052354610402666,22.955254038338467,141.33622055679348,142.05331587616442,1579.165811707345,344.7678386980722,157.12910947826333,1308.2105910934094,60.57930686818232,60.5793068132401,147.4560494185483,146.20656499484846,147.59371671037715,2811.372568697375,1436.2635739108712,158.23784272628004,4521.944830804473,60.121164316686084,60.12116446511199,146.3204256641459,145.1283548849662,146.4517758566355,6682.652283430536,4965.696163663239,156.9107458268252,812.255246969065,64.88903641218243,64.88903636562668,150.45890597479206,149.5182454133523,150.55362868284888,1675.5868292922921,891.7800045358879,160.48991609091138
Visibilities kernel pred4 [1],56.00196356480614,102.05256568555046,102.05256568555046,97.57259148060747,351.11384247980527,351.11384247980527,635.0350441663563,28.813819283091508,346.6268756892753,103.23606983928542,86.12928735354765,86.12928685221496,69.38212716262798,69.03582687934018,154.97152926913668,959.8064283365118,113.30278245354397,448.505824205256,373.06390574055115,109.59461171430316,109.59461129627995,64.4436609072732,388.09291533379866,391.8871532056907,2092.9092112026615,409.46056490079485,445.60218322115395,1619.2851050721383,166.1887914641293,166.18879115651092,419.9736863511448,412.7496969769427,420.78133491702664,4005.075923376666,1777.588044786718,451.73880778185617,6014.311908318564,165.1012865473038,165.10128738084668,417.1120417517579,410.19850404878014,417.88463569166396,9957.790671414767,6603.547566895885,448.20063617813804,1010.2436907583259,171.38278719896923,171.38278694374466,431.31042736149146,425.74882133517605,431.87663856548704,2397.788990892565,1109.0234048193788,458.2091092303476
Visibilities kernel pred5 [1],,,,,,,,,,126.96278450511521,172.8949656306252,172.89496410373965,135.20826562528885,134.1493624918292,299.9541079888122,1019.7626167569908,116.11809734681258,828.7825068821226,384.25786444063914,213.66788582865084,213.66788458829035,123.71757995780804,678.5567078553886,688.2894052770698,2258.3763928241206,421.73806690746443,859.3377119966455,1696.6466819818322,325.45537331831616,325.4553723804957,762.5033109435961,742.2030206805719,764.8095600308469,4487.647432026217,1862.4044981398301,883.8429631924581,6500.77490693538,323.68890461119014,323.68890716090453,758.0610120408048,738.5669172230672,760.2735826317852,11474.54526878444,7137.044394790356,878.0095929308386,1060.552578974239,338.8387476704621,338.8387468700172,788.8119596258166,772.7905716175595,790.4633959691636,2693.7587221381827,1164.1804705985644,896.6799182831411
Visibilities kernel pred6 [1],,,,,,,,,,148.15303209272616,370.23094021297067,370.23093487712777,311.7379482892642,307.4834652780515,643.8547598301305,1108.9560737347906,121.94728857955243,1768.2942313289263,541.7468338204892,480.731526385,480.73152180426445,309.0053091974781,1869.5229384246106,1910.757552281336,2489.322379120856,445.93222300534507,2103.246227513167,2431.1751602206805,714.5812068872619,714.5812033559865,2252.003847532762,2150.344735950509,2263.9306069435374,5126.996219409238,2001.3999941875697,2296.572829251268,9568.69718147726,712.3051924171575,712.3052020824009,2243.469935802546,2145.1821731604123,2254.981230349507,13510.526888692928,7878.150522036045,2294.1543939135586,1522.1894463811086,910.4256061628494,910.4256023285568,2365.5900079442677,2281.187247908752,2374.5205501462474,3085.8081183026056,1253.1135060859704,2331.9867620095865
Visibilities kernel pred7 [1],,,,,,,,,,173.6292399489082,611.7281074708072,611.7280958406043,599.0204358503343,587.5969644251289,1199.1912439499597,1766.0359938906392,190.55527248099554,2773.155433258184,638.0740555677467,836.0440601117546,836.0440495523084,514.4081192213472,3380.4856021545847,3474.38128850255,3987.6744718837654,700.2897450200359,3827.4992260390172,2888.700620598346,1357.2872612742399,1357.287252039023,4312.288294496507,4046.926344103539,4344.344184232271,8347.570592106149,3170.6269214625345,4622.910419312602,11503.99053349842,1355.7337297256615,1355.7337551577386,4304.206025907413,4046.06375498647,4335.321216113915,22326.633079890897,12628.009019775738,4670.043748177956,1809.9911619033517,1467.818639880923,1467.8186310532271,4596.974355510429,4366.0264677415535,4622.037652484336,5030.598113061702,1986.6543828212561,4702.4260718736305
Visibilities kernel pred8 [1],,,,,,,,,,150.04792045500412,822.284698695096,822.284680751059,822.6235289856068,803.9410013840379,1793.2382602332975,1541.8020582491304,164.67474585284535,2718.3049741953864,553.124459029026,1172.3748928682446,1172.37487582211,691.904526788736,3726.022341499574,3841.6143671287555,3490.366484012321,607.0540191819674,4105.4292946956475,2515.96360399653,2055.077536037444,2055.0775195468727,4923.355113652407,4568.351713731495,4967.071924644643,7358.9326852567165,2761.4691139063757,5445.1094645777075,10072.347623475822,2055.486354230932,2055.486399824996,4920.502491915318,4573.765268755784,4963.099727919175,19815.350692399476,11056.179919019783,5572.018262940561,1576.9891792834424,2250.219601433719,2250.219585075608,5301.942624003812,4983.063028038789,5337.16108937228,4437.3248848971125,1730.8817670873352,5549.728199290954
Visibilities kernel pred9 [1],,,,,,,,,,255.34869066148931,1151.9885046556499,1151.9884760213772,1180.6618468082684,1148.830262625096,1848.776048996839,1326.1316610243002,140.11983963318224,5162.402437842302,944.6678654075595,1754.766975965909,1754.76694681197,1202.292264490012,8212.16388803205,8494.169260634422,3009.0496368993586,518.3839246230167,8494.373827930493,4318.567102123931,2338.499097079709,2338.4990750538095,11274.581355953955,10327.192734468721,11393.847165554585,6384.064493252449,2369.949170617371,12856.527921888977,17371.42647456908,2342.570803358518,2342.5708645374666,11285.193991979459,10355.597206436683,11401.93165654628,17293.19888896805,9533.849194612962,13470.636903441964,2707.7437642365594,3897.263811487208,3897.2637772567255,12289.845414712217,11406.912225428388,12389.434781821761,3851.4200150743077,1485.9677603020393,13149.647728317703
Visibilities kernel pred10 [1],,,,,,,,,,223.07906733395956,1674.8097170565525,1674.8096714243152,1313.226937877794,1273.084020286537,2735.4419320244074,1168.8252953078747,122.41202274078118,4187.3118393628665,827.8645046201708,1915.797406221369,1915.797371244041,1347.7019231983443,8316.485749690179,8316.485749690179,2656.330824905434,454.2868121982799,8454.544258525599,3800.2568653299245,3872.0604202411027,3872.060379281644,12510.781066948572,11337.060206072238,12661.281042315495,5659.5011513619975,2085.487557093841,14509.221833936266,15337.975396273583,3883.7878204538974,3883.78793465877,12538.803580828868,11382.70634508132,12686.683413536002,15391.939960747543,8417.678341989576,15674.67522014574,2383.35070698149,4355.945863886735,4355.945819844714,13782.101593338724,12653.472463603406,13911.763687989642,3415.4420335745936,1307.9308401702972,14904.657948881546
Visibilities kernel pred11 [1],,,,,,,,,,198.59760288862444,1793.457423353072,1793.4573710788034,1840.157416865788,1840.157416865788,2653.57271549841,1048.4612499503448,108.97796487939814,3418.6321889229775,739.064379661533,3080.3929921356835,3080.3929318520095,1969.2237969241808,8027.429992481164,8027.429992481164,2385.5976774018022,405.5570788443858,8252.373437486125,3404.699996511177,4187.981918843314,4187.981870507931,13590.997109934347,12206.532261733899,13771.259373800656,5098.081516074646,1868.4002099436866,15818.145568991828,13776.587358662868,4205.162094999441,4205.162230200596,13636.436393564903,12268.40923671808,13814.143127320775,13904.608516059085,7560.654780499664,17720.986475762926,2135.6961123565966,4761.4853032471465,4761.485249608914,15109.173494215485,13742.195993987663,15268.735118990207,3077.3642287264315,1172.0131130127063,16328.629801923304
Visibilities kernel bw0 [1],42.4999626477837,2.055931481807782,2.055931481814626,1.904674501634265,3.1662109287651536,3.16621093029506,112.69683142934099,21.872748608855915,2.864787876151377,69.04211074207839,4.656606878830759,4.656606876063058,4.038530030932387,4.036582299686085,6.249705947463112,361.81943714412523,67.54532540035117,18.096662698722266,227.91564238027888,5.252418227292184,5.252418225257341,3.9069188194056186,16.077824012099516,16.09487987475991,691.2620966191686,233.8848201105275,17.02292272432288,766.3246676590757,6.870808454369782,6.870808453125386,16.284747280320445,16.257078170852186,16.28776218350457,1064.9039510466441,786.7066342294141,17.112588926354476,2099.3957749664332,6.711796113277764,6.711796116581392,16.14841284085025,16.122077682717006,16.151283822370566,2371.263595505108,2155.621683005477,16.966572156219502,477.2874239877835,7.086982335177533,7.086982334174838,16.92954657460887,16.908576668767004,16.931641185945608,630.1324990375231,478.59719933224505,17.837799005877134
Visibilities kernel bw1 [1],25.312817902426026,4.0876741785323665,4.087674178570528,3.789532384557365,6.280096798445584,6.280096806913132,150.43576529313427,18.091268712575832,7.947640587453013,77.24877794373874,8.263489364150942,8.263489355225579,6.249552838657336,6.2440487156544355,13.977495663039232,486.50498850424503,76.30837578858558,40.685429239437056,262.39081717939183,10.554690148572998,10.554690141138813,5.844415809334625,36.67632646001698,36.74662790523523,962.7285238536236,268.8257455690208,39.35581375926316,979.6677898756134,15.394067793963368,15.394067788877882,37.3793975355844,37.263642120043706,37.3920390629975,1550.4644657404722,1004.0488995978449,39.569555954119416,2835.5730452546213,15.26810230228979,15.26810231600239,35.79324175207425,35.68681478211071,35.804869259529475,3512.618776885037,3010.5896971735324,39.23242999928811,601.3167289288588,16.02278780314215,16.022787798995974,37.99338390355604,37.907402160553175,38.001986294896525,919.2751186349088,616.2960486133001,40.13181784757058
Visibilities kernel bw2 [1],23.651179213391636,8.057110951625882,8.057110951832898,7.484530379545974,19.509399769864462,19.509399841349317,272.76962639994053,21.297041823562193,31.54118170659635,83.77115818288225,14.585004068739156,14.585004044803043,11.013744634287018,10.998920812628947,25.039411586816218,587.6175471571477,83.5854110898474,72.22543589010965,283.40437364887987,18.518071438338794,18.518071418508498,10.275840328606876,64.46999248638548,64.65652396082974,1194.4889466184304,296.94123313090984,69.93888651316537,1117.8943269529098,27.233695683857672,27.23369567012674,66.1771284546826,65.8646530430302,66.21134425566068,2000.6741633132674,1171.6576045405102,70.34098633571573,3571.284790598178,27.015932725285666,27.015932762332632,65.6427495100538,65.34502632945983,65.67535980412853,4610.958451436342,3743.90523639384,69.74351362838017,689.9389927959164,28.61179782068931,28.611797809356766,67.34217702446534,67.10913827158976,67.36553727436275,1188.4763723356398,723.136840178298,71.34082628861574
Visibilities kernel bw3 [1],32.22331489769707,28.71892675974726,28.71892676168798,26.818773825482936,86.05682673020648,86.05682673020648,444.43768053871514,24.869697599068115,119.03127573249401,94.40020858150181,32.27109224004813,32.27109214576691,25.03771641920248,24.9769192435893,54.63055918599093,749.6814765923818,96.20698654693159,161.56836708481723,314.108409147076,42.052354690672935,42.052354610402666,22.955254038338467,141.33622055679348,142.05331587616442,1579.165811707345,344.7678386980722,157.12910947826333,1308.2105910934094,60.57930686818232,60.5793068132401,147.4560494185483,146.20656499484846,147.59371671037715,2811.372568697375,1436.2635739108712,158.23784272628004,4521.944830804473,60.121164316686084,60.12116446511199,146.3204256641459,145.1283548849662,146.4517758566355,6682.652283430536,4965.696163663239,156.9107458268252,812.255246969065,64.88903641218243,64.88903636562668,150.45890597479206,149.5182454133523,150.55362868284888,1675.5868292922921,891.7800045358879,160.48991609091138
Visibilities kernel bw4 [1],56.00196356480614,102.05256568555046,102.05256568555046,97.57259148060747,351.11384247980527,351.11384247980527,635.0350441663563,28.813819283091508,346.6268756892753,103.23606983928542,86.12928735354765,86.12928685221496,69.38212716262798,69.03582687934018,154.97152926913668,959.8064283365118,113.30278245354397,448.505824205256,373.06390574055115,109.59461171430316,109.59461129627995,64.4436609072732,388.09291533379866,391.8871532056907,2092.9092112026615,409.46056490079485,445.60218322115395,1619.2851050721383,166.1887914641293,166.18879115651092,419.9736863511448,412.7496969769427,420.78133491702664,4005.075923376666,1777.588044786718,451.73880778185617,6014.311908318564,165.1012865473038,165.10128738084668,417.1120417517579,410.19850404878014,417.88463569166396,9957.790671414767,6603.547566895885,448.20063617813804,1010.2436907583259,171.38278719896923,171.38278694374466,431.31042736149146,425.74882133517605,431.87663856548704,2397.788990892565,1109.0234048193788,458.2091092303476
Visibilities kernel bw5 [1],,,,,,,,,,126.96278450511521,172.8949656306252,172.89496410373965,135.20826562528885,134.1493624918292,299.9541079888122,1019.7626167569908,116.11809734681258,828.7825068821226,384.25786444063914,213.66788582865084,213.66788458829035,123.71757995780804,678.5567078553886,688.2894052770698,2258.3763928241206,421.73806690746443,859.3377119966455,1696.6466819818322,325.45537331831616,325.4553723804957,762.5033109435961,742.2030206805719,764.8095600308469,4487.647432026217,1862.4044981398301,883.8429631924581,6500.77490693538,323.68890461119014,323.68890716090453,758.0610120408048,738.5669172230672,760.2735826317852,11474.54526878444,7137.044394790356,878.0095929308386,1060.552578974239,338.8387476704621,338.8387468700172,788.8119596258166,772.7905716175595,790.4633959691636,2693.7587221381827,1164.1804705985644,896.6799182831411
Visibilities kernel bw6 [1],,,,,,,,,,148.15303209272616,370.23094021297067,370.23093487712777,311.7379482892642,307.4834652780515,643.8547598301305,1108.9560737347906,121.94728857955243,1768.2942313289263,541.7468338204892,480.731526385,480.73152180426445,309.0053091974781,1869.5229384246106,1910.757552281336,2489.322379120856,445.93222300534507,2103.246227513167,2431.1751602206805,714.5812068872619,714.5812033559865,2252.003847532762,2150.344735950509,2263.9306069435374,5126.996219409238,2001.3999941875697,2296.572829251268,9568.69718147726,712.3051924171575,712.3052020824009,2243.469935802546,2145.1821731604123,2254.981230349507,13510.526888692928,7878.150522036045,2294.1543939135586,1522.1894463811086,910.4256061628494,910.4256023285568,2365.5900079442677,2281.187247908752,2374.5205501462474,3085.8081183026056,1253.1135060859704,2331.9867620095865
Visibilities kernel bw7 [1],,,,,,,,,,173.6292399489082,611.7281074708072,611.7280958406043,599.0204358503343,587.5969644251289,1199.1912439499597,1766.0359938906392,190.55527248099554,2773.155433258184,638.0740555677467,836.0440601117546,836.0440495523084,514.4081192213472,3380.4856021545847,3474.38128850255,3987.6744718837654,700.2897450200359,3827.4992260390172,2888.700620598346,1357.2872612742399,1357.287252039023,4312.288294496507,4046.926344103539,4344.344184232271,8347.570592106149,3170.6269214625345,4622.910419312602,11503.99053349842,1355.7337297256615,1355.7337551577386,4304.206025907413,4046.06375498647,4335.321216113915,22326.633079890897,12628.009019775738,4670.043748177956,1809.9911619033517,1467.818639880923,1467.8186310532271,4596.974355510429,4366.0264677415535,4622.037652484336,5030.598113061702,1986.6543828212561,4702.4260718736305
Visibilities kernel bw8 [1],,,,,,,,,,150.04792045500412,822.284698695096,822.284680751059,822.6235289856068,803.9410013840379,1793.2382602332975,1541.8020582491304,164.67474585284535,2718.3049741953864,553.124459029026,1172.3748928682446,1172.37487582211,691.904526788736,3726.022341499574,3841.6143671287555,3490.366484012321,607.0540191819674,4105.4292946956475,2515.96360399653,2055.077536037444,2055.0775195468727,4923.355113652407,4568.351713731495,4967.071924644643,7358.9326852567165,2761.4691139063757,5445.1094645777075,10072.347623475822,2055.486354230932,2055.486399824996,4920.502491915318,4573.765268755784,4963.099727919175,19815.350692399476,11056.179919019783,5572.018262940561,1576.9891792834424,2250.219601433719,2250.219585075608,5301.942624003812,4983.063028038789,5337.16108937228,4437.3248848971125,1730.8817670873352,5549.728199290954
Visibilities kernel bw9 [1],,,,,,,,,,255.34869066148931,1151.9885046556499,1151.9884760213772,1180.6618468082684,1148.830262625096,1848.776048996839,1326.1316610243002,140.11983963318224,5162.402437842302,944.6678654075595,1754.766975965909,1754.76694681197,1202.292264490012,8212.16388803205,8494.169260634422,3009.0496368993586,518.3839246230167,8494.373827930493,4318.567102123931,2338.499097079709,2338.4990750538095,11274.581355953955,10327.192734468721,11393.847165554585,6384.064493252449,2369.949170617371,12856.527921888977,17371.42647456908,2342.570803358518,2342.5708645374666,11285.193991979459,10355.597206436683,11401.93165654628,17293.19888896805,9533.849194612962,13470.636903441964,2707.7437642365594,3897.263811487208,3897.2637772567255,12289.845414712217,11406.912225428388,12389.434781821761,3851.4200150743077,1485.9677603020393,13149.647728317703
Visibilities kernel bw10 [1],,,,,,,,,,223.07906733395956,1674.8097170565525,1674.8096714243152,1313.226937877794,1273.084020286537,2735.4419320244074,1168.8252953078747,122.41202274078118,4187.3118393628665,827.8645046201708,1915.797406221369,1915.797371244041,1347.7019231983443,8316.485749690179,8316.485749690179,2656.330824905434,454.2868121982799,8454.544258525599,3800.2568653299245,3872.0604202411027,3872.060379281644,12510.781066948572,11337.060206072238,12661.281042315495,5659.5011513619975,2085.487557093841,14509.221833936266,15337.975396273583,3883.7878204538974,3883.78793465877,12538.803580828868,11382.70634508132,12686.683413536002,15391.939960747543,8417.678341989576,15674.67522014574,2383.35070698149,4355.945863886735,4355.945819844714,13782.101593338724,12653.472463603406,13911.763687989642,3415.4420335745936,1307.9308401702972,14904.657948881546
Visibilities kernel bw11 [1],,,,,,,,,,198.59760288862444,1793.457423353072,1793.4573710788034,1840.157416865788,1840.157416865788,2653.57271549841,1048.4612499503448,108.97796487939814,3418.6321889229775,739.064379661533,3080.3929921356835,3080.3929318520095,1969.2237969241808,8027.429992481164,8027.429992481164,2385.5976774018022,405.5570788443858,8252.373437486125,3404.699996511177,4187.981918843314,4187.981870507931,13590.997109934347,12206.532261733899,13771.259373800656,5098.081516074646,1868.4002099436866,15818.145568991828,13776.587358662868,4205.162094999441,4205.162230200596,13636.436393564903,12268.40923671808,13814.143127320775,13904.608516059085,7560.654780499664,17720.986475762926,2135.6961123565966,4761.4853032471465,4761.485249608914,15109.173494215485,13742.195993987663,15268.735118990207,3077.3642287264315,1172.0131130127063,16328.629801923304
Oversampling used pred0 [1],31.22786864398214,2.0389761066629717,2.038976106669651,1.891205988806469,3.1129527404507513,3.1129527419177307,53.15078038155812,18.649408004859716,2.823239852515087,42.42396349937101,4.525409199526258,4.525409196933957,3.9436750640131493,3.941832894056951,5.998986579957823,63.78544272732959,41.90933353478343,15.870736579100338,62.232464526372034,5.080852296624464,5.080852294736374,3.819069613364263,14.315959166479232,14.329302597837717,63.99880230831768,62.39105055588464,15.049968149229699,63.999632751319716,6.5635488540468,6.563548852921201,14.477601110056696,14.456017368617772,14.479952366424484,63.99999666688906,63.999733584602275,15.1190414814155,63.99999999999972,6.41953722270685,6.419537225702577,14.371160143586877,14.350573034502041,14.373403973599295,63.99999999999999,63.999999999999886,15.006509197665018,63.96518161217608,6.758752095431497,6.758752094527608,14.977933150971339,14.96174135354903,14.979550199877878,63.99686356491949,63.96589244809343,15.67412859599444
Oversampling used pred1 [1],21.04093046218938,3.990137049164595,3.990137049200662,3.7077136317908597,6.02673956933431,6.026739577065044,58.01194320839612,15.866647996855697,7.5293630910853935,45.039805542924334,7.809556213757773,7.809556205859657,5.998846727042199,5.993818917328021,12.645092977129316,63.96988618198752,44.75691949590026,30.277865889387556,62.97298264528854,9.800913437572476,9.800913431227052,5.6276022449177105,28.080109248598696,28.119855312099588,63.99998334015748,63.07196025652028,29.56430473275099,63.99998724101695,13.778068761849156,13.77806875782698,28.475628299109474,28.410809812830983,28.482699903829776,63.99999999840818,63.999991309129065,29.680023457585648,64.0,13.678342145823407,13.67834215669042,27.57707678065367,27.515978956124343,27.583745722237033,64.0,64.0,29.497327976202996,63.99506235812369,14.272877857251508,14.272877854004548,28.817467937105953,28.76979601604223,28.822233916065834,63.99996697314821,63.996099954613136,29.982575109437384
Oversampling used pred2 [1],19.90193647946292,7.626633377766829,7.626633377950611,7.116004511284999,16.929706464131996,16.929706517122277,63.12784695770399,18.236370205551026,25.054575486463243,46.890652002503145,13.13407584283108,13.134075823656943,10.191324904181357,10.178761757662961,20.855562803091274,63.99387347644625,46.84053026792553,43.47895106301742,63.26233844652262,16.18908866820926,16.18908865327817,9.562378761866569,40.81311938589258,40.88113239214927,63.99999956692514,63.403963549092005,42.72653476278005,63.999998553141396,22.321011781243882,22.321011772231238,41.42818415918494,41.31683508466425,41.44034353990654,63.99999999999867,63.99999937953654,42.860821471506995,64.0,22.177832121553287,22.177832145953545,41.237427463730214,41.13045111553576,41.24911437630621,64.0,64.0,42.660979725632046,63.99877709054653,23.215819320546906,23.2158193132682,41.838546728629524,41.757065268364954,41.84669810767001,63.99999952391388,63.99927499645436,43.191068687609274
Oversampling used pred3 [1],25.470706671636236,23.284568496632474,23.28456849787686,22.04777546697185,47.49555965588377,47.49555965588377,63.94159070026896,20.740095718918496,54.18083524989597,49.52772282007338,25.499685772578168,25.49968571541389,20.854410999304285,20.81308122990292,36.92687506719073,63.99952270147412,49.93371053978717,58.97489291709654,63.54515940887008,30.99603880944494,30.99603876772381,19.41597778814026,57.08930764050298,57.16691157606644,63.999999998987036,63.71934915075111,58.611011110711864,63.999999927760896,39.34798765385388,39.34798763252373,57.72425263445399,57.59953971868303,57.737843927436025,64.0,63.99999999038468,58.70429004548649,64.0,39.169480381119044,39.169480439159486,57.61100621872741,57.489931721382064,57.62420851051329,64.0,64.0,58.59244718416613,63.99982183536068,40.965631697784275,40.96563168089601,58.01412502467006,57.92479106431612,58.02304765938368,63.99999999977811,63.999949076536346,58.88881847865509
Oversampling used pred4 [1],37.50531438039534,51.17081248788799,51.17081248788799,50.23299093668744,63.74604115292179,63.74604115292179,63.99709660773614,23.345368250741068,63.727446591543064,51.40771149045538,47.514382721121606,47.514382590964914,42.53918792983979,42.421828218066224,58.4247557918968,63.999982555587664,53.253819170257934,63.94521543243763,63.8202629763653,52.60758234307105,52.60758226807273,40.803502277067004,63.858143980665496,63.86637203174348,63.99999999999969,63.898677629411054,63.94265210633405,63.99999999946148,59.327554149609526,59.327554126973936,63.91413787325046,63.90379235774297,63.91522304959927,64.0,63.999999999955484,63.94793492590887,64.0,59.24684272404142,59.246842786435785,63.91017987735375,63.8998483143939,63.91126610492292,64.0,64.0,63.9449514925343,63.99999211694614,59.694532303177375,59.694532285872114,63.92817678243686,63.92160235056653,63.9288143757086,64.0,63.99999833621159,63.95297883854382
Oversampling used pred5 [1],,,,,,,,,,55.33382227596687,59.7958528843327,59.795852783240036,56.389148550319334,56.261165957192716,63.43158374383943,63.99999321436464,53.71986043927443,63.99986266394561,63.84931247146364,61.78784988628087,61.78784984306952,54.8794102191348,63.99853700587851,63.99874490519615,63.99999999999998,63.916490805661766,63.99991512016108,63.999999999840746,63.61958948732776,63.619589481709426,63.99960997169587,63.99946304433595,63.99962388322111,64.0,63.9999999999883,63.99994229642366,64.0,63.608858281430976,63.608858297136806,63.99958170864131,63.999431399440034,63.99959603272646,64.0,64.0,63.9999367443058,63.999996430473175,63.69188138903099,63.691881385146935,63.99974227288783,63.99966830633145,63.99974888929157,64.0,63.999999301999864,63.99995285828857
Oversampling used pred6 [1],,,,,,,,,,57.79276064961864,63.812062519833155,63.812062504040625,63.52785890444875,63.49514109745098,63.99747312397033,63.99999833444645,54.6215579965215,63.99999999994847,63.98738336934425,63.96701982316535,63.96701982078619,63.507096976375344,63.999999999989534,63.999999999994536,64.0,63.942949403564825,63.99999999999974,64.0,63.99917042484148,63.999170424795345,63.99999999999997,63.99999999999987,63.99999999999998,64.0,63.999999999998685,63.999999999999986,64.0,63.9991401506488,63.99914015077968,63.99999999999997,63.999999999999865,63.99999999999998,64.0,64.0,63.999999999999986,63.99999999751527,63.99996203418299,63.9999620341807,63.99999999999999,63.999999999999986,63.99999999999999,64.0,63.99999982796979,63.99999999999999
Oversampling used pred7 [1],,,,,,,,,,59.84418801609371,63.9958090570412,63.9958090562736,63.994880531078714,63.993871490247216,63.99999959783714,63.9999999999466,60.81659738275289,64.0,63.99723228972414,63.99987750461674,63.99987750459637,63.98059451664038,64.0,64.0,64.0,63.998961034531085,64.0,64.0,63.99999996664844,63.99999996664843,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999996582241,63.999999965822425,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997328,63.999999994150144,63.999999994150144,64.0,64.0,64.0,64.0,63.999999999998344,64.0
