,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Averaged rate6 [M/s],,,518.336756643202,518.336756643202,245.52707071180689,518.336756643202,,,,,,,,,,,,,8.461322791543159,3.133879697136858,3.133879697136858,10.407740780109677,,,,,,,,,254.93728776392922,94.42167165458265,94.42167165458265,32.89230629777295,32.89230629777295,32.89230629777295,,,515.6043782861059,286.4478094541203,286.4478094541203,518.336756643202,286.4478094541203,286.4478094541203,326.55020900101374,181.4177154035795,181.4177154035795,430.63748968375967,239.2438442286954,239.2438442286954,518.336756643202,239.2438442286954,239.2438442286954
Averaged rate7 [M/s],,,495.39321513532116,495.39321513532116,234.6591157269699,495.39321513532116,,,,,,,,,,,,,,,,,,,,,,,,,243.65280104992885,90.24221203670795,90.24221203670795,,,,,,492.7817821587095,273.7685481016863,273.7685481016863,495.39321513532116,273.7685481016863,273.7685481016863,312.09586406290396,173.38748248978268,173.38748248978268,411.5758487856782,228.65400856642444,228.65400856642444,495.39321513532116,228.65400856642444,228.65400856642444
Averaged rate8 [M/s],,,156.8589097132084,156.8589097132084,74.30132654752558,156.8589097132084,,,,,,,,,,,,,,,,,,,,,,,,,77.14904353468228,28.573857206178193,28.573857206178193,,,,,,156.0320382160109,86.68474790731294,86.68474790731294,156.8589097132084,86.68474790731294,86.68474790731294,98.82052371172726,54.900573181722145,54.900573181722145,130.31938454622323,72.39989848364537,72.39989848364537,156.8589097132084,72.39989848364537,72.39989848364537
Averaged rate9 [M/s],,,137.19301699216768,137.19301699216768,64.98593656052243,137.19301699216768,,,,,,,,,,,,,,,,,,,,,,,,,67.47662635125336,24.991463247999874,24.991463247999874,,,,,,136.46981296395683,75.81680960522664,75.81680960522664,137.19301699216768,75.81680960522664,75.81680960522664,21.60777129833686,12.00437909961693,12.00437909961693,113.98083520501056,63.322896487413125,63.322896487413125,137.19301699216768,63.322896487413125,63.322896487413125
Averaged rate10 [M/s],,,9.832946631642793,9.832946631642793,4.657695121927538,9.832946631642793,,,,,,,,,,,,,,,,,,,,,,,,,4.8362087250625505,1.7911970284775807,1.7911970284775807,,,,,,9.781112895720268,5.433969300873212,5.433969300873212,9.832946631642793,5.433969300873212,5.433969300873212,,,,8.169274895856582,4.538501123255574,4.538501123255574,9.832946631642793,4.538501123255574,4.538501123255574
Averaged rate11 [M/s],,,4.214119973370234,4.214119973370234,1.996155046750689,4.214119973370234,,,,,,,,,,,,,,,,,,,,,,,,,2.0726608764547456,0.7676558672308879,0.7676558672308879,,,,,,4.191905515178975,2.328843979667231,2.328843979667231,4.214119973370234,2.328843979667231,2.328843979667231,,,,3.5011178028563807,1.9450719046035552,1.9450719046035552,4.214119973370234,1.9450719046035552,1.9450719046035552
Predict rate0 [M/s],3.6105665099345465,423.19409529833393,0.5968505523341997,77.79827352036897,2.0895491070531467,241.60954509431352,11.671844503155562,4.282493162604077,4.282493162604077,9.686144148979201,7.7049088736440865,4.282493162604077,4.282493162604077,9.686144148979201,7.7049088736440865,4.282493162604077,4.282493162604077,9.686144148979201,0.3299774115688298,0.8001103533410245,0.9925595537826394,11.576477286249846,0.5935537225369947,1.0159503430569425,0.2043380661520508,17.282099231556828,0.7098340322503405,0.7769695866982546,0.7769695866982546,8.147192635389237,0.5062803683296531,0.2835450564769064,0.9859696387657716,1.8087487508246345,1.8087487508246345,1.8087487508246345,1.1930493754058977,5.476886686075762,0.5935537225369947,0.5735582324082685,0.8309752115517925,0.663639335526848,0.5735582324082685,0.8309752115517925,0.7741934141382021,2.4377946726493898,0.8309752115517925,0.6466185854327237,1.9887264798986906,1.9887264798986906,0.8397063426737393,1.9887264798986906,1.9887264798986906
Predict rate1 [M/s],1.9481886617438564,158.71225614297413,0.07367426139140476,8.969924213647179,0.38700785126903614,30.497742326400406,13.864730321170097,2.311549185833521,2.311549185833521,6.238477533916788,5.777530421486511,2.311549185833521,2.311549185833521,6.238477533916788,5.777530421486511,2.311549185833521,2.311549185833521,6.238477533916788,0.06111286681122816,0.14818911920900782,0.14818911920900782,1.4295018087744213,0.054670074543690474,0.20384574417932408,0.02733503727184524,2.0550120060082055,0.09182659668477365,0.15349673233838323,0.15349673233838323,1.0731118579621381,0.09376693182254336,0.05209617639831208,0.14369896361727322,0.3225927153914575,0.3225927153914575,0.3225927153914575,0.15915358071450522,0.9660783365484155,0.05463225741025076,0.07225705382601058,0.06840771670503021,0.09754217331012467,0.07225705382601058,0.06840771670503021,0.1313008370506066,0.45150738944235974,0.07225705382601058,0.10759510430291543,0.3771041649967513,0.3771041649967513,0.15551666327813785,0.3771041649967513,0.3771041649967513
Predict rate2 [M/s],3.988616360699525,325.0803911183712,0.05508856238611558,6.752449553681201,0.3858931479779234,23.326643912716875,70.9887748209081,7.513276554890203,7.513276554890203,25.552329192554463,23.6640709281009,7.513276554890203,7.513276554890203,25.552329192554463,23.6640709281009,7.513276554890203,7.513276554890203,25.552329192554463,0.06283976232342035,0.15515026571286372,0.15515026571286372,1.122532025176174,0.04088597867577622,0.20325857389392338,0.02044298933788811,1.728986561241833,0.08265309594610173,0.1434885680099143,0.1434885680099143,0.7523865131124944,0.09349593054905989,0.0519447537780187,0.14840225252641637,0.33403504365990333,0.33403504365990333,0.33403504365990333,0.15563495776480255,1.0114613236715908,0.04291265771823927,0.07273776128307859,0.04052903329513077,0.09725715106242641,0.07273776128307859,0.04052903329513077,0.13091864937161918,0.4502071900006479,0.07273776128307859,0.1093448854398719,0.37601795011830447,0.37601795011830447,0.1550655665242618,0.37601795011830447,0.37601795011830447
Predict rate3 [M/s],18.50269434056613,814.501371089082,0.15325949596693858,18.39229249370721,1.5558378622782845,65.68675890609717,355.71296015947996,43.918796074162856,43.918796074162856,128.03606491597708,118.57385815211764,43.918796074162856,43.918796074162856,128.03606491597708,118.57385815211764,43.918796074162856,43.918796074162856,128.03606491597708,0.24567358498202457,0.5957445937325675,0.5957445937325675,2.8736351591620526,0.14162258873620456,0.8194945635906135,0.05494985994367157,4.647440147544679,0.37026020568352963,0.7713525256007437,0.7713525256007437,2.6965093239349778,0.3769516842475088,0.2094245110374239,0.5983252910600235,1.2968765905214632,1.2968765905214632,1.2968765905214632,0.6797404841190968,4.5311077210960224,0.17428197481523303,0.29045420174766184,0.16575843690002734,0.39210342290527184,0.29045420174766184,0.16575843690002734,0.5278195994952195,1.8151393346248916,0.29045420174766184,0.4408409056419008,1.5160230460903974,1.5160230460903974,0.6251781438826928,1.5160230460903974,1.5160230460903974
Predict rate4 [M/s],28.372268931704053,624.5514475564058,0.6031367667861641,43.015239440317764,6.367602162721326,161.30714790119163,272.7505095876865,101.02286622592258,101.02286622592258,196.34692455335122,181.83587488790303,101.02286622592258,101.02286622592258,196.34692455335122,181.83587488790303,101.02286622592258,101.02286622592258,196.34692455335122,1.053333584683511,2.4382115735048178,2.4382115735048178,8.097336194221759,0.5519982218540107,3.8330947647271363,0.1542177333357008,13.043121240024524,,,,,1.586822311269336,0.8396051443924295,2.4487735479409682,5.4593948615003445,5.4593948615003445,5.4593948615003445,0.847829566279422,6.358200243301665,0.679276316574438,1.1320903420038935,0.6368241379337607,1.5282991589906239,1.1320903420038935,0.6368241379337607,2.1395898006757093,7.428853120970113,1.1320903420038935,1.787007701954896,6.204650944006526,6.204650944006526,2.4742841276931773,6.204650944006526,6.204650944006526
Predict rate5 [M/s],,,0.6280458534666147,33.947077585853755,6.253540054241977,113.1569252861792,,,,,,,,,,,,,1.1637648942417171,2.3945354510295234,2.3945354510295234,7.9523340770669915,,,,,,,,,1.6697062197800778,0.865785837403997,2.4049081937757606,6.702000472524097,6.702000472524097,6.702000472524097,,,0.7109773894164744,1.1673801733090274,0.6566685252384875,1.5586283450128697,1.1673801733090274,0.6566685252384875,2.1489970477265197,7.295782519740424,1.1673801733090274,1.7948639041376662,6.0935075542816985,6.0935075542816985,2.632441046528648,6.0935075542816985,6.0935075542816985
Predict rate6 [M/s],,,2.2999338140324896,86.38945944053368,30.009250419785918,259.16837832160104,,,,,,,,,,,,,0.5076963993094773,1.5669398485684294,1.5669398485684294,5.20387039005484,,,,,,,,,7.01093583615566,3.462221690412007,11.540578747011722,16.446153148886477,16.446153148886477,16.446153148886477,,,2.70094871151898,4.668237333820917,2.6259272156626485,6.077003454375211,4.668237333820917,2.6259272156626485,8.102621311450598,35.010730818072766,4.668237333820917,6.767387806456237,29.241291634968935,29.241291634968935,9.474283349799572,29.241291634968935,29.241291634968935
Predict rate7 [M/s],,,4.380772443540483,99.07864302706423,58.66521605526452,495.3932151353212,,,,,,,,,,,,,,,,,,,,,,,,,12.182835294002338,6.768286492823513,22.56072528139857,,,,,,4.6933635636143,7.822187717989074,4.562998543247819,10.559900894514982,7.822187717989074,4.562998543247819,14.78379440244291,68.4426384057882,7.822187717989074,12.347565871509586,57.16392921354138,57.16392921354138,18.521263393653783,57.16392921354138,57.16392921354138
Predict rate8 [M/s],,,1.9671454303983658,39.21472742830211,22.290508691201705,156.85890971320845,,,,,,,,,,,,,,,,,,,,,,,,,4.629002250578929,2.5716820588362492,8.572200799852686,,,,,,2.2927970490677905,4.1609644218790995,2.229110762013315,4.814810302112064,4.1609644218790995,2.229110762013315,7.021571898381181,26.00555137617681,4.1609644218790995,5.8644831896740905,21.720077725846608,21.720077725846608,9.383137043462211,21.720077725846608,21.720077725846608
Predict rate9 [M/s],,,2.5701284964079845,45.73100566405591,47.65648260434577,137.1930169921677,,,,,,,,,,,,,,,,,,,,,,,,,7.422503324102307,3.665450232125959,18.32712393794528,,,,,,2.859448439692736,5.559997492158848,2.7800218876468676,6.433689564506444,5.559997492158848,2.7800218876468676,1.6206071462675107,6.002189549808466,0.9603669899985493,8.35871758482059,46.43691691469367,46.43691691469367,10.030429562601427,46.43691691469367,46.43691691469367
Predict rate10 [M/s],,,0.24490992221145463,4.916473315821398,4.03667373303936,9.832946631642796,,,,,,,,,,,,,,,,,,,,,,,,,0.6287121949600055,0.4657145100190228,1.5523725816993135,,,,,,0.290645561754106,0.4709505078957123,0.28257229507614207,0.7266072699162779,0.4709505078957123,0.28257229507614207,,,,0.7080121881397919,3.9333721611527177,3.9333721611527177,1.2744185479127852,3.9333721611527177,3.9333721611527177
Predict rate11 [M/s],,,0.16147816348391983,2.1070599866851176,1.9961550467506892,4.214119973370235,,,,,,,,,,,,,,,,,,,,,,,,,0.6218023662051853,0.23029793253342773,0.767655867230888,,,,,,0.1796566274006602,0.31051594265843047,0.17466628400084838,0.3593104114519165,0.31051594265843047,0.17466628400084838,,,,0.5251727565450433,1.9450719046035554,1.9450719046035554,0.6302058546826788,1.9450719046035554,1.9450719046035554
Backward rate0 [M/s],3.6105665099345465,423.19409529833393,0.5968505523341997,77.79827352036897,2.0895491070531467,241.60954509431352,11.671844503155562,4.282493162604077,4.282493162604077,9.686144148979201,7.7049088736440865,4.282493162604077,4.282493162604077,9.686144148979201,7.7049088736440865,4.282493162604077,4.282493162604077,9.686144148979201,0.3299774115688298,0.8001103533410245,0.9925595537826394,11.576477286249846,0.5935537225369947,1.0159503430569425,0.2043380661520508,17.282099231556828,0.7098340322503405,0.7769695866982546,0.7769695866982546,8.147192635389237,0.5062803683296531,0.2835450564769064,0.9859696387657716,1.8087487508246345,1.8087487508246345,1.8087487508246345,1.1930493754058977,5.476886686075762,0.5935537225369947,0.5735582324082685,0.8309752115517925,0.663639335526848,0.5735582324082685,0.8309752115517925,0.7741934141382021,2.4377946726493898,0.8309752115517925,0.6466185854327237,1.9887264798986906,1.9887264798986906,0.8397063426737393,1.9887264798986906,1.9887264798986906
Backward rate1 [M/s],1.9481886617438564,158.71225614297413,0.07367426139140476,8.969924213647179,0.38700785126903614,30.497742326400406,13.864730321170097,2.311549185833521,2.311549185833521,6.238477533916788,5.777530421486511,2.311549185833521,2.311549185833521,6.238477533916788,5.777530421486511,2.311549185833521,2.311549185833521,6.238477533916788,0.06111286681122816,0.14818911920900782,0.14818911920900782,1.4295018087744213,0.054670074543690474,0.20384574417932408,0.02733503727184524,2.0550120060082055,0.09182659668477365,0.15349673233838323,0.15349673233838323,1.0731118579621381,0.09376693182254336,0.05209617639831208,0.14369896361727322,0.3225927153914575,0.3225927153914575,0.3225927153914575,0.15915358071450522,0.9660783365484155,0.05463225741025076,0.07225705382601058,0.06840771670503021,0.09754217331012467,0.07225705382601058,0.06840771670503021,0.1313008370506066,0.45150738944235974,0.07225705382601058,0.10759510430291543,0.3771041649967513,0.3771041649967513,0.15551666327813785,0.3771041649967513,0.3771041649967513
Backward rate2 [M/s],3.988616360699525,325.0803911183712,0.05508856238611558,6.752449553681201,0.3858931479779234,23.326643912716875,70.9887748209081,7.513276554890203,7.513276554890203,25.552329192554463,23.6640709281009,7.513276554890203,7.513276554890203,25.552329192554463,23.6640709281009,7.513276554890203,7.513276554890203,25.552329192554463,0.06283976232342035,0.15515026571286372,0.15515026571286372,1.122532025176174,0.04088597867577622,0.20325857389392338,0.02044298933788811,1.728986561241833,0.08265309594610173,0.1434885680099143,0.1434885680099143,0.7523865131124944,0.09349593054905989,0.0519447537780187,0.14840225252641637,0.33403504365990333,0.33403504365990333,0.33403504365990333,0.15563495776480255,1.0114613236715908,0.04291265771823927,0.07273776128307859,0.04052903329513077,0.09725715106242641,0.07273776128307859,0.04052903329513077,0.13091864937161918,0.4502071900006479,0.07273776128307859,0.1093448854398719,0.37601795011830447,0.37601795011830447,0.1550655665242618,0.37601795011830447,0.37601795011830447
Backward rate3 [M/s],18.50269434056613,814.501371089082,0.15325949596693858,18.39229249370721,1.5558378622782845,65.68675890609717,355.71296015947996,43.918796074162856,43.918796074162856,128.03606491597708,118.57385815211764,43.918796074162856,43.918796074162856,128.03606491597708,118.57385815211764,43.918796074162856,43.918796074162856,128.03606491597708,0.24567358498202457,0.5957445937325675,0.5957445937325675,2.8736351591620526,0.14162258873620456,0.8194945635906135,0.05494985994367157,4.647440147544679,0.37026020568352963,0.7713525256007437,0.7713525256007437,2.6965093239349778,0.3769516842475088,0.2094245110374239,0.5983252910600235,1.2968765905214632,1.2968765905214632,1.2968765905214632,0.6797404841190968,4.5311077210960224,0.17428197481523303,0.29045420174766184,0.16575843690002734,0.39210342290527184,0.29045420174766184,0.16575843690002734,0.5278195994952195,1.8151393346248916,0.29045420174766184,0.4408409056419008,1.5160230460903974,1.5160230460903974,0.6251781438826928,1.5160230460903974,1.5160230460903974
Backward rate4 [M/s],28.372268931704053,624.5514475564058,0.6031367667861641,43.015239440317764,6.367602162721326,161.30714790119163,272.7505095876865,101.02286622592258,101.02286622592258,196.34692455335122,181.83587488790303,101.02286622592258,101.02286622592258,196.34692455335122,181.83587488790303,101.02286622592258,101.02286622592258,196.34692455335122,1.053333584683511,2.4382115735048178,2.4382115735048178,8.097336194221759,0.5519982218540107,3.8330947647271363,0.1542177333357008,13.043121240024524,,,,,1.586822311269336,0.8396051443924295,2.4487735479409682,5.4593948615003445,5.4593948615003445,5.4593948615003445,0.847829566279422,6.358200243301665,0.679276316574438,1.1320903420038935,0.6368241379337607,1.5282991589906239,1.1320903420038935,0.6368241379337607,2.1395898006757093,7.428853120970113,1.1320903420038935,1.787007701954896,6.204650944006526,6.204650944006526,2.4742841276931773,6.204650944006526,6.204650944006526
Backward rate5 [M/s],,,0.6280458534666147,33.947077585853755,6.253540054241977,113.1569252861792,,,,,,,,,,,,,1.1637648942417171,2.3945354510295234,2.3945354510295234,7.9523340770669915,,,,,,,,,1.6697062197800778,0.865785837403997,2.4049081937757606,6.702000472524097,6.702000472524097,6.702000472524097,,,0.7109773894164744,1.1673801733090274,0.6566685252384875,1.5586283450128697,1.1673801733090274,0.6566685252384875,2.1489970477265197,7.295782519740424,1.1673801733090274,1.7948639041376662,6.0935075542816985,6.0935075542816985,2.632441046528648,6.0935075542816985,6.0935075542816985
Backward rate6 [M/s],,,2.2999338140324896,86.38945944053368,30.009250419785918,259.16837832160104,,,,,,,,,,,,,0.5076963993094773,1.5669398485684294,1.5669398485684294,5.20387039005484,,,,,,,,,7.01093583615566,3.462221690412007,11.540578747011722,16.446153148886477,16.446153148886477,16.446153148886477,,,2.70094871151898,4.668237333820917,2.6259272156626485,6.077003454375211,4.668237333820917,2.6259272156626485,8.102621311450598,35.010730818072766,4.668237333820917,6.767387806456237,29.241291634968935,29.241291634968935,9.474283349799572,29.241291634968935,29.241291634968935
Backward rate7 [M/s],,,4.380772443540483,99.07864302706423,58.66521605526452,495.3932151353212,,,,,,,,,,,,,,,,,,,,,,,,,12.182835294002338,6.768286492823513,22.56072528139857,,,,,,4.6933635636143,7.822187717989074,4.562998543247819,10.559900894514982,7.822187717989074,4.562998543247819,14.78379440244291,68.4426384057882,7.822187717989074,12.347565871509586,57.16392921354138,57.16392921354138,18.521263393653783,57.16392921354138,57.16392921354138
Backward rate8 [M/s],,,1.9671454303983658,39.21472742830211,22.290508691201705,156.85890971320845,,,,,,,,,,,,,,,,,,,,,,,,,4.629002250578929,2.5716820588362492,8.572200799852686,,,,,,2.2927970490677905,4.1609644218790995,2.229110762013315,4.814810302112064,4.1609644218790995,2.229110762013315,7.021571898381181,26.00555137617681,4.1609644218790995,5.8644831896740905,21.720077725846608,21.720077725846608,9.383137043462211,21.720077725846608,21.720077725846608
Backward rate9 [M/s],,,2.5701284964079845,45.73100566405591,47.65648260434577,137.1930169921677,,,,,,,,,,,,,,,,,,,,,,,,,7.422503324102307,3.665450232125959,18.32712393794528,,,,,,2.859448439692736,5.559997492158848,2.7800218876468676,6.433689564506444,5.559997492158848,2.7800218876468676,1.6206071462675107,6.002189549808466,0.9603669899985493,8.35871758482059,46.43691691469367,46.43691691469367,10.030429562601427,46.43691691469367,46.43691691469367
Backward rate10 [M/s],,,0.24490992221145463,4.916473315821398,4.03667373303936,9.832946631642796,,,,,,,,,,,,,,,,,,,,,,,,,0.6287121949600055,0.4657145100190228,1.5523725816993135,,,,,,0.290645561754106,0.4709505078957123,0.28257229507614207,0.7266072699162779,0.4709505078957123,0.28257229507614207,,,,0.7080121881397919,3.9333721611527177,3.9333721611527177,1.2744185479127852,3.9333721611527177,3.9333721611527177
Backward rate11 [M/s],,,0.16147816348391983,2.1070599866851176,1.9961550467506892,4.214119973370235,,,,,,,,,,,,,,,,,,,,,,,,,0.6218023662051853,0.23029793253342773,0.767655867230888,,,,,,0.1796566274006602,0.31051594265843047,0.17466628400084838,0.3593104114519165,0.31051594265843047,0.17466628400084838,,,,0.5251727565450433,1.9450719046035554,1.9450719046035554,0.6302058546826788,1.9450719046035554,1.9450719046035554
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,,,,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
