,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Snapshot vis size8 [GB],,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07345902508191095,120.3552666942029,0.04942889090541104,0.07345902508191095,70.99569556584517,0.028376092841087806,,,,0.07345902508191095,120.3552666942029,0.08095029099591404,,,,,,,,,,,,,,,,,,,,,,0.07345902508191095,120.3552666942029,0.07345902508191095,120.3552666942029,0.05315629292157804,120.3552666942029,4.925750414581068,3.940600331664854,,,,,,,,,,,,0.07345902508191095,120.3552666942029,0.07177627312870674,119.72082176691764,6.651178420007773,3.800673382861585,0.07345902508191095,120.3552666942029,0.07177627312870674,120.3552666942029,6.651178420007773,3.800673382861585,0.07345902508191095,113.73480504127069,0.045458455193876535,113.73480504127069,4.212430864801795,2.4071033513153113,0.07345902508191095,120.3552666942029,0.05994820128431258,99.99192466122534,5.555125371305964,2.222050148522386,0.07345902508191095,120.3552666942029,0.05994820128431258,120.3552666942029,5.555125371305964,2.222050148522386,,,,,,,,,,0.07345902508191095,120.3552666942029,0.10029605557850241,120.3552666942029,12.03552666942029,60.17763334710145,9.628421335536233,0.07345902508191095,0.2938361003276438,0.07345902508191095,120.3552666942029,0.08095029099591404,120.3552666942029,7.50129300899086,37.506465044954304,6.001034407192688,0.07345902508191095,0.2938361003276438,0.07345902508191095,120.3552666942029,0.05731017432743501,120.3552666942029,5.3106715306547825,26.553357653273913,4.248537224523825,0.07345902508191095,0.23628050916726767,0.07345902508191095,112.62545422520438,0.04501499026776838,112.62545422520438,4.171333256729806,20.856666283649027,3.3370666053838445,0.07345902508191095,0.18558946223268163,0.07345902508191095,89.01557040834489,0.03557840920628709,89.01557040834489,3.296888200176023,16.484441000880114,2.6375105601408184,0.07345902508191095,0.14668398872730085,0.07345902508191095,57.36413439011726,0.02292772941247214,57.36413439011726,2.124607811333617,10.623039056668084,1.6996862490668936,0.07345902508191095,0.0945272887438592
Snapshot vis size9 [GB],,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05576301340526738,91.3621211631901,0.03752165105774956,0.05576301340526738,53.893091000596215,0.02154039539351764,,,,0.05576301340526738,91.3621211631901,0.0614496606364167,,,,,,,,,,,,,,,,,,,,,,0.05576301340526738,91.3621211631901,0.05576301340526738,91.3621211631901,0.04035113549975753,91.3621211631901,3.739155074451475,2.9913240595611796,,,,,,,,,,,,0.05576301340526738,91.3621211631901,0.05448563027066093,90.88051170886283,5.048933755684284,2.885105003248162,0.05576301340526738,91.3621211631901,0.05448563027066093,91.3621211631901,5.048933755684284,2.885105003248162,0.013940753351316846,21.584126154308287,0.008626919713174547,21.584126154308287,0.7994179017512835,0.45681022957216194,0.05576301340526738,91.3621211631901,0.04550689786736588,75.90423408267408,4.2169158956665145,1.6867663582666057,0.05576301340526738,91.3621211631901,0.04550689786736588,91.3621211631901,4.2169158956665145,1.6867663582666057,,,,,,,,,,0.05576301340526738,91.3621211631901,0.07613510096932508,91.3621211631901,9.136212116319008,45.68106058159505,7.308969693055208,0.05576301340526738,0.22305205362106953,0.05576301340526738,91.3621211631901,0.0614496606364167,91.3621211631901,5.6942588354633585,28.471294177316796,4.555407068370687,0.05576301340526738,0.22305205362106953,0.05576301340526738,91.3621211631901,0.04350436199929805,91.3621211631901,4.031350095167514,20.156750475837573,3.225080076134011,0.05576301340526738,0.17936139481031893,0.05576301340526738,85.49439237359158,0.034171043012625975,85.49439237359158,3.1664742630805804,15.832371315402899,2.5331794104644643,0.05576301340526738,0.14088163651529056,0.05576301340526738,67.57204360421566,0.027007699970099646,67.57204360421566,2.502679836780934,12.513399183904669,2.0021438694247475,0.05576301340526738,0.11134834992184987,0.05576301340526738,43.545323279349674,0.017404522877269422,43.545323279349674,1.6127975253173656,8.063987626586828,1.2902380202538926,0.05576301340526738,0.07175600906096696
Snapshot vis size10 [GB],,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004321119124801537,7.079721574074839,0.0029075818195373223,0.004321119124801537,4.176217388484034,0.0016691819327311278,,,,0.004321119124801537,7.079721574074839,0.00476178182586349,,,,,,,,,,,,,,,,,,,,,,0.004321119124801537,7.079721574074839,0.004321119124801537,7.079721574074839,0.0031268407617833336,7.079721574074839,0.2897500245437733,0.23180001963501862,,,,,,,,,,,,0.004321119124801537,7.079721574074839,0.00422213371573601,7.042401284214352,0.3912457896237467,0.22356902264214096,0.004321119124801537,7.079721574074839,0.00422213371573601,7.079721574074839,0.3912457896237467,0.22356902264214096,,,,,,,0.004321119124801537,7.079721574074839,0.00352636478333666,5.881877924428552,0.3267720808417241,0.13070883233668965,0.004321119124801537,7.079721574074839,0.00352636478333666,7.079721574074839,0.3267720808417241,0.13070883233668965,,,,,,,,,,0.004321119124801537,7.079721574074839,0.005899767978395699,7.079721574074839,0.7079721574074839,3.5398607870374197,0.5663777259259872,0.004321119124801537,0.01728447649920615,0.004321119124801537,7.079721574074839,0.00476178182586349,7.079721574074839,0.4412525301791994,2.2062626508959973,0.3530020241433595,0.004321119124801537,0.01728447649920615,0.004321119124801537,7.079721574074839,0.003371186726965848,7.079721574074839,0.3123924431485862,1.5619622157429311,0.24991395451886894,0.004321119124801537,0.013898853487941842,0.004321119124801537,6.625026722711451,0.002647940605417969,6.625026722711451,0.24537254464617722,1.226862723230886,0.19629803571694177,0.004321119124801537,0.01091702719605997,0.004321119124801537,5.2362100268512135,0.002092847601501314,5.2362100268512135,0.1939346001152039,0.9696730005760194,0.15514768009216312,0.004321119124801537,0.008628469929800275,0.004321119124801537,3.374360848301814,0.001348689966168699,3.374360848301814,0.12497693014601607,0.6248846507300804,0.09998154411681287,0.004321119124801537,0.00556042875264499
Snapshot vis size11 [GB],,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018519081912372762,3.0341663805231534,0.0012461064906515522,0.0018519081912372762,1.7898074472724328,0.0007153636834837356,,,,0.0018519081912372762,3.0341663805231534,0.002040763634028813,,,,,,,,,,,,,,,,,,,,,,0.0018519081912372762,3.0341663805231534,0.0018519081912372762,3.0341663805231534,0.0013400746084978887,3.0341663805231534,0.1241785816049356,0.09934286528394846,,,,,,,,,,,,0.0018519081912372762,3.0341663805231534,0.0018094858731833063,3.018171970627046,0.167676766519273,0.09581529515387027,0.0018519081912372762,3.0341663805231534,0.0018094858731833063,3.0341663805231534,0.167676766519273,0.09581529515387027,,,,,,,0.0018519081912372762,3.0341663805231534,0.001511299188691485,2.520804817804515,0.14004517711745149,0.0560180708469806,0.0018519081912372762,3.0341663805231534,0.001511299188691485,3.0341663805231534,0.14004517711745149,0.0560180708469806,,,,,,,,,,0.0018519081912372762,3.0341663805231534,0.0025284719837692943,3.0341663805231534,0.30341663805231534,1.5170831902615767,0.24273331044185228,0.0018519081912372762,0.007407632764949105,0.0018519081912372762,3.0341663805231534,0.002040763634028813,3.0341663805231534,0.1891082266982315,0.9455411334911575,0.1512865813585852,0.0018519081912372762,0.007407632764949105,0.0018519081912372762,3.0341663805231534,0.0014447943075730815,3.0341663805231534,0.13388247526595615,0.6694123763297808,0.1071059802127649,0.0018519081912372762,0.005956651478408029,0.0018519081912372762,2.839297159047583,0.0011348316849072173,2.839297159047583,0.10515966170126359,0.5257983085063178,0.08412772936101086,0.0018519081912372762,0.0046787259282679745,0.0018519081912372762,2.244090005320066,0.000896934683884601,2.244090005320066,0.08311482839163034,0.4155741419581517,0.06649186271330428,0.0018519081912372762,0.003697915674003908,0.0018519081912372762,1.4461546452847445,0.0005780099839071323,1.4461546452847445,0.05356154134346528,0.2678077067173264,0.04284923307477223,0.0018519081912372762,0.0023830408874199855
Facet size [GB],(undefined),23.13382366322677,1.1424110450976186,23.13382366322677,3.1733640141600508,3.1733640141600508,3.1733640141600508,(undefined),(undefined),23.13382366322677,1.1424110450976186,10.281699405878564,3.1733640141600508,3.1733640141600508,3.1733640141600508,(undefined),(undefined),23.13382366322677,1.1424110450976186,10.281699405878564,3.1733640141600508,3.1733640141600508,3.1733640141600508,(undefined),(undefined),23.374443566434916,1.1542935094535758,(undefined),20.427933790444005,34.32677488792033,(undefined),21.491046471075105,36.11321251998218,(undefined),23.374443566434916,1.1542935094535758,(undefined),21.08337991299519,35.42817612265994,(undefined),2.8170902260335073,2.4152008110712506,2.8170902260335073,6.708891141864584,6.708891141864584,6.708891141864584,(undefined),1.189016248584871,1.019389787881405,1.4679212945492237,2.83163829967057,2.83163829967057,2.1017793391164283,(undefined),0.39448705489049424,0.33820906626414105,3.04388159637727,0.939469628511503,0.939469628511503,0.6616633836510254,(undefined),20.427933790444005,(undefined),41.09240155109315,35.23011106918137,41.09240155109315,97.8614196366149,97.8614196366149,(undefined),8.085310490377122,4.436384356859875,12.323289880166318,12.323289880166318,12.323289880166318,(undefined),1.318039394287323,0.7232040572221252,2.0089001589503472,2.0089001589503472,(undefined),23.760912461516444,39.92745921173888,32.34124196150849,17.745537427439498,9.98186480293472,(undefined),23.760912461516444,39.92745921173888,23.760912461516444,17.745537427439498,9.98186480293472,(undefined),18.680301356967306,16.01534752826415,18.680301356967306,44.487076467400406,7.117932234784066,(undefined),43.049182577335685,36.90773540580905,29.895265678705325,102.52148723835847,102.52148723835847,(undefined),43.049182577335685,36.90773540580905,43.049182577335685,102.52148723835847,102.52148723835847,(undefined),23.167544569947953,1.1440762750591575,23.167544569947953,3.1779896529421054,3.1779896529421054,3.1779896529421054,3.1779896529421054,(undefined),(undefined),14.644882158748034,40.68022821874454,14.644882158748034,18.08010143055313,18.08010143055313,10.170057054686135,4.520025357638282,(undefined),(undefined),21.08337991299519,35.42817612265994,21.08337991299519,15.745856054515531,15.745856054515531,8.857044030664987,8.857044030664987,(undefined),(undefined),29.36353170418291,36.25127370886778,29.36353170418291,100.69798252463272,36.25127370886779,36.25127370886779,100.69798252463272,(undefined),(undefined),38.809490353810205,33.27288267644907,38.809490353810205,92.42467410124742,92.42467410124742,92.42467410124742,92.42467410124742,(undefined),(undefined),46.38329430415161,39.76619882043177,46.38329430415161,110.4616633900882,39.766198820431754,110.4616633900882,110.4616633900882,(undefined),(undefined),61.00315706098174,33.47223981398174,61.00315706098174,92.97844392772706,92.97844392772706,92.97844392772706,92.97844392772706,(undefined)
Image size [GB],3.173364014160051,23.133823663226774,1.1424110450976184,23.133823663226774,3.173364014160051,3.173364014160051,3.173364014160051,3.173364014160051,3.173364014160051,23.133823663226774,1.1424110450976184,10.281699405878562,3.173364014160051,3.173364014160051,3.173364014160051,3.173364014160051,3.173364014160051,23.133823663226774,1.1424110450976184,10.281699405878562,3.173364014160051,3.173364014160051,3.173364014160051,3.173364014160051,3.2063708595932665,23.374443566434913,1.154293509453576,95.35215246644535,695.1171914803865,34.32677488792033,100.31447922217271,731.2925535296391,36.11321251998216,3.2063708595932665,23.374443566434913,1.154293509453576,98.41160034072206,717.4205664838641,35.42817612265995,6.708891141864585,48.907816424192816,2.415200811071251,48.907816424192816,6.708891141864585,6.708891141864585,6.708891141864585,2.83163829967057,20.64264320459845,1.019389787881405,9.174508090932648,2.83163829967057,2.83163829967057,2.101779339116429,0.939469628511503,6.848733591848858,0.3382090662641411,3.043881596377269,0.939469628511503,0.939469628511503,0.6616633836510253,95.35215246644535,695.1171914803865,97.8614196366149,713.4097491509226,35.230111069181355,713.4097491509226,97.8614196366149,97.8614196366149,12.32328988016632,89.83678322641246,4.436384356859874,12.32328988016632,12.32328988016632,12.32328988016632,2.0089001589503472,14.644882158748029,0.7232040572221252,2.0089001589503472,2.0089001589503472,110.90960892149687,808.5310490377123,39.92745921173888,359.34713290564986,110.90960892149687,110.90960892149687,110.90960892149687,808.5310490377123,39.92745921173888,808.5310490377123,110.90960892149687,110.90960892149687,44.48707646740041,324.31078744734907,16.015347528264147,324.31078744734907,44.48707646740041,44.48707646740041,102.52148723835849,747.3816419676333,36.90773540580905,332.1696186522814,102.52148723835849,102.52148723835849,102.52148723835849,747.3816419676333,36.90773540580905,747.3816419676333,102.52148723835849,102.52148723835849,3.1779896529421046,23.167544569947953,1.1440762750591578,23.167544569947953,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,113.00063394095704,823.7746214295769,40.680228218744546,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,98.41160034072206,717.4205664838641,35.42817612265995,717.4205664838641,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,100.69798252463272,734.0882926045728,36.251273708867785,734.0882926045728,100.69798252463272,100.69798252463272,100.69798252463272,100.69798252463272,100.69798252463272,92.4246741012474,673.7758741980938,33.27288267644906,673.7758741980938,92.4246741012474,92.4246741012474,92.4246741012474,92.4246741012474,92.4246741012474,110.4616633900882,805.2655261137434,39.766198820431754,805.2655261137434,110.4616633900882,110.4616633900882,110.4616633900882,110.4616633900882,110.4616633900882,92.97844392772704,677.8128562331303,33.47223981398173,677.8128562331303,92.97844392772704,92.97844392772704,92.97844392772704,92.97844392772704,92.97844392772704
Image cube size [GB],1663756.672255945,7402.823572232568,182.78576721561893,7402.823572232568,507.7382422656082,12693.456056640205,38080.36816992061,207969.58403199312,1663756.672255945,7402.823572232568,182.78576721561893,3290.14380988114,507.7382422656082,12693.456056640205,38080.36816992061,207969.58403199312,1663756.672255945,7402.823572232568,182.78576721561893,3290.14380988114,507.7382422656082,12693.456056640205,38080.36816992061,207969.58403199312,840530.8826172173,3739.910970629586,92.34348075628608,24995994.65616385,111218.75063686185,2746.1419910336263,26296838.841217242,117006.80856474227,2889.057001598573,840530.8826172173,3739.910970629586,92.34348075628608,25798010.559718244,114787.29063741826,2834.254089812796,1758695.5594929499,7825.250627870851,193.21606488570006,7825.250627870851,536.7112913491668,6708.891141864585,42936.903307933346,742296.9904288419,3302.8229127357517,81.5511830305124,1467.9212945492236,226.5310639736456,566.327659934114,21017.793391164287,246276.32629651943,1095.7973746958173,27.056725301131287,487.0210554203631,75.15757028092024,563.6817771069017,3308.3169182551264,24995994.65616385,111218.75063686185,25653783.989220776,114145.55986414762,2818.408885534509,114145.55986414762,7828.913570929191,195722.83927322982,3230476.5023463196,14373.885316225995,354.91074854878997,1971.7263808266111,985.8631904133056,24646.579760332635,526621.1232678798,2343.1811453996847,57.85632457777001,321.42402543205554,2812.4602225304857,29074288.521116875,129364.96784603396,3194.1967369391105,57495.54126490398,8872.76871371975,310546.90498019126,29074288.521116875,129364.96784603396,3194.1967369391105,129364.96784603396,8872.76871371975,310546.90498019126,11662020.173470214,51889.725991575855,1281.2278022611317,51889.725991575855,3558.966117392033,124563.81410872116,26875392.750612248,119581.06271482132,2952.618832464724,53147.13898436502,8201.718979068679,410085.94895343395,26875392.750612248,119581.06271482132,2952.618832464724,119581.06271482132,8201.718979068679,410085.94895343395,833090.919580855,3706.8071311916724,91.52610200473264,3706.8071311916724,254.23917223536836,254.23917223536836,6355.979305884209,833090.919580855,208272.72989521376,29622438.183818243,131803.93942873232,3254.4182574995634,131803.93942873232,9040.050715276564,9040.050715276564,226001.2678819141,29622438.183818243,7405609.545954561,25798010.559718244,114787.29063741826,2834.254089812796,114787.29063741826,7872.928027257764,7872.928027257764,196823.2006814441,25798010.559718244,6449502.639929561,26397371.93093732,117454.12681673164,2900.101896709423,117454.12681673164,8055.838601970617,8055.838601970617,201395.96504926545,26397371.93093732,6599342.98273433,24228573.7675974,107804.139871695,2661.8306141159246,107804.139871695,7393.973928099793,7393.973928099793,184849.34820249482,24228573.7675974,6057143.44189935,28956862.287731282,128842.48417819894,3181.2959056345403,128842.48417819894,8836.933071207057,8836.933071207057,220923.32678017643,28956862.287731282,7239215.571932821,24373741.204990078,108450.05699730085,2677.7791851185384,108450.05699730085,7438.275514218163,7438.275514218163,185956.88785545406,24373741.204990078,6093435.301247519
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,0.0,0.0302592,0.0,0.0,0.0302592,0.0,0.0,0.3145728,0.0,0.0,0.0453888,0.0,0.0,1.4524416,0.0,0.44985344,0.0,0.0,0.0,0.0,1.4524416,0.0,0.44985344,0.0,0.0,0.0,0.0,0.7988428800000001,0.0,0.247419392,0.0,0.0,0.0,0.0,0.00302592,0.0,1.4524416,0.0,0.84927488,0.0,0.0,0.0,0.022391808,0.0,0.0186194944,0.0,0.0,0.0,0.39942144000000007,0.0,0.453232384,0.0,0.0,0.68990976,0.0,0.403405568,0.0,0.0,0.0,1.4524416,0.0,0.84927488,0.0,0.0,0.0,1.4524416,0.0,0.84927488,0.0,0.0,0.0,1.4524416,0.0,0.84927488,0.0,0.0,0.0,1.4524416,0.0,0.84927488,0.0,0.0,0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,1.23608832,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,0.93652224,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,0.63695616,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,0.63695616,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,0.33739008,0.0,0.0,0.0,0.0,0.0,0.0,1.0893312,0.0,0.33739008,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,10,600,600,10,600,600,10,600,600,10,600,600,10,600,600,600,600,600,600,10,600,600,600,600,600,600,10,600,600,600,600,600,600,10,600,10,600,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,167.44448,0.0,0.0,37.067519999999995,0.0,0.0,74.13503999999999,0.0,0.0,167.44448,0.0,0.0,24.711679999999998,0.0,0.0,64.35490706788258,0.0,1866.292304968595,0.0,0.0,0.0,0.0,59.83885746984699,0.0,1735.3268666255628,0.0,0.0,0.0,0.0,55.14900286132865,0.0,1599.3210829785307,0.0,0.0,0.0,0.0,37.067519999999995,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,33.23660784166729,0.0,1512.265656795862,0.0,0.0,0.0,14.373482541396955,0.0,1128.318379499661,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,36.619563984546765,0.0,1666.190161296878,0.0,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0,0.0,18.533759999999997,0.0,1454.9001599999995,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,0.0,0.0,0.0,37.067519999999995,0.0,1686.5721599999995,0.0,0.0,0.0,0.0,0.0,0.0,74.13503999999999,0.0,2149.9161599999993,0.0,0.0,0.0,0.0,0.0,0.0,74.13503999999999,0.0,2149.9161599999993,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.43690666666666667,0.0,0.0,0.25216,0.0,0.0,0.50432,0.0,0.0,0.43690666666666667,0.0,0.0,0.16810666666666668,0.0,0.0,0.50432,0.0,14.62528,0.0,0.0,0.0,0.0,0.50432,0.0,14.62528,0.0,0.0,0.0,0.0,0.50432,0.0,14.62528,0.0,0.0,0.0,0.0,0.25216,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.12608,0.0,9.89728,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.12608,0.0,9.89728,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.0,0.0,0.0,0.25216,0.0,11.47328,0.0,0.0,0.0,0.0,0.0,0.0,0.50432,0.0,14.62528,0.0,0.0,0.0,0.0,0.0,0.0,0.50432,0.0,14.62528,0.0,0.0,0.0,0.0,0.0
