,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Frequencies backward grid1,65536.0,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,65536.0,65536.0,,,,65536.0,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,65536.0,65536.0,,,,65536.0,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,65536.0,65536.0,,,,65536.0,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,65536.0,65536.0,,,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,65536.0,,,
Frequencies backward grid2,65536.0,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,65536.0,65536.0,,,,65536.0,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,65536.0,65536.0,,,,65536.0,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,65536.0,65536.0,,,,65536.0,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,65536.0,65536.0,,,,65536.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,65536.0,65536.0,,,
Frequencies backward grid3,65536.0,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,65536.0,65536.0,,,,65536.0,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,65536.0,65536.0,,,,65536.0,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,65536.0,65536.0,,,,65536.0,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,65536.0,65536.0,,,,65536.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,65536.0,65536.0,,,
Frequencies backward grid4,65536.0,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,65536.0,65536.0,,,,65536.0,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,65536.0,65536.0,,,,65536.0,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,65536.0,65536.0,,,,65536.0,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,65536.0,65536.0,,,,65536.0,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,65536.0,65536.0,,,
Frequencies backward grid5,65536.0,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,65536.0,65536.0,,,,65536.0,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,65536.0,65536.0,,,,65536.0,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,65536.0,65536.0,,,,65536.0,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid6,65536.0,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,65536.0,65536.0,,,,65536.0,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,65536.0,65536.0,,,,65536.0,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,65536.0,65536.0,,,,65536.0,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid7,65536.0,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,65536.0,65536.0,,,,65536.0,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,65536.0,65536.0,,,,65536.0,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,65536.0,65536.0,,,,65536.0,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid8,65536.0,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,65536.0,65536.0,,,,65536.0,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,65536.0,65536.0,,,,65536.0,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,65536.0,65536.0,,,,65536.0,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid9,65536.0,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,65536.0,65536.0,,,,65536.0,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,65536.0,65536.0,,,,65536.0,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,65536.0,65536.0,,,,65536.0,19888.781652859445,65536.0,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid10,65536.0,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,65536.0,65536.0,,,,65536.0,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,65536.0,65536.0,,,,65536.0,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,65536.0,65536.0,,,,65536.0,23504.823899465737,65536.0,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward grid11,65536.0,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,65536.0,65536.0,,,,65536.0,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,65536.0,65536.0,,,,65536.0,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,65536.0,65536.0,,,,65536.0,27120.86614583087,65536.0,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,65536.0,65536.0,,,,,,,,,,,,,,,
Frequencies backward fft,65536,40,40,40,200,40,40,65536,65536,(undefined),(undefined),(undefined),65536,40,40,40,200,40,40,65536,65536,(undefined),(undefined),(undefined),65536,40,40,40,200,40,40,65536,65536,(undefined),(undefined),(undefined),65536,40,40,40,200,40,40,65536,65536,(undefined),(undefined),(undefined),65536,40,40,40,200,40,40,65536,65536,(undefined),(undefined),(undefined)
Channels out,65536,40,40,40,40,40,40,65536,65536,128,4096,1024,65536,40,40,40,40,40,40,65536,65536,128,4096,1024,65536,40,40,40,40,40,40,65536,65536,128,4096,1024,65536,40,40,40,40,40,40,65536,65536,128,4096,1024,65536,40,40,40,40,40,40,65536,65536,128,4096,1024
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,(undefined),(undefined),(undefined),9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,(undefined),(undefined),(undefined),9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,(undefined),(undefined),(undefined),9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,9129.632914285714,(undefined),(undefined),(undefined),9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,9563.01312,(undefined),(undefined),(undefined)
Averaged rate0 [M/s],5545.781883449278,5545.781883449278,4455.2920051897745,5545.781883449278,3440.429345040273,3440.429345040273,3440.429345040273,5545.781883449278,5545.781883449278,(undefined),(undefined),(undefined),5545.781883449278,5545.781883449278,4476.074903201997,5545.781883449278,3456.4781429469417,3456.4781429469417,3456.4781429469417,5545.781883449278,5545.781883449278,(undefined),(undefined),(undefined),5545.781883449278,5545.781883449278,4488.1247529590155,5545.781883449278,3465.7831783274582,3465.7831783274582,3465.7831783274582,5545.781883449278,5545.781883449278,(undefined),(undefined),(undefined),5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,5545.781883449278,(undefined),(undefined),(undefined),4410.475823681765,2491.114073850774,1793.2981357769322,2491.114073850774,922.676067992699,922.676067992699,922.676067992699,4410.475823681765,4410.475823681765,(undefined),(undefined),(undefined)
Averaged rate1 [M/s],466.8308456331266,466.8308456331266,375.0359783410103,466.8308456331266,289.60723199002535,289.60723199002535,289.60723199002535,466.8308456331266,466.8308456331266,,,,466.8308456331266,466.8308456331266,376.78543370323933,466.8308456331266,290.9581819652713,290.9581819652713,290.9581819652713,466.8308456331266,466.8308456331266,,,,466.8308456331266,466.8308456331266,377.79976165014415,466.8308456331266,291.74145790843386,291.74145790843386,291.74145790843386,466.8308456331266,466.8308456331266,,,,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,466.8308456331266,,,,1244.7983851898725,703.0839529383518,506.13464687709484,703.0839529383518,260.41309949452864,260.41309949452864,260.41309949452864,1244.7983851898725,1244.7983851898725,,,
Averaged rate2 [M/s],259.40249618258287,259.40249618258287,208.3951175248385,259.40249618258287,160.9251822013923,160.9251822013923,160.9251822013923,259.40249618258287,259.40249618258287,,,,259.40249618258287,259.40249618258287,209.3672321401586,259.40249618258287,161.67586052326138,161.67586052326138,161.67586052326138,259.40249618258287,259.40249618258287,,,,259.40249618258287,259.40249618258287,209.93086070891357,259.40249618258287,162.11110111791524,162.11110111791524,162.11110111791524,259.40249618258287,259.40249618258287,,,,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,259.40249618258287,,,,1408.246459301859,795.4022909230908,572.5925843693522,795.4022909230908,294.6066043161319,294.6066043161319,294.6066043161319,1408.246459301859,1408.246459301859,,,
Averaged rate3 [M/s],450.9108373674171,450.9108373674171,362.246386712741,450.9108373674171,279.7309575959511,279.7309575959511,279.7309575959511,450.9108373674171,450.9108373674171,,,,450.9108373674171,450.9108373674171,363.9361816131824,450.9108373674171,281.0358370619888,281.0358370619888,281.0358370619888,450.9108373674171,450.9108373674171,,,,450.9108373674171,450.9108373674171,364.91591863823635,450.9108373674171,281.7924014893933,281.7924014893933,281.7924014893933,450.9108373674171,450.9108373674171,,,,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,450.9108373674171,,,,1770.6146253334407,1000.0741844792863,719.9313710644518,1000.0741844792863,370.41439648324524,370.41439648324524,370.41439648324524,1770.6146253334407,1770.6146253334407,,,
Averaged rate4 [M/s],571.7156095337233,571.7156095337233,459.29682016515835,571.7156095337233,354.67445373708733,354.67445373708733,354.67445373708733,571.7156095337233,571.7156095337233,,,,571.7156095337233,571.7156095337233,461.4393327007478,571.7156095337233,356.328927077425,356.328927077425,356.328927077425,571.7156095337233,571.7156095337233,,,,571.7156095337233,571.7156095337233,462.68155378758553,571.7156095337233,357.28818477744045,357.28818477744045,357.28818477744045,571.7156095337233,571.7156095337233,,,,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,571.7156095337233,,,,691.5951242708401,390.6250518882734,281.2023683267789,390.6250518882734,144.68240965720884,144.68240965720884,144.68240965720884,691.5951242708401,691.5951242708401,,,
Averaged rate5 [M/s],419.07081993225665,419.07081993225665,336.6672027301672,419.07081993225665,259.97840824714984,259.97840824714984,259.97840824714984,419.07081993225665,419.07081993225665,,,,419.07081993225665,419.07081993225665,338.23767670364657,419.07081993225665,261.1911466921555,261.1911466921555,261.1911466921555,419.07081993225665,419.07081993225665,,,,419.07081993225665,419.07081993225665,339.1482318830352,419.07081993225665,261.8942880865275,261.8942880865275,261.8942880865275,419.07081993225665,419.07081993225665,,,,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,419.07081993225665,,,,,,,,,,,,,,,
Averaged rate6 [M/s],518.3367566950359,518.3367566950359,416.4140704832522,518.3367566950359,321.5598856616864,321.5598856616864,321.5598856616864,518.3367566950359,518.3367566950359,,,,518.3367566950359,518.3367566950359,418.35654499393,518.3367566950359,323.0598872900633,323.0598872900633,323.0598872900633,518.3367566950359,518.3367566950359,,,,518.3367566950359,518.3367566950359,419.4827847510967,518.3367566950359,323.92958284633164,323.92958284633164,323.92958284633164,518.3367566950359,518.3367566950359,,,,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,518.3367566950359,,,,,,,,,,,,,,,
Averaged rate7 [M/s],497.26615696163884,497.26615696163884,399.48666935034464,497.26615696163884,308.4883456761849,308.4883456761849,308.4883456761849,497.26615696163884,497.26615696163884,,,,497.26615696163884,497.26615696163884,401.3501814830352,497.26615696163884,309.92737162899425,309.92737162899425,309.92737162899425,497.26615696163884,497.26615696163884,,,,497.26615696163884,497.26615696163884,402.4306391365394,497.26615696163884,310.7617137075874,310.7617137075874,310.7617137075874,497.26615696163884,497.26615696163884,,,,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,497.26615696163884,,,,,,,,,,,,,,,
Averaged rate8 [M/s],162.94597253684162,162.94597253684162,130.90523644426753,162.94597253684162,101.08657667279202,101.08657667279202,101.08657667279202,162.94597253684162,162.94597253684162,,,,162.94597253684162,162.94597253684162,131.51587883877679,162.94597253684162,101.55812190084251,101.55812190084251,101.55812190084251,162.94597253684162,162.94597253684162,,,,162.94597253684162,162.94597253684162,131.86992710984927,162.94597253684162,101.83152213032014,101.83152213032014,101.83152213032014,162.94597253684162,162.94597253684162,,,,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,162.94597253684162,,,,,,,,,,,,,,,
Averaged rate9 [M/s],131.10595510168113,131.10595510168113,105.32605246169378,131.10595510168113,81.33402732399072,81.33402732399072,81.33402732399072,131.10595510168113,131.10595510168113,,,,131.10595510168113,131.10595510168113,105.81737392924101,131.10595510168113,81.71343153100922,81.71343153100922,81.71343153100922,131.10595510168113,131.10595510168113,,,,131.10595510168113,131.10595510168113,106.10224035464812,131.10595510168113,81.93340872745438,81.93340872745438,81.93340872745438,131.10595510168113,131.10595510168113,,,,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,131.10595510168113,,,,,,,,,,,,,,,
Averaged rate10 [M/s],9.832946632626088,9.832946632626088,7.899453934627035,9.832946632626088,6.100052049299306,6.100052049299306,6.100052049299306,9.832946632626088,9.832946632626088,,,,9.832946632626088,9.832946632626088,7.936303044693078,9.832946632626088,6.128507364825693,6.128507364825693,6.128507364825693,9.832946632626088,9.832946632626088,,,,9.832946632626088,9.832946632626088,7.95766802659861,9.832946632626088,6.14500565455908,6.14500565455908,6.14500565455908,9.832946632626088,9.832946632626088,,,,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,9.832946632626088,,,,,,,,,,,,,,,
Averaged rate11 [M/s],4.2141199737916475,4.2141199737916475,3.3854802483625646,4.2141199737916475,2.6143080139198798,2.6143080139198798,2.6143080139198798,4.2141199737916475,4.2141199737916475,,,,4.2141199737916475,4.2141199737916475,3.40127272406161,4.2141199737916475,2.626503149111849,2.626503149111849,2.626503149111849,4.2141199737916475,4.2141199737916475,,,,4.2141199737916475,4.2141199737916475,3.41042914485302,4.2141199737916475,2.633573844692376,2.633573844692376,2.633573844692376,4.2141199737916475,4.2141199737916475,,,,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,4.2141199737916475,,,,,,,,,,,,,,,
Predict rate0 [M/s],(undefined),1.1095326719380971,4.501055919997594,1.1095326719380971,2.667583478527635,2.667583478527635,2.667583478527635,241.1209514543164,(undefined),(undefined),(undefined),(undefined),(undefined),0.7469588333984135,4.522051965178713,0.7469588333984135,0.6455695638050555,0.6455695638050555,2.6800268773701874,93.99630310930979,(undefined),(undefined),(undefined),(undefined),(undefined),1.1177089793584272,4.5342253956461125,1.1177089793584272,2.687241514442838,2.687241514442838,2.687241514442838,241.1209514543164,(undefined),(undefined),(undefined),(undefined),(undefined),1.0716381154386032,8.600852639853219,1.0716381154386032,1.1906367375409563,1.1906367375409563,1.1906367375409563,77.6409463682899,(undefined),(undefined),(undefined),(undefined),(undefined),14.018040585930818,10.092825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined),(undefined),(undefined),(undefined)
Predict rate1 [M/s],,0.2133043220907622,0.8524489258289707,0.2133043220907622,0.5172299652084451,0.5172299652084451,0.5172299652084451,31.122056375541774,,,,,,0.10864110817629861,0.8564253601832728,0.10864110817629861,0.08149841799525524,0.08149841799525524,0.519642689711294,11.970021682900681,,,,,,0.2148762097199023,0.8587308824083119,0.2148762097199023,0.5210415786034673,0.5210415786034673,0.5210415786034673,31.122056375541774,,,,,,0.13528457474101596,1.6547628455834473,0.13528457474101596,0.15560052696645996,0.15560052696645996,0.15560052696645996,9.153545992806405,,,,,,14.65027720186278,7.910374932207445,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,155.59979814873407,,,,
Predict rate2 [M/s],,0.21070092369432525,0.8683838728089434,0.21070092369432525,0.5109275999885773,0.5109275999885773,0.5109275999885773,23.582045107507536,,,,,,0.10847908015311178,0.8724346502116604,0.10847908015311178,0.0798619248337213,0.0798619248337213,0.5133109342091908,8.944913661468375,,,,,,0.21225363474050812,0.8747832763067066,0.21225363474050812,0.5146927827536246,0.5146927827536246,0.5146927827536246,23.582045107507536,,,,,,0.12342457459212915,1.6090746461186787,0.12342457459212915,0.1529574346915074,0.1529574346915074,0.1529574346915074,6.826381478489023,,,,,,66.28875076222748,35.790956345303535,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,352.06161482546474,,,,
Predict rate3 [M/s],,0.8240246089013976,3.293321791150144,0.8240246089013976,1.9982140556633274,1.9982140556633274,1.9982140556633274,64.415833909631,,,,,,0.4196763676631176,3.3086842940206718,0.4196763676631176,0.31231860380835635,0.31231860380835635,2.0075351976313844,23.732149335127218,,,,,,0.8300970980567679,3.317591417801589,0.8300970980567679,2.012939562084124,2.012939562084124,2.012939562084124,64.415833909631,,,,,,0.4911451436591383,6.712614870462857,0.4911451436591383,0.6099064563880106,0.6099064563880106,0.6099064563880106,18.036433494696688,,,,,,500.0502352684087,179.98941421381375,500.0502352684087,46.30508517110153,46.30508517110153,46.30508517110153,885.3073126667203,,,,
Predict rate4 [M/s],,2.946709993082877,12.758616973818267,2.946709993082877,7.38933009539252,7.38933009539252,7.38933009539252,142.92890238343082,,,,,,1.5272618608276192,12.818132784379605,1.5272618608276192,1.1313224735708494,1.1313224735708494,7.423799469953688,51.974146321247574,,,,,,2.9684252940410363,12.852639837309344,2.9684252940410363,7.443784689229693,7.443784689229693,7.443784689229693,142.92890238343082,,,,,,1.7146226833070404,23.641162365489283,1.7146226833070404,2.1908801419663284,2.1908801419663284,2.1908801419663284,38.11437396891488,,,,,,390.6250518882734,281.2023683267789,390.6250518882734,72.34120482860442,72.34120482860442,72.34120482860442,691.5951242708401,,,,
Predict rate5 [M/s],,4.367822401614128,19.639296425128503,4.367822401614128,10.11052227512352,10.11052227512352,10.11052227512352,139.69027331075222,,,,,,2.1700309485829035,19.730908998622542,2.1700309485829035,1.6253085169411992,1.6253085169411992,10.157685386709232,52.38385249153208,,,,,,4.4000104198393215,19.78402563957005,4.4000104198393215,10.185030389201248,10.185030389201248,10.185030389201248,139.69027331075222,,,,,,2.529279062270605,36.39077464781482,2.529279062270605,3.2117550604049385,3.2117550604049385,3.2117550604049385,41.90708199322567,,,,,,,,,,,,,,,,
Predict rate6 [M/s],,12.734080006513777,50.89556566669872,12.734080006513777,39.302276410297615,39.302276410297615,39.302276410297615,259.16837834751794,,,,,,6.853737821747703,51.13298138687203,6.853737821747703,5.264910839595864,5.264910839595864,39.48561211033149,103.66735133900718,,,,,,12.827922076313696,51.270634168689156,12.827922076313696,39.591909490837836,39.591909490837836,39.591909490837836,259.16837834751794,,,,,,7.8654260973058125,141.46099733325704,7.8654260973058125,9.71034895452192,9.71034895452192,9.71034895452192,86.38945944917265,,,,,,,,,,,,,,,,
Predict rate7 [M/s],,24.98794967371074,99.87224969793589,24.98794967371074,77.12266877896123,77.12266877896123,77.12266877896123,497.26615696163884,,,,,,11.954641127312723,100.33813019447696,11.954641127312723,8.855335106284267,8.855335106284267,77.48242772939139,165.7553856538796,,,,,,25.1720951144073,100.60824603517455,25.1720951144073,77.69101467750033,77.69101467750033,77.69101467750033,497.26615696163884,,,,,,14.69918608267048,185.05908354545787,14.69918608267048,19.054423295085776,19.054423295085776,19.054423295085776,99.45323139232777,,,,,,,,,,,,,,,,
Predict rate8 [M/s],,13.100975850036763,78.54344719437182,13.100975850036763,30.326125665926902,30.326125665926902,30.326125665926902,162.94597253684162,,,,,,5.640938989177329,78.90983392290595,5.640938989177329,4.062421971467608,4.062421971467608,30.46758987974876,54.315324178947215,,,,,,13.197521820355563,79.12226363358417,13.197521820355563,30.549610322939177,30.549610322939177,30.549610322939177,162.94597253684162,,,,,,6.743309906872117,145.53771815235422,6.743309906872117,8.991049526005945,8.991049526005945,8.991049526005945,40.736493134210406,,,,,,,,,,,,,,,,
Predict rate9 [M/s],,12.883417366013106,77.2392689162026,12.883417366013106,59.64511714879946,59.64511714879946,59.64511714879946,131.10595510168113,,,,,,6.934070186342221,77.59957201880766,6.934070186342221,5.9924272731635035,5.9924272731635035,59.92334759274299,65.55297755084057,,,,,,12.978360098058415,77.80847446541487,12.978360098058415,60.084664605464404,60.084664605464404,60.084664605464404,131.10595510168113,,,,,,7.9575735913297425,131.10595510168113,7.9575735913297425,11.052155019123935,11.052155019123935,11.052155019123935,43.70198503389371,,,,,,,,,,,,,,,,
Predict rate10 [M/s],,1.7129047123185037,6.846199551595412,1.7129047123185037,5.286717917761974,5.286717917761974,5.286717917761974,9.832946632626088,,,,,,0.8194782185749908,6.878135473060723,0.8194782185749908,0.5311448602693172,0.5311448602693172,5.311379217088076,4.916473316313044,,,,,,1.7255277521388084,6.896651805738712,1.7255277521388084,5.325677750024485,5.325677750024485,5.325677750024485,9.832946632626088,,,,,,0.881659236956485,9.832946632626088,0.881659236956485,0.9796190850604203,0.9796190850604203,0.9796190850604203,4.916473316313044,,,,,,,,,,,,,,,,
Predict rate11 [M/s],,0.8470392709324167,3.3854802483625646,0.8470392709324167,2.6143080139198807,2.6143080139198807,2.6143080139198807,4.2141199737916475,,,,,,0.4052354639597427,3.40127272406161,0.4052354639597427,0.350204384773248,0.350204384773248,2.626503149111849,4.2141199737916475,,,,,,0.8532814233168798,3.4104291448530204,0.8532814233168798,2.633573844692376,2.633573844692376,2.633573844692376,4.2141199737916475,,,,,,0.5813119696638772,4.2141199737916475,0.5813119696638772,0.6459008803196515,0.6459008803196515,0.6459008803196515,2.1070599868958237,,,,,,,,,,,,,,,,
Backward rate0 [M/s],(undefined),1.1095326719380971,4.501055919997594,1.1095326719380971,2.667583478527635,2.667583478527635,2.667583478527635,241.1209514543164,(undefined),(undefined),(undefined),(undefined),(undefined),0.7469588333984135,4.522051965178713,0.7469588333984135,0.6455695638050555,0.6455695638050555,2.6800268773701874,93.99630310930979,(undefined),(undefined),(undefined),(undefined),(undefined),1.1177089793584272,4.5342253956461125,1.1177089793584272,2.687241514442838,2.687241514442838,2.687241514442838,241.1209514543164,(undefined),(undefined),(undefined),(undefined),(undefined),1.0716381154386032,8.600852639853219,1.0716381154386032,1.1906367375409563,1.1906367375409563,1.1906367375409563,77.6409463682899,(undefined),(undefined),(undefined),(undefined),(undefined),14.018040585930818,10.092825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined),(undefined),(undefined),(undefined)
Backward rate1 [M/s],,0.2133043220907622,0.8524489258289707,0.2133043220907622,0.5172299652084451,0.5172299652084451,0.5172299652084451,31.122056375541774,,,,,,0.10864110817629861,0.8564253601832728,0.10864110817629861,0.08149841799525524,0.08149841799525524,0.519642689711294,11.970021682900681,,,,,,0.2148762097199023,0.8587308824083119,0.2148762097199023,0.5210415786034673,0.5210415786034673,0.5210415786034673,31.122056375541774,,,,,,0.13528457474101596,1.6547628455834473,0.13528457474101596,0.15560052696645996,0.15560052696645996,0.15560052696645996,9.153545992806405,,,,,,14.65027720186278,7.910374932207445,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,155.59979814873407,,,,
