,01c [bldta] [otf],01s [bldta] [otf],02A [bldta] [otf],02B [bldta] [otf],13c [bldta] [otf],13s [Bmax=40000] [bldta] [otf],14c [bldta] [otf],14s [bldta] [otf],15c [bldta] [otf],15s [Bmax=13000] [bldta] [otf],22 [bldta] [otf],27 [bldta] [otf],33 [bldta] [otf],37a [bldta] [otf],37b [bldta] [otf],37c [bldta] [otf],38a [bldta] [otf],38b [bldta] [otf],max_Band5_MID_continuum [bldta] [otf],max_Band5_MID_spectral [bldta] [otf],max_LOW_continuum [bldta] [otf],max_LOW_spectral [bldta] [otf],max_MID_continuum [bldta] [otf],max_MID_spectral [bldta] [otf]
Delta W snapshot7 [lambda],13.47197713708199,59.96344901524307,13.471980478979946,13.471980478979946,388.40022145688204,3591.0287583397703,719.0982172562561,2761.20103121261,799.7957211024782,2735.898635867502,21436.102595640874,529.5177407121563,529.5177407121563,537.8769599374192,537.8769599374192,529.5177766291695,8319.832011463843,8319.832011463843,10954.205502867397,78015.54875719489,14.73497567634209,44.353913247227155,193.05334359549988,867.2038356474312
Delta W snapshot8 [lambda],,,,,466.08026574825846,4309.234510007725,862.9178607075074,3313.4412374551316,959.7548653229737,3283.0783630410024,25723.323114769046,635.4212888545875,635.4212888545875,645.452351924903,645.452351924903,635.4213319550034,9983.79841375661,9983.79841375661,13145.046603440876,93618.65850863386,,,231.66401231459986,1040.6446027769175
Delta W snapshot9 [lambda],,,,,569.6536581367603,5266.84217889833,1054.6773853091756,4049.761512445161,1173.0337242836347,4012.6513326056693,31439.61714027328,776.6260197111625,776.6260197111625,788.8862079082149,788.8862079082149,776.6260723894486,12202.420283480302,12202.420283480302,16066.168070872181,114422.80484388584,,,283.1449039400665,1271.898958949566
Delta W snapshot10 [lambda],,,,,673.2270505252623,6224.449847788936,1246.436909910844,4786.081787435191,1386.3125832442954,4742.224302170336,37155.911165777514,917.8307505677375,917.8307505677375,932.3200638915267,932.3200638915267,917.8308128238938,14421.042153203993,14421.042153203993,18987.28953830349,135226.9511791378,,,334.6257955655331,1503.153315122214
Delta W snapshot11 [lambda],,,,,776.8004429137641,7182.057516679541,1438.1964345125123,5522.40206242522,1599.5914422049564,5471.797271735004,42872.20519128175,1059.0354814243126,1059.0354814243126,1075.7539198748384,1075.7539198748384,1059.035553258339,16639.664022927685,16639.664022927685,21908.411005734793,156031.09751438978,,,386.10668719099976,1734.4076712948624
Delta W max0 [lambda],0.8251585996462718,3.6727612521836384,0.8251588043375216,0.8251588043375216,25.89334809712547,239.40191722265135,47.93988115041708,184.0800687475073,53.31971474016521,182.39324239116678,1429.0735063760583,35.30118271414375,35.30118271414375,35.85846399582795,35.85846399582795,35.3011851086113,554.6554674309228,554.6554674309228,730.2803668578264,5201.036583812993,0.902517260175953,2.716677186392663,12.870222906366658,57.81358904316208
Delta W max1 [lambda],1.1956379709160265,5.321756100102823,1.19563826750947,1.19563826750947,38.8400221456882,359.10287583397707,71.90982172562562,276.12010312126097,79.97957211024782,273.5898635867502,2143.6102595640873,52.951774071215624,52.951774071215624,53.78769599374193,53.78769599374193,52.951777662916946,831.9832011463842,831.9832011463842,1095.4205502867396,7801.554875719488,1.3077290912753605,3.93640980069141,19.305334359549988,86.72038356474312
Delta W max2 [lambda],1.7513570278206587,7.795248371981599,1.7513574622673929,1.7513574622673929,51.78669619425094,478.8038344453027,95.87976230083416,368.1601374950146,106.63942948033042,364.78648478233356,2858.1470127521166,70.6023654282875,70.6023654282875,71.7169279916559,71.7169279916559,70.6023702172226,1109.3109348618457,1109.3109348618457,1460.5607337156528,10402.073167625986,1.9155468379244718,5.76600872213953,25.740445812733316,115.62717808632416
Delta W max3 [lambda],2.5428356846242255,11.31810100162713,2.542836315407465,2.542836315407465,77.6800442913764,718.2057516679541,143.81964345125124,552.2402062425219,159.95914422049563,474.22243021703366,4287.220519128175,105.90354814243125,105.90354814243125,107.57539198748385,107.57539198748385,105.90355532583389,1663.9664022927684,1663.9664022927684,2190.8411005734793,15603.109751438977,2.7812266589095693,8.371801125414125,38.610668719099976,173.44076712948623
Delta W max4 [lambda],3.7216336841188995,16.5649027904609,3.72163460731821,3.72163460731821,129.46674048562735,1197.0095861132568,239.6994057520854,920.4003437375366,266.598573700826,911.966211955834,7145.367531880291,176.50591357071875,176.50591357071875,179.29231997913976,179.29231997913976,176.5059255430565,2773.277337154614,2773.277337154614,3651.4018342891322,26005.182919064962,4.070537030589502,12.252768534546501,64.35111453183329,289.0679452158104
Delta W max5 [lambda],5.422471337476216,24.135288228635336,5.422472142789428,5.422472142789428,181.2534366798783,1675.8134205585595,335.57916805291956,1288.5604812325512,373.23800318115644,1276.7526967381675,10003.514544632408,247.10827899900625,247.10827899900625,251.00924797079566,251.00924797079566,247.1082957602791,3882.5882720164595,3882.5882720164595,5111.962568004785,36407.25608669095,5.93082802536461,17.85245008200893,90.09156034456662,404.69512330213456
Delta W max6 [lambda],11.552639929482813,35.22852629645531,11.552639929482813,11.552639929482813,284.82682906838016,1915.2153377812108,527.3386926545878,2024.8807562225804,586.5168621418173,2006.3256663028346,15719.80857013664,388.31300985558124,388.31300985558124,394.44310395410747,394.44310395410747,388.3130361947243,6101.210141740151,6101.210141740151,8033.084035436091,57211.40242194292,12.635699922871826,26.05792403274595,141.57245197003326,635.949479474783
Delta W max7 [lambda],33.47075398311001,59.96344901524307,33.47075398311001,33.47075398311001,388.40022145688204,3591.0287583397703,719.0982172562561,2761.20103121261,799.7957211024782,2735.898635867502,21436.102595640874,529.5177407121563,529.5177407121563,537.8769599374192,537.8769599374192,529.5177766291695,8319.832011463843,8319.832011463843,10954.205502867397,78015.54875719489,36.608637169026565,44.353913247227155,193.05336007103855,867.2038356474312
Delta W max8 [lambda],,,,,466.08026574825846,4309.234510007725,862.9178607075074,3313.4412374551316,959.7548653229737,3283.0783630410024,25723.323114769046,635.421345148104,635.421345148104,666.8001770072697,666.8001770072697,635.421345148104,9983.79841375661,9983.79841375661,13145.046603440876,93618.65850863386,,,277.99683850229553,1040.6446027769175
Delta W max9 [lambda],,,,,682.358096395297,5266.84217889833,1054.6774041552892,4049.761512445161,1173.0337242836347,4012.6513326056693,31439.61714027328,949.2096637397603,949.2096637397603,996.0842150355509,996.0842150355509,949.2096637397603,12202.420283480302,12202.420283480302,16066.168070872181,114422.80484388584,,,415.2792278861451,1271.898958949566
Delta W max10 [lambda],,,,,953.0456057091338,6224.449847788936,1473.0618289441643,4786.081787435191,1566.8021271497018,4742.224302170336,37155.911165777514,1325.7556460497478,1325.7556460497478,1391.2250606694886,1391.2250606694886,1325.7556460497478,14421.042153203993,14421.042153203993,18987.28953830349,135226.9511791378,,,580.0180951467647,1503.153315122214
Delta W max11 [lambda],,,,,1268.8476999086101,7182.057516679541,1961.1769911978517,5522.40206242522,2085.9791633649875,5471.797271735004,42872.20519128175,1765.0592920780668,1765.0592920780668,1852.2227139090824,1852.2227139090824,1765.0592920780668,16639.664022927685,16639.664022927685,21908.411005734793,156031.09751438978,,,772.2134402841542,1734.4076712948624
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],2.7500419781344636,3.4918648087791015,2.750042491075546,2.750042491075546,4.013782044201668,8.84224047096782,3.4112711972640697,3.4079742134860673,3.2660174783166602,2.9762566476114922,1.800735314938728,3.126913340958959,3.126913340958959,3.084498761069017,3.084498761069017,3.1269135004731856,1.3166652920242958,1.3166652920242958,1.2066531976050636,2.1806598988369466,2.572265845468617,2.433809595329632,5.360421688458068,6.856139197643566
W kernel support pred1 [uv-pixels],3.6347446231115805,4.615827479190728,3.634745301416231,3.634745301416231,5.4462837020021695,12.006937942307786,4.628222426954888,4.623746353670692,4.4310265250829755,4.037675814073314,2.4423062511047653,4.242187853891914,4.242187853891914,4.1846102872085496,4.1846102872085496,4.242188070433122,1.7855536366479052,1.7855536366479052,1.636315784199757,2.9578501806715223,3.3996629469568833,3.216584903997229,7.275207516027011,9.307371379011737
W kernel support pred2 [uv-pixels],4.84422385544465,6.152776265774152,4.844224760032404,4.844224760032404,6.764045107395175,14.921405180819749,5.747509890158667,5.741948290003751,5.50249511067689,5.013787754712014,3.0320855721992803,5.267873082864915,5.267873082864915,5.196337773078726,5.196337773078726,5.267873351900808,2.216510941332079,2.216510941332079,2.031202751830442,3.6723955798963437,4.530729394236706,4.286599692573056,9.037233634744657,11.563834074653661
W kernel support pred3 [uv-pixels],6.414683079578732,8.149027698922243,6.4146842783193785,6.4146842783193785,9.182225185587892,20.276974188900866,7.801051888858941,7.793496290978817,7.468202525660246,6.108979430063323,4.113460763039432,7.149491818170781,7.149491818170781,7.052322196844914,7.052322196844914,7.149492183617828,3.0065025524480746,3.0065025524480746,2.755033353601905,4.982746490305986,5.999263430714007,5.67578417174312,12.27204427691317,15.7081266007286
W kernel support pred4 [uv-pixels],8.547587491051885,10.861174004704436,8.547589089837572,8.547589089837572,13.501980212644998,29.864951144583646,11.468210877726447,11.457087581518122,10.978216582392582,10.001117497362651,6.042584266912261,10.509082830590636,10.509082830590636,10.366060923053515,10.366060923053515,10.509083368492544,4.4152953520754945,4.4152953520754945,4.045725648197659,7.320967031761965,7.993560657532459,7.5621887741080425,18.054540316706046,23.121467353007596
W kernel support pred5 [uv-pixels],11.35438803385117,14.431738640587843,11.354389306728228,11.354389306728228,17.4122018685293,38.564497885368965,14.786508315415581,14.772149965926287,14.154031111933323,12.892961760658318,7.786252994404642,13.548528843062236,13.548528843062236,13.363942660575004,13.363942660575004,13.54852953729481,5.688146386580536,5.688146386580536,5.211758337029404,9.435010513313733,10.617678379799617,10.044127358872315,23.292695111436288,29.84191208345195
W kernel support pred6 [uv-pixels],20.11178465076857,19.20967741768758,20.11178465076857,20.11178465076857,24.51748805595337,42.689019535924494,20.813640046007006,20.793391280708526,19.92175026077148,18.14380293560409,10.949182288252079,19.06800962091811,19.06800962091811,18.807770212639525,18.807770212639525,19.06801059970331,7.995941052414543,7.995941052414543,7.325636128338549,13.271084545440145,18.803327559523158,13.362886474534703,32.81925261246521,42.07489546511851
W kernel support pred7 [uv-pixels],45.09913102949984,28.744585741036797,45.09913102949984,45.09913102949984,31.02095639119467,68.97001072661047,26.32767722685475,26.302024832744326,25.197834670819176,22.945903636710952,13.838637906535745,24.11643342302222,24.11643342302222,23.786820429728653,23.786820429728653,24.116434662747963,10.103085903383608,10.103085903383608,9.255474212706122,16.776807533124554,42.14781065759961,19.97852165794488,41.54727978628811,53.29318487589411
W kernel support pred8 [uv-pixels],,,,,35.62913902588115,79.30557134237114,30.233408651803497,30.203921002257296,28.93468923890707,26.34643959703054,15.883090929595223,27.69173961634281,27.69173961634281,27.995470720779,27.995470720779,27.69173961634281,11.593421125339018,11.593421125339018,10.620272101703824,19.258004564783505,,,54.85736448709425,61.25343016252621
W kernel support pred9 [uv-pixels],,,,,47.62113658003813,92.50811808109238,35.211213934633214,35.17682917681968,33.69689468127179,30.679357769609343,18.48623319614556,37.560173022137654,37.560173022137654,37.97314637800734,37.97314637800734,37.560173022137654,13.490360633785775,13.490360633785775,12.35727562493199,22.41802541913185,,,74.55807688794057,71.4143522687263
W kernel support pred10 [uv-pixels],,,,,61.450783393054884,105.18766508219271,45.40266940537495,39.94155665551061,41.9932849887587,34.829882202198554,20.977938265534167,48.43877950368992,48.43877950368992,48.97263614827645,48.97263614827645,48.43877950368992,15.305437929403604,15.305437929403604,14.019171144699483,25.44354974586937,,,96.34428368811811,81.16545327724434
W kernel support pred11 [uv-pixels],,,,,76.49524519299813,117.44592919236776,56.47630874376378,44.538202994497325,52.226438749896786,38.83311041362326,23.37958402418285,60.26183770051392,60.26183770051392,60.927559713573345,60.927559713573345,60.26183770051392,17.054333947991793,17.054333947991793,15.620340548051642,28.360406464328868,,,120.09487987399693,90.58619263207005
AW kernel support pred0 [uv-pixels],10.371245387199249,10.592125369480382,10.371245523210845,10.371245523210845,10.775455735065488,13.348603542933665,10.565830359289489,10.564766359924198,10.519832231013474,10.433508692307282,10.160838925722004,10.477479994820659,10.477479994820659,10.464900028525657,10.464900028525657,10.477480042426302,10.086307921693717,10.086307921693717,10.072537512429056,10.23500256933996,10.325529118634279,10.291910859812116,11.34610596980707,12.124629672590606
AW kernel support pred1 [uv-pixels],10.640083104714856,11.01389410325214,10.640083336429624,10.640083336429624,11.386922594041573,15.625829857976514,11.01909446521665,11.01721518093765,10.93773267482749,10.784378794328054,10.293923441729369,10.862603637604941,10.862603637604941,10.840247379825408,10.840247379825408,10.862603722171084,10.158159370149031,10.158159370149031,10.132992122054633,10.428272996584743,10.562088247733568,10.504590351109503,12.366432161349364,13.661155221534043
AW kernel support pred2 [uv-pixels],11.111548261230702,11.741237403982328,11.111548655597517,11.111548655597517,12.072791980932854,17.9624144415553,11.534030949215962,11.531260562708528,11.41391486051228,11.18651275640895,10.449571422653612,11.302676090960613,11.302676090960613,11.269513132869795,11.269513132869795,11.302676216351003,10.24270085246293,10.24270085246293,10.204204261922806,10.653003768667418,10.978502122047457,10.880024674805082,13.478560448688878,15.287977580639014
AW kernel support pred3 [uv-pixels],11.880579068859971,12.899870248874674,11.880579716096257,11.880579716096257,13.576201948956292,22.608752337476563,12.682918062207515,12.678272139274364,12.480947438567238,11.718345859247234,10.812981062087594,12.292893608019673,12.292893608019673,12.236635500337151,12.236635500337151,12.29289382056204,10.44217686107053,10.44217686107053,10.372570018055264,11.172634540995988,11.661524845023587,11.498457547176045,15.830447584781592,18.62109667298136
AW kernel support pred4 [uv-pixels],13.15527468041571,14.763641175552436,13.15527571922042,13.15527571922042,16.801888871869647,31.4946869625397,15.215776704986283,15.207394775259067,14.849957553135276,14.142925835768684,11.683870275843342,14.506578574571432,14.506578574571432,14.403305837912944,14.403305837912944,14.506578964246758,10.931369221010671,10.931369221010671,10.787395237984208,12.393407855797596,12.802226836986243,12.537411975971983,20.638954092869245,25.19131303755714
AW kernel support pred5 [uv-pixels],15.130172755896167,17.557764099971163,15.130173711122563,15.130173711122563,20.07946149453255,39.83993595816423,17.850513386506677,17.838621432605603,17.3302220619811,16.316508908519545,12.67382087978504,16.839318092229547,16.839318092229547,16.69116423246553,16.69116423246553,16.839318650793146,11.504564716457951,11.504564716457951,11.276631809347837,13.748433488450264,14.585441171828306,14.173372724981423,25.348562987955113,31.47284093939528
AW kernel support pred6 [uv-pixels],22.460718640303792,21.656678103800132,22.460718640303792,22.460718640303792,26.478429344918027,43.844639226917394,23.09128865968174,23.073038832209452,22.290718549489345,20.717084374159302,14.828506087309435,21.531116805763364,21.531116805763364,21.300991065475113,21.300991065475113,21.53111767257793,12.803713262709698,12.803713262709698,12.396166531828257,16.61690961076157,21.29706851448629,16.69031859885552,34.308939681091935,43.2469285429688
AW kernel support pred7 [uv-pixels],46.19449772013973,30.434375456444247,46.19449772013973,46.19449772013973,32.59293996288769,69.69119298468613,28.162858309508398,28.138878980910007,27.109608482933442,25.030271546773616,17.073602405708293,26.107515413134642,26.107515413134642,25.803349126734624,25.803349126734624,26.107516558313076,14.215215255885104,14.215215255885104,13.625850538666128,19.531033536490195,43.3178709452446,22.341471026702173,42.733785903428966,54.22327502296619
AW kernel support pred8 [uv-pixels],,,,,37.00588531200904,79.93355769600099,31.844293031985288,31.81629840051478,30.613987674788863,28.18039885168375,18.7689258477354,29.442018323806032,29.442018323806032,29.7278721215965,29.7278721215965,29.442018323806032,15.310369472663194,15.310369472663194,14.587329416799655,21.699556212448734,,,55.76137048593685,62.064343279176626
AW kernel support pred9 [uv-pixels],,,,,48.65976417097235,93.04704138716788,36.60368269382888,36.57060719943206,35.149405559137456,32.26798712587584,21.017631117285173,38.868581109334535,38.868581109334535,39.267796549406384,39.267796549406384,38.868581109334535,16.79255281455434,16.79255281455434,15.896611616018625,24.547257763197134,,,75.22570590714359,72.11109283571933
AW kernel support pred10 [uv-pixels],,,,,62.259126074979164,105.66193678635435,46.49088501129841,41.17436032369372,43.16753391319809,36.23700724699858,23.239489965843973,49.46024019156287,49.46024019156287,49.98318808671045,49.98318808671045,49.46024019156287,18.28268115487514,18.28268115487514,17.22025434145427,27.338145944275908,,,96.86186555800266,81.77915874903907
AW kernel support pred11 [uv-pixels],,,,,77.14611161385194,117.87088819491716,57.354803193114776,45.64703195147577,53.17519068604005,40.10000579048156,25.428427972327075,61.085915586517004,61.085915586517004,61.742752875548454,61.742752875548454,61.085915586517004,19.769934405799763,19.769934405799763,18.547103246520905,30.07179167961142,,,120.51049818148522,91.13648169407519
W kernel support bw0 [uv-pixels],0.4506675549622688,3.4918648087791015,0.6941147572858917,0.6941147572858917,0.08206671693415096,8.84224047096782,0.07687480347171322,3.4079742134860673,0.08163792720852546,2.9762566476114927,1.800735314938728,0.05841560682093591,0.05841560682093591,0.06311232522063455,0.06311232522063455,0.07048270149359487,1.316665292024296,1.316665292024296,1.2066531976050636,2.1806598988369466,0.4215831235083458,2.433809595329632,0.07834144567376554,0.8018342628598344
W kernel support bw1 [uv-pixels],0.5953261484821922,4.615827479190728,0.9169883464156384,0.9169883464156384,0.11124275129826217,12.006937942307786,0.1042046592033134,4.623746353670692,0.11066148780791688,4.037675814073315,2.4423062511047653,0.07918195421749345,0.07918195421749345,0.08554862448432096,0.08554862448432096,0.09553966468778441,1.7855536366479052,1.7855536366479052,1.636315784199757,2.9578501806715223,0.5569003120961032,3.216584903997229,0.10619281656116737,1.0872212870902473
W kernel support bw2 [uv-pixels],0.7928897759029393,6.152776265774152,1.2214162931149688,1.2214162931149688,0.13804042947385387,14.921405180819749,0.12930651825787876,5.741948290003751,0.13731910965881713,5.013787754712015,3.0320855721992803,0.09825498908096393,0.09825498908096393,0.10615555210245754,0.10615555210245754,0.11855376517098895,2.2165109413320794,2.2165109413320794,2.031202751830442,3.6723955798963437,0.7417026537022214,4.286599692573056,0.13177371512273017,1.3494627882166714
W kernel support bw3 [uv-pixels],1.0491070099049487,8.149027698922243,1.616293365216346,1.616293365216346,0.18712247261644901,20.276974188900866,0.17528222753372208,7.793496290978817,0.18614460189894427,6.108979430063324,4.113460763039432,0.13318762854400076,0.13318762854400076,0.14389779711917886,0.14389779711917886,0.16070524977853107,3.0065025524480746,3.0065025524480746,2.755033353601905,4.982746490305986,0.9813644883396395,5.67578417174312,0.17862690635160652,1.8300467685219586
W kernel support bw4 [uv-pixels],1.3965781256848582,10.861174004704436,2.1519223186244814,2.1519223186244814,0.2745324455683051,29.864951144583646,0.257159255708926,11.457087581518122,0.27309760732293786,10.001117497362653,6.042584266912261,0.19539578004371838,0.19539578004371838,0.21111002598212367,0.21111002598212367,0.23577077843308655,4.4152953520754945,4.4152953520754945,4.045725648197659,7.320967031761965,1.3063748867578793,7.5621887741080425,0.26206687909953047,2.6866893678452017
W kernel support bw5 [uv-pixels],1.8530298866814678,14.431738640587843,2.855724936911735,2.855724936911735,0.35339114279900546,38.564497885368965,0.3310254124002298,14.772149965926287,0.35154396543135447,12.89296176065832,7.786252994404642,0.2515149524550637,0.2515149524550637,0.2717441891855679,0.2717441891855679,0.3034908543784599,5.688146386580537,5.688146386580537,5.211758337029404,9.435010513313733,1.7333070601419245,10.044127358872315,0.3373433170900754,3.460291773262399
W kernel support bw6 [uv-pixels],3.27214325336379,19.20967741768758,5.044985981964218,5.044985981964218,0.49611756643315746,42.689019535924494,0.46471392659316385,20.793391280708526,0.4935239306287259,18.143802935604093,10.949182288252079,0.3530781993303267,0.3530781993303267,0.38148011679479693,0.38148011679479693,0.42605352319226847,7.995941052414543,7.995941052414543,7.325636128338551,13.271084545440145,3.0605540608250066,13.362886474534703,0.47358481730217344,4.862088146094807
W kernel support bw7 [uv-pixels],7.288253315989402,28.744585741036797,11.248089835609772,11.248089835609772,0.626178319278301,68.97001072661047,0.5865368530945665,26.302024832744326,0.6229042971858739,22.945903636710955,13.838637906535745,0.445621585359419,0.445621585359419,0.4814719501653361,0.4814719501653361,0.5377358269082221,10.10308590338361,10.10308590338361,9.255474212706122,16.776807533124554,6.816088063459812,19.97852165794488,0.5977347422104764,6.141176186455285
W kernel support bw8 [uv-pixels],,,,,0.7180313408728373,79.30557134237114,0.6725710238131853,30.203921002257296,0.714276718390777,26.346439597030543,15.883090929595223,0.5109749386892477,0.5109749386892477,0.5657373868993997,0.5657373868993997,0.6166072636530241,11.593421125339018,11.593421125339018,10.620272101703826,19.258004564783505,,,0.785961218095008,7.045406125107782
W kernel support bw9 [uv-pixels],,,,,0.9559832967644816,92.50811808109238,0.7819333044164924,35.17682917681968,0.8304258419495837,30.67935776960935,18.48623319614556,0.6906305014053227,0.6906305014053227,0.7646619712336059,0.7646619712336059,0.8334333196827726,13.490360633785775,13.490360633785775,12.35727562493199,22.41802541913185,,,1.062398074093884,8.195840735937422
W kernel support bw10 [uv-pixels],,,,,1.2286444274243116,105.18766508219271,1.0049094108251848,39.94155665551061,1.0320376595005896,34.829882202198554,20.977938265534167,0.8875494912621624,0.8875494912621624,0.982708616695886,0.982708616695886,1.0711091578581693,15.305437929403606,15.305437929403606,14.019171144699484,25.44354974586937,,,1.3654444936765433,9.296137010909604
W kernel support bw11 [uv-pixels],,,,,1.5233436347566696,117.44592919236776,1.2458905613438238,44.538202994497325,1.2795311513381267,38.83311041362327,23.37958402418285,1.1003610172464684,1.1003610172464684,1.2183605229225036,1.2183605229225036,1.3279825829593797,17.054333947991793,17.054333947991793,15.620340548051642,28.360406464328868,,,1.6929984737925015,10.355881468828386
AW kernel support bw0 [uv-pixels],10.010149911219894,10.592125369480382,10.024060818664363,10.024060818664363,10.00033674163167,13.348603542933665,10.000295482404947,10.564766359924198,10.000333232005767,10.433508692307282,10.160838925722004,10.000170617700492,10.000170617700492,10.000199156296576,10.000199156296576,10.000248387475676,10.086307921693717,10.086307921693717,10.072537512429056,10.23500256933996,10.008882671408784,10.291910859812116,10.000306864397224,10.03209540350848
AW kernel support bw1 [uv-pixels],10.01770498782364,11.01389410325214,10.041955368724862,10.041955368724862,10.000618728344582,15.625829857976514,10.000542915812105,11.01721518093765,10.000612279499883,10.784378794328054,10.293923441729369,10.000313484180069,10.000313484180069,10.000365921662624,10.000365921662624,10.000456380962254,10.158159370149031,10.158159370149031,10.132992122054633,10.428272996584743,10.015494893294726,10.504590351109503,10.000563829819257,10.058928875735337
AW kernel support bw2 [uv-pixels],10.031384460618156,11.74123740398233,10.074316739168305,10.074316739168305,10.000952712625399,17.9624144415553,10.000835973840585,11.531260562708528,10.000942782451938,11.18651275640895,10.449571422653612,10.00048269049446,10.00048269049446,10.000563434189205,10.000563434189205,10.000702725070685,10.24270085246293,10.24270085246293,10.204204261922806,10.653003768667418,10.027468415632578,10.880024674805082,10.000868177913217,10.090641694995492
AW kernel support bw3 [uv-pixels],10.054880681451754,12.899870248874674,10.129778094432394,10.129778094432394,10.001750587760029,22.608752337476563,10.00153607498814,12.678272139274364,10.001732340590609,11.718345859247234,10.812981062087594,10.000886907889578,10.000886907889578,10.00103527521105,10.00103527521105,10.001291225502154,10.44217686107053,10.44217686107053,10.372570018055264,11.172634540995988,10.04803842841846,11.498457547176045,10.001595251342295,10.16607452141571
AW kernel support bw4 [uv-pixels],10.097050582281017,14.763641175552438,10.228918303779446,10.228918303779446,10.003767693407806,31.4946869625397,10.003305997658812,15.207394775259067,10.003728420100453,14.142925835768686,11.683870275843343,10.001908793368338,10.001908793368338,10.002228123926697,10.002228123926697,10.002779006854192,10.931369221010673,10.931369221010673,10.787395237984208,12.393407855797596,10.084969774111952,12.537411975971983,10.003433363056955,10.354626973449717
AW kernel support bw5 [uv-pixels],10.170236956970802,17.557764099971166,10.399767541406852,10.399767541406852,10.006242316664572,39.83993595816423,10.005477391092079,17.838621432605603,10.006177250060643,16.316508908519545,12.67382087978504,10.003162488498749,10.003162488498749,10.003691563835629,10.003691563835629,10.00460427496717,11.504564716457951,11.504564716457951,11.276631809347839,13.748433488450264,10.149106037712773,14.173372724981423,10.005688407780113,10.58175879313583
AW kernel support bw6 [uv-pixels],10.52173566815543,21.656678103800132,11.20053050342775,11.20053050342775,10.012299068631718,43.844639226917394,10.010792128176952,23.073038832209452,10.012170886980666,20.717084374159302,14.828506087309437,10.006231269306259,10.006231269306259,10.007273708633624,10.007273708633624,10.009071965203594,12.8037132627097,12.8037132627097,12.396166531828259,16.61690961076157,10.457867428841906,16.69031859885552,10.011207848165931,11.11934805374828
AW kernel support bw7 [uv-pixels],12.374111539744197,30.434375456444247,15.050565602326973,15.050565602326973,10.019585784229516,69.69119298468613,10.017186505203847,28.138878980910007,10.019381705646943,25.03027154677362,17.073602405708296,10.009924005572582,10.009924005572582,10.01158405242627,10.01158405242627,10.014447554385647,14.215215255885106,14.215215255885106,13.625850538666128,19.531033536490195,12.10202695786286,22.341471026702173,10.01784841281028,11.735162757843858
AW kernel support bw8 [uv-pixels],,,,,10.025745309276296,79.93355769600099,10.022592069024515,31.81629840051478,10.025477107371753,28.18039885168375,18.7689258477354,10.013046259154528,10.013046259154528,10.015990155293473,10.015990155293473,10.018992190714078,15.310369472663195,15.310369472663195,14.587329416799657,21.699556212448734,,,10.030839199007698,12.232650876555999
AW kernel support bw9 [uv-pixels],,,,,10.045591274966979,93.04704138716788,10.030524397685083,36.57060719943206,10.034421113296855,32.26798712587585,21.017631117285177,10.023820154485582,10.023820154485582,10.02919278557606,10.02919278557606,10.034670452902649,16.79255281455434,16.79255281455434,15.896611616018626,24.547257763197134,,,10.056276133233336,12.929493623837372
AW kernel support bw10 [uv-pixels],,,,,10.075195637258902,105.66193678635435,10.05036531296077,41.17436032369372,10.05311403151419,36.23700724699858,23.239489965843973,10.039309941397352,10.039309941397352,10.048169794809816,10.048169794809816,10.05720014855266,18.28268115487514,18.28268115487514,17.22025434145427,27.338145944275908,,,10.09279142087617,13.653503701453461
AW kernel support bw11 [uv-pixels],,,,,10.115363356279085,117.87088819491716,10.07731329724573,45.64703195147577,10.081527660391785,40.10000579048157,25.42842797232708,10.060357566621361,10.060357566621361,10.07394671237723,10.07394671237723,10.087791519487476,19.769934405799766,19.769934405799766,18.547103246520905,30.07179167961142,,,10.14229973094188,14.395981418313347
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],11.79660516904192,12.738016150411003,11.79660516904192,11.79660516904192,5.18522443962308,0.32406752516500914,6.39630715249548,1.1914559999999998,3.7550875781415987,0.027428195196651312,5.120573970193088,0.23584145480395563,0.23584145480395563,15.534329921756584,15.534329921756584,11.504461209949055,12.974414343922646,12.974414343922646,13.315159628954358,15.616652083199998,8.28232973512208,16.46046216192,15.616652083199998,15.616652083199998
Working (cache) memory [TeraBytes],0.03847488539098393,0.01462260367502784,0.03847488580163392,0.03847488580163392,0.15432674578188266,0.008265606860389928,0.081134855570581,0.010234606580801508,0.05290715099451349,8.924226035423446e-06,0.0063794038712855945,0.1668297115993535,0.1668297115993535,0.23183240511395684,0.23183240511395684,0.16682971310026679,0.006280056954712319,0.006280056954712319,0.004953276017338678,0.034703698811370344,0.022052424021552004,0.006352000420323676,1.7483180235766895,1.123764587215355
I/O Rate [TeraBytes/s],48.06024328128189,0.7371537124080442,27.033886845721064,27.033886845721064,337.9998153235785,0.018753907706308397,366.45509727838686,0.06894999999999998,255.55457129019206,0.002164472474483216,1.303849853521388,846.5898654265751,846.5898654265751,1012.6081726774662,1012.6081726774662,659.1097568199979,3.3036703190543775,3.3036703190543775,3.3904341647800442,0.9037414399999999,33.74282484679365,0.9525730417777777,1590.5849343999998,22.593535999999997
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,
