,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Frequencies backward kernels1,296.46631248540365,605.0570623605315,251.66391348267408,641.4655509199725,105.27652188902991,207.75778800970411,210.76298623062877,211.52932189155916,215.09082126910923,416.96866688698003,209.9281726505881,211.52932189155916,215.09082126910923,416.96866688698003,209.9281726505881,211.52932189155916,215.09082126910923,416.96866688698003,43.29289041215807,44.242399773032865,47.40896467809012,90.07656320725712,53.657876656462875,52.60930713093379,55.63336378292451,47.34034197926696,46.184765646215084,43.48041823707514,45.817541741763826,40.0,41.53595547533013,41.47719527325877,42.27949809112883,94.96461245632908,94.15038713109617,97.69502990630497,297.8038567330659,275.0033403034528,122.67822030401042,120.60614030414365,122.0799644204864,121.56283647715857,120.60614030414365,122.0799644204864,121.06441471775742,122.04945973113716,126.04204636685348,102.76240810055799,102.83704744800906,104.79498129586298,102.70306143497557,102.83704744800906,104.79498129586298
Frequencies backward kernels2,302.9734323777426,667.3926523531879,253.6839766632945,724.2098940327145,105.75576114593238,216.75801022494554,214.6084897338584,216.7365147925422,226.46621387569175,438.3314376324294,212.2757318260155,216.7365147925422,226.46621387569175,438.3314376324294,212.2757318260155,216.7365147925422,226.46621387569175,438.3314376324294,44.175399447806804,45.60316636139217,50.27340918595595,96.96527692322057,55.367879043080805,53.79356674983481,58.29813699962638,54.373126562892466,48.70305787366431,44.69785254603295,48.164880345064596,40.0,41.74943175675601,41.65930631877114,42.88450269311866,96.79506947132545,95.56077892230813,100.8987993054779,321.6688181334474,288.64182599390756,124.24520378548196,121.07788051487124,123.3334391277369,122.5435537665551,121.07788051487124,123.3334391277369,121.7806752597494,123.28689044747145,129.3328018245243,103.18082037879664,103.29535414024646,106.28535055448701,103.08972413441388,103.29535414024646,106.28535055448701
Frequencies backward kernels3,320.723690425576,819.2124674207793,258.45239584552763,892.0250996693047,106.89319590329661,236.9303628422511,225.1633419232751,230.87857107285222,256.0452484500967,494.0202171052955,218.7971349552301,230.87857107285222,256.0452484500967,494.0202171052955,218.7971349552301,230.87857107285222,256.0452484500967,494.0202171052955,46.219396923624736,48.70714609596056,56.54976652990504,111.76323879494906,59.26226108156293,56.52774686331452,64.23349273708399,68.36916648468659,54.26312867233054,47.4859937343171,53.37001746347091,40.0,42.255634468252666,42.091641014618816,44.29876687558352,101.04171641831043,98.85432997954472,108.18545932396029,372.7068757868045,318.950574225761,127.91688605349115,122.19863782024385,126.28196507973554,124.85841840746068,122.19863782024385,126.28196507973554,123.47703168504782,126.1982609829552,136.8900826073411,104.17463312877737,104.38326972872042,109.76972197600037,104.00856464226658,104.38326972872042,109.76972197600037
Frequencies backward kernels4,366.50466683354875,1146.673375693297,270.1580247241822,1219.2934739080615,109.72125328075083,281.7334838325305,254.70432980595342,350.05415280954406,350.05415280954406,679.7295400499112,236.33470453479393,350.05415280954406,350.05415280954406,679.7295400499112,236.33470453479393,350.05415280954406,350.05415280954406,679.7295400499112,51.03744092373995,55.81392722930875,70.00853943127102,142.63143322751455,68.15298424859168,62.932214426565714,77.28323680524319,95.15648453056208,,,,,43.511467036376274,43.167227911109215,47.69656428051904,111.0854645984329,106.74987893811067,124.78116018200623,425.4970392387875,351.57957811396767,136.78316714366247,124.99196539545878,133.46307031785136,130.54017329108348,124.99196539545878,133.46307031785136,127.67339171331069,133.29205120182638,154.41148747787085,106.65007068230466,107.08917653756981,118.14340345420659,106.29991351749727,107.08917653756981,118.14340345420659
Frequencies backward kernels5,,,283.89263431083293,1530.1413551942262,113.10082126225808,328.6569917662115,,,,,,,,,,,,,56.40606297527108,63.4830862315909,83.67739008295659,173.3084045267238,,,,,,,,,45.00735349956708,44.45372796542819,51.57119104224169,122.3211874712035,115.72876036071801,142.59321509120008,,,146.95956758351954,128.34207147961723,141.79842347575556,137.20541456146742,128.34207147961723,141.79842347575556,132.65098731218237,141.5310061075448,173.57398793733665,109.61623167846822,110.32449503660001,127.69567824074764,109.05027585427551,110.32449503660001,127.69567824074764
Frequencies backward kernels6,,,315.0844009859572,2110.607880696978,120.99445590406987,422.5313664015881,,,,,,,,,,,,,59.204366342701235,67.40491411501228,90.45188040520407,188.36370294306903,,,,,,,,,48.483218803691905,47.46299098967583,60.038007468805176,140.21804624631892,130.2731411296167,169.9187598906666,,,169.38188478051217,136.2130896641472,160.44160135128323,152.3379350230797,136.2130896641472,160.44160135128323,144.1413309380863,159.97381780300188,213.50371694460304,116.57476417261066,117.88772621679473,148.57880109022597,115.52113985348653,117.88772621679473,148.57880109022597
Frequencies backward kernels7,,,349.04961489263707,2650.649745156176,129.8822495639658,513.745333773187,,,,,,,,,,,,,,,,,,,,,,,,,52.37159979845599,50.85752867465357,68.89384619383685,,,,,,193.02671680696523,145.14237741498027,180.40711716697345,168.81051100295366,145.14237741498027,180.40711716697345,156.89299113201722,179.74209235086167,253.531876182489,124.45365718256267,126.41279662723717,170.43113423563068,122.87520824109151,126.41279662723717,170.43113423563068
Frequencies backward kernels8,,,375.4436726730284,3036.1503489356865,136.96254126237864,580.0843951337391,,,,,,,,,,,,,,,,,,,,,,,,,55.45364232266533,53.56567656794197,75.59661995476698,,,,,,211.01371616608265,152.29856805274838,195.74716642903988,181.60822584509995,152.29856805274838,195.74716642903988,166.93921314553944,194.93943092173265,283.10408912615844,130.7582166391694,133.2099755336142,186.97513812760153,128.7775598396024,133.2099755336142,186.97513812760153
Frequencies backward kernels9,,,411.20927703740205,3529.9231552372075,146.75633826888256,665.9465761130012,,,,,,,,,,,,,,,,,,,,,,,,,59.69838863958626,57.31650372243194,84.5018805395423,,,,,,234.99802438232953,162.24994680038293,216.35299254950291,198.9467585677059,162.24994680038293,216.35299254950291,170.34892697052504,200.0370041019916,292.85270695536605,139.51318214696866,142.6192208179969,208.95963376749813,136.9960709706173,142.6192208179969,208.95963376749813
Frequencies backward kernels10,,,447.2062013756308,4004.9979033948084,156.80524548076093,749.1590872269257,,,,,,,,,,,,,,,,,,,,,,,,,64.03547138008837,61.169834432003,93.31283131123412,,,,,,258.8008057153107,172.51391559092158,236.9323376862539,216.39455935779048,172.51391559092158,236.9323376862539,,,,148.53076174951897,152.28063192170634,230.71480957219222,145.483772101153,152.28063192170634,230.71480957219222
Frequencies backward kernels11,,,483.1643577659207,4464.774313179963,167.00047675712608,830.0464532187237,,,,,,,,,,,,,,,,,,,,,,,,,68.42042490992206,65.08336121584678,102.00182714898018,,,,,,282.3265909800315,182.97328651789886,257.3681344753387,233.82134083927625,182.97328651789886,257.3681344753387,,,,157.70928523532092,162.08873597431335,252.17138127148723,154.14268283899347,162.08873597431335,252.17138127148723
Frequencies backward grid0,559.1337152950158,65536.0,603.2228470378325,65536.0,500.0,65536.0,429.9899422466631,663.1885345814411,663.1885345814411,1500.0,358.44033998018244,663.1885345814411,663.1885345814411,1500.0,358.44033998018244,663.1885345814411,663.1885345814411,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,500.0,483.15612439994436,700.0,652.167937578682,483.15612439994436,700.0,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1117.2953217949262,65536.0,904.5597563976627,65536.0,621.0918337495959,65536.0,859.2872958419088,1325.6842841487744,1325.6842841487744,2576.0131800688873,716.1882027630096,1325.6842841487744,1325.6842841487744,2576.0131800688873,716.1882027630096,1325.6842841487744,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,500.0,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,724.6015700009231,978.1192792840136,724.6015700009231,724.6015700009231,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies backward grid2,2233.6181120846836,65536.0,1205.8966379974954,65536.0,828.0453578278335,65536.0,1717.881724030251,2650.675602311196,2650.675602311196,5151.333306208186,1431.683593715042,2650.675602311196,2650.675602311196,5151.333306208186,1431.683593715042,2650.675602311196,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,500.0,994.2703121075014,100.0,5000.0,500.0,795.9664696855765,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,966.0470075132783,1304.070614995905,966.0470075132783,966.0470075132783,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies backward grid3,4466.26348098825,65536.0,1808.570373420898,65536.0,1241.9523988093595,65536.0,3435.07044070933,5300.658148066288,5300.658148066288,10301.97351186012,2862.67420802834,5300.658148066288,5300.658148066288,10301.97351186012,2862.67420802834,5300.658148066288,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,644.3264317751682,1491.3496857510963,100.0,5000.0,644.7501595153672,1193.9041270392163,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,1448.937874446404,1955.9732804231985,1448.937874446404,1448.937874446404,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,8931.554112875032,65536.0,3013.917810920462,65536.0,2069.7664721575957,65536.0,6869.447804173029,10600.623194271158,10600.623194271158,20603.253899857915,5724.655352792174,10600.623194271158,10600.623194271158,20603.253899857915,5724.655352792174,10600.623194271158,10600.623194271158,20603.253899857915,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,1073.8030119774014,2485.5084313703824,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,1862.8443284761663,2414.7195985996987,2414.7195985996987,3259.7786040836563,2414.7195985996987,2414.7195985996987,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,4219.26523571507,65536.0,2897.5805422242274,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,2607.875942853118,3380.5013190529257,3380.5013190529257,4563.583925007532,3380.5013190529257,3380.5013190529257,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,6629.960074898007,65536.0,4553.208679676484,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,4097.939167681737,5312.06475692582,5312.06475692582,7171.194564597031,5312.06475692582,5312.06475692582,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,9040.654909467647,65536.0,6208.8368159291185,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,5588.002390765619,7243.628193459831,7243.628193459831,9778.805203194423,7243.628193459831,7243.628193459831,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,10848.676034195598,65536.0,7450.557917820432,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,6705.549807639503,8692.300770509128,8692.300770509128,11734.513181907203,8692.300770509128,8692.300770509128,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,13259.37086640695,65536.0,9106.186053467487,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,8195.613029826505,10623.864206351685,10623.864206351685,14342.123819976441,10623.864206351685,10623.864206351685,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,15670.065698076485,65536.0,10761.814188959252,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,9685.676251827055,12555.427642058461,12555.427642058461,16949.734457906787,12555.427642058461,12555.427642058461,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,18080.76052947859,65536.0,12417.442324443025,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,11175.739473704114,14486.991077609053,14486.991077609053,19557.345095862493,14486.991077609053,14486.991077609053,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies backward fft,2500,65536,2500,65536,2500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,200,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
Channels out,500,65536,500,65536,500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,40,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.285711,9129632914.285711,9129632914.285711,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9012691084.936573,9012691084.936573,9012691084.936573,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged0 [1/s],1068006804.4129881,4702156614.425933,5557019537.1692095,5557019537.1692095,2632263121.1519947,5557019537.1692095,2053498743.4000857,760586402.4349835,760586402.4349835,1478267312.6817896,1369015739.5189753,760586402.4349835,760586402.4349835,1478267312.6817896,1369015739.5189753,760586402.4349835,760586402.4349835,1478267312.6817896,362850872.219865,134391632.3195664,134391632.3195664,446320027.36918545,118842481.81297402,66024918.21520934,2656394.8599766605,224667290.01023868,33558822.87867294,18644423.173564527,18644423.173564527,65177541.08311387,2733148808.569379,1012282203.3974955,1012282203.3974955,470178730.6589364,470178730.6589364,470178730.6589364,219039536.8896133,219039536.8896133,5527726071.639862,3070968927.2751784,3070968927.2751784,5557019537.1692095,3070968927.2751784,3070968927.2751784,3500901427.5528927,1944955236.080722,1944955236.080722,4616807341.8289795,2564901484.386682,2564901484.386682,5557019537.1692095,2564901484.386682,2564901484.386682
Visibilities averaged1 [1/s],288388130.64524466,1269698049.1437929,457466134.8960061,457466134.8960061,216693720.07932782,457466134.8960061,554495216.1770215,205377053.67240188,205377053.67240188,399168568.1558812,369667953.71757394,205377053.67240188,205377053.67240188,399168568.1558812,369667953.71757394,205377053.67240188,205377053.67240188,399168568.1558812,29870686.066118084,11063416.313075522,11063416.313075522,36742051.46870331,9783375.864128204,5435317.248879598,218680.2981747619,18495108.054073848,2762636.498086998,1534850.1385548362,1534850.1385548362,5365559.289810689,224998852.92625448,83333309.14437708,83333309.14437708,38706152.67522038,38706152.67522038,38706152.67522038,18031818.974195447,18031818.974195447,455054632.04564065,252808952.0199814,252808952.0199814,457466134.8960061,252808952.0199814,252808952.0199814,288201946.02561563,160113015.33930606,160113015.33930606,380065788.1620287,211148361.20391273,211148361.20391273,457466134.8960061,211148361.20391273,211148361.20391273
Visibilities averaged2 [1/s],295343688.57940954,1300321564.4734845,256593083.03988552,256593083.03988552,121543662.94933827,256593083.03988552,567868941.34285,210330489.1413662,210330489.1413662,408796010.50274134,378583878.45668787,210330489.1413662,210330489.1413662,408796010.50274134,378583878.45668787,210330489.1413662,210330489.1413662,408796010.50274134,16754489.230037004,6205478.141832605,6205478.141832605,20608643.010717962,5487502.536303211,3048673.3417041427,122657.93602732864,10373919.367450994,1549564.7924273144,860898.5431140364,860898.5431140364,3009546.052449976,126202017.91747853,46741712.8442359,46741712.8442359,21710308.785600163,21710308.785600163,21710308.785600163,10114060.190395769,10114060.190395769,255240469.3622077,141800722.43737984,141800722.43737984,256593083.03988552,141800722.43737984,141800722.43737984,161652678.1498663,89807505.09557271,89807505.09557271,213179173.0652331,118433267.1804169,118433267.1804169,256593083.03988552,118433267.1804169,118433267.1804169
Visibilities averaged3 [1/s],369997461.95525193,1629002742.1781635,459807312.3426801,459807312.3426801,217802694.95547017,459807312.3426801,711408691.4492425,263495548.2828546,263495548.2828546,512127030.9549176,474278203.9457324,263495548.2828546,263495548.2828546,512127030.9549176,474278203.9457324,263495548.2828546,263495548.2828546,512127030.9549176,30023555.472616497,11120035.631489608,11120035.631489608,36930086.50710592,9833444.31111967,5463133.607704691,219799.4397746862,18589760.590178713,2776774.8610592647,1542705.051201487,1542705.051201487,5393018.647869954,226150331.03537884,83759784.56855221,83759784.56855221,38904239.40728274,38904239.40728274,38904239.40728274,18124100.53272981,18124100.53272981,457383468.1283203,254102754.05610594,254102754.05610594,459807312.3426801,254102754.05610594,254102754.05610594,289676879.0198931,160932426.770748,160932426.770748,382010853.3452681,212228956.56047428,212228956.56047428,459807312.3426801,212228956.56047428,212228956.56047428
Visibilities averaged4 [1/s],141855163.57533255,624551447.5564057,645228591.6047664,645228591.6047664,305633517.2179821,645228591.6047664,272750509.5876864,101022866.22592254,101022866.22592254,196346924.5533511,181835874.88790295,101022866.22592254,101022866.22592254,196346924.5533511,181835874.88790295,101022866.22592254,101022866.22592254,196346924.5533511,42130814.13139103,15604286.266229669,15604286.266229669,51822463.59549761,13798865.857877117,7666189.529454271,308435.46667140163,26086242.480049044,,,,,317347409.8127446,117536642.80573276,117536642.80573276,54592710.74294672,54592710.74294672,54592710.74294672,12716400.486603329,12716400.486603329,641827311.2277044,356571889.40119225,356571889.40119225,645228591.6047664,356571889.40119225,356571889.40119225,406491588.2224452,225829821.06086984,225829821.06086984,536060037.0313493,297812120.5632539,297812120.5632539,645228591.6047664,297812120.5632539,297812120.5632539
Visibilities averaged5 [1/s],,,339470775.8585375,339470775.8585375,160801378.87304932,339470775.8585375,,,,,,,,,,,,,22166066.95181283,8209802.284707954,8209802.284707954,27265084.270227853,,,,,,,,,166964348.4922001,61838944.90142296,61838944.90142296,28722580.048779003,28722580.048779003,28722580.048779003,,,337681277.83638394,187601320.70916304,187601320.70916304,339470775.8585375,187601320.70916304,187601320.70916304,213865313.20727548,118814673.69085176,118814673.69085176,282034489.86225027,156686347.97512478,156686347.97512478,339470775.8585375,156686347.97512478,156686347.97512478
Visibilities averaged6 [1/s],,,518336756.643202,518336756.643202,245527070.71180692,518336756.643202,,,,,,,,,,,,,8461322.79154316,3133879.697136858,3133879.697136858,10407740.780109677,,,,,,,,,254937287.76392925,94421671.65458265,94421671.65458265,32892306.297772948,32892306.297772948,32892306.297772948,,,515604378.2861059,286447809.4541203,286447809.4541203,518336756.643202,286447809.4541203,286447809.4541203,326550209.0010138,181417715.4035795,181417715.4035795,430637489.6837596,239243844.2286954,239243844.2286954,518336756.643202,239243844.2286954,239243844.2286954
Visibilities averaged7 [1/s],,,495393215.1353212,495393215.1353212,234659115.72696993,495393215.1353212,,,,,,,,,,,,,,,,,,,,,,,,,243652801.04992884,90242212.03670795,90242212.03670795,,,,,,492781782.15870947,273768548.1016863,273768548.1016863,495393215.1353212,273768548.1016863,273768548.1016863,312095864.062904,173387482.4897827,173387482.4897827,411575848.7856782,228654008.56642443,228654008.56642443,495393215.1353212,228654008.56642443,228654008.56642443
Visibilities averaged8 [1/s],,,156858909.7132084,156858909.7132084,74301326.54752558,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,77149043.53468227,28573857.206178192,28573857.206178192,,,,,,156032038.2160109,86684747.90731293,86684747.90731293,156858909.7132084,86684747.90731293,86684747.90731293,98820523.71172728,54900573.18172215,54900573.18172215,130319384.54622322,72399898.48364538,72399898.48364538,156858909.7132084,72399898.48364538,72399898.48364538
Visibilities averaged9 [1/s],,,137193016.99216768,137193016.99216768,64985936.560522445,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,67476626.35125338,24991463.247999873,24991463.247999873,,,,,,136469812.96395683,75816809.60522664,75816809.60522664,137193016.99216768,75816809.60522664,75816809.60522664,21607771.298336864,12004379.099616932,12004379.099616932,113980835.20501056,63322896.48741312,63322896.48741312,137193016.99216768,63322896.48741312,63322896.48741312
Visibilities averaged10 [1/s],,,9832946.631642792,9832946.631642792,4657695.121927539,9832946.631642792,,,,,,,,,,,,,,,,,,,,,,,,,4836208.72506255,1791197.0284775805,1791197.0284775805,,,,,,9781112.895720268,5433969.300873212,5433969.300873212,9832946.631642792,5433969.300873212,5433969.300873212,,,,8169274.895856582,4538501.123255574,4538501.123255574,9832946.631642792,4538501.123255574,4538501.123255574
Visibilities averaged11 [1/s],,,4214119.9733702345,4214119.9733702345,1996155.0467506892,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,2072660.8764547457,767655.8672308879,767655.8672308879,,,,,,4191905.5151789756,2328843.9796672305,2328843.9796672305,4214119.9733702345,2328843.9796672305,2328843.9796672305,,,,3501117.8028563806,1945071.904603555,1945071.904603555,4214119.9733702345,1945071.904603555,1945071.904603555
Visibilities pred0 [1/s],3610566.5099345464,423194095.29833394,716090.3327573389,241609545.09431344,593553.7225369944,241609545.09431344,2776629.70880828,4282493.162604078,4282493.162604078,9686144.1489792,2314603.2012381065,4282493.162604078,4282493.162604078,9686144.1489792,2314603.2012381065,4282493.162604078,4282493.162604078,9686144.1489792,329977.4115688298,800110.3533410244,992559.5537826391,11576477.286249842,593553.7225369944,1015950.3430569423,204338.06615205077,17282099.231556825,593553.7225369944,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528559,985969.6387657714,1808748.750824634,1808748.750824634,1808748.750824634,5476886.68607576,5476886.68607576,593553.7225369944,573558.2324082683,830975.2115517922,774193.4141382019,573558.2324082683,830975.2115517922,774193.4141382019,2437794.672649389,2437794.672649389,1043666.7188045931,1988726.4798986902,1988726.4798986902,839706.3426737391,1988726.4798986902,1988726.4798986902
Visibilities pred1 [1/s],1948188.6617438563,158712256.1429741,88398.38222631779,30497742.326400407,61062.76833996849,30497742.326400407,1498309.1169220963,2311549.1858335203,2311549.1858335203,6238477.533916786,1248792.24774352,2311549.1858335203,2311549.1858335203,6238477.533916786,1248792.24774352,2311549.1858335203,2311549.1858335203,6238477.533916786,61112.86681122815,148189.11920900783,148189.11920900783,1429501.8087744212,54670.07454369047,203845.74417932404,27335.037271845238,2055012.0060082055,64278.61767934155,153496.73233838324,153496.73233838324,1073111.857962138,60013.66413021812,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484155,966078.3365484155,54632.257410250764,72257.05382601057,72257.05382601057,131300.83705060658,72257.05382601057,72257.05382601057,131300.83705060658,451507.38944235974,451507.38944235974,194945.1696835073,377104.1649967513,377104.1649967513,155516.66327813783,377104.1649967513,377104.1649967513
Visibilities pred2 [1/s],3988616.3606995237,325080391.1183711,66100.25491938693,23326643.91271687,61170.674813298356,23326643.91271687,3067655.6180943,7513276.554890201,7513276.554890201,25552329.192554455,2556585.91517564,7513276.554890201,7513276.554890201,25552329.192554455,2556585.91517564,7513276.554890201,7513276.554890201,25552329.192554455,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,40885.978675776205,203258.57389392328,20442.989337888106,1728986.5612418326,51505.60391483945,143488.56800991428,143488.56800991428,752386.5131124941,61199.49929229818,148402.25252641633,148402.25252641633,334035.0436599032,334035.0436599032,334035.0436599032,1011461.3236715905,1011461.3236715905,42912.65771823925,72737.76128307858,72737.76128307858,130918.64937161913,72737.76128307858,72737.76128307858,130918.64937161913,450207.1900006478,450207.1900006478,196056.52192063635,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities pred3 [1/s],18502694.340566125,814501371.0890818,218777.85586265312,65686758.90609715,248961.87681103338,65686758.90609715,14230700.6009182,43918796.07416285,43918796.07416285,128036064.91597703,10165196.30397441,43918796.07416285,43918796.07416285,128036064.91597703,10165196.30397441,43918796.07416285,43918796.07416285,128036064.91597703,245673.58498202453,595744.5937325673,595744.5937325673,2873635.1591620515,141622.58873620455,819494.5635906132,54949.85994367155,4647440.147544678,166622.98174879325,771352.5256007434,771352.5256007434,2696509.3239349774,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096021,4531107.721096021,174281.97481523297,290454.20174766175,290454.20174766175,527819.5994952194,290454.20174766175,290454.20174766175,527819.5994952194,1815139.3346248912,1815139.3346248912,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
