,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
Delta W max4 [lambda],33.893763928046475,37.358139195466826,546.5642779717768,322.50626151915515,55084.8367498334,44364.24855989744,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,426.8819122951135,243.26249250376932,421.3477064404747,523.5496478957771,3078.0963550777205,442.8825531689641,793.9342390094905,3232.5327312196455,,,,,26176.917150595942,9877.480530778297,22299.011586775472,327.04282484857373,273.07700628160575,485.43741122568935,148.52428634378006,96.27510150458511,2651.1436159332857,700.0914889066097,495.24048214167044,740.6623852340811,700.0914889066097,495.24048214167044,508.7572093441172,214.84548035504142,422.58679551833353,10659.83170781724,5874.776055339171,13072.18105455024,12481.141916215944,5874.776055339171,13072.18105455024
Delta W max5 [lambda],,,765.1899891604876,451.50876612681725,77118.77144976676,62109.947983856415,,,,,,,,,,,,,597.634677213159,340.567489505277,589.8867890166646,732.9695070540878,,,,,,,,,36647.68401083432,13828.472743089616,31218.61622148566,457.8599547880032,382.30780879424805,679.6123757159651,,,3711.6010623066004,980.1280844692536,693.3366749983386,1036.9273393277135,980.1280844692536,693.3366749983386,712.260093081764,300.783672497058,591.621513725667,14923.764390944136,8224.68647747484,18301.053476370333,17473.59868270232,8224.68647747484,18301.053476370333
Delta W max6 [lambda],,,1202.441411537909,709.5137753421413,121186.64084963348,97601.34683177437,,,,,,,,,,,,,683.0110596721817,389.2199880060309,674.1563303047595,837.6794366332432,,,,,,,,,57589.21773131107,21730.457167712255,49057.82549090604,654.0856496971475,546.1540125632115,970.8748224513787,,,5832.515955053229,1540.2012755945414,1089.529060711675,1629.4572475149782,1540.2012755945414,1089.529060711675,1119.2658605570577,472.66005678109116,929.6909501403338,23451.629757197927,12924.507321746176,28758.798320010526,27458.512215675077,12924.507321746176,28758.798320010526
Delta W max7 [lambda],,,1639.6928339153305,967.5187845574656,165254.5102495002,133092.7456796923,,,,,,,,,,,,,,,,,,,,,,,,,78530.75145178782,29632.441592334893,66897.03476032641,,,,,,7953.4308477998575,2100.274466719829,1485.7214464250112,2221.987155702243,2100.274466719829,1485.7214464250112,1526.2716280323516,644.5364410651243,1267.7603865550007,31979.495123451718,17624.328166017513,39216.54316365071,37443.42574864783,17624.328166017513,39216.54316365071
Delta W max8 [lambda],,,1967.6314006983966,1161.0225414689587,198305.41229940022,159711.2948156308,,,,,,,,,,,,,,,,,,,,,,,,,94236.90174214539,35558.92991080187,80276.4417123917,,,,,,9544.11701735983,2520.329360063795,1782.8657357100135,2666.3845868426915,2520.329360063795,1782.8657357100135,1831.5259536388219,773.4437292781491,1521.3124638660008,38375.39414814206,21149.193799221015,47059.85179638086,44932.110898377396,21149.193799221015,47059.85179638086
Delta W max9 [lambda],,,2404.882823075818,1419.0275506842827,242373.28169926695,195202.69366354874,,,,,,,,,,,,,,,,,,,,,,,,,115178.43546262215,43460.91433542451,98115.65098181208,,,,,,11665.031910106458,3080.4025511890827,2179.05812142335,3258.9144950299565,3080.4025511890827,2179.05812142335,1933.2773955076452,816.4128253491574,1605.8298229696675,46903.25951439585,25849.01464349235,57517.59664002105,54917.02443135015,25849.01464349235,57517.59664002105
Delta W max10 [lambda],,,2842.1342454532396,1677.032559899607,286441.15109913365,230694.09251146668,,,,,,,,,,,,,,,,,,,,,,,,,136119.9691830989,51362.898760047145,115954.86025123246,,,,,,13785.946802853086,3640.4757423143706,2575.2505071366863,3851.4444032172214,3640.4757423143706,2575.2505071366863,,,,55431.124880649644,30548.83548776369,67975.34148366124,64901.937964322904,30548.83548776369,67975.34148366124
Delta W max11 [lambda],,,3279.385667830661,1935.037569114931,330509.0204990004,266185.4913593846,,,,,,,,,,,,,,,,,,,,,,,,,157061.50290357563,59264.88318466979,133794.06952065282,,,,,,15906.861695599715,4200.548933439658,2971.4428928500224,4443.974311404486,4200.548933439658,2971.4428928500224,,,,63958.990246903435,35248.656332035025,78433.08632730143,74886.85149729566,35248.656332035025,78433.08632730143
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],0.9370520659082672,2.1719274927788135,1.2937212046601065,7.445664116027902,0.9673001262628604,3.25839198864424,0.8518975847664513,0.6792183416780379,1.491345763866345,1.4646014733186143,0.6633524899218053,0.6792183416780379,1.491345763866345,1.4646014733186143,0.6633524899218053,0.6792183416780379,1.491345763866345,1.4646014733186143,2.1177809837769077,2.6642461748765345,4.027277891730492,4.742356150540842,2.719109080254128,2.236169877502791,3.468301707564042,8.776787918012607,3.7652675104788957,2.5256236608113074,3.6181358057641546,10.245279925416373,1.0290431554171644,0.9496679140376055,1.7507075346745034,2.054235828549709,1.793876840102558,2.7643651787442103,4.9120022402285155,3.544635096915563,1.6485499821341918,0.8954765725307172,2.735768668107674,1.1631453245550345,0.8954765725307172,2.735768668107674,1.1058362087359543,1.46048332274785,2.4281641272821513,0.9139301417296185,0.9569072676376705,1.7449895440040648,0.8782816595986608,0.9569072676376705,1.7449895440040648
W kernel support pred1 [uv-pixels],1.5771503431800444,3.657676430670701,1.7544280348343366,10.108539909758152,1.3116453641813304,4.4206744407371925,1.4337589440227543,1.143020544225905,2.5107825069950804,2.4657257091427423,1.1163098575405483,1.143020544225905,2.5107825069950804,2.4657257091427423,1.1163098575405483,1.143020544225905,2.5107825069950804,2.4657257091427423,2.8725206513765724,3.6141633457490383,5.464609444580143,6.435702806550391,3.6886291600376,3.0331813753398977,4.705649305522815,11.917953358299592,5.108843986432147,3.4260162935545435,4.909076571893238,13.91471488790437,1.395393165303673,1.287729619940257,2.374426001082638,2.7862890350677163,2.433000242296486,3.750056636111453,6.6661151614688245,4.809284697736864,2.23581762580151,1.2142275974860468,3.7112416142621782,1.5772968451361298,1.2142275974860468,3.7112416142621782,1.499558159518097,1.980662080385985,3.2937436429946936,1.239256736116617,1.2975488125396575,2.3666676248609817,1.19090582141628,1.2975488125396575,2.3666676248609817
W kernel support pred2 [uv-pixels],2.6553459758934825,6.163194545654393,2.1778617465689725,12.560147121796634,1.6280876631331662,5.489632967352974,2.413765669532778,1.92402543070801,4.22890580153573,4.1529433643590785,1.879037987901611,1.92402543070801,4.22890580153573,4.1529433643590785,1.879037987901611,1.92402543070801,4.22890580153573,4.1529433643590785,3.5664102347179623,4.487650717091568,6.786818727701971,7.993715165807754,4.580157541023391,3.7659639977351786,5.843714919333817,14.810710768475998,6.344718487173957,4.2539273763227365,6.096485736787401,17.29494496837709,1.7320663692301461,1.5983950893211853,2.9477835985603744,3.4593065513080865,3.020528152500709,4.656468291529454,8.280106859031038,5.972486999401695,2.775647209670395,1.507140072372925,4.608248656262041,1.9579212434166078,1.507140072372925,4.608248656262041,1.8613980376761956,2.4587878377216175,4.089619007002663,1.5382142838747925,1.6105860741799725,2.938148390273654,1.4781858059611142,1.6105860741799725,2.938148390273654
W kernel support pred3 [uv-pixels],4.472643991151526,10.39307624901199,2.9540529193779315,17.063562601599124,2.2080548377502405,7.450730066321143,4.06534533199737,3.239855145947856,7.127076363814497,6.998881432872716,3.1640397905071067,3.239855145947856,7.127076363814497,6.998881432872716,3.1640397905071067,3.239855145947856,7.127076363814497,6.998881432872716,4.838848554369343,6.089783900027516,9.213171880305087,10.853445597475096,6.215415793885239,5.109789660228361,7.93175098907734,20.126299839326535,8.612440343806021,5.772383157127383,8.275167619458102,23.50848921534933,2.349133059850855,2.1677690722478777,3.9990256239677495,4.693437033296208,4.097772034491291,6.3190545624438395,11.24274403642741,8.106699068892596,3.765370226161879,2.0439607947908605,6.253566496816212,2.655592810354497,2.0439607947908605,6.253566496816212,2.5246183299671525,3.3353058322559472,5.549262154009253,2.0861195342116723,2.1843092819038774,3.9859465792720177,2.004678703759824,2.1843092819038774,3.9859465792720177
W kernel support pred4 [uv-pixels],7.538446294834981,17.545049781755946,4.338209859382306,25.121346232481667,3.2420059801796994,10.952496391664821,7.015387062886702,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,7.109320903451667,8.949559474528611,13.54755831680747,15.963902119148576,9.134418305569207,7.507832041519353,11.660629136490986,29.642454968436073,,,,,3.449284283048438,3.1828189055468252,5.874325339376329,6.895459688255305,6.01951601646679,9.286921468112954,13.970812804086622,10.070933943203556,5.530794795907599,3.000929325650614,9.190555991506967,3.8995948408577,3.000929325650614,9.190555991506967,3.7071338684028126,4.898578032191552,8.15430645320093,3.0628644738648703,3.20711932706237,5.855095125175354,2.943221390999217,3.20711932706237,5.855095125175354
W kernel support pred5 [uv-pixels],,,5.588777093724158,32.42799701618017,4.175884916815477,14.120833301149542,,,,,,,,,,,,,9.162016912479308,11.536032182204192,17.471054999220886,20.591758661293696,,,,,,,,,4.443015267053525,4.099610092226511,7.569277945266735,8.886177701907872,7.756505325124912,11.971336294951865,,,7.126308771989838,3.865215103653611,11.846991544725697,5.023402359948824,3.865215103653611,11.846991544725697,4.77533919670605,6.311176375952355,10.510008745167095,3.9450275733860596,4.130926083398859,7.544480482955743,3.7908512102140177,4.130926083398859,7.544480482955743
W kernel support pred6 [uv-pixels],,,7.856114963258606,45.73228689258829,5.86844413530558,19.8749394961398,,,,,,,,,,,,,10.13298432207305,12.759789802704006,19.328421404539114,22.783128869664854,,,,,,,,,6.244177810533935,5.761165406199756,10.643695224905276,11.630278662181052,10.15037246143764,15.673534572497022,,,10.020077641204944,5.431511520101373,16.669485792772306,7.060635275455752,5.431511520101373,16.669485792772306,6.711655032417427,8.8727212656205,14.785484653093352,5.543757124337943,5.80521027596429,10.608783092461731,5.326931348554489,5.80521027596429,10.608783092461731
W kernel support pred7 [uv-pixels],,,9.92626530664295,57.93730554900659,7.413184896212349,25.13853832025097,,,,,,,,,,,,,,,,,,,,,,,,,7.8881671564042835,7.2775752043841555,13.45214604163056,,,,,,12.663223163172756,6.860881672821758,21.078928222336817,8.92040396188807,6.860881672821758,21.078928222336817,8.479173657110064,11.211936436939023,18.693678990456007,7.002760832074558,7.333251428713969,13.407977555822912,6.728694518073797,7.333251428713969,13.407977555822912
W kernel support pred8 [uv-pixels],,,11.390405931141371,66.59995533985551,8.505395066324745,28.866532425604785,,,,,,,,,,,,,,,,,,,,,,,,,9.050620049545055,8.349735518548025,15.439206528206512,,,,,,14.53317477197663,7.871447464671382,24.200924794053048,10.235596572128628,7.871447464671382,24.200924794053048,9.729063155025813,12.866612055391114,21.460207981316273,8.034296517578126,8.413643198448778,15.38848007196494,7.719725066485735,8.413643198448778,15.38848007196494
W kernel support pred9 [uv-pixels],,,13.253971407894053,77.65996484509454,9.895197418888763,33.61742674041891,,,,,,,,,,,,,,,,,,,,,,,,,10.529881493349896,9.714004360274812,17.969186091810567,,,,,,16.913879148880472,9.157279592890538,28.178389528739764,11.909408563355996,9.157279592890538,28.178389528739764,10.134119377102484,13.402935840352834,22.357253137112515,9.346831796393909,9.788394730622965,17.91009993928874,8.980681569594092,9.788394730622965,17.91009993928874
W kernel support pred10 [uv-pixels],,,15.03708227666061,88.2763539200322,11.224632420236343,38.169059642549996,,,,,,,,,,,,,,,,,,,,,,,,,11.944966953906087,11.018994308636461,20.390774556568424,,,,,,19.192419878068616,10.387180419552553,31.98788560353861,13.510787284034537,10.387180419552553,31.98788560353861,,,,10.602295439551426,11.103420431352781,20.323677013512846,10.186769694308904,11.103420431352781,20.323677013512846
W kernel support pred11 [uv-pixels],,,16.75514868222085,98.5352175267356,12.505249645231789,42.55979965975746,,,,,,,,,,,,,,,,,,,,,,,,,13.308157430830581,12.27604595645031,22.72476241782454,,,,,,21.388387029553197,11.571847946345425,35.661715995585475,15.053600402231524,11.571847946345425,35.661715995585475,,,,11.811604318959352,12.370146702105782,22.64993463373504,11.348483452539655,12.370146702105782,22.64993463373504
AW kernel support pred0 [uv-pixels],10.04380737440852,10.23314560796867,10.083338462800263,12.46747424816693,10.046674551027726,10.51746729738966,10.036220877149471,10.023040334931904,10.110594057096847,10.106683802100818,10.02197767538351,10.023040334931904,10.110594057096847,10.106683802100818,10.02197767538351,10.023040334931904,10.110594057096847,10.106683802100818,10.22179026860007,10.348826391448657,10.780490119527089,11.067517420748546,10.363086132534095,10.24697300284581,10.584380791274077,13.305337506345792,10.685375025026868,10.314008671513221,10.634420845017965,14.316625326875732,10.05280706149834,10.044992242254473,10.15209224110804,10.208814076047096,10.159625687861553,10.375052522346742,11.141264111760835,10.609638917997426,10.134974940452228,10.04001385915136,10.367469807305909,10.067418092342953,10.04001385915136,10.367469807305909,10.060957892792889,10.106087845255681,10.290577293282428,10.041676568380497,10.04567924626592,10.151107747860994,10.038494841040034,10.04567924626592,10.151107747860994
AW kernel support pred1 [uv-pixels],10.123606235180867,10.647938620760545,10.152734495169893,14.219092063390452,10.085653848976692,10.933542999000236,10.102260376250715,10.06511281429684,10.310384512588874,10.299505001344844,10.062114474504959,10.06511281429684,10.310384512588874,10.299505001344844,10.062114474504959,10.06511281429684,10.310384512588874,10.299505001344844,10.404392096253625,10.633069956026617,11.395699029975937,11.89194141485067,10.65861084195683,10.44988943748731,11.051838552320937,15.55755804265581,11.229438404377305,10.570600155322365,11.139974541654531,17.135322886122324,10.096886752151685,10.082571476268912,10.278029910183045,10.380915498497162,10.291719495740969,10.680024568044942,12.01819834026567,11.096360633283597,10.24689613765284,10.073447704658854,10.666457440004686,10.123629059664147,10.073447704658854,10.666457440004686,10.111808674701935,10.194264185152303,10.528473164983039,10.076495286458005,10.083830270334932,10.276240345893294,10.070663169597282,10.083830270334932,10.276240345893294
AW kernel support pred2 [uv-pixels],10.346538660426187,11.746700260395855,10.234406762835278,16.05482157238679,10.131666666390402,11.407719759717478,10.28718934925449,10.183411700310026,10.857423464075746,10.828062550039785,10.175007801470096,10.183411700310026,10.857423464075746,10.828062550039785,10.175007801470096,10.183411700310026,10.857423464075746,10.828062550039785,10.616933736361975,10.960794175542777,12.085566120074235,12.80232331071454,10.99899282209937,10.685620470156964,11.58227110969367,17.870566680087425,11.842949492482308,10.867193663638652,11.711837530415638,19.977865788396716,10.14889422091974,10.126937684293614,10.425422204589202,10.581436661244211,10.446223734922077,11.030988031451182,12.983072425160882,11.647772360328057,10.37806424303449,10.11293583474909,11.010720034490973,10.189870244287807,10.11293583474909,11.010720034490973,10.171764972445283,10.297846261764047,10.803933710572156,10.117613512242718,10.128869013978928,10.422701951186538,10.108661299941993,10.128869013978928,10.422701951186538
AW kernel support pred3 [uv-pixels],10.954658564810858,14.422760967227362,10.427196586354611,19.777895961367886,10.240874287213579,12.470500331629918,10.794768764007536,10.511739217024212,12.279870418520028,12.205914194004908,10.48861991855517,10.511739217024212,12.279870418520028,12.205914194004908,10.48861991855517,10.511739217024212,12.279870418520028,12.205914194004908,11.109205882155676,11.70835035131057,13.597151764102817,14.75795654341588,11.774183347089432,11.22986867117228,12.76372491683871,22.47371676475601,13.197504638211631,11.546445657114049,12.979922924660526,25.546997185348328,10.272216223039907,10.232263813574903,10.769967778092497,11.046644340500707,10.80702251532118,11.829220200974463,15.046570820908801,12.873172483641477,10.68541121997962,10.206751477852396,11.794367042368242,10.34660201101823,10.206751477852396,11.794367042368242,10.313762539054608,10.541549458911652,11.436534022767537,10.215277515125056,10.235780724449477,10.765118212672368,10.198957628371057,10.235780724449477,10.765118212672368
AW kernel support pred4 [uv-pixels],12.523105546952452,20.19477090348624,10.90046167756402,27.03852874200482,10.51240233131899,14.830953347962193,12.215386021003106,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,12.269573900843291,13.419933486725068,16.838537238943864,18.837361037835326,13.543913680362772,12.504700794647775,15.361323896682295,31.283783923236655,,,,,10.578164399615133,10.494300176072072,11.597745392654506,12.146907602857361,11.671956694252264,13.647230867648473,17.180908311461028,14.192382128746729,11.427584656192163,10.440573586616296,13.581837851816102,10.733444923361931,10.440573586616296,13.581837851816102,10.665028903770454,11.135352115558343,12.903205560352603,10.458543817628893,10.501695785825115,11.588017040238256,10.424133160912486,10.501695785825115,11.588017040238256
AW kernel support pred5 [uv-pixels],,,11.455759660683173,33.9348639378647,10.836882154867562,17.3031191731102,,,,,,,,,,,,,13.56254230977942,15.266959045888962,20.13051819466655,22.891494594389506,,,,,,,,,10.942594969351225,10.807719597967253,12.541689224849314,13.37774847087075,12.655566951294245,15.598490077146309,,,12.27942493416281,10.721002182515962,15.503264451746999,11.190825316746723,10.721002182515962,15.503264451746999,11.081690504773952,11.825013625716425,14.507249354150112,10.750034537375974,10.81963725392423,12.52673883170317,10.694416903131328,10.81963725392423,12.52673883170317
AW kernel support pred6 [uv-pixels],,,12.716860552665338,46.812840807047834,11.594767637568355,22.24889255615249,,,,,,,,,,,,,14.236480297860783,16.211484688614707,21.762074211605974,24.881136651924805,,,,,,,,,11.789391694636512,11.540841686705212,14.604391395764198,15.338297876882686,14.248861747729592,18.591925290169907,,,14.15633977890384,11.379864559518884,19.438923750954878,12.241428449858708,11.379864559518884,19.438923750954878,12.043517479298735,13.368813808913425,17.849665442995256,11.433863872446956,11.56289178139108,14.578966997112722,11.330322042740557,11.56289178139108,14.578966997112722
AW kernel support pred7 [uv-pixels],,,14.090093787404804,58.79397396229438,12.448104687277935,27.054502562027018,,,,,,,,,,,,,,,,,,,,,,,,,12.736686424944882,12.367825227398189,16.761868425845513,,,,,,16.135588643750033,12.127312040533198,23.330692552996098,13.400507708414201,12.127312040533198,23.330692552996098,13.110926203263798,15.023565444526174,21.200321558840006,12.208139058482155,12.400668389918966,16.726442004725662,12.053021609437046,12.400668389918966,16.726442004725662
AW kernel support pred8 [uv-pixels],,,15.157220961514698,67.34652219135556,13.127899498177968,30.5495776448463,,,,,,,,,,,,,,,,,,,,,,,,,13.487539556243272,13.02758930998757,18.394811720173017,,,,,,17.641234904416926,12.726338247472505,26.185583073275485,14.309697312919353,12.726338247472505,26.185583073275485,13.951869762669117,16.295695928187172,23.67573708675932,12.827701295725902,13.068641546496078,18.352256507723027,12.633058026547973,13.068641546496078,18.352256507723027
AW kernel support pred9 [uv-pixels],,,16.603245408090345,78.30115030918331,14.068224193507254,35.07322883122443,,,,,,,,,,,,,,,,,,,,,,,,,14.521652945308693,13.941372985163193,20.564329524740607,,,,,,19.64890093269681,13.559342518808554,29.90019458855395,15.551013225154723,13.559342518808554,29.90019458855395,14.237288209113562,16.72240081868075,24.49176938967308,13.688070157260306,13.993308093602721,20.51271995214946,13.44070836877458,13.993308093602721,20.51271995214946
AW kernel support pred10 [uv-pixels],,,18.058622411331953,88.84095148868444,15.033042704968969,39.457282141533,,,,,,,,,,,,,,,,,,,,,,,,,15.578261633760954,14.880128882968814,22.71087156004362,,,,,,21.641371970743524,14.418512997821098,33.5145464744053,16.808967042457706,14.418512997821098,33.5145464744053,,,,14.574246758839132,14.942755611846911,22.650647835097132,14.274812671446526,14.942755611846911,22.650647835097132
AW kernel support pred11 [uv-pixels],,,19.51243212322152,99.0413504201205,16.011910213636902,43.718835152353854,,,,,,,,,,,,,,,,,,,,,,,,,16.64653279826677,15.833549959654656,24.827702812515106,,,,,,23.610656486551992,15.29404017561543,37.037251352520705,18.072379065028077,15.29404017561543,37.037251352520705,,,,15.47623974315658,15.90661904464989,24.75923138775657,15.125742185842201,15.90661904464989,24.75923138775657
"W kernel support pred, ff [pixels]",(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
W kernel support bw0 [uv-pixels],0.9370520659082672,2.1719274927788135,1.2937212046601065,7.445664116027902,0.9673001262628604,3.25839198864424,0.8518975847664513,0.6792183416780379,1.491345763866345,1.4646014733186143,0.6633524899218053,0.6792183416780379,1.491345763866345,1.4646014733186143,0.6633524899218053,0.6792183416780379,1.491345763866345,1.4646014733186143,2.1177809837769077,2.6642461748765345,4.027277891730492,4.742356150540842,2.719109080254128,2.236169877502791,3.468301707564042,8.776787918012607,3.7652675104788957,2.5256236608113074,3.6181358057641546,10.245279925416373,1.0290431554171644,0.9496679140376055,1.7507075346745034,2.054235828549709,1.793876840102558,2.7643651787442103,4.9120022402285155,3.544635096915563,1.6485499821341918,0.8954765725307172,2.735768668107674,1.1631453245550345,0.8954765725307172,2.735768668107674,1.1058362087359543,1.46048332274785,2.4281641272821513,0.9139301417296185,0.9569072676376705,1.7449895440040648,0.8782816595986608,0.9569072676376705,1.7449895440040648
W kernel support bw1 [uv-pixels],1.5771503431800444,3.657676430670701,1.7544280348343366,10.108539909758152,1.3116453641813304,4.4206744407371925,1.4337589440227543,1.143020544225905,2.5107825069950804,2.4657257091427423,1.1163098575405483,1.143020544225905,2.5107825069950804,2.4657257091427423,1.1163098575405483,1.143020544225905,2.5107825069950804,2.4657257091427423,2.8725206513765724,3.6141633457490383,5.464609444580143,6.435702806550391,3.6886291600376,3.0331813753398977,4.705649305522815,11.917953358299592,5.108843986432147,3.4260162935545435,4.909076571893238,13.91471488790437,1.395393165303673,1.287729619940257,2.374426001082638,2.7862890350677163,2.433000242296486,3.750056636111453,6.6661151614688245,4.809284697736864,2.23581762580151,1.2142275974860468,3.7112416142621782,1.5772968451361298,1.2142275974860468,3.7112416142621782,1.499558159518097,1.980662080385985,3.2937436429946936,1.239256736116617,1.2975488125396575,2.3666676248609817,1.19090582141628,1.2975488125396575,2.3666676248609817
W kernel support bw2 [uv-pixels],2.6553459758934825,6.163194545654393,2.1778617465689725,12.560147121796634,1.6280876631331662,5.489632967352974,2.413765669532778,1.92402543070801,4.22890580153573,4.1529433643590785,1.879037987901611,1.92402543070801,4.22890580153573,4.1529433643590785,1.879037987901611,1.92402543070801,4.22890580153573,4.1529433643590785,3.5664102347179623,4.487650717091568,6.786818727701971,7.993715165807754,4.580157541023391,3.7659639977351786,5.843714919333817,14.810710768475998,6.344718487173957,4.2539273763227365,6.096485736787401,17.29494496837709,1.7320663692301461,1.5983950893211853,2.9477835985603744,3.4593065513080865,3.020528152500709,4.656468291529454,8.280106859031038,5.972486999401695,2.775647209670395,1.507140072372925,4.608248656262041,1.9579212434166078,1.507140072372925,4.608248656262041,1.8613980376761956,2.4587878377216175,4.089619007002663,1.5382142838747925,1.6105860741799725,2.938148390273654,1.4781858059611142,1.6105860741799725,2.938148390273654
W kernel support bw3 [uv-pixels],4.472643991151526,10.39307624901199,2.9540529193779315,17.063562601599124,2.2080548377502405,7.450730066321143,4.06534533199737,3.239855145947856,7.127076363814497,6.998881432872716,3.1640397905071067,3.239855145947856,7.127076363814497,6.998881432872716,3.1640397905071067,3.239855145947856,7.127076363814497,6.998881432872716,4.838848554369343,6.089783900027516,9.213171880305087,10.853445597475096,6.215415793885239,5.109789660228361,7.93175098907734,20.126299839326535,8.612440343806021,5.772383157127383,8.275167619458102,23.50848921534933,2.349133059850855,2.1677690722478777,3.9990256239677495,4.693437033296208,4.097772034491291,6.3190545624438395,11.24274403642741,8.106699068892596,3.765370226161879,2.0439607947908605,6.253566496816212,2.655592810354497,2.0439607947908605,6.253566496816212,2.5246183299671525,3.3353058322559472,5.549262154009253,2.0861195342116723,2.1843092819038774,3.9859465792720177,2.004678703759824,2.1843092819038774,3.9859465792720177
W kernel support bw4 [uv-pixels],7.538446294834981,17.545049781755946,4.338209859382306,25.121346232481667,3.2420059801796994,10.952496391664821,7.015387062886702,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,5.330491183521604,6.247242415976737,13.50054431938514,13.50054431938514,7.109320903451667,8.949559474528611,13.54755831680747,15.963902119148576,9.134418305569207,7.507832041519353,11.660629136490986,29.642454968436073,,,,,3.449284283048438,3.1828189055468252,5.874325339376329,6.895459688255305,6.01951601646679,9.286921468112954,13.970812804086622,10.070933943203556,5.530794795907599,3.000929325650614,9.190555991506967,3.8995948408577,3.000929325650614,9.190555991506967,3.7071338684028126,4.898578032191552,8.15430645320093,3.0628644738648703,3.20711932706237,5.855095125175354,2.943221390999217,3.20711932706237,5.855095125175354
