Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),9.269045253288853,0.1953221706187367,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,(undefined),(undefined),0.8597275257414515,0.028498398312872472,0.8597275257414515,1.6497399745642367,1.6497399745642367,1.6497399745642367,1.6497399745642367,(undefined),(undefined),1.3393310873201896,0.04437222120494535,1.3393310873201896,2.5708987391485207,2.5708987391485207,2.5708987391485207,2.5708987391485207,(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,8.428362862131104,2.1220005645786215,(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,4.250412779826403,2.7572079624093724,(undefined)
W kernel support pred1 [uv-pixels],,9.269045253288853,0.5528195745220491,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.1657407364513963,0.05235970220776285,1.1657407364513963,2.237432186363181,2.237432186363181,2.237432186363181,2.237432186363181,,,1.8163020199397306,0.0815270165196709,1.8163020199397306,3.487465434952581,3.487465434952581,3.487465434952581,3.487465434952581,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,10.42606403608525,2.8782467508693417,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,5.767610431797001,3.7403418662365673,
W kernel support pred2 [uv-pixels],,9.269045253288853,1.5656728663696766,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.4469432867746808,0.08062042673204613,1.4469432867746808,2.7776522823451204,2.7776522823451204,2.7776522823451204,2.7776522823451204,,,2.254692059138452,0.12553451036887592,2.254692059138452,4.330260771504332,4.330260771504332,4.330260771504332,4.330260771504332,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,10.42606403608525,3.5735223925939597,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,6.229980331349973,4.6443996627123365,
W kernel support pred3 [uv-pixels],,9.269045253288853,4.44003861412298,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.9622926919359924,0.14813633609216087,1.9622926919359924,3.7680918044203335,3.7680918044203335,3.7680918044203335,3.7680918044203335,,,3.058317702532978,0.23067840457149283,3.058317702532978,5.87604300822231,5.87604300822231,5.87604300822231,5.87604300822231,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,10.42606403608525,4.848504693355929,,,7.8670720917835375,1.5081053989072117,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,6.3026638291180355,
W kernel support pred4 [uv-pixels],,9.269045253288853,9.151595974433112,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,2.880954845597861,0.31885546961578276,2.880954845597861,5.534796000900344,5.534796000900344,5.534796000900344,5.534796000900344,,,4.491450032959311,0.4965851642461371,4.491450032959311,6.915804055222505,8.63507185423321,6.682901922159898,8.63507185423321,,,8.608855359747837,1.6232843182302834,8.6088552515042,6.501054989103425,7.123522881883418,10.42606403608525,7.123522881883418,,,7.8670720917835375,3.2504789400702174,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,9.262802364061878,
W kernel support pred5 [uv-pixels],,,,,,,,,,,3.710614279084804,0.5283782791586031,3.710614279084804,5.865307030501301,7.1314679815597115,5.722766689924482,7.1314679815597115,,,5.786317549875458,0.8229989122858454,5.786317549875458,6.915804055222505,9.429353649594013,6.682901922159898,11.130267126418934,,,8.608855359747837,2.6918738823714676,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,9.180335103804005,,,7.8670720917835375,5.393608468909343,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,11.940214119480446,
W kernel support pred6 [uv-pixels],,,,,,,,,,,5.214094730174852,1.04160879330389,5.214094730174852,5.865307030501301,8.054143014144104,5.722766689924482,10.027340413163909,,,8.134085236082857,1.6228094745009816,8.134085236082857,6.915804055222505,9.429353649594013,6.682901922159898,15.659446201481165,,,8.608855359747837,5.3141007609900734,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,12.912369072481756,,,7.8670720917835375,10.660900155535018,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,16.80087114053382,
W kernel support pred7 [uv-pixels],,,,,,,,,,,6.586074491783982,1.659853459609009,6.586074491783982,5.865307030501301,8.054143014144104,5.722766689924482,12.672410668077886,,,8.25031446522118,2.5866690447013077,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,19.80008812213751,,,8.608855359747837,8.480213015296309,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,16.322818562999526,,,7.8670720917835375,17.033516289096198,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,21.245291400610682,
W kernel support pred8 [uv-pixels],,,,,,,,,,,7.556030333611721,2.1831282546173125,7.556030333611721,5.865307030501301,8.054143014144104,5.722766689924482,14.543725746926224,,,8.25031446522118,3.4027597844980835,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,22.731446251213505,,,8.608855359747837,11.165363531776867,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,18.736483195709795,,,7.8670720917835375,22.447432824304194,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,24.39209734411145,
W kernel support pred9 [uv-pixels],,,,,,,,,,,8.790151596169911,2.952031276752738,8.790151596169911,5.865307030501301,8.054143014144104,5.722766689924482,16.92616800019611,,,8.25031446522118,4.602359840993516,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,26.465675688372496,,,8.608855359747837,15.118905128261733,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,21.810381301496964,,,7.8670720917835375,30.432489368613744,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,28.401219027879353,
W kernel support pred10 [uv-pixels],,,,,,,,,,,9.97055182588556,3.7954470351402545,9.97055182588556,5.865307030501301,8.054143014144104,5.722766689924482,19.206374007854205,,,8.25031446522118,5.918746810620287,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,30.041851775744888,,,8.608855359747837,19.465459182410857,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,24.753334898279107,,,7.8670720917835375,39.22829705160302,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,32.24108425855546,
W kernel support pred11 [uv-pixels],,,,,,,,,,,11.107504741132324,4.707608175979352,11.107504741132324,5.865307030501301,8.054143014144104,5.722766689924482,21.403947470737197,,,8.25031446522118,7.343007665535893,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,33.490357685576484,,,8.608855359747837,24.176918647852336,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,27.59048642954865,,,7.8670720917835375,48.78067947446636,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,35.94424456940779,
AW kernel support pred0 [uv-pixels],(undefined),12.919566552617647,9.002119236620631,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,(undefined),(undefined),9.040969606105172,9.000045119815033,9.040969606105172,9.149953113741907,9.149953113741907,9.149953113741907,9.149953113741907,(undefined),(undefined),9.099110273068586,9.00010938233612,9.099110273068586,9.359995743960328,9.359995743960328,9.359995743960328,9.359995743960328,(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,12.330340649623222,9.246777081560472,(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.953190885284558,9.41287393668765,(undefined)
AW kernel support pred1 [uv-pixels],,12.919566552617647,9.016962320092878,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.075183274437064,9.000152306401002,9.075183274437064,9.273947529966618,9.273947529966618,9.273947529966618,9.273947529966618,,,9.181446129430654,9.000369251004239,9.181446129430654,9.65206792143471,9.65206792143471,9.65206792143471,9.65206792143471,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,13.773264365594319,9.449037218621267,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,10.689496250664648,9.746289410658912,
AW kernel support pred2 [uv-pixels],,12.919566552617647,9.13517003259853,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.115571560529943,9.000361084601353,9.115571560529943,9.418882746993779,9.418882746993779,9.418882746993779,9.418882746993779,,,9.27812676576161,9.00087545260424,9.27812676576161,9.987550167545058,9.987550167545058,9.987550167545058,9.987550167545058,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,13.773264365594319,9.683494322318285,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.945896716532982,10.127706957994118,
AW kernel support pred3 [uv-pixels],,12.919566552617647,10.03563365687006,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.21143814009655,9.001219049332752,9.21143814009655,9.756972678374153,9.756972678374153,9.756972678374153,9.756972678374153,,,9.505435664377861,9.002955766099022,9.505435664377861,10.748389713556087,10.748389713556087,10.748389713556087,10.748389713556087,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,13.773264365594319,10.222915325947607,,,11.953694964207486,9.125479817204852,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,10.98742787657206,
AW kernel support pred4 [uv-pixels],,12.919566552617647,12.835564221305596,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.449862476373601,9.005646495977059,9.449862476373601,10.565697647177988,10.565697647177988,10.565697647177988,10.565697647177988,,,10.058485144323186,9.01368941251857,10.058485144323186,11.350257518234203,12.472548493702904,11.20986967369418,12.472548493702904,,,12.454412495379259,9.14522017109552,12.454412420558084,11.102419374683453,11.478004105623794,13.773264365594319,11.478004105623794,,,11.953694964207486,9.568992284448766,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,12.915088371190896,
AW kernel support pred5 [uv-pixels],,,,,,,,,,,9.734919533727439,9.0154968585146,9.734919533727439,10.742524217428974,11.482936713751032,10.665367250465836,11.482936713751032,,,10.69960143126821,9.037550951979396,10.69960143126821,11.350257518234203,13.035056971456319,11.20986967369418,14.313729294123247,,,12.454412495379259,9.39394405979691,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,12.856070652346933,,,11.953694964207486,10.492426426517872,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,14.952214324943322,
AW kernel support pred6 [uv-pixels],,,,,,,,,,,10.40128760563985,9.0600744411008,10.40128760563985,10.742524217428974,12.077633033516388,10.665367250465836,13.473958429558486,,,12.131089919205987,9.145135897871073,12.131089919205987,11.350257518234203,13.035056971456319,11.20986967369418,18.061513096556524,,,12.454412495379259,10.451778169189934,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,15.739417875638964,,,11.953694964207486,13.951874143866355,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,19.059624106493338,
AW kernel support pred7 [uv-pixels],,,,,,,,,,,11.152415756746501,9.151781985349958,11.152415756746501,10.742524217428974,12.077633033516388,10.665367250465836,15.543165447887834,,,12.209327941170137,9.364339632179943,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,21.74956297594071,,,12.454412495379259,12.365840561191177,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,18.639592426890722,,,11.953694964207486,19.26501173555068,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,23.07298001335896,
AW kernel support pred8 [uv-pixels],,,,,,,,,,,11.75132309156975,9.260996111440088,11.75132309156975,10.742524217428974,12.077633033516388,10.665367250465836,17.103214861592683,,,12.209327941170137,9.621786432414588,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,24.44828518877773,,,12.454412495379259,14.341037019571939,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,20.78595204803272,,,11.953694964207486,24.184442114749086,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,25.999507934663086,
AW kernel support pred9 [uv-pixels],,,,,,,,,,,12.580411960013409,9.471773258420326,12.580411960013409,10.742524217428974,12.077633033516388,10.665367250465836,19.17016335795975,,,12.209327941170137,10.108497222930314,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,27.95410505886588,,,12.454412495379259,17.59492234360183,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,23.594336873849375,,,11.953694964207486,31.735412541367545,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,29.79310729463404,
AW kernel support pred10 [uv-pixels],,,,,,,,,,,13.431749838076566,9.76756971802889,13.431749838076566,10.742524217428974,12.077633033516388,10.665367250465836,21.21048803138621,,,12.209327941170137,10.771794827614748,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,31.361008563434726,,,12.454412495379259,21.445374820275426,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,26.338708939246857,,,11.953694964207486,40.24747556765276,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,33.473683904931534,
AW kernel support pred11 [uv-pixels],,,,,,,,,,,14.29603656872341,10.156848661792084,14.29603656872341,10.742524217428974,12.077633033516388,10.665367250465836,23.219150874441496,,,12.209327941170137,11.615496613409126,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,34.678582120782444,,,12.454412495379259,25.797740120112653,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,29.021284282731326,,,11.953694964207486,49.60397857017745,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,37.05386238525481,
W kernel support bw0 [uv-pixels],(undefined),9.269045253288853,0.1953221706187367,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,(undefined),(undefined),0.8597275257414515,0.028498398312872472,0.8597275257414515,1.6497399745642367,1.6497399745642367,1.6497399745642367,1.6497399745642367,(undefined),(undefined),1.3393310873201896,0.04437222120494535,1.3393310873201896,2.5708987391485207,2.5708987391485207,2.5708987391485207,2.5708987391485207,(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,8.428362862131104,2.1220005645786215,(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,4.250412779826403,2.7572079624093724,(undefined)
W kernel support bw1 [uv-pixels],,9.269045253288853,0.5528195745220491,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.1657407364513963,0.05235970220776285,1.1657407364513963,2.237432186363181,2.237432186363181,2.237432186363181,2.237432186363181,,,1.8163020199397306,0.0815270165196709,1.8163020199397306,3.487465434952581,3.487465434952581,3.487465434952581,3.487465434952581,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,10.42606403608525,2.8782467508693417,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,5.767610431797001,3.7403418662365673,
W kernel support bw2 [uv-pixels],,9.269045253288853,1.5656728663696766,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.4469432867746808,0.08062042673204613,1.4469432867746808,2.7776522823451204,2.7776522823451204,2.7776522823451204,2.7776522823451204,,,2.254692059138452,0.12553451036887592,2.254692059138452,4.330260771504332,4.330260771504332,4.330260771504332,4.330260771504332,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,10.42606403608525,3.5735223925939597,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,6.229980331349973,4.6443996627123365,
W kernel support bw3 [uv-pixels],,9.269045253288853,4.44003861412298,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,1.9622926919359924,0.14813633609216087,1.9622926919359924,3.7680918044203335,3.7680918044203335,3.7680918044203335,3.7680918044203335,,,3.058317702532978,0.23067840457149283,3.058317702532978,5.87604300822231,5.87604300822231,5.87604300822231,5.87604300822231,,,6.040415614112893,0.7536199653627027,6.040415614112893,4.848504693355929,4.848504693355929,10.42606403608525,4.848504693355929,,,7.8670720917835375,1.5081053989072117,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,6.3026638291180355,
W kernel support bw4 [uv-pixels],,9.269045253288853,9.151595974433112,9.26904525333889,3.496594036216479,3.9078848670139963,2.828849557223279,10.486645535453263,,,2.880954845597861,0.31885546961578276,2.880954845597861,5.534796000900344,5.534796000900344,5.534796000900344,5.534796000900344,,,4.491450032959311,0.4965851642461371,4.491450032959311,6.915804055222505,8.63507185423321,6.682901922159898,8.63507185423321,,,8.608855359747837,1.6232843182302834,8.6088552515042,6.501054989103425,7.123522881883418,10.42606403608525,7.123522881883418,,,7.8670720917835375,3.2504789400702174,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,9.262802364061878,
W kernel support bw5 [uv-pixels],,,,,,,,,,,3.710614279084804,0.5283782791586031,3.710614279084804,5.865307030501301,7.1314679815597115,5.722766689924482,7.1314679815597115,,,5.786317549875458,0.8229989122858454,5.786317549875458,6.915804055222505,9.429353649594013,6.682901922159898,11.130267126418934,,,8.608855359747837,2.6918738823714676,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,9.180335103804005,,,7.8670720917835375,5.393608468909343,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,11.940214119480446,
W kernel support bw6 [uv-pixels],,,,,,,,,,,5.214094730174852,1.04160879330389,5.214094730174852,5.865307030501301,8.054143014144104,5.722766689924482,10.027340413163909,,,8.134085236082857,1.6228094745009816,8.134085236082857,6.915804055222505,9.429353649594013,6.682901922159898,15.659446201481165,,,8.608855359747837,5.3141007609900734,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,12.912369072481756,,,7.8670720917835375,10.660900155535018,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,16.80087114053382,
W kernel support bw7 [uv-pixels],,,,,,,,,,,6.586074491783982,1.659853459609009,6.586074491783982,5.865307030501301,8.054143014144104,5.722766689924482,12.672410668077886,,,8.25031446522118,2.5866690447013077,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,19.80008812213751,,,8.608855359747837,8.480213015296309,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,16.322818562999526,,,7.8670720917835375,17.033516289096198,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,21.245291400610682,
W kernel support bw8 [uv-pixels],,,,,,,,,,,7.556030333611721,2.1831282546173125,7.556030333611721,5.865307030501301,8.054143014144104,5.722766689924482,14.543725746926224,,,8.25031446522118,3.4027597844980835,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,22.731446251213505,,,8.608855359747837,11.165363531776867,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,18.736483195709795,,,7.8670720917835375,22.447432824304194,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,24.39209734411145,
W kernel support bw9 [uv-pixels],,,,,,,,,,,8.790151596169911,2.952031276752738,8.790151596169911,5.865307030501301,8.054143014144104,5.722766689924482,16.92616800019611,,,8.25031446522118,4.602359840993516,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,26.465675688372496,,,8.608855359747837,15.118905128261733,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,21.810381301496964,,,7.8670720917835375,30.432489368613744,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,28.401219027879353,
W kernel support bw10 [uv-pixels],,,,,,,,,,,9.97055182588556,3.7954470351402545,9.97055182588556,5.865307030501301,8.054143014144104,5.722766689924482,19.206374007854205,,,8.25031446522118,5.918746810620287,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,30.041851775744888,,,8.608855359747837,19.465459182410857,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,24.753334898279107,,,7.8670720917835375,39.22829705160302,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,32.24108425855546,
W kernel support bw11 [uv-pixels],,,,,,,,,,,11.107504741132324,4.707608175979352,11.107504741132324,5.865307030501301,8.054143014144104,5.722766689924482,21.403947470737197,,,8.25031446522118,7.343007665535893,8.250314558027082,6.915804055222505,9.429353649594013,6.682901922159898,33.490357685576484,,,8.608855359747837,24.176918647852336,8.6088552515042,6.501054989103425,7.873025210752769,10.42606403608525,27.59048642954865,,,7.8670720917835375,48.78067947446636,7.867071968201926,7.252084242940822,8.504059582096543,6.229980331349973,35.94424456940779,
AW kernel support bw0 [uv-pixels],(undefined),12.919566552617647,9.002119236620631,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,(undefined),(undefined),9.040969606105172,9.000045119815033,9.040969606105172,9.149953113741907,9.149953113741907,9.149953113741907,9.149953113741907,(undefined),(undefined),9.099110273068586,9.00010938233612,9.099110273068586,9.359995743960328,9.359995743960328,9.359995743960328,9.359995743960328,(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,12.330340649623222,9.246777081560472,(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.953190885284558,9.41287393668765,(undefined)
AW kernel support bw1 [uv-pixels],,12.919566552617647,9.016962320092878,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.075183274437064,9.000152306401002,9.075183274437064,9.273947529966618,9.273947529966618,9.273947529966618,9.273947529966618,,,9.181446129430654,9.000369251004239,9.181446129430654,9.65206792143471,9.65206792143471,9.65206792143471,9.65206792143471,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,13.773264365594319,9.449037218621267,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,10.689496250664648,9.746289410658912,
AW kernel support bw2 [uv-pixels],,12.919566552617647,9.13517003259853,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.115571560529943,9.000361084601353,9.115571560529943,9.418882746993779,9.418882746993779,9.418882746993779,9.418882746993779,,,9.27812676576161,9.00087545260424,9.27812676576161,9.987550167545058,9.987550167545058,9.987550167545058,9.987550167545058,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,13.773264365594319,9.683494322318285,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.945896716532982,10.127706957994118,
AW kernel support bw3 [uv-pixels],,12.919566552617647,10.03563365687006,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.21143814009655,9.001219049332752,9.21143814009655,9.756972678374153,9.756972678374153,9.756972678374153,9.756972678374153,,,9.505435664377861,9.002955766099022,9.505435664377861,10.748389713556087,10.748389713556087,10.748389713556087,10.748389713556087,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,13.773264365594319,10.222915325947607,,,11.953694964207486,9.125479817204852,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,10.98742787657206,
AW kernel support bw4 [uv-pixels],,12.919566552617647,12.835564221305596,12.919566552653546,9.655370000890937,9.811807383649406,9.434107791275354,13.819179953464747,,,9.449862476373601,9.005646495977059,9.449862476373601,10.565697647177988,10.565697647177988,10.565697647177988,10.565697647177988,,,10.058485144323186,9.01368941251857,10.058485144323186,11.350257518234203,12.472548493702904,11.20986967369418,12.472548493702904,,,12.454412495379259,9.14522017109552,12.454412420558084,11.102419374683453,11.478004105623794,13.773264365594319,11.478004105623794,,,11.953694964207486,9.568992284448766,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,12.915088371190896,
AW kernel support bw5 [uv-pixels],,,,,,,,,,,9.734919533727439,9.0154968585146,9.734919533727439,10.742524217428974,11.482936713751032,10.665367250465836,11.482936713751032,,,10.69960143126821,9.037550951979396,10.69960143126821,11.350257518234203,13.035056971456319,11.20986967369418,14.313729294123247,,,12.454412495379259,9.39394405979691,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,12.856070652346933,,,11.953694964207486,10.492426426517872,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,14.952214324943322,
AW kernel support bw6 [uv-pixels],,,,,,,,,,,10.40128760563985,9.0600744411008,10.40128760563985,10.742524217428974,12.077633033516388,10.665367250465836,13.473958429558486,,,12.131089919205987,9.145135897871073,12.131089919205987,11.350257518234203,13.035056971456319,11.20986967369418,18.061513096556524,,,12.454412495379259,10.451778169189934,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,15.739417875638964,,,11.953694964207486,13.951874143866355,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,19.059624106493338,
AW kernel support bw7 [uv-pixels],,,,,,,,,,,11.152415756746501,9.151781985349958,11.152415756746501,10.742524217428974,12.077633033516388,10.665367250465836,15.543165447887834,,,12.209327941170137,9.364339632179943,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,21.74956297594071,,,12.454412495379259,12.365840561191177,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,18.639592426890722,,,11.953694964207486,19.26501173555068,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,23.07298001335896,
AW kernel support bw8 [uv-pixels],,,,,,,,,,,11.75132309156975,9.260996111440088,11.75132309156975,10.742524217428974,12.077633033516388,10.665367250465836,17.103214861592683,,,12.209327941170137,9.621786432414588,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,24.44828518877773,,,12.454412495379259,14.341037019571939,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,20.78595204803272,,,11.953694964207486,24.184442114749086,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,25.999507934663086,
