Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies backward kernels2,298.4312974687412,667.3926523132541,250.6186190565687,724.2098833618494,105.22560786203425,216.75800878294575,214.6084897334479,212.45048503010733,216.7365139883007,420.55640925392714,212.2757318260155,212.45048503010733,216.7365139883007,420.55640925392714,212.2757318260155,212.45048503010733,216.7365139883007,420.55640925392714,44.17539944745351,45.60316636136973,44.49512114977292,149.0335751048729,60.966765717300305,53.79356675660803,58.298136998211405,54.37312707224223,52.12523671726515,44.697851955684996,43.72255659332423,40.0,41.749431774131274,41.65930622956408,41.63566701584409,96.79506946984371,95.56077856635902,94.3628264124225,268.1138018761654,258.841538932625,122.54355361920817,121.0778804779259,123.57349753531393,121.99696754901534,121.0778804779259,123.57349753531393,121.78067538280307,123.28689005614459,122.58379400392907,103.18082037879664,103.29535441661749,102.87507454603131,103.08972420704661,103.29535441661749,102.87507454603131
Frequencies backward kernels3,308.39807786205904,819.2124673281857,252.8888817442551,892.0250836581347,105.92622169809367,236.93036041015392,225.1633419221695,219.27788451253903,230.8785695154977,447.9592135340401,218.7971349552301,219.27788451253903,230.8785695154977,447.9592135340401,218.7971349552301,219.27788451253903,230.8785695154977,447.9592135340401,46.21939692300224,48.70714609592072,46.78091196081423,190.1743123696225,68.65017788577416,56.527746875188065,64.23349273471509,68.3691672338499,59.84101576744785,47.48599271047127,45.78266897615563,40.0,42.255634499842905,42.091640852162,42.048581912948926,101.04171641569319,98.85432934592136,96.71226660089835,284.0143941924112,267.701881548099,124.85841814126489,122.19863775288962,126.7132726371457,123.86934417380438,122.19863775288962,126.7132726371457,123.47703190839478,126.19826027916831,124.93110442347742,104.17463312876674,104.38327023194444,103.61681563144167,104.00856477471979,104.38327023194444,103.61681563144167
Frequencies backward kernels4,339.0278924205873,1146.673375504272,258.54899463314746,1219.2934484643092,107.67975231840934,281.7334794073829,254.70432980595342,245.87976264831133,350.05415280954406,518.0016109117512,236.33470453479393,245.87976264831133,350.05415280954406,518.0016109117512,236.33470453479393,245.87976264831133,350.05415280954406,518.0016109117512,51.03744092252441,55.813927229234,52.13110057114918,267.91643996505667,85.10591267641955,62.932214449609404,77.28323680098231,95.15648570102123,,,,,43.51146710255662,43.1672275694203,43.076617276812776,111.08546459328879,106.74987767094426,102.42564636506194,301.80678060712916,277.85018943026574,130.5401727416045,124.99196525342707,134.34266074709498,128.49071472730992,124.99196525342707,134.34266074709498,127.67339217936129,133.29204976346463,130.6901708152596,106.65007068229352,107.08917759559307,105.47162424050079,106.29991379700503,107.08917759559307,105.47162424050079
Frequencies backward kernels5,,,265.34056417349905,1530.141321350035,109.79626727523629,328.6569854543892,,,,,,,,,,,,,56.40606297344222,63.48308623148448,58.04461879333117,340.45255320758406,,,,,,,,,45.00735360577206,44.453727414710784,44.307600367602646,122.3211874634369,115.7287584187697,109.04395621353723,,,137.20541369338267,128.34207125004963,143.17132581781505,133.95475190481176,128.34207125004963,143.17132581781505,132.65098805684949,141.5310038577562,137.44231987639594,109.61623167845057,110.32449674122664,107.70731743497483,109.0502763064636,110.32449674122664,107.70731743497483
Frequencies backward kernels6,,,281.30992326539626,2110.6078317542806,114.82280852823737,422.5313566596183,,,,,,,,,,,,,59.20436634056831,67.40491411488682,61.11155160018871,375.18247624313784,,,,,,,,,48.483218998564446,47.46298997033008,47.192196588683984,140.2180462347027,130.27313817304835,119.98531661559757,,,152.3379334768732,136.21308923672828,162.83581853570976,146.50564768203685,136.21308923672828,162.83581853570976,144.14133229284553,159.97381386552397,152.7596859121138,116.57476417257742,117.88772936945573,113.00444150202839,115.52114069692041,117.88772936945573,113.00444150202839
Frequencies backward kernels7,,,299.44506625616117,2650.649682459019,120.60721627211569,513.7453209369853,,,,,,,,,,,,,,,,,,,,,,,,,52.371600086523216,50.85752715580636,50.45359337439921,,,,,,168.81050877389234,145.1423767746267,183.8031246710112,160.35243696481174,145.1423767746267,183.8031246710112,156.8929931197421,179.74208675100803,169.41827300598507,124.45365718250959,126.412801321353,119.08090039120195,122.87520950695455,126.412801321353,119.08090039120195
Frequencies backward kernels8,,,313.99123630158886,3036.1502764918787,125.29829352094062,580.0843801297976,,,,,,,,,,,,,,,,,,,,,,,,,55.45364268095048,53.56567466899883,53.06028379324699,,,,,,181.60822311559332,152.2985672491763,199.86662545490753,171.21395055400103,152.2985672491763,199.86662545490753,166.93921560595533,194.93942411870722,182.35225698785854,130.75821663910247,133.20998139959644,123.99559185140326,128.7775614299871,133.20998139959644,123.99559185140326
Frequencies backward kernels9,,,334.2342217374214,3529.9230703529515,131.89292776128522,665.9465583678136,,,,,,,,,,,,,,,,,,,,,,,,,59.69838909028399,57.31650131940826,56.67640550763421,,,,,,198.94675519227474,162.24994577910888,221.39781419456438,186.04316554325402,162.24994577910888,221.39781419456438,170.3489295869543,200.03699690703033,191.32864756791398,139.51318214688288,142.61922823695843,130.88724720318186,136.99607299470435,142.61922823695843,130.88724720318186
Frequencies backward kernels10,,,355.12861482468713,4004.9978065597234,138.77017399816788,749.1590668710923,,,,,,,,,,,,,,,,,,,,,,,,,64.03547192100297,61.16983153359543,60.39722308134315,,,,,,216.3945553613515,172.5139143546164,267.9907262821344,201.07114145743776,172.5139143546164,267.9907262821344,,,,148.53076174942174,152.28064086587452,138.05562180415168,145.48377455439837,152.28064086587452,138.05562180415168
Frequencies backward kernels11,,,389.9023918392926,4464.774204786868,145.84603740835126,830.0464303548653,,,,,,,,,,,,,,,,,,,,,,,,,68.42042553855738,65.08335783349096,64.18120001384172,,,,,,233.82133624508094,182.973285070695,320.9461603322812,216.16432181073358,182.973285070695,320.9461603322812,,,,157.7092852351991,162.08874640775352,145.41409821972474,154.14268571364636,162.08874640775352,145.41409821972474
Frequencies backward grid0,559.1337152950158,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,429.9899422466631,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,358.44033998018244,398.1901223156782,663.1885345814411,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,894.8544371933378,497.1909356825173,100.0,5000.0,716.3789380602059,398.02881001253394,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1117.2953217949262,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,859.2872958419088,795.6877005716108,1325.6842841487744,1500.0,716.1882027630096,795.6877005716108,1325.6842841487744,1500.0,716.1882027630096,795.6877005716108,1325.6842841487744,1500.0,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,1342.225873765601,745.7306245903046,100.0,5000.0,1074.522829922399,596.9976404288616,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies backward grid2,2233.6181120846836,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1717.881724030251,1590.6825558293533,2650.675602311196,1500.0,1431.683593715042,1590.6825558293533,2650.675602311196,1500.0,1431.683593715042,1590.6825558293533,2650.675602311196,1500.0,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,1789.5973095663412,994.2703121075014,100.0,5000.0,1432.6667211420954,795.9664696855765,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies backward grid3,4466.26348098825,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,3435.07044070933,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,2684.3401803962356,1491.3496857510963,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,8931.554112875032,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,6869.447804173029,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies backward fft,200,65536,200,65536,200,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,200,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Channels out,500,65536,500,65536,500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,40,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
-- Visibilities --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.285711,9129632914.285711,9129632914.285711,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9012691084.936573,9012691084.936573,9012691084.936573,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],2172059316.6796484,9563013120.0,9129632914.285711,9129632914.285711,4324547694.891061,9129632914.285711,4176303988.8529987,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,518279302.4006185,191958754.35256025,191958754.35256025,637502759.7898726,159717856.55765587,88733912.78821754,3570050.7658022386,301940665.08576727,41204706.33754478,22892280.35432273,22892280.35432273,80027283.72930248,4490292890.902244,1663079436.8938406,1663079436.8938406,693509625.6202189,693509625.6202189,693509625.6202189,281660869.3220735,281660869.3220735,9081506650.686779,5045297899.291234,5045297899.291234,9129632914.285711,5045297899.291234,5045297899.291234,5677961517.734883,3154439281.6288333,3154439281.6288333,7584957365.175866,4213879194.9767995,4213879194.9767995,9129632914.285711,4213879194.9767995,4213879194.9767995
Visibilities pred0 [1/s],3610566.5099345464,423194095.29833394,1193049.3754058974,241609545.09431344,2089549.107053146,241609545.09431344,2776629.70880828,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,329977.41156882973,800110.3533410244,992559.5537826391,11576477.286249842,3395838.1819824134,1015950.3430569423,204338.06615205077,17282099.23155682,2796805.82622371,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528558,985969.6387657713,1741758.0563496475,1741758.0563496475,1741758.0563496475,5476886.68607576,5476886.68607576,774193.4141382019,573558.2324082683,2437794.6726493896,663639.3355268477,573558.2324082683,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,1043666.7188045931,1988726.47989869,1988726.47989869,839706.3426737391,1988726.47989869,1988726.47989869
Visibilities pred1 [1/s],1948188.6617438558,158712256.14297408,152479.1524060275,30497742.32640041,387007.8512690362,30497742.32640041,1498309.116922096,1387412.7335039307,2311549.18583352,2615497.38516864,1248792.2477435197,1387412.7335039307,2311549.18583352,2615497.38516864,1248792.2477435197,1387412.7335039307,2311549.18583352,2615497.38516864,61112.86681122817,148189.11920900785,148189.11920900785,1429501.8087744215,733795.8857323548,203845.74417932407,27335.03727184524,2055012.0060082057,460458.94781537366,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021813,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484156,966078.3365484156,131300.8370506066,72257.05382601058,451507.3894423598,97542.17331012468,72257.05382601058,451507.3894423598,131300.8370506066,451507.3894423598,451507.3894423598,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities pred2 [1/s],3988616.360699523,325080391.118371,151300.85607865886,23326643.91271687,385893.14797792333,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,2678579.88287232,2556585.9151756396,2840513.5293869544,7513276.5548902005,2678579.88287232,2556585.9151756396,2840513.5293869544,7513276.5548902005,2678579.88287232,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,731694.3743715591,203258.57389392328,20442.989337888106,1728986.5612418326,516532.5527678155,143488.56800991428,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,130918.64937161913,72737.76128307858,450207.19000064774,97257.15106242638,72737.76128307858,450207.19000064774,130918.64937161913,450207.19000064774,450207.19000064774,196056.52192063633,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities pred3 [1/s],18502694.34056612,814501371.0890816,621939.9163912926,65686758.90609715,1555837.8622782843,65686758.90609715,14230700.600918198,13176787.30799331,43918796.07416283,7683800.487760709,10165196.303974409,13176787.30799331,43918796.07416283,7683800.487760709,10165196.303974409,13176787.30799331,43918796.07416283,7683800.487760709,245673.5849820245,595744.5937325673,595744.5937325673,2873635.1591620515,2950082.3390788636,819494.5635906133,54949.85994367155,4647440.147544678,2776774.8610592647,771352.5256007435,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,527819.5994952194,290454.2017476618,1815139.3346248912,392103.4229052717,290454.2017476618,1815139.3346248912,527819.5994952194,1815139.3346248912,1815139.3346248912,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities pred4 [1/s],28372268.931704037,624551447.5564055,2472590.3662639125,161307147.9011916,6367602.162721325,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,11782070.468766836,18185128.719827663,20205453.943647504,101022866.22592254,11782070.468766836,18185128.719827663,20205453.943647504,101022866.22592254,11782070.468766836,1053333.584683511,2438211.5735048177,2438211.5735048177,8097336.194221758,13798865.857877117,3833094.764727136,154217.73333570082,13043121.240024522,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,2139589.800675709,1132090.3420038933,7428853.120970112,1528299.1589906237,1132090.3420038933,7428853.120970112,2139589.800675709,7428853.120970112,7428853.120970112,3249037.4920084886,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities pred5 [1/s],,,2601701.0260926704,113156925.2861792,6253540.054241978,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.0770669915,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,2148997.04772652,1167380.1733090275,7295782.519740423,1558628.3450128695,1167380.1733090275,7295782.519740423,2148997.04772652,7295782.519740423,7295782.519740423,3290535.0500268927,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities pred6 [1/s],,,9710348.953550885,259168378.32160106,30009250.41978592,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,8102621.311450598,4668237.333820918,35010730.818072766,6077003.45437521,4668237.333820918,35010730.818072766,8102621.311450598,35010730.818072766,35010730.818072766,12632338.080090325,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
Visibilities pred7 [1/s],,,18982655.23714316,495393215.1353213,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,14783794.402442914,7822187.717989076,68442638.40578821,10559900.894514984,7822187.717989076,68442638.40578821,14783794.402442914,68442638.40578821,68442638.40578821,27438845.461917926,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities pred8 [1/s],,,8655176.951414868,156858909.7132084,22290508.6912017,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,7021571.898381179,4160964.4218790983,26005551.376176804,4814810.302112063,4160964.4218790983,26005551.376176804,7021571.898381179,26005551.376176804,26005551.376176804,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities pred9 [1/s],,,11565290.761680273,137193016.99216768,47656482.60434576,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,10007930.689177455,5559997.492158848,55599141.81844076,6433689.564506442,5559997.492158848,55599141.81844076,1620607.1462675105,6002189.549808466,6002189.549808466,16717356.321762979,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities pred10 [1/s],,,979619.0849624582,9832946.63164279,4036673.733039358,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,847706.270065889,470950.50789571204,4709445.368390764,726607.2699162776,470950.50789571204,4709445.368390764,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities pred11 [1/s],,,645900.8802550612,4214119.9733702345,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,628791.79835944,310515.94265843043,2328843.9796672305,359310.4114519165,310515.94265843043,2328843.9796672305,,,,1400455.8402069337,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
Visibilities bw0 [1/s],3610566.5099345464,423194095.29833394,1193049.3754058974,241609545.09431344,2089549.107053146,241609545.09431344,2776629.70880828,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,329977.41156882973,800110.3533410244,992559.5537826391,11576477.286249842,3395838.1819824134,1015950.3430569423,204338.06615205077,17282099.23155682,2796805.82622371,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528558,985969.6387657713,1741758.0563496475,1741758.0563496475,1741758.0563496475,5476886.68607576,5476886.68607576,774193.4141382019,573558.2324082683,2437794.6726493896,663639.3355268477,573558.2324082683,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,1043666.7188045931,1988726.47989869,1988726.47989869,839706.3426737391,1988726.47989869,1988726.47989869
Visibilities bw1 [1/s],1948188.6617438558,158712256.14297408,152479.1524060275,30497742.32640041,387007.8512690362,30497742.32640041,1498309.116922096,1387412.7335039307,2311549.18583352,2615497.38516864,1248792.2477435197,1387412.7335039307,2311549.18583352,2615497.38516864,1248792.2477435197,1387412.7335039307,2311549.18583352,2615497.38516864,61112.86681122817,148189.11920900785,148189.11920900785,1429501.8087744215,733795.8857323548,203845.74417932407,27335.03727184524,2055012.0060082057,460458.94781537366,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021813,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484156,966078.3365484156,131300.8370506066,72257.05382601058,451507.3894423598,97542.17331012468,72257.05382601058,451507.3894423598,131300.8370506066,451507.3894423598,451507.3894423598,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities bw2 [1/s],3988616.360699523,325080391.118371,151300.85607865886,23326643.91271687,385893.14797792333,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,2678579.88287232,2556585.9151756396,2840513.5293869544,7513276.5548902005,2678579.88287232,2556585.9151756396,2840513.5293869544,7513276.5548902005,2678579.88287232,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,731694.3743715591,203258.57389392328,20442.989337888106,1728986.5612418326,516532.5527678155,143488.56800991428,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,130918.64937161913,72737.76128307858,450207.19000064774,97257.15106242638,72737.76128307858,450207.19000064774,130918.64937161913,450207.19000064774,450207.19000064774,196056.52192063633,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
